sequence,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BCeBTjBllBXrBGrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFzd?B+jBUgBFhBXmBSwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFfj?B6jBUgBFhBTmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFCe?BUgBFhBTjBGrBXrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFTc?BfjB6jBFgBUmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BzdB+jB1lBXmBSwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BCeB1lBTjBGrBXrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFSj?BFgBXhBUjBTmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFGe?BFgBXhBUjBCrBTrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFCe?B3gBTjBerB5mBlqB
TSLJZIO,O,X,O,X,O,X,X,O,X,X
TSLJZOI,X,X,O,X,O,X,X,O,X,X
TSLJOIZ,X,X,X,X,O,X,X,O,X,X
TSLJOZI,X,X,O,X,O,X,X,O,X,X
TSLZIJO,O,X,O,X,O,X,X,O,O,X
TSLZIOJ,O,X,O,X,O,X,O,O,X,X
TSLZJIO,O,X,O,X,O,X,X,O,O,X
TSLZJOI,X,X,O,X,O,X,X,O,O,X
TSLZOIJ,O,X,O,X,O,X,X,O,X,X
TSLZOJI,O,X,O,X,X,X,X,O,X,X
TSLOIJZ,O,X,X,X,O,X,X,X,X,X
TSLOIZJ,O,X,X,X,O,X,X,O,X,X
TSLOJIZ,O,X,X,X,O,X,X,X,X,X
TSLOJZI,O,X,X,X,O,X,X,X,X,X
TSLOZIJ,O,X,O,X,O,X,X,O,X,X
TSLOZJI,O,X,O,X,X,X,X,O,X,X
TSJILZO,X,X,O,X,O,X,X,O,X,X
TSJILOZ,X,X,X,X,O,X,X,O,X,X
TSJIZLO,X,X,O,X,O,X,X,O,O,X
TSJIZOL,X,X,O,X,O,O,X,X,O,X
TSJIOLZ,X,X,X,X,O,X,X,O,X,X
TSJIOZL,X,X,X,X,O,O,X,X,X,X
TSJLIZO,X,X,O,X,O,O,X,O,X,X
TSJLIOZ,X,X,X,X,O,O,X,O,X,X
TSJLZIO,O,X,O,X,O,O,X,O,X,X
TSJLZOI,X,X,O,X,O,O,X,O,X,X
TSJLOIZ,X,X,X,X,O,O,X,O,X,X
TSJLOZI,X,X,O,X,O,O,X,O,X,X
TSJZILO,O,X,O,X,O,X,X,O,O,X
TSJZIOL,O,O,O,X,O,O,X,X,O,X
TSJZLIO,O,X,O,X,O,O,X,O,O,X
TSJZLOI,X,X,O,X,O,O,X,O,O,X
TSJZOIL,O,O,O,X,O,O,X,X,O,X
TSJZOLI,O,O,O,X,O,O,X,X,O,X
TSJOILZ,O,X,X,X,O,X,X,O,X,X
TSJOIZL,O,X,X,X,O,O,X,X,X,X
TSJOLIZ,O,X,X,X,O,O,X,O,X,X
TSJOLZI,O,X,O,X,O,O,X,O,X,X
TSJOZIL,O,O,O,X,O,O,X,X,X,X
TSJOZLI,O,O,O,X,O,O,X,X,X,X
TSZILJO,O,X,O,X,O,X,X,O,O,X
TSZILOJ,O,X,O,X,O,X,O,O,X,X
TSZIJLO,O,X,O,X,O,X,X,X,O,X
TSZIJOL,O,O,O,X,O,O,X,X,O,X
TSZIOLJ,O,X,O,O,O,X,O,X,X,X
TSZIOJL,O,X,X,X,X,X,X,X,O,X
TSZLIJO,O,X,O,X,O,X,X,O,O,X
TSZLIOJ,O,X,O,X,O,X,O,O,X,X
TSZLJIO,O,X,O,X,O,X,X,O,O,X
TSZLJOI,X,X,O,X,O,X,X,O,O,X
TSZLOIJ,O,X,O,X,O,X,X,O,X,X
TSZLOJI,O,X,O,X,X,X,X,O,X,X
TSZJILO,O,X,O,X,O,X,X,X,O,X
TSZJIOL,O,O,O,X,O,O,X,X,O,X
TSZJLIO,O,X,O,X,O,O,X,X,O,X
TSZJLOI,X,X,O,X,O,O,X,X,O,X
TSZJOIL,O,O,O,X,O,O,X,X,O,X
TSZJOLI,O,O,O,X,O,O,X,X,O,X
TSZOILJ,O,X,O,O,O,X,O,X,X,X
TSZOIJL,O,X,X,X,X,X,X,X,O,X
TSZOLIJ,O,X,O,O,O,X,O,X,X,X
TSZOLJI,O,X,O,O,X,X,O,X,X,X
TSZOJIL,O,X,X,X,X,X,O,X,O,X
TSZOJLI,O,X,X,X,X,X,O,X,O,X
TSOILJZ,O,X,X,X,O,X,X,X,X,X
TSOILZJ,O,X,X,X,O,X,O,O,X,X
TSOIJLZ,O,X,X,X,O,X,X,X,X,X
TSOIJZL,O,X,X,X,O,X,X,X,X,X
TSOIZLJ,O,X,X,X,O,X,O,X,X,X
TSOIZJL,O,X,X,X,X,X,X,X,O,X
TSOLIJZ,O,X,X,X,O,X,X,X,X,X
TSOLIZJ,O,X,X,X,O,X,O,O,X,X
TSOLJIZ,O,X,X,X,O,X,O,X,X,X
TSOLJZI,O,X,X,X,O,X,O,X,X,X
TSOLZIJ,O,X,O,O,O,X,O,O,X,X
TSOLZJI,O,X,O,O,X,X,O,O,X,X
TSOJILZ,O,X,X,X,O,X,O,X,X,X
TSOJIZL,O,X,X,X,O,X,O,X,X,X
TSOJLIZ,O,X,X,X,O,X,O,X,X,X
TSOJLZI,O,X,X,X,O,X,O,X,X,X
TSOJZIL,O,X,X,X,O,X,O,X,X,X
TSOJZLI,O,X,X,X,O,X,O,X,X,X
TSOZILJ,O,X,O,O,O,X,O,X,X,X
TSOZIJL,O,X,X,X,X,X,X,X,O,X
TSOZLIJ,O,X,O,O,O,X,O,X,X,X
TSOZLJI,O,X,O,O,X,X,O,X,X,X
TSOZJIL,O,X,X,X,X,X,O,X,O,X
TSOZJLI,O,X,X,X,X,X,O,X,O,X
TZILJSO,X,O,X,X,X,X,O,O,O,X
TZILJOS,O,O,X,X,X,O,O,X,O,X
TZILSJO,O,O,O,X,X,X,X,O,O,X
TZILSOJ,O,X,O,X,X,X,O,O,O,X
TZILOJS,O,O,X,O,X,X,O,X,O,X
TZILOSJ,O,X,X,O,X,X,O,X,O,X
TZIJLSO,X,O,O,X,O,O,X,O,O,X
TZIJLOS,O,O,X,O,O,O,O,X,O,X
TZIJSLO,X,X,O,X,O,X,X,O,O,X
TZIJSOL,X,O,O,O,O,O,X,X,O,X
TZIJOLS,O,O,X,O,O,O,O,X,X,X
TZIJOSL,X,O,O,O,O,O,X,X,O,X
TZISLJO,X,X,O,X,O,X,X,O,O,X
TZISLOJ,O,X,O,X,O,X,O,O,X,X
TZISJLO,X,X,O,X,O,X,X,X,O,X
TZISJOL,X,O,O,X,O,O,X,X,O,X
TZISOLJ,O,X,O,O,O,X,O,X,X,X
TZISOJL,X,X,X,X,X,X,X,X,O,X
TZIOLJS,O,X,X,O,X,X,O,X,X,X
TZIOLSJ,O,X,X,O,X,X,O,X,X,X
TZIOJLS,O,O,X,O,X,O,O,X,X,X
TZIOJSL,X,O,X,O,X,O,O,X,O,X
TZIOSLJ,O,X,O,O,O,X,O,X,X,X
TZIOSJL,O,X,X,X,X,X,X,X,O,X
TZLIJSO,X,O,X,X,X,O,O,O,O,X
TZLIJOS,O,O,X,X,X,O,O,X,O,X
TZLISJO,O,O,O,X,X,O,X,O,O,X
TZLISOJ,O,X,O,X,X,X,O,O,O,X
TZLIOJS,O,O,X,O,X,O,O,X,O,X
TZLIOSJ,O,X,X,O,X,X,O,X,O,X
TZLJISO,X,O,X,X,X,O,O,O,O,X
TZLJIOS,O,O,X,X,X,O,O,X,O,X
TZLJSIO,X,O,X,X,X,O,O,O,O,X
TZLJSOI,X,O,X,X,X,O,X,O,O,X
TZLJOIS,X,O,X,X,X,O,O,X,O,X
TZLJOSI,X,O,X,X,X,O,X,X,O,X
TZLSIJO,O,O,O,X,X,O,X,O,O,X
TZLSIOJ,O,X,O,X,X,X,O,O,O,X
TZLSJIO,O,O,O,X,X,O,X,O,O,X
TZLSJOI,X,O,O,X,X,O,X,O,O,X
TZLSOIJ,O,X,O,X,X,X,X,O,O,X
TZLSOJI,X,X,O,X,X,X,X,O,O,X
TZLOIJS,O,O,X,O,X,O,O,X,O,X
TZLOISJ,O,X,X,O,X,X,O,X,O,X
TZLOJIS,O,O,X,O,X,O,O,X,O,X
TZLOJSI,O,O,X,O,X,O,O,X,O,X
TZLOSIJ,O,X,X,O,X,X,O,X,O,X
TZLOSJI,O,X,X,O,X,X,O,X,O,X
TZJILSO,X,O,O,X,O,O,O,O,O,X
TZJILOS,O,O,X,O,O,O,O,X,O,X
TZJISLO,X,X,O,X,O,X,O,O,O,X
TZJISOL,X,O,O,O,O,O,O,X,O,X
TZJIOLS,O,O,X,O,O,O,O,X,X,X
TZJIOSL,X,O,O,O,O,O,O,X,O,X
TZJLISO,X,O,O,X,O,O,O,O,O,X
TZJLIOS,O,O,X,O,O,O,O,X,O,X
TZJLSIO,X,O,O,X,O,O,O,O,O,X
TZJLSOI,X,O,O,X,O,O,X,O,O,X
TZJLOIS,X,O,X,O,O,O,O,X,O,X
TZJLOSI,X,O,X,O,O,O,O,X,O,X
TZJSILO,X,X,O,X,O,X,O,O,O,X
TZJSIOL,X,O,O,O,O,O,O,X,O,X
TZJSLIO,X,X,O,X,O,O,O,O,O,X
TZJSLOI,X,X,O,X,O,O,X,O,O,X
TZJSOIL,X,O,O,O,O,O,O,X,O,O
TZJSOLI,X,O,O,O,O,O,O,X,O,O
TZJOILS,O,O,X,O,O,O,O,X,X,X
TZJOISL,X,O,O,O,O,O,O,X,O,X
TZJOLIS,O,O,X,O,O,O,O,X,X,X
TZJOLSI,O,O,X,O,O,O,O,X,X,O
TZJOSIL,O,O,O,O,O,O,O,X,O,O
TZJOSLI,O,O,O,O,O,O,O,X,O,O
TZSILJO,O,X,O,X,O,X,X,O,O,X
TZSILOJ,O,X,O,X,O,X,O,O,X,X
TZSIJLO,O,X,O,X,O,X,X,X,O,X
TZSIJOL,O,O,O,X,O,O,X,X,O,X
TZSIOLJ,O,X,O,O,O,X,O,X,X,X
TZSIOJL,O,X,X,X,X,X,X,X,O,X
TZSLIJO,O,X,O,X,O,X,X,O,O,X
TZSLIOJ,O,X,O,X,O,X,O,O,X,X
TZSLJIO,O,X,O,X,O,X,X,O,O,X
TZSLJOI,X,X,O,X,O,X,X,O,O,X
TZSLOIJ,O,X,O,X,O,X,X,O,X,X
TZSLOJI,O,X,O,X,X,X,X,O,X,X
TZSJILO,O,X,O,X,O,X,X,X,O,X
TZSJIOL,O,O,O,X,O,O,X,X,O,X
TZSJLIO,O,X,O,X,O,O,X,X,O,X
TZSJLOI,X,X,O,X,O,O,X,X,O,X
TZSJOIL,O,O,O,X,O,O,X,X,O,X
TZSJOLI,O,O,O,X,O,O,X,X,O,X
TZSOILJ,O,X,O,O,O,X,O,X,X,X
TZSOIJL,O,X,X,X,X,X,X,X,O,X
TZSOLIJ,O,X,O,O,O,X,O,X,X,X
TZSOLJI,O,X,O,O,X,X,O,X,X,X
TZSOJIL,O,X,X,X,X,X,O,X,O,X
TZSOJLI,O,X,X,X,X,X,O,X,O,X
TZOILJS,O,X,X,O,X,X,O,X,X,X
TZOILSJ,O,X,X,O,X,X,O,X,X,X
TZOIJLS,O,O,X,O,X,O,O,X,X,X
TZOIJSL,X,O,X,O,X,O,O,X,O,X
TZOISLJ,O,X,O,O,O,X,O,X,X,X
TZOISJL,O,X,X,X,X,X,X,X,O,X
TZOLIJS,O,X,X,O,X,X,O,X,X,X
TZOLISJ,O,X,X,O,X,X,O,X,X,X
TZOLJIS,O,X,X,O,X,X,O,X,X,X
TZOLJSI,O,X,X,O,X,X,O,X,X,O
TZOLSIJ,O,X,X,O,X,X,O,X,X,X
TZOLSJI,O,X,X,O,X,X,O,X,X,X
TZOJILS,O,O,X,O,X,O,O,X,X,X
TZOJISL,X,O,X,O,X,O,O,X,O,X
TZOJLIS,O,O,X,O,X,O,O,X,X,X
TZOJLSI,O,O,X,O,X,O,O,X,X,O
TZOJSIL,O,O,X,O,X,O,O,X,O,O
TZOJSLI,O,O,X,O,X,O,O,X,O,O
TZOSILJ,O,X,O,O,O,X,O,X,X,X
TZOSIJL,O,X,X,X,X,X,X,X,O,X
TZOSLIJ,O,X,O,O,O,X,O,X,X,X
TZOSLJI,O,X,O,O,X,X,O,X,X,X
TZOSJIL,O,X,X,X,X,X,O,X,O,X
TZOSJLI,O,X,X,X,X,X,O,X,O,X
TOILJSZ,X,X,X,X,X,X,O,O,X,X
TOILJZS,X,X,X,O,X,X,O,X,X,X
TOILSJZ,O,X,X,X,O,X,X,X,X,X
TOILSZJ,O,X,X,X,O,X,O,O,X,X
TOILZJS,O,X,X,O,X,X,O,X,X,X
TOILZSJ,O,X,X,O,X,X,O,X,X,X
TOIJLSZ,X,X,X,X,O,X,O,O,X,X
TOIJLZS,X,X,X,O,X,O,O,X,X,X
TOIJSLZ,X,X,X,X,O,X,O,O,X,X
TOIJSZL,X,X,X,X,O,O,O,X,X,X
TOIJZLS,X,X,X,O,O,O,O,X,X,X
TOIJZSL,X,X,X,O,O,O,O,X,X,X
TOISLJZ,O,X,X,X,O,X,X,X,X,X
TOISLZJ,O,X,X,X,O,X,O,O,X,X
TOISJLZ,O,X,X,X,O,X,X,X,X,X
TOISJZL,O,X,X,X,O,X,X,X,X,X
TOISZLJ,O,X,X,X,O,X,O,X,X,X
TOISZJL,O,X,X,X,X,X,X,X,O,X
TOIZLJS,O,X,X,O,X,X,O,X,X,X
TOIZLSJ,O,X,X,O,X,X,O,X,X,X
TOIZJLS,O,X,X,O,X,O,O,X,X,X
TOIZJSL,X,X,X,O,X,O,O,X,O,X
TOIZSLJ,O,X,X,O,O,X,O,X,X,X
TOIZSJL,O,X,X,X,X,X,X,X,O,X
TOLIJSZ,X,X,X,X,X,X,O,O,X,X
TOLIJZS,X,X,X,O,X,X,O,X,X,X
TOLISJZ,O,X,X,X,O,X,X,X,X,X
TOLISZJ,O,X,X,X,O,X,O,O,X,X
TOLIZJS,O,X,X,O,X,X,O,X,X,X
TOLIZSJ,O,X,X,O,X,X,O,X,X,X
TOLJISZ,X,X,X,X,X,X,O,O,X,X
TOLJIZS,X,X,X,O,X,X,O,X,X,X
TOLJSIZ,O,X,X,X,X,X,O,O,X,O
TOLJSZI,O,X,X,O,X,X,O,O,X,O
TOLJZIS,O,X,X,O,X,X,O,X,X,X
TOLJZSI,O,X,X,O,X,X,O,X,X,O
TOLSIJZ,O,X,X,X,O,X,X,X,X,X
TOLSIZJ,O,X,X,X,O,X,O,O,X,X
TOLSJIZ,O,X,X,X,O,X,O,X,X,X
TOLSJZI,O,X,X,X,X,X,O,X,X,X
TOLSZIJ,O,X,X,O,O,X,O,O,X,X
TOLSZJI,O,X,X,O,X,X,O,O,X,X
TOLZIJS,O,X,X,O,X,X,O,X,X,X
TOLZISJ,O,X,X,O,X,X,O,X,X,X
TOLZJIS,O,X,X,O,X,X,O,X,X,X
TOLZJSI,O,X,X,O,X,X,O,X,X,O
TOLZSIJ,O,X,X,O,X,X,O,X,X,X
TOLZSJI,O,X,X,O,X,X,O,X,X,X
TOJILSZ,X,X,X,X,O,O,O,O,X,X
TOJILZS,X,X,X,O,X,O,O,X,X,X
TOJISLZ,X,X,X,X,O,X,O,O,X,X
TOJISZL,X,X,X,X,O,O,O,X,X,X
TOJIZLS,X,O,X,O,O,O,O,X,X,X
TOJIZSL,X,O,X,O,O,O,O,X,X,X
TOJLISZ,X,X,X,X,O,O,O,O,X,X
TOJLIZS,X,X,X,O,X,O,O,X,X,X
TOJLSIZ,O,X,X,X,O,O,O,O,X,O
TOJLSZI,O,X,X,O,O,O,O,O,X,O
TOJLZIS,O,O,X,O,X,O,O,X,X,X
TOJLZSI,O,O,X,O,X,O,O,X,X,O
TOJSILZ,O,X,X,X,O,X,O,O,X,O
TOJSIZL,O,X,X,X,O,O,O,X,X,O
TOJSLIZ,O,X,X,X,O,O,O,O,X,O
TOJSLZI,O,X,X,O,O,O,O,O,X,O
TOJSZIL,O,O,X,O,O,O,O,X,X,O
TOJSZLI,O,O,X,O,O,O,O,X,X,O
TOJZILS,O,O,X,O,O,O,O,X,X,X
TOJZISL,X,O,X,O,O,O,O,X,X,X
TOJZLIS,O,O,X,O,O,O,O,X,X,X
TOJZLSI,O,O,X,O,O,O,O,X,X,O
TOJZSIL,O,O,X,O,O,O,O,X,X,O
TOJZSLI,O,O,X,O,O,O,O,X,X,O
TOSILJZ,O,X,X,X,O,X,X,X,X,X
TOSILZJ,O,X,X,X,O,X,O,O,X,X
TOSIJLZ,O,X,X,X,O,X,X,X,X,X
TOSIJZL,O,X,X,X,O,X,X,X,X,X
TOSIZLJ,O,X,X,X,O,X,O,X,X,X
TOSIZJL,O,X,X,X,X,X,X,X,O,X
TOSLIJZ,O,X,X,X,O,X,X,X,X,X
TOSLIZJ,O,X,X,X,O,X,O,O,X,X
TOSLJIZ,O,X,X,X,O,X,O,X,X,X
TOSLJZI,O,X,X,X,O,X,O,X,X,X
TOSLZIJ,O,X,O,O,O,X,O,O,X,X
TOSLZJI,O,X,O,O,X,X,O,O,X,X
TOSJILZ,O,X,X,X,O,X,O,X,X,X
TOSJIZL,O,X,X,X,O,X,O,X,X,X
TOSJLIZ,O,X,X,X,O,X,O,X,X,X
TOSJLZI,O,X,X,X,O,X,O,X,X,X
TOSJZIL,O,X,X,X,O,X,O,X,X,X
TOSJZLI,O,X,X,X,O,X,O,X,X,X
TOSZILJ,O,X,O,O,O,X,O,X,X,X
TOSZIJL,O,X,X,X,X,X,X,X,O,X
TOSZLIJ,O,X,O,O,O,X,O,X,X,X
TOSZLJI,O,X,O,O,X,X,O,X,X,X
TOSZJIL,O,X,X,X,X,X,O,X,O,X
TOSZJLI,O,X,X,X,X,X,O,X,O,X
TOZILJS,O,X,X,O,X,X,O,X,X,X
TOZILSJ,O,X,X,O,X,X,O,X,X,X
TOZIJLS,O,O,X,O,X,O,O,X,X,X
TOZIJSL,X,O,X,O,X,O,O,X,O,X
TOZISLJ,O,X,O,O,O,X,O,X,X,X
TOZISJL,O,X,X,X,X,X,X,X,O,X
TOZLIJS,O,X,X,O,X,X,O,X,X,X
TOZLISJ,O,X,X,O,X,X,O,X,X,X
TOZLJIS,O,X,X,O,X,X,O,X,X,X
TOZLJSI,O,X,X,O,X,X,O,X,X,O
TOZLSIJ,O,X,X,O,X,X,O,X,X,X
TOZLSJI,O,X,X,O,X,X,O,X,X,X
TOZJILS,O,O,X,O,X,O,O,X,X,X
TOZJISL,X,O,X,O,X,O,O,X,O,X
TOZJLIS,O,O,X,O,X,O,O,X,X,X
TOZJLSI,O,O,X,O,X,O,O,X,X,O
TOZJSIL,O,O,X,O,X,O,O,X,O,O
TOZJSLI,O,O,X,O,X,O,O,X,O,O
TOZSILJ,O,X,O,O,O,X,O,X,X,X
TOZSIJL,O,X,X,X,X,X,X,X,O,X
TOZSLIJ,O,X,O,O,O,X,O,X,X,X
TOZSLJI,O,X,O,O,X,X,O,X,X,X
TOZSJIL,O,X,X,X,X,X,O,X,O,X
TOZSJLI,O,X,X,X,X,X,O,X,O,X
ITLJSZO,X,X,X,X,O,X,X,O,O,X
ITLJSOZ,X,X,X,X,O,X,X,O,X,X
ITLJZSO,X,O,X,X,O,X,X,O,O,X
ITLJZOS,X,O,X,X,O,O,O,X,O,X
ITLJOSZ,X,X,X,X,O,X,X,O,X,X
ITLJOZS,X,O,X,X,X,O,X,X,X,X
ITLSJZO,X,X,X,X,O,X,X,O,O,X
ITLSJOZ,X,X,X,X,O,X,X,O,X,X
ITLSZJO,X,X,X,X,O,X,X,O,O,X
ITLSZOJ,X,X,X,X,O,X,O,O,O,X
ITLSOJZ,X,X,X,X,O,X,X,X,X,X
ITLSOZJ,X,X,X,X,O,X,X,O,O,X
ITLZJSO,X,O,X,X,X,X,X,O,O,X
ITLZJOS,O,O,X,X,X,O,O,X,O,X
ITLZSJO,X,O,X,X,X,X,X,O,O,X
ITLZSOJ,O,X,X,X,X,X,O,O,O,X
ITLZOJS,O,O,X,X,X,X,O,X,O,X
ITLZOSJ,O,X,X,X,X,X,O,X,O,X
ITLOJSZ,X,X,X,X,X,X,X,O,X,X
ITLOJZS,X,X,X,X,X,X,O,X,X,X
ITLOSJZ,X,X,X,X,O,X,X,X,X,X
ITLOSZJ,X,X,X,X,O,X,O,O,O,X
ITLOZJS,X,X,X,X,X,X,O,X,O,X
ITLOZSJ,X,X,X,X,X,X,O,X,O,X
ITJLSZO,X,X,X,X,O,O,X,O,X,X
ITJLSOZ,X,X,X,X,O,O,X,O,X,X
ITJLZSO,X,O,X,X,O,O,X,O,X,X
ITJLZOS,X,O,X,X,O,O,O,X,X,X
ITJLOSZ,X,X,X,X,O,O,X,O,X,X
ITJLOZS,X,O,X,X,X,O,X,X,X,X
ITJSLZO,X,X,O,X,O,X,X,O,X,X
ITJSLOZ,X,X,X,X,O,X,X,O,X,X
ITJSZLO,X,X,O,X,O,X,X,O,O,X
ITJSZOL,X,X,O,X,O,O,X,X,O,X
ITJSOLZ,X,X,X,X,O,X,X,O,X,X
ITJSOZL,X,X,X,X,O,O,X,X,X,X
ITJZLSO,X,O,O,X,O,O,X,O,O,X
ITJZLOS,X,O,X,O,O,O,O,X,X,X
ITJZSLO,X,X,O,X,O,X,X,O,O,X
ITJZSOL,X,O,O,O,O,O,X,X,O,X
ITJZOLS,X,O,X,O,O,O,O,X,X,X
ITJZOSL,X,O,O,O,O,O,X,X,O,X
ITJOLSZ,X,X,X,X,O,O,X,O,X,X
ITJOLZS,X,O,X,O,X,O,O,X,X,X
ITJOSLZ,X,X,X,X,O,X,X,O,X,X
ITJOSZL,X,X,X,X,O,O,X,X,X,X
ITJOZLS,X,O,X,O,O,O,O,X,X,X
ITJOZSL,X,O,X,O,O,O,X,X,X,X
ITSLJZO,X,X,O,X,O,X,X,O,X,X
ITSLJOZ,X,X,X,X,O,X,X,O,X,X
ITSLZJO,X,X,O,X,O,X,X,O,O,X
ITSLZOJ,X,X,O,X,O,X,O,O,X,X
ITSLOJZ,X,X,X,X,O,X,X,X,X,X
ITSLOZJ,X,X,X,X,O,X,X,O,X,X
ITSJLZO,X,X,O,X,O,X,X,O,X,X
ITSJLOZ,X,X,X,X,O,X,X,O,X,X
ITSJZLO,X,X,O,X,O,X,X,O,O,X
ITSJZOL,X,X,O,X,O,O,X,X,O,X
ITSJOLZ,X,X,X,X,O,X,X,O,X,X
ITSJOZL,X,X,X,X,O,O,X,X,X,X
ITSZLJO,X,X,O,X,O,X,X,O,O,X
ITSZLOJ,X,X,O,X,O,X,O,O,X,X
ITSZJLO,X,X,O,X,O,X,X,X,O,X
ITSZJOL,X,X,O,X,O,O,X,X,O,X
ITSZOLJ,X,X,O,X,O,X,O,X,X,X
ITSZOJL,X,X,X,X,X,X,X,X,O,X
ITSOLJZ,X,X,X,X,O,X,X,X,X,X
ITSOLZJ,X,X,X,X,O,X,O,O,X,X
ITSOJLZ,X,X,X,X,O,X,X,X,X,X
ITSOJZL,X,X,X,X,O,X,X,X,X,X
ITSOZLJ,X,X,X,X,O,X,O,X,X,X
ITSOZJL,X,X,X,X,X,X,X,X,O,X
ITZLJSO,X,O,X,X,X,X,X,O,O,X
ITZLJOS,O,O,X,X,X,O,O,X,O,X
ITZLSJO,X,O,O,X,X,X,X,O,O,X
ITZLSOJ,O,X,O,X,X,X,O,O,O,X
ITZLOJS,O,O,X,O,X,X,O,X,O,X
ITZLOSJ,O,X,X,O,X,X,O,X,O,X
ITZJLSO,X,O,O,X,O,O,X,O,O,X
ITZJLOS,O,O,X,O,O,O,O,X,O,X
ITZJSLO,X,X,O,X,O,X,X,O,O,X
ITZJSOL,X,O,O,O,O,O,X,X,O,X
ITZJOLS,O,O,X,O,O,O,O,X,X,X
ITZJOSL,X,O,O,O,O,O,X,X,O,X
ITZSLJO,X,X,O,X,O,X,X,O,O,X
ITZSLOJ,O,X,O,X,O,X,O,O,X,X
ITZSJLO,X,X,O,X,O,X,X,X,O,X
ITZSJOL,X,O,O,X,O,O,X,X,O,X
ITZSOLJ,O,X,O,O,O,X,O,X,X,X
ITZSOJL,X,X,X,X,X,X,X,X,O,X
ITZOLJS,O,X,X,O,X,X,O,X,X,X
ITZOLSJ,O,X,X,O,X,X,O,X,X,X
ITZOJLS,O,O,X,O,X,O,O,X,X,X
ITZOJSL,X,O,X,O,X,O,O,X,O,X
ITZOSLJ,O,X,O,O,O,X,O,X,X,X
ITZOSJL,O,X,X,X,X,X,X,X,O,X
ITOLJSZ,X,X,X,X,X,X,O,O,X,X
ITOLJZS,X,X,X,O,X,X,O,X,X,X
ITOLSJZ,O,X,X,X,O,X,X,X,X,X
ITOLSZJ,O,X,X,X,O,X,O,O,X,X
ITOLZJS,O,X,X,O,X,X,O,X,X,X
ITOLZSJ,O,X,X,O,X,X,O,X,X,X
ITOJLSZ,X,X,X,X,O,X,O,O,X,X
ITOJLZS,X,X,X,O,X,O,O,X,X,X
ITOJSLZ,X,X,X,X,O,X,O,O,X,X
ITOJSZL,X,X,X,X,O,O,O,X,X,X
ITOJZLS,X,X,X,O,O,O,O,X,X,X
ITOJZSL,X,X,X,O,O,O,O,X,X,X
ITOSLJZ,O,X,X,X,O,X,X,X,X,X
ITOSLZJ,O,X,X,X,O,X,O,O,X,X
ITOSJLZ,O,X,X,X,O,X,X,X,X,X
ITOSJZL,O,X,X,X,O,X,X,X,X,X
ITOSZLJ,O,X,X,X,O,X,O,X,X,X
ITOSZJL,O,X,X,X,X,X,X,X,O,X
ITOZLJS,O,X,X,O,X,X,O,X,X,X
ITOZLSJ,O,X,X,O,X,X,O,X,X,X
ITOZJLS,O,X,X,O,X,O,O,X,X,X
ITOZJSL,X,X,X,O,X,O,O,X,O,X
ITOZSLJ,O,X,X,O,O,X,O,X,X,X
ITOZSJL,O,X,X,X,X,X,X,X,O,X
ILTJSZO,X,X,X,X,O,O,X,O,O,X
ILTJSOZ,X,X,X,X,O,O,X,O,X,X
ILTJZSO,X,O,X,X,O,O,X,O,O,X
ILTJZOS,X,O,X,X,O,O,O,X,O,X
ILTJOSZ,X,X,X,X,O,O,X,O,X,X
ILTJOZS,X,O,X,X,X,O,X,X,X,X
ILTSJZO,X,X,X,X,O,O,X,O,O,X
ILTSJOZ,X,X,X,X,O,O,X,O,X,X
ILTSZJO,X,X,X,X,O,O,X,O,O,X
ILTSZOJ,X,X,X,X,O,X,O,O,O,X
ILTSOJZ,X,X,X,X,O,X,X,X,X,X
ILTSOZJ,X,X,X,X,O,X,X,O,O,X
ILTZJSO,X,O,X,X,X,O,X,O,O,X
ILTZJOS,O,O,X,X,X,O,O,X,O,X
ILTZSJO,X,O,X,X,X,O,X,O,O,X
ILTZSOJ,O,X,X,X,X,X,O,O,O,X
ILTZOJS,O,O,X,X,X,O,O,X,O,X
ILTZOSJ,O,X,X,X,X,X,O,X,O,X
ILTOJSZ,X,X,X,X,X,O,X,O,X,X
ILTOJZS,X,X,X,X,X,O,X,X,X,X
ILTOSJZ,X,X,X,X,O,X,X,X,X,X
ILTOSZJ,X,X,X,X,O,X,X,O,O,X
ILTOZJS,X,X,X,X,X,O,O,X,O,X
ILTOZSJ,X,X,X,X,X,X,O,X,O,X
ILJTSZO,X,X,X,X,O,O,O,O,O,X
ILJTSOZ,X,X,X,X,O,O,X,O,X,X
