sequence,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BCeBTjBllBXrBGrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFzd?B+jBUgBFhBXmBSwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFfj?B6jBUgBFhBTmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFCe?BUgBFhBTjBGrBXrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFTc?BfjB6jBFgBUmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BzdB+jB1lBXmBSwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BCeB1lBTjBGrBXrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFSj?BFgBXhBUjBTmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFGe?BFgBXhBUjBCrBTrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFCe?B3gBTjBerB5mBlqB
TIZOJLS,O,O,X,O,X,O,O,X,X,X
TIZOJSL,X,O,X,O,X,O,O,X,O,X
TIZOSLJ,O,X,O,O,O,X,O,X,X,X
TIZOSJL,O,X,X,X,X,X,X,X,O,X
TIOLJSZ,X,X,X,X,X,X,O,O,X,X
TIOLJZS,X,X,X,O,X,X,O,X,X,X
TIOLSJZ,O,X,X,X,O,X,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,O,O,X,X
TIOLZJS,O,X,X,O,X,X,O,X,X,X
TIOLZSJ,O,X,X,O,X,X,O,X,X,X
TIOJLSZ,X,X,X,X,O,X,O,O,X,X
TIOJLZS,X,X,X,O,X,O,O,X,X,X
TIOJSLZ,X,X,X,X,O,X,O,O,X,X
TIOJSZL,X,X,X,X,O,O,O,X,X,X
TIOJZLS,X,X,X,O,O,O,O,X,X,X
TIOJZSL,X,X,X,O,O,O,O,X,X,X
TIOSLJZ,O,X,X,X,O,X,X,X,X,X
TIOSLZJ,O,X,X,X,O,X,O,O,X,X
TIOSJLZ,O,X,X,X,O,X,X,X,X,X
TIOSJZL,O,X,X,X,O,X,X,X,X,X
TIOSZLJ,O,X,X,X,O,X,O,X,X,X
TIOSZJL,O,X,X,X,X,X,X,X,O,X
TIOZLJS,O,X,X,O,X,X,O,X,X,X
TIOZLSJ,O,X,X,O,X,X,O,X,X,X
TIOZJLS,O,X,X,O,X,O,O,X,X,X
TIOZJSL,X,X,X,O,X,O,O,X,O,X
TIOZSLJ,O,X,X,O,O,X,O,X,X,X
TIOZSJL,O,X,X,X,X,X,X,X,O,X
TLIJSZO,X,X,X,X,O,O,X,O,O,X
TLIJSOZ,X,X,X,X,O,O,X,O,X,X
TLIJZSO,X,O,X,X,O,O,X,O,O,X
TLIJZOS,X,O,X,X,O,O,O,X,O,X
TLIJOSZ,X,X,X,X,O,O,X,O,X,X
TLIJOZS,X,O,X,X,X,O,X,X,X,X
TLISJZO,X,X,X,X,O,O,X,O,O,X
TLISJOZ,X,X,X,X,O,O,X,O,X,X
TLISZJO,X,X,X,X,O,O,X,O,O,X
TLISZOJ,X,X,X,X,O,X,O,O,O,X
TLISOJZ,X,X,X,X,O,X,X,X,X,X
TLISOZJ,X,X,X,X,O,X,X,O,O,X
TLIZJSO,X,O,X,X,X,O,X,O,O,X
TLIZJOS,O,O,X,X,X,O,O,X,O,X
TLIZSJO,X,O,X,X,X,O,X,O,O,X
TLIZSOJ,O,X,X,X,X,X,O,O,O,X
TLIZOJS,O,O,X,X,X,O,O,X,O,X
TLIZOSJ,O,X,X,X,X,X,O,X,O,X
TLIOJSZ,X,X,X,X,X,O,X,O,X,X
TLIOJZS,X,X,X,X,X,O,O,X,X,X
TLIOSJZ,X,X,X,X,O,X,X,X,X,X
TLIOSZJ,X,X,X,X,O,X,O,O,O,X
TLIOZJS,X,X,X,X,X,O,O,X,O,X
TLIOZSJ,X,X,X,X,X,X,O,X,O,X
TLJISZO,X,X,X,X,O,O,O,O,O,X
TLJISOZ,X,X,X,X,O,O,X,O,X,X
TLJIZSO,X,O,X,X,O,O,O,O,O,X
TLJIZOS,X,O,X,X,O,O,O,X,O,X
TLJIOSZ,X,X,X,X,O,O,X,O,X,X
TLJIOZS,X,O,X,X,X,O,O,X,X,X
TLJSIZO,X,X,X,X,O,O,O,O,O,X
TLJSIOZ,X,X,X,X,O,O,X,O,X,X
TLJSZIO,X,O,X,X,O,O,O,O,O,X
TLJSZOI,X,O,X,X,O,O,X,O,O,X
TLJSOIZ,X,X,X,X,O,O,X,O,X,X
TLJSOZI,X,O,X,X,O,O,X,O,X,X
TLJZISO,X,O,X,X,O,O,O,O,O,X
TLJZIOS,O,O,X,X,O,O,O,X,O,X
TLJZSIO,X,O,X,X,O,O,O,O,O,X
TLJZSOI,X,O,X,X,O,O,X,O,O,X
TLJZOIS,X,O,X,X,O,O,O,X,O,X
TLJZOSI,X,O,X,X,O,O,X,X,O,X
TLJOISZ,X,X,X,X,O,O,X,O,X,X
TLJOIZS,X,O,X,X,X,O,O,X,X,X
TLJOSIZ,X,X,X,X,O,O,X,O,X,X
TLJOSZI,X,O,X,X,O,O,X,O,X,X
TLJOZIS,X,O,X,X,X,O,O,X,X,X
TLJOZSI,X,O,X,X,X,O,X,X,X,X
TLSIJZO,X,X,X,X,O,O,X,O,O,X
TLSIJOZ,X,X,X,X,O,O,X,O,X,X
TLSIZJO,O,X,O,X,O,O,X,O,O,X
TLSIZOJ,O,X,O,X,O,X,O,O,O,X
TLSIOJZ,X,X,X,X,O,X,X,X,X,X
TLSIOZJ,X,X,X,X,O,X,X,O,O,X
TLSJIZO,X,X,X,X,O,O,X,O,O,X
TLSJIOZ,X,X,X,X,O,O,X,O,X,X
TLSJZIO,O,O,O,X,O,O,X,O,O,X
TLSJZOI,X,O,O,X,O,O,X,O,O,X
TLSJOIZ,X,X,X,X,O,O,X,O,X,X
TLSJOZI,X,O,X,X,O,O,X,O,X,X
TLSZIJO,O,O,O,X,O,O,X,O,O,X
TLSZIOJ,O,X,O,X,O,X,O,O,O,X
TLSZJIO,O,O,O,X,O,O,X,O,O,X
TLSZJOI,X,O,O,X,O,O,X,O,O,X
