sequence,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF6i?BTeBfmBlhB8rBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF8h?BSjBzgB3iBOtBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhFTd?BChBcoB/rBFnBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFTc?BxdBcoB/rBFnBmsB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je07IvhFTd?B6jBWnBZoBXhBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhFXd?BzgBSnBcoBlrBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF6i?BfmBlhBTjB8rBOtB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF8h?B+jBzgB3iBatBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je07IvhFxc?BTeBFmBXnBOtBCsB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFRd?BOnBTmBFoB/rBctB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFlc?BTeBxmBOtBcnB/rB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFTc?BxiBcoB/rBFnBmsB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Jex7IvhF6i?BfmBcoBzmBOtBlrB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8Je6AJvhFZh?B3dBzmBFoBurBctB,v115@zgB8HeC8GeC8GeD8CeA8AeF8AeB8AeA8JeRBJvhFcn?BTjBlgBCiB/rBOtB
TILJSZO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILJSOZ,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TILJZSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILJZOS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILJOSZ,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
TILJOZS,O,O,X,X,O,X,X,O,X,O,O,X,X,O,X
TILSJZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TILSZJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TILSOJZ,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
TILSOZJ,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
TILZJSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TILZOJS,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
TILZOSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TILOJSZ,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X
TILOJZS,X,O,X,X,O,O,X,O,X,O,X,X,X,O,X
TILOSJZ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
TILOSZJ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
TILOZJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
TILOZSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIJLSZO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJLSOZ,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TIJLZSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJLZOS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJLOSZ,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
TIJLOZS,O,O,X,X,O,X,X,O,X,O,O,X,X,O,X
TIJSLZO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X
TIJSZLO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIJSZOL,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIJSOLZ,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TIJSOZL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TIJZLSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TIJZSLO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIJZSOL,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIJZOLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TIJZOSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TIJOLSZ,O,O,X,X,O,O,X,X,X,O,O,X,X,O,X
TIJOLZS,O,O,X,X,O,O,X,O,X,O,O,X,X,O,X
TIJOSLZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TIJOSZL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TIJOZLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TIJOZSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TISLJZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TISLZJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TISLOJZ,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
TISLOZJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
TISJLZO,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TISJLOZ,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X
TISJZLO,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TISJZOL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TISJOLZ,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TISJOZL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TISZLJO,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TISZLOJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TISZJLO,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TISZJOL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TISZOLJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X
TISZOJL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOLJZ,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
TISOLZJ,X,X,O,X,X,O,X,X,X,X,X,O,O,O,X
TISOJLZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TISOJZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TISOZLJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X
TISOZJL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZLJSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZLSJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TIZLOJS,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
TIZLOSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZJLSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZJSLO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZJSOL,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIZJOLS,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TIZJOSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TIZSLJO,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIZSLOJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIZSJLO,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIZSJOL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZSOLJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X
TIZSOJL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOLJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
TIZOLSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZOJLS,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TIZOJSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOSJL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLJSZ,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X
TIOLJZS,X,O,X,X,O,O,X,O,X,O,X,X,X,O,X
TIOLSJZ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
TIOLSZJ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
TIOLZJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
TIOLZSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOJLSZ,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X
TIOJLZS,X,O,X,X,O,O,X,O,X,O,X,X,X,O,X
TIOJSLZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOJZLS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TIOJZSL,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
TIOSLZJ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
TIOSJLZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOSJZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOSZJL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZLJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
TIOZLSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZJLS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TIOZJSL,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZSJL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLIJSOZ,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TLIJZSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLIJZOS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLIJOSZ,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
TLIJOZS,O,O,X,X,O,X,X,O,X,O,O,X,X,O,X
TLISJZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLISZJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TLISOJZ,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
TLISOZJ,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
TLIZJSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TLIZOJS,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
TLIZOSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLIOJSZ,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X
TLIOJZS,X,O,X,X,O,O,X,O,X,O,X,X,X,O,X
TLIOSJZ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
TLIOSZJ,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
TLIOZJS,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
TLIOZSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLJISZO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLJISOZ,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TLJIZSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLJIZOS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TLJIOSZ,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
TLJIOZS,O,O,X,X,O,X,X,O,X,O,O,X,X,O,X
TLJSIZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSZOI,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
TLJSOIZ,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJSOZI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TLJZISO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJZSIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJZSOI,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
TLJZOIS,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X
TLJZOSI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TLJOISZ,O,O,X,X,O,O,X,X,X,O,O,X,X,O,X
TLJOIZS,O,O,X,X,O,O,X,O,X,O,O,X,X,O,X
TLJOSIZ,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJOSZI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TLJOZIS,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X
TLJOZSI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X
TLSIJZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLSIZJO,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
