sequence,v115@IhA8GeD8FeD8DeC8Jei/IvhF3gBcmBxiBdsBznBWwB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxhBOoBTnBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxhBOoBTnB0rBXrB,v115@IhA8GeD8FeD8DeC8Jei/IvhFThBXjBUrBRsB9qBOsB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxiBmmBznBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBTiBOoBxrBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxiBmmBznB0rBXrB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9mBxiB0lBmnBXsBzqB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBOoBxmBTnBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBOoBxmBTnB0rBXrB
TILJSZO,O,X,X,X,X,O,X,O,O,X
TILJSOZ,X,O,X,X,X,O,X,O,O,X
TILJZSO,O,X,X,X,X,O,X,O,X,O
TILJZOS,O,X,O,X,X,O,X,X,X,O
TILJOSZ,O,O,O,X,O,O,X,X,X,X
TILJOZS,O,O,O,X,X,O,O,X,X,X
TILSJZO,O,X,X,X,X,O,X,O,O,X
TILSJOZ,X,O,X,X,O,O,X,O,O,X
TILSZJO,O,X,X,O,X,X,X,O,O,X
TILSZOJ,O,X,X,O,X,X,X,X,X,X
TILSOJZ,X,O,X,X,O,O,X,X,O,X
TILSOZJ,X,O,X,X,O,X,O,X,X,X
TILZJSO,O,X,X,O,X,O,X,O,X,O
TILZJOS,O,X,O,O,X,O,O,X,X,O
TILZSJO,O,X,X,O,X,X,X,O,X,O
TILZSOJ,O,X,X,O,X,X,X,X,X,X
TILZOJS,O,X,O,O,X,O,O,X,X,O
TILZOSJ,O,X,O,O,O,X,O,X,X,X
TILOJSZ,O,O,O,X,O,O,X,X,X,X
TILOJZS,O,O,O,X,X,O,O,X,X,X
TILOSJZ,O,O,O,X,O,O,X,X,X,X
TILOSZJ,O,O,X,X,O,X,O,X,X,X
TILOZJS,O,O,O,X,X,O,O,X,X,X
TILOZSJ,O,X,O,X,O,X,O,X,X,X
TIJLSZO,O,X,X,X,X,O,X,O,O,X
TIJLSOZ,X,O,X,X,X,O,X,O,O,X
TIJLZSO,O,X,X,X,X,O,X,O,X,O
TIJLZOS,O,X,O,X,X,O,X,X,X,O
TIJLOSZ,O,O,O,X,O,O,X,X,X,X
TIJLOZS,O,O,O,X,X,O,O,X,X,X
TIJSLZO,O,X,X,X,X,O,X,O,O,X
TIJSLOZ,X,O,X,X,X,O,X,O,O,X
TIJSZLO,O,X,X,X,X,O,X,O,O,X
TIJSZOL,O,X,X,X,X,O,X,O,X,X
TIJSOLZ,X,O,X,X,X,O,X,O,O,X
TIJSOZL,X,O,X,X,X,O,X,O,X,X
TIJZLSO,O,X,X,X,X,O,X,O,X,O
TIJZLOS,O,X,O,X,X,O,X,X,X,O
TIJZSLO,O,X,X,X,X,O,X,O,X,O
TIJZSOL,O,X,X,X,X,O,X,O,X,X
TIJZOLS,O,X,O,X,X,O,X,X,X,O
TIJZOSL,O,X,O,X,X,O,X,X,X,X
TIJOLSZ,O,O,O,X,O,O,X,X,X,X
TIJOLZS,O,O,O,X,X,O,O,X,X,X
TIJOSLZ,O,O,O,X,O,O,X,X,X,X
TIJOSZL,O,O,X,X,O,O,X,X,X,X
TIJOZLS,O,O,O,X,X,O,O,X,X,X
TIJOZSL,O,X,O,X,X,O,O,X,X,X
TISLJZO,O,X,X,X,X,O,X,O,O,X
TISLJOZ,X,O,X,X,O,O,X,O,O,X
TISLZJO,O,X,X,O,X,X,X,O,O,X
TISLZOJ,O,X,X,O,X,X,X,X,X,X
TISLOJZ,X,O,X,X,O,O,X,X,O,X
TISLOZJ,X,O,X,X,O,X,O,X,X,X
TISJLZO,O,X,X,X,X,O,X,O,O,X
TISJLOZ,X,O,X,X,O,O,X,O,O,X
TISJZLO,O,X,X,X,X,O,X,O,O,X
TISJZOL,O,X,X,X,X,O,X,O,X,X
TISJOLZ,X,O,X,X,O,O,X,O,O,X
TISJOZL,X,O,X,X,O,O,X,O,X,X
TISZLJO,O,X,X,O,X,X,X,O,O,X
TISZLOJ,O,X,X,O,X,X,X,X,X,X
TISZJLO,O,X,X,O,X,X,X,O,O,X
TISZJOL,X,X,X,O,X,X,X,O,X,X
TISZOLJ,O,X,X,O,X,X,X,X,X,X
TISZOJL,X,X,X,O,X,X,X,X,X,X
TISOLJZ,X,O,X,X,O,O,X,X,O,X
TISOLZJ,X,O,X,X,O,X,O,X,X,X
TISOJLZ,X,O,X,X,O,O,X,X,O,X
TISOJZL,X,O,X,X,O,O,X,X,X,X
TISOZLJ,X,O,X,X,O,X,O,X,X,X
TISOZJL,X,O,X,X,O,X,O,X,X,X
TIZLJSO,O,X,X,O,X,O,X,O,X,O
TIZLJOS,O,X,O,O,X,O,O,X,X,O
TIZLSJO,O,X,X,O,X,X,X,O,X,O
