sequence,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBTeB?GiBlmBXoBSyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBTeB?lmBftB6tBGsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBGiB?/oBlmBzsB6tB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBGiB?TjBlmBXoBSyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFumB3iB?5oBihBFjBzsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhF+iBKjB?3hB5oBlmBzsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFzdBumB?lnBXtB5oBirB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFSiBTjB?xmBlmBGtBXtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFTjBxmB?6mBGtB/sBFtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFCeB3hB?xnBToBlmBWyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhF6jBRiB?/mBFiBusBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFzdB3hB?6sBOtB5oBlrB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFSjB3hB?xnBlmBusBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFWjB3hB?xnBlmBCtBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFGeB3hB?xnBznBlmBSyB
TISZLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TISZJLO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TISZJOL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TISZOLJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TISZOJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TISOJLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TISOZJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIZLSJO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TIZLSOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZLOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIZJSLO,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TIZJSOL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TIZJOLS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TIZJOSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TIZSLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZSJLO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TIZSOLJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZSOJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
