sequence,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhF0cBTeB6kBl?gB/qBOrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhF0cBTeB6kBl?gB2qBXrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhFTeB6kB0gBl?hB/qBOrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Je//IvhFUbBTeBlhBR?qBmqBCrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhFTeB6kB0gBl?hB2qBXrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jem6IvhFTeB0fBlhBR?qBfrBCrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Je//IvhF0cBTeBigBR?qBFrBGqB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jem6IvhF0cBTeB6kBx?lBlqBfrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex7IvhFTeBmfBfmBl?hB6kB0qB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Jex6IvhF0cBTeB6kB/?qBFmBmqB,v115@5gB8IeA8BeA8EeE8DeH8BeE8JeU7IvhFTeBlhBRlB/?kBmqBCrB,v115@5gB8IeA8BeA8EeE8DeH8BeE8Je//IvhFUbB1hBTeBx?lBarBGqB
TILJSZO,X,X,X,O,X,X,O,O,X,X,X,O
TILJSOZ,X,X,X,O,X,X,O,O,X,X,X,O
TILJZSO,X,X,X,X,O,X,O,O,X,X,X,X
TILJZOS,X,X,X,X,O,X,O,O,X,X,X,X
TILJOSZ,X,X,X,O,X,X,O,O,X,X,X,O
TILJOZS,X,X,X,X,O,X,O,O,X,X,X,X
TILSJZO,X,X,X,O,X,X,O,O,X,X,X,O
TILSJOZ,X,X,X,O,X,X,O,O,X,X,X,O
TILSZJO,X,X,O,X,X,O,O,O,X,X,X,X
TILSZOJ,X,X,O,O,X,O,O,O,X,X,X,O
TILSOJZ,X,X,X,O,X,X,O,O,X,X,X,O
TILSOZJ,X,X,O,O,X,O,O,O,X,X,X,O
TILZJSO,X,X,X,X,X,X,O,O,X,X,X,X
TILZJOS,X,X,X,X,X,X,O,O,X,X,X,X
TILZSJO,X,X,X,X,X,X,O,O,X,X,X,X
TILZSOJ,X,X,X,X,X,X,O,O,X,X,X,X
TILZOJS,X,X,X,X,X,X,O,O,X,X,X,X
TILZOSJ,X,X,X,X,X,X,O,O,X,X,X,X
TILOJSZ,X,X,X,O,X,X,O,O,X,X,X,O
TILOJZS,X,X,X,X,O,X,O,O,X,X,X,X
TILOSJZ,X,X,X,O,X,X,O,O,X,X,X,O
TILOSZJ,X,X,O,O,X,O,O,O,X,X,X,O
TILOZJS,X,X,X,X,X,X,O,O,X,X,X,X
TILOZSJ,X,X,X,X,X,X,O,O,X,X,X,X
TIJLSZO,X,X,X,O,X,X,O,O,X,X,O,O
TIJLSOZ,X,X,X,O,X,X,O,O,X,X,O,O
TIJLZSO,X,X,X,X,O,X,O,O,X,X,X,X
TIJLZOS,X,X,X,X,O,X,O,O,X,X,X,X
TIJLOSZ,X,X,X,O,X,X,O,O,X,X,O,O
TIJLOZS,X,X,X,X,O,X,O,O,X,X,X,X
TIJSLZO,X,X,X,O,X,X,O,X,X,X,O,O
TIJSLOZ,X,X,X,O,X,X,O,X,X,X,O,O
TIJSZLO,X,X,X,O,X,O,O,X,X,X,O,O
TIJSZOL,X,X,X,O,X,O,O,X,X,X,O,O
TIJSOLZ,X,X,X,O,X,X,O,X,X,X,O,O
TIJSOZL,X,X,X,O,X,O,O,X,X,X,O,O
TIJZLSO,X,X,X,X,O,X,O,X,X,X,X,X
TIJZLOS,X,X,X,X,O,X,O,X,X,X,X,X
TIJZSLO,X,X,X,O,X,X,O,X,X,X,O,O
TIJZSOL,X,X,X,O,X,X,O,X,X,X,O,O
TIJZOLS,X,X,X,X,O,X,O,X,X,X,X,X
TIJZOSL,X,X,X,O,X,X,O,X,X,X,O,O
TIJOLSZ,X,X,X,O,X,X,O,O,X,X,O,O
TIJOLZS,X,X,X,X,O,X,O,O,X,X,X,X
TIJOSLZ,X,X,X,O,X,X,O,X,X,X,O,O
TIJOSZL,X,X,X,O,X,O,O,X,X,X,O,O
TIJOZLS,X,X,X,X,O,X,O,X,X,X,X,X
TIJOZSL,X,X,X,O,X,X,O,X,X,X,O,O
TISLJZO,X,X,X,O,X,X,O,O,X,X,X,O
TISLJOZ,X,X,X,O,X,X,O,O,X,X,X,O
TISLZJO,X,X,O,X,X,O,O,O,X,X,X,X
TISLZOJ,X,X,O,O,X,O,O,O,X,X,X,O
TISLOJZ,X,X,X,O,X,X,O,O,X,X,X,O
TISLOZJ,X,X,O,O,X,O,O,O,X,X,X,O
TISJLZO,X,X,X,O,X,X,O,X,X,X,X,O
TISJLOZ,X,X,X,O,X,X,O,X,X,X,X,O
TISJZLO,X,X,X,O,X,O,O,X,X,X,X,O
TISJZOL,X,X,X,O,X,O,O,X,X,X,X,O
TISJOLZ,X,X,X,O,X,X,O,X,X,X,X,O
TISJOZL,X,X,X,O,X,O,O,X,X,X,X,O
TISZLJO,X,X,O,X,X,O,O,X,X,X,X,X
TISZLOJ,X,X,O,O,X,O,O,X,X,X,X,O
TISZJLO,X,X,X,O,X,O,O,X,X,X,X,O
TISZJOL,X,X,X,O,X,O,O,X,X,X,X,O
TISZOLJ,X,X,O,O,X,O,O,X,X,X,X,O
TISZOJL,X,X,X,O,X,O,O,X,X,X,X,O
TISOLJZ,X,X,X,O,X,X,O,O,X,X,X,O
TISOLZJ,X,X,O,O,X,O,O,O,X,X,X,O
TISOJLZ,X,X,X,O,X,X,O,X,X,X,X,O
TISOJZL,X,X,X,O,X,O,O,X,X,X,X,O
TISOZLJ,X,X,O,O,X,O,O,X,X,X,X,O
TISOZJL,X,X,X,O,X,O,O,X,X,X,X,O
TIZLJSO,X,X,X,X,X,X,O,O,X,X,X,X
TIZLJOS,X,X,X,X,X,X,O,O,X,X,X,X
TIZLSJO,X,X,X,X,X,X,O,O,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,O,O,X,X,X,X
TIZLOJS,X,X,X,X,X,X,O,O,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,O,O,X,X,X,X
TIZJLSO,X,X,X,X,X,X,O,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X,O,X,X,X,X,X
TIZJSLO,X,X,X,O,X,O,O,X,X,X,X,O
TIZJSOL,X,X,X,O,X,O,O,X,X,X,X,O
