sequence,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBGeBU?jB6rBzqB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBCeBT?jB8qB+rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdiBzdB+jBU?hBXmBSwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBzcBGeBU?jBCrB3rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBfjB6jB8?mBzqBurB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBGeBU?jBCrBTrB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBzcBSjBU?jB3mBWwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBGeBzhBU?jBCrB3rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFzcBfjB6jB8?qBurBdrB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBSjBU?jBTmBWwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdiBfjB6jBU?hBTmBWwB
TILJSZO,O,X,O,X,X,O,O,X,X,O,X
TILJSOZ,X,X,O,X,X,X,O,X,X,O,X
TILJZSO,O,X,O,O,X,O,O,O,X,O,X
TILJZOS,O,X,O,O,X,O,X,O,X,X,X
TILJOSZ,X,X,O,X,X,X,O,X,X,O,X
TILJOZS,X,X,O,X,X,X,X,O,X,O,X
TILSJZO,O,X,O,O,X,O,O,X,X,O,O
TILSJOZ,X,X,O,O,X,X,O,X,X,X,X
TILSZJO,O,X,O,O,X,O,X,O,X,O,O
TILSZOJ,O,X,X,O,X,O,O,O,X,O,O
TILSOJZ,X,X,X,O,X,X,O,X,X,X,X
TILSOZJ,O,X,X,O,X,O,O,O,X,O,O
TILZJSO,O,O,O,O,X,O,O,O,X,X,X
TILZJOS,O,O,O,O,X,O,X,O,X,X,X
TILZSJO,O,X,O,O,X,O,X,O,X,O,O
TILZSOJ,O,X,X,O,X,O,O,O,X,O,O
TILZOJS,O,X,O,O,X,O,X,O,X,X,X
TILZOSJ,O,X,X,O,X,O,X,O,X,X,X
TILOJSZ,X,X,O,X,X,O,O,X,X,X,X
TILOJZS,X,X,O,X,X,O,X,O,X,X,X
TILOSJZ,X,X,X,X,X,O,O,X,X,X,X
TILOSZJ,O,X,X,X,X,O,O,O,X,O,X
TILOZJS,O,X,O,O,X,O,X,O,X,X,X
TILOZSJ,O,X,X,O,X,O,X,O,X,X,X
TIJLSZO,X,X,O,X,X,X,O,X,X,O,O
TIJLSOZ,X,X,O,X,X,X,O,X,X,O,O
TIJLZSO,X,X,O,X,X,X,O,X,X,O,O
TIJLZOS,X,X,O,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,X,O,X,X,O,X
TIJLOZS,X,X,O,X,X,X,X,X,X,O,X
TIJSLZO,X,X,X,X,X,X,O,X,X,O,O
TIJSLOZ,X,X,X,X,X,X,O,X,X,O,O
TIJSZLO,O,X,X,X,X,O,O,X,X,O,O
TIJSZOL,O,X,O,X,X,O,O,X,X,X,O
