sequence,v115@9gA8HeD8DeE8EeF8AeF8Je06IvhFxbBOiBXeBzgBqm?BlqB,v115@9gA8HeD8DeE8EeF8AeF8Je06IvhF6gBxcBXeBThBen?BlqB,v115@9gA8HeD8DeE8EeF8AeF8Je06IvhFFdBXeB5lBOrBzr?BiqB,v115@9gA8HeD8DeE8EeF8AeF8Je06IvhF3cBFeB5lBOsBTr?BiqB,v115@9gA8HeD8DeE8EeF8AeF8Je06IvhFqhBXeBzgBOnBxq?BlqB,v115@9gA8HeD8DeE8EeF8AeF8Je06IvhF1hBXeB5lBOsBTr?BiqB,v115@9gA8HeD8DeE8EeF8AeF8Jel6IvhFTcBXeBRmBclBOn?BCrB,v115@9gA8HeD8DeE8EeF8AeF8Jel6IvhFTcBxdBuqB3rBcq?BisB
TZJOLIS,O,O,X,O,X,X,X,X
TZJOLSI,O,O,X,O,X,X,X,X
TZJOSIL,X,O,X,O,X,X,X,X
TZJOSLI,O,O,X,O,X,X,X,X
TZSILJO,O,O,X,X,X,X,X,X
TZSILOJ,O,O,X,X,O,X,X,X
TZSIJLO,O,O,X,X,X,X,X,X
TZSIJOL,O,O,X,O,X,X,X,X
TZSIOLJ,O,O,X,X,O,O,X,X
TZSIOJL,O,O,O,X,X,O,X,X
TZSLIJO,O,O,X,X,X,X,X,X
TZSLIOJ,O,O,X,X,X,X,X,X
TZSLJIO,O,O,X,X,X,X,X,X
TZSLJOI,O,O,X,X,X,X,X,X
TZSLOIJ,O,O,X,X,X,X,X,X
TZSLOJI,O,O,O,X,X,X,X,X
TZSJILO,O,O,X,X,X,X,X,X
TZSJIOL,O,O,X,O,X,X,X,X
TZSJLIO,O,O,X,X,X,X,X,X
TZSJLOI,O,O,X,X,X,X,X,X
TZSJOIL,O,O,O,O,X,X,X,X
TZSJOLI,O,O,O,O,X,X,X,X
TZSOILJ,O,O,X,X,X,O,X,X
TZSOIJL,O,O,O,X,X,O,X,X
TZSOLIJ,O,O,X,X,X,O,X,X
TZSOLJI,O,O,O,X,X,X,X,X
TZSOJIL,O,O,O,X,X,O,X,X
TZSOJLI,O,O,O,X,X,X,X,X
TZOILJS,O,O,X,X,X,X,X,X
TZOILSJ,O,X,X,X,X,O,X,X
TZOIJLS,X,O,O,O,X,X,X,X
TZOIJSL,X,O,O,O,X,O,X,X
TZOISLJ,O,X,X,X,X,O,X,X
TZOISJL,O,X,O,X,X,O,X,X
TZOLIJS,O,O,X,X,X,X,X,X
TZOLISJ,O,X,X,X,X,O,X,X
TZOLJIS,O,O,O,X,X,X,X,X
TZOLJSI,O,O,O,X,X,X,X,X
TZOLSIJ,O,O,X,X,X,O,X,X
TZOLSJI,O,O,O,X,X,X,X,X
TZOJILS,X,O,O,O,X,X,X,X
TZOJISL,X,O,O,O,X,O,X,X
TZOJLIS,O,O,O,O,X,X,X,X
TZOJLSI,O,O,O,O,X,X,X,X
TZOJSIL,X,O,O,O,X,O,X,X
TZOJSLI,O,O,O,O,X,X,X,X
TZOSILJ,O,O,X,X,X,O,X,X
TZOSIJL,O,O,O,X,X,O,X,X
TZOSLIJ,O,O,X,X,X,O,X,X
TZOSLJI,O,O,O,X,X,X,X,X
TZOSJIL,O,O,O,X,X,O,X,X
TZOSJLI,O,O,O,X,X,X,X,X
TOILJSZ,O,O,X,X,X,X,X,X
TOILJZS,O,O,X,X,X,X,X,X
TOILSJZ,O,X,X,X,X,X,X,X
TOILSZJ,O,X,X,X,X,O,X,X
TOILZJS,O,O,X,X,X,X,X,X
TOILZSJ,O,X,X,X,X,O,X,X
TOIJLSZ,X,O,O,O,X,X,X,X
TOIJLZS,X,O,O,O,X,X,X,X
TOIJSLZ,X,O,O,O,X,X,X,X
TOIJSZL,X,O,O,O,X,O,X,X
TOIJZLS,X,O,O,O,X,X,X,X
TOIJZSL,X,O,O,O,X,O,X,X
TOISLJZ,O,X,X,X,X,X,X,X
TOISLZJ,O,X,X,X,X,O,X,X
TOISJLZ,X,X,O,X,X,X,X,X
TOISJZL,X,X,O,X,X,O,X,X
TOISZLJ,O,X,X,X,X,O,X,X
TOISZJL,X,X,O,X,X,O,X,X
TOIZLJS,O,O,X,X,X,X,X,X
TOIZLSJ,O,X,X,X,X,O,X,X
TOIZJLS,X,O,O,O,X,X,X,X
TOIZJSL,X,O,O,O,X,O,X,X
TOIZSLJ,O,X,X,X,X,O,X,X
TOIZSJL,X,X,O,X,X,O,X,X
TOLIJSZ,O,O,X,X,X,X,X,X
TOLIJZS,O,O,X,X,X,X,X,X
TOLISJZ,O,X,X,X,X,X,X,X
TOLISZJ,O,X,X,X,X,O,X,X
TOLIZJS,O,O,X,X,X,X,X,X
TOLIZSJ,O,X,X,X,X,O,X,X
TOLJISZ,O,O,O,X,X,X,X,X
TOLJIZS,O,O,O,X,X,X,X,X
TOLJSIZ,O,O,O,X,X,X,X,X
TOLJSZI,O,O,O,X,X,X,X,X
TOLJZIS,O,O,O,X,X,X,X,X
TOLJZSI,O,O,O,X,X,X,X,X
TOLSIJZ,O,X,X,X,X,X,X,X
TOLSIZJ,O,O,X,X,X,O,X,X
TOLSJIZ,O,O,O,X,X,X,X,X
TOLSJZI,O,O,O,X,X,X,X,X
TOLSZIJ,O,O,X,X,X,O,X,X
TOLSZJI,O,O,O,X,X,X,X,X
TOLZIJS,O,O,X,X,X,X,X,X
TOLZISJ,O,X,X,X,X,O,X,X
TOLZJIS,O,O,O,X,X,X,X,X
TOLZJSI,O,O,O,X,X,X,X,X
TOLZSIJ,O,O,X,X,X,O,X,X
TOLZSJI,O,O,O,X,X,X,X,X
TOJILSZ,X,O,O,O,X,X,X,X
TOJILZS,X,O,O,O,X,X,X,X
TOJISLZ,X,O,O,O,X,X,X,X
TOJISZL,X,O,O,O,X,O,X,X
TOJIZLS,X,O,O,O,X,X,X,X
TOJIZSL,X,O,O,O,X,O,X,X
TOJLISZ,O,O,O,O,X,X,X,X
TOJLIZS,O,O,O,O,X,X,X,X
TOJLSIZ,O,O,O,O,X,X,X,X
TOJLSZI,O,O,O,O,X,X,X,X
TOJLZIS,O,O,O,O,X,X,X,X
TOJLZSI,O,O,O,O,X,X,X,X
TOJSILZ,X,O,O,O,X,X,X,X
TOJSIZL,X,O,O,O,X,O,X,X
TOJSLIZ,O,O,O,O,X,X,X,X
TOJSLZI,O,O,O,O,X,X,X,X
TOJSZIL,X,O,O,O,X,O,X,X
TOJSZLI,O,O,O,O,X,X,X,X
TOJZILS,X,O,O,O,X,X,X,X
TOJZISL,X,O,O,O,X,O,X,X
TOJZLIS,O,O,O,O,X,X,X,X
TOJZLSI,O,O,O,O,X,X,X,X
TOJZSIL,X,O,O,O,X,O,X,X
TOJZSLI,O,O,O,O,X,X,X,X
TOSILJZ,O,X,X,X,X,X,X,X
TOSILZJ,O,O,X,X,X,O,X,X
TOSIJLZ,X,O,O,X,X,X,X,X
TOSIJZL,X,O,O,X,X,O,X,X
TOSIZLJ,O,O,X,X,X,O,X,X
TOSIZJL,X,O,O,X,X,O,X,X
TOSLIJZ,O,X,X,X,X,X,X,X
TOSLIZJ,O,O,X,X,X,O,X,X
TOSLJIZ,O,O,O,X,X,X,X,X
TOSLJZI,O,O,O,X,X,X,X,X
TOSLZIJ,O,O,X,X,X,O,X,X
TOSLZJI,O,O,O,X,X,X,X,X
TOSJILZ,X,O,O,X,X,X,X,X
TOSJIZL,X,O,O,X,X,O,X,X
TOSJLIZ,O,O,O,X,X,X,X,X
TOSJLZI,O,O,O,X,X,X,X,X
TOSJZIL,O,O,O,X,X,O,X,X
TOSJZLI,O,O,O,X,X,X,X,X
TOSZILJ,O,O,X,X,X,O,X,X
TOSZIJL,O,O,O,X,X,O,X,X
TOSZLIJ,O,O,X,X,X,O,X,X
TOSZLJI,O,O,O,X,X,X,X,X
TOSZJIL,O,O,O,X,X,O,X,X
TOSZJLI,O,O,O,X,X,X,X,X
TOZILJS,O,O,X,X,X,X,X,X
TOZILSJ,O,X,X,X,X,O,X,X
TOZIJLS,X,O,O,O,X,X,X,X
TOZIJSL,X,O,O,O,X,O,X,X
TOZISLJ,O,X,X,X,X,O,X,X
TOZISJL,O,X,O,X,X,O,X,X
TOZLIJS,O,O,X,X,X,X,X,X
TOZLISJ,O,X,X,X,X,O,X,X
TOZLJIS,O,O,O,X,X,X,X,X
TOZLJSI,O,O,O,X,X,X,X,X
TOZLSIJ,O,O,X,X,X,O,X,X
TOZLSJI,O,O,O,X,X,X,X,X
TOZJILS,X,O,O,O,X,X,X,X
TOZJISL,X,O,O,O,X,O,X,X
TOZJLIS,O,O,O,O,X,X,X,X
TOZJLSI,O,O,O,O,X,X,X,X
TOZJSIL,X,O,O,O,X,O,X,X
TOZJSLI,O,O,O,O,X,X,X,X
TOZSILJ,O,O,X,X,X,O,X,X
TOZSIJL,O,O,O,X,X,O,X,X
TOZSLIJ,O,O,X,X,X,O,X,X
TOZSLJI,O,O,O,X,X,X,X,X
TOZSJIL,O,O,O,X,X,O,X,X
TOZSJLI,O,O,O,X,X,X,X,X
ITLJSZO,O,O,X,X,X,X,X,X
ITLJSOZ,O,O,X,X,X,X,X,X
ITLJZSO,O,O,X,X,X,X,X,X
ITLJZOS,O,O,X,O,X,X,X,X
ITLJOSZ,O,O,X,O,X,X,X,X
ITLJOZS,O,O,X,O,X,X,X,X
ITLSJZO,O,O,X,X,X,X,X,X
ITLSJOZ,O,O,X,X,X,X,X,X
ITLSZJO,O,O,X,X,X,X,X,X
ITLSZOJ,O,O,X,X,O,X,X,X
ITLSOJZ,O,X,X,X,O,X,X,X
ITLSOZJ,O,O,X,X,O,X,X,X
ITLZJSO,O,O,X,X,X,X,X,X
ITLZJOS,O,O,X,O,X,X,X,X
ITLZSJO,O,O,X,X,X,X,X,X
ITLZSOJ,O,O,X,X,O,X,X,X
ITLZOJS,O,O,X,X,O,X,X,X
ITLZOSJ,O,X,X,X,O,X,X,X
ITLOJSZ,O,O,X,X,O,X,X,X
ITLOJZS,O,O,X,X,O,X,X,X
ITLOSJZ,O,X,X,X,O,X,X,X
ITLOSZJ,O,X,X,X,O,X,X,X
ITLOZJS,O,O,X,X,O,X,X,X
ITLOZSJ,O,X,X,X,O,X,X,X
ITJLSZO,X,O,X,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,X,X,X
ITJLZSO,X,O,X,X,X,X,X,X
ITJLZOS,X,O,X,O,X,X,X,X
ITJLOSZ,X,O,X,O,X,X,X,X
ITJLOZS,X,O,X,O,X,X,X,X
ITJSLZO,X,O,X,X,X,X,X,X
ITJSLOZ,X,O,X,X,X,X,X,X
ITJSZLO,X,O,X,X,X,X,X,O
ITJSZOL,X,O,X,O,X,X,X,O
ITJSOLZ,X,O,X,O,X,X,X,X
ITJSOZL,X,O,X,O,X,X,X,O
ITJZLSO,X,O,X,X,X,X,X,X
ITJZLOS,X,O,X,O,X,X,X,X
ITJZSLO,X,O,X,X,X,X,X,X
ITJZSOL,X,O,X,O,X,X,X,X
ITJZOLS,X,O,X,O,X,X,X,X
ITJZOSL,X,O,X,O,X,X,X,X
ITJOLSZ,X,O,X,O,X,X,X,X
ITJOLZS,X,O,X,O,X,X,X,X
ITJOSLZ,X,O,X,O,X,X,X,X
ITJOSZL,X,O,X,O,X,X,X,X
ITJOZLS,X,O,X,O,X,X,X,X
ITJOZSL,X,O,X,O,X,X,X,X
ITSLJZO,O,O,X,X,X,X,X,X
ITSLJOZ,O,O,X,X,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X,X
ITSLZOJ,O,O,X,X,O,X,X,X
ITSLOJZ,O,X,X,X,O,X,X,X
ITSLOZJ,O,O,X,X,O,X,X,X
ITSJLZO,O,O,X,X,X,X,X,X
ITSJLOZ,O,O,X,X,X,X,X,X
ITSJZLO,O,O,X,X,X,X,X,O
ITSJZOL,O,O,X,O,X,X,X,O
ITSJOLZ,X,O,X,O,X,X,X,X
ITSJOZL,X,O,X,O,X,X,X,O
ITSZLJO,O,O,X,X,X,X,X,X
ITSZLOJ,O,O,X,X,O,X,X,X
ITSZJLO,O,O,X,X,X,X,X,X
ITSZJOL,O,O,X,O,X,X,X,X
ITSZOLJ,O,O,X,X,O,O,X,X
ITSZOJL,O,O,O,X,X,O,X,X
ITSOLJZ,O,X,X,X,O,X,X,X
ITSOLZJ,O,O,X,X,O,O,X,X
ITSOJLZ,X,O,O,X,X,X,X,X
ITSOJZL,X,O,O,X,X,O,X,X
ITSOZLJ,O,O,X,X,O,O,X,X
ITSOZJL,X,O,O,X,X,O,X,X
ITZLJSO,O,O,X,X,X,X,X,X
ITZLJOS,O,O,X,O,X,X,X,X
ITZLSJO,O,O,X,X,X,X,X,X
ITZLSOJ,O,O,X,X,O,X,X,X
ITZLOJS,O,O,X,X,O,X,X,X
ITZLOSJ,O,X,X,X,O,X,X,X
ITZJLSO,O,O,X,X,X,X,X,X
ITZJLOS,O,O,X,O,X,X,X,X
ITZJSLO,O,O,X,X,X,X,X,X
ITZJSOL,O,O,X,O,X,X,X,X
ITZJOLS,X,O,X,O,X,X,X,X
ITZJOSL,X,O,X,O,X,X,X,X
ITZSLJO,O,O,X,X,X,X,X,X
ITZSLOJ,O,O,X,X,O,X,X,X
ITZSJLO,O,O,X,X,X,X,X,X
ITZSJOL,O,O,X,O,X,X,X,X
ITZSOLJ,O,O,X,X,O,O,X,X
ITZSOJL,O,O,O,X,X,O,X,X
ITZOLJS,O,O,X,X,O,X,X,X
ITZOLSJ,O,X,X,X,O,O,X,X
ITZOJLS,X,O,O,O,X,X,X,X
ITZOJSL,X,O,O,O,X,O,X,X
ITZOSLJ,O,X,X,X,O,O,X,X
ITZOSJL,O,X,O,X,X,O,X,X
ITOLJSZ,O,O,X,X,O,X,X,X
ITOLJZS,O,O,X,X,O,X,X,X
ITOLSJZ,O,X,X,X,O,X,X,X
ITOLSZJ,O,X,X,X,O,O,X,X
ITOLZJS,O,O,X,X,O,X,X,X
ITOLZSJ,O,X,X,X,O,O,X,X
ITOJLSZ,X,O,O,O,X,X,X,X
ITOJLZS,X,O,O,O,X,X,X,X
ITOJSLZ,X,O,O,O,X,X,X,X
ITOJSZL,X,O,O,O,X,O,X,X
ITOJZLS,X,O,O,O,X,X,X,X
ITOJZSL,X,O,O,O,X,O,X,X
ITOSLJZ,O,X,X,X,O,X,X,X
ITOSLZJ,O,X,X,X,O,O,X,X
ITOSJLZ,X,X,O,X,X,X,X,X
ITOSJZL,X,X,O,X,X,O,X,X
ITOSZLJ,O,X,X,X,O,O,X,X
ITOSZJL,X,X,O,X,X,O,X,X
ITOZLJS,O,O,X,X,O,X,X,X
ITOZLSJ,O,X,X,X,O,O,X,X
ITOZJLS,X,O,O,O,X,X,X,X
ITOZJSL,X,O,O,O,X,O,X,X
ITOZSLJ,O,X,X,X,O,O,X,X
ITOZSJL,X,X,O,X,X,O,X,X
ILTJSZO,O,X,X,X,X,X,O,X
ILTJSOZ,O,X,X,X,X,X,O,X
ILTJZSO,O,X,X,X,X,X,O,X
ILTJZOS,O,X,X,O,X,X,O,X
ILTJOSZ,O,X,X,O,X,X,O,X
ILTJOZS,O,X,X,O,X,X,O,X
ILTSJZO,O,X,X,X,X,X,O,X
ILTSJOZ,O,X,X,X,X,X,O,X
ILTSZJO,O,X,X,X,X,X,O,X
ILTSZOJ,O,X,X,X,O,X,O,X
ILTSOJZ,O,X,X,X,O,X,O,X
ILTSOZJ,O,X,X,X,O,X,O,X
ILTZJSO,O,X,X,X,X,X,O,X
ILTZJOS,O,X,X,O,X,X,O,X
ILTZSJO,O,X,X,X,X,X,O,X
ILTZSOJ,O,X,X,X,O,X,O,X
ILTZOJS,O,X,X,X,O,X,O,X
ILTZOSJ,O,X,X,X,O,X,O,X
ILTOJSZ,O,X,X,X,O,X,O,X
ILTOJZS,O,X,X,X,O,X,O,X
ILTOSJZ,O,X,X,X,O,X,O,X
ILTOSZJ,O,X,X,X,O,X,O,X
ILTOZJS,O,X,X,X,O,X,O,X
ILTOZSJ,O,X,X,X,O,X,O,X
ILJTSZO,O,X,X,X,X,X,O,X
ILJTSOZ,O,X,X,X,X,X,O,X
ILJTZSO,O,X,X,X,X,X,O,X
ILJTZOS,O,X,X,O,X,X,O,X
ILJTOSZ,O,X,X,O,X,X,O,X
ILJTOZS,O,X,X,O,X,X,O,X
ILJSTZO,O,X,X,X,X,X,O,X
ILJSTOZ,O,X,X,X,X,X,O,X
ILJSZTO,O,X,X,X,X,X,O,O
ILJSZOT,O,X,X,X,O,X,O,O
ILJSOTZ,X,X,X,X,O,X,O,X
ILJSOZT,O,X,X,X,O,X,O,O
ILJZTSO,O,X,X,X,X,X,O,X
ILJZTOS,O,X,X,O,X,X,O,X
ILJZSTO,O,X,X,X,X,X,O,X
ILJZSOT,O,X,X,X,O,X,O,X
ILJZOTS,X,X,X,O,O,X,O,X
ILJZOST,O,X,X,O,O,X,O,X
ILJOTSZ,X,X,X,O,O,X,O,X
ILJOTZS,X,X,X,O,O,X,O,X
ILJOSTZ,X,X,X,O,O,X,O,X
ILJOSZT,O,X,X,O,O,X,O,X
ILJOZTS,X,X,X,O,O,X,O,X
ILJOZST,O,X,X,O,O,X,O,X
ILSTJZO,O,X,X,X,X,X,O,X
ILSTJOZ,O,X,X,X,X,X,O,X
ILSTZJO,O,X,X,X,X,X,O,X
ILSTZOJ,O,X,X,X,O,X,O,X
ILSTOJZ,O,X,X,X,O,X,O,X
ILSTOZJ,O,X,X,X,O,X,O,X
ILSJTZO,O,X,X,X,X,X,O,X
ILSJTOZ,O,X,X,X,X,X,O,X
ILSJZTO,O,X,X,X,X,X,O,O
ILSJZOT,O,X,X,X,O,X,O,O
ILSJOTZ,X,X,X,X,O,X,O,X
ILSJOZT,O,X,X,X,O,X,O,O
ILSZTJO,O,X,X,X,X,X,O,X
ILSZTOJ,O,X,X,X,O,X,O,X
ILSZJTO,O,X,X,X,X,X,O,X
ILSZJOT,O,X,X,X,O,X,O,X
ILSZOTJ,X,X,X,X,O,O,O,X
ILSZOJT,O,X,O,X,O,X,O,X
ILSOTJZ,X,X,X,X,O,X,O,X
ILSOTZJ,X,X,X,X,O,O,O,X
ILSOJTZ,X,X,O,X,O,X,O,X
ILSOJZT,O,X,O,X,O,X,O,X
ILSOZTJ,X,X,X,X,O,O,O,X
ILSOZJT,O,X,O,X,O,X,O,X
ILZTJSO,O,X,X,X,X,X,O,X
ILZTJOS,O,X,X,O,X,X,O,X
ILZTSJO,O,X,X,X,X,X,O,X
ILZTSOJ,O,X,X,X,O,X,O,X
ILZTOJS,O,X,X,X,O,X,O,X
ILZTOSJ,O,X,X,X,O,X,O,X
ILZJTSO,O,X,X,X,X,X,O,X
ILZJTOS,O,X,X,O,X,X,O,X
ILZJSTO,O,X,X,X,X,X,O,X
ILZJSOT,O,X,X,X,O,X,O,X
ILZJOTS,X,X,X,O,O,X,O,X
ILZJOST,O,X,X,O,O,X,O,X
ILZSTJO,O,X,X,X,X,X,O,X
ILZSTOJ,O,X,X,X,O,X,O,X
ILZSJTO,O,X,X,X,X,X,O,X
ILZSJOT,O,X,X,X,O,X,O,X
ILZSOTJ,X,X,X,X,O,O,O,X
ILZSOJT,O,X,O,X,O,X,O,X
ILZOTJS,X,X,X,X,O,X,O,X
ILZOTSJ,X,X,X,X,O,O,O,X
ILZOJTS,X,X,O,O,O,X,O,X
ILZOJST,O,X,O,O,O,X,O,X
ILZOSTJ,X,X,X,X,O,O,O,X
ILZOSJT,O,X,O,X,O,X,O,X
ILOTJSZ,X,X,X,X,O,X,O,X
ILOTJZS,X,X,X,X,O,X,O,X
ILOTSJZ,X,X,X,X,O,X,O,X
ILOTSZJ,X,X,X,X,O,O,O,X
ILOTZJS,X,X,X,X,O,X,O,X
ILOTZSJ,X,X,X,X,O,O,O,X
ILOJTSZ,X,X,O,O,O,X,O,X
ILOJTZS,X,X,O,O,O,X,O,X
ILOJSTZ,X,X,O,O,O,X,O,X
ILOJSZT,O,X,O,O,O,X,O,X
ILOJZTS,X,X,O,O,O,X,O,X
ILOJZST,O,X,O,O,O,X,O,X
ILOSTJZ,X,X,X,X,O,X,O,X
ILOSTZJ,X,X,X,X,O,O,O,X
ILOSJTZ,X,X,O,X,O,X,O,X
ILOSJZT,O,X,O,X,O,X,O,X
ILOSZTJ,X,X,X,X,O,O,O,X
ILOSZJT,O,X,O,X,O,X,O,X
ILOZTJS,X,X,X,X,O,X,O,X
ILOZTSJ,X,X,X,X,O,O,O,X
ILOZJTS,X,X,O,O,O,X,O,X
ILOZJST,O,X,O,O,O,X,O,X
ILOZSTJ,X,X,X,X,O,O,O,X
ILOZSJT,O,X,O,X,O,X,O,X
IJTLSZO,X,O,X,X,X,X,X,X
IJTLSOZ,X,O,X,X,X,X,X,X
IJTLZSO,X,O,X,X,X,X,X,X
IJTLZOS,X,O,X,O,X,X,X,X
IJTLOSZ,X,O,X,O,X,X,X,X
IJTLOZS,X,O,X,O,X,X,X,X
IJTSLZO,X,O,X,X,X,X,X,X
IJTSLOZ,X,O,X,X,X,X,X,X
IJTSZLO,X,O,X,X,X,X,X,O
IJTSZOL,X,O,X,O,X,X,X,O
IJTSOLZ,X,O,X,O,X,X,X,X
IJTSOZL,X,O,X,O,X,X,X,O
IJTZLSO,X,O,X,X,X,X,X,X
IJTZLOS,X,O,X,O,X,X,X,X
IJTZSLO,X,O,X,X,X,X,X,X
IJTZSOL,X,O,X,O,X,X,X,X
IJTZOLS,X,O,X,O,X,X,X,X
IJTZOSL,X,O,X,O,X,X,X,X
IJTOLSZ,X,O,X,O,X,X,X,X
IJTOLZS,X,O,X,O,X,X,X,X
IJTOSLZ,X,O,X,O,X,X,X,X
IJTOSZL,X,O,X,O,X,X,X,X
IJTOZLS,X,O,X,O,X,X,X,X
IJTOZSL,X,O,X,O,X,X,X,X
IJLTSZO,X,O,X,X,X,X,X,X
IJLTSOZ,X,O,X,X,X,X,X,X
IJLTZSO,X,O,X,X,X,X,X,X
IJLTZOS,X,O,X,O,X,X,X,X
IJLTOSZ,X,O,X,O,X,X,X,X
IJLTOZS,X,O,X,O,X,X,X,X
IJLSTZO,X,O,X,X,X,X,X,X
IJLSTOZ,X,O,X,X,X,X,X,X
IJLSZTO,X,O,X,X,X,X,X,O
IJLSZOT,X,O,X,X,O,X,X,O
IJLSOTZ,X,X,X,X,O,X,X,X
IJLSOZT,X,X,X,X,O,X,X,O
IJLZTSO,X,O,X,X,X,X,X,X
IJLZTOS,X,X,X,O,X,X,X,X
IJLZSTO,X,O,X,X,X,X,X,X
IJLZSOT,X,O,X,X,O,X,X,X
IJLZOTS,X,X,X,O,O,X,X,X
IJLZOST,X,O,X,O,O,X,X,X
IJLOTSZ,X,X,X,O,O,X,X,X
IJLOTZS,X,X,X,O,O,X,X,X
IJLOSTZ,X,X,X,O,O,X,X,X
IJLOSZT,X,X,X,O,O,X,X,X
IJLOZTS,X,X,X,O,O,X,X,X
IJLOZST,X,X,X,O,O,X,X,X
IJSTLZO,X,O,X,X,X,X,X,X
IJSTLOZ,X,O,X,X,X,X,X,X
IJSTZLO,X,O,X,X,X,X,X,O
IJSTZOL,X,O,X,O,X,X,X,O
IJSTOLZ,X,O,X,O,X,X,X,X
IJSTOZL,X,O,X,O,X,X,X,O
IJSLTZO,X,O,X,X,X,X,X,O
IJSLTOZ,X,O,X,X,X,X,X,O
IJSLZTO,X,O,X,X,X,X,X,O
IJSLZOT,X,O,X,X,O,X,X,O
IJSLOTZ,X,X,X,X,O,X,X,O
IJSLOZT,X,X,X,X,O,X,X,O
IJSZTLO,X,O,X,X,X,X,X,O
IJSZTOL,X,O,X,O,X,X,X,O
IJSZLTO,X,O,X,X,X,X,X,O
IJSZLOT,X,O,X,X,O,X,X,O
IJSZOTL,X,O,O,O,X,O,X,O
IJSZOLT,X,O,O,O,O,X,X,O
IJSOTLZ,X,O,O,O,X,X,X,X
IJSOTZL,X,O,O,O,X,O,X,O
IJSOLTZ,X,X,O,O,O,X,X,O
IJSOLZT,X,O,O,O,O,X,X,O
IJSOZTL,X,O,O,O,X,O,X,O
IJSOZLT,X,O,O,O,O,X,X,O
IJZTLSO,X,O,X,X,X,X,X,X
IJZTLOS,X,O,X,O,X,X,X,X
IJZTSLO,X,O,X,X,X,X,X,X
IJZTSOL,X,O,X,O,X,X,X,X
IJZTOLS,X,O,X,O,X,X,X,X
IJZTOSL,X,O,X,O,X,X,X,X
IJZLTSO,X,O,X,X,X,X,X,X
IJZLTOS,X,X,X,O,X,X,X,X
IJZLSTO,X,O,X,X,X,X,X,X
IJZLSOT,X,O,X,X,O,X,X,X
IJZLOTS,X,O,X,O,O,X,X,X
IJZLOST,X,O,X,O,O,X,X,X
IJZSTLO,X,O,X,X,X,X,X,O
IJZSTOL,X,O,X,O,X,X,X,O
IJZSLTO,X,O,X,X,X,X,X,O
IJZSLOT,X,O,X,X,O,X,X,O
IJZSOTL,X,O,O,O,X,O,X,O
IJZSOLT,X,O,O,O,O,X,X,O
IJZOTLS,X,O,O,O,X,X,X,X
IJZOTSL,X,O,O,O,X,O,X,X
IJZOLTS,X,O,O,O,O,X,X,X
IJZOLST,X,O,O,O,O,X,X,X
IJZOSTL,X,O,O,O,X,O,X,X
IJZOSLT,X,O,O,O,O,X,X,X
IJOTLSZ,X,O,O,O,X,X,X,X
IJOTLZS,X,O,O,O,X,X,X,X
IJOTSLZ,X,O,O,O,X,X,X,X
IJOTSZL,X,O,O,O,X,O,X,X
IJOTZLS,X,O,O,O,X,X,X,X
IJOTZSL,X,O,O,O,X,O,X,X
IJOLTSZ,X,X,O,O,O,X,X,X
IJOLTZS,X,X,O,O,O,X,X,X
IJOLSTZ,X,X,O,O,O,X,X,X
IJOLSZT,X,O,O,O,O,X,X,X
IJOLZTS,X,O,O,O,O,X,X,X
IJOLZST,X,O,O,O,O,X,X,X
IJOSTLZ,X,O,O,O,X,X,X,X
IJOSTZL,X,O,O,O,X,O,X,O
IJOSLTZ,X,X,O,O,O,X,X,X
IJOSLZT,X,O,O,O,O,X,X,O
IJOSZTL,X,O,O,O,X,O,X,O
IJOSZLT,X,O,O,O,O,X,X,O
IJOZTLS,X,O,O,O,X,X,X,X
IJOZTSL,X,O,O,O,X,O,X,X
IJOZLTS,X,O,O,O,O,X,X,X
IJOZLST,X,O,O,O,O,X,X,X
IJOZSTL,X,O,O,O,X,O,X,X
IJOZSLT,X,O,O,O,O,X,X,X
ISTLJZO,O,O,X,X,X,X,X,X
ISTLJOZ,O,O,X,X,X,X,X,X
ISTLZJO,O,O,X,X,X,X,X,X
ISTLZOJ,O,O,X,X,O,X,X,X
ISTLOJZ,O,X,X,X,O,X,X,X
ISTLOZJ,O,O,X,X,O,X,X,X
ISTJLZO,O,O,X,X,X,X,X,X
ISTJLOZ,O,O,X,X,X,X,X,X
ISTJZLO,O,O,X,X,X,X,X,O
ISTJZOL,O,O,X,O,X,X,X,O
ISTJOLZ,X,O,X,O,X,X,X,X
ISTJOZL,X,O,X,O,X,X,X,O
ISTZLJO,O,O,X,X,X,X,X,X
ISTZLOJ,O,O,X,X,O,X,X,X
ISTZJLO,O,O,X,X,X,X,X,X
ISTZJOL,O,O,X,O,X,X,X,X
ISTZOLJ,O,O,X,X,O,O,X,X
ISTZOJL,O,O,O,X,X,O,X,X
ISTOLJZ,O,X,X,X,O,X,X,X
ISTOLZJ,O,O,X,X,O,O,X,X
ISTOJLZ,X,O,O,X,X,X,X,X
ISTOJZL,X,O,O,X,X,O,X,X
ISTOZLJ,O,O,X,X,O,O,X,X
ISTOZJL,X,O,O,X,X,O,X,X
ISLTJZO,O,O,X,X,X,X,O,X
ISLTJOZ,O,O,X,X,X,X,O,X
ISLTZJO,O,O,X,X,X,X,O,X
ISLTZOJ,O,O,X,X,O,X,O,X
