sequence,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeBUhBFiBu?sBirBXsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jel7IvhFSiBTeBZmBu?rB3nBUsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeBUhBlnBm?rB6sB3rB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Je07IvhFxcBTeBKrBf?sBlnBGsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeBUhBlnBi?rBGsBXsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhF8hBGeBamBz?iB/sB1wB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jel7IvhFuhB3dBcjBZ?mBCsBTsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeB3hBlnBm?rB6sBUrB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFViBcjBamB3?iB+rBTsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhF8hBTeBamBl?nB3rB+sB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Je07IvhFxdB3hBlnBm?rBCtBTrB,v115@zgB8HeC8GeD8EeE8DeF8DeB8JeU9IvhFFhBXjBzmBm?lBCoBxwB
TILJSZO,X,O,X,X,X,O,O,X,O,X,X,X
TILJSOZ,X,O,X,X,X,X,O,X,X,X,X,X
TILJZSO,O,X,X,X,X,O,O,X,O,X,X,X
TILJZOS,O,X,X,X,X,O,O,X,O,X,X,X
TILJOSZ,X,O,X,X,X,X,O,X,O,X,X,X
TILJOZS,O,X,X,X,X,X,O,X,O,X,X,X
TILSJZO,X,O,X,X,X,O,O,X,X,X,X,X
TILSJOZ,X,O,X,X,X,X,O,X,X,X,X,X
TILSZJO,X,X,X,X,X,O,O,X,X,O,X,X
TILSZOJ,X,O,X,X,X,O,O,X,X,O,X,X
TILSOJZ,X,O,X,X,X,O,O,X,X,X,X,X
TILSOZJ,X,O,X,X,X,O,O,X,X,X,X,X
TILZJSO,O,X,X,X,O,O,O,X,O,X,X,X
TILZJOS,O,X,X,X,O,O,O,X,O,X,X,X
TILZSJO,X,X,X,X,O,O,O,X,X,X,X,X
TILZSOJ,X,X,X,X,O,O,O,X,X,X,X,X
TILZOJS,X,X,X,X,O,O,O,X,O,X,X,X
TILZOSJ,X,X,X,X,O,O,O,X,X,X,X,X
TILOJSZ,X,O,X,X,X,X,O,X,O,X,X,X
TILOJZS,X,X,X,X,X,X,O,X,O,X,X,X
TILOSJZ,X,O,X,X,X,X,O,X,X,X,X,X
TILOSZJ,X,O,X,X,X,X,O,X,X,X,X,O
TILOZJS,X,X,X,X,O,O,O,X,O,X,X,X
TILOZSJ,X,X,X,X,O,O,O,X,X,X,X,O
TIJLSZO,X,O,X,X,X,O,O,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,X,O,X,X,X,X,X
TIJLZSO,O,X,X,X,X,O,O,X,X,X,X,X
TIJLZOS,O,X,X,X,X,O,O,X,X,X,X,X
TIJLOSZ,X,O,X,X,X,X,O,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,O,X,X,X,X,X
TIJSLZO,X,O,X,X,X,O,X,O,X,X,O,X
TIJSLOZ,X,O,X,X,X,X,X,O,X,X,O,X
TIJSZLO,X,O,X,X,X,O,X,O,X,X,O,X
TIJSZOL,X,O,X,X,X,O,X,O,X,X,X,X
TIJSOLZ,X,O,X,X,X,X,X,O,X,X,X,X
TIJSOZL,X,O,X,X,X,X,X,O,X,X,X,X
TIJZLSO,X,X,O,X,X,O,O,X,X,X,X,X
TIJZLOS,O,X,O,X,X,O,O,X,X,X,X,X
TIJZSLO,X,O,O,X,X,O,O,X,X,X,O,X
TIJZSOL,O,O,O,X,X,O,O,X,X,X,X,X
TIJZOLS,O,X,O,X,X,O,X,X,X,X,X,X
TIJZOSL,O,O,O,X,X,O,X,X,X,X,X,X
TIJOLSZ,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,X,X,X,X,X,O,X,X,X,X
TIJOSZL,X,O,X,X,X,X,X,O,X,X,X,O
TIJOZLS,O,X,O,X,X,X,X,X,X,X,X,X
TIJOZSL,O,O,O,X,X,X,X,X,X,X,X,O
TISLJZO,X,O,X,X,X,O,O,X,X,X,X,X
TISLJOZ,X,O,X,X,X,X,O,X,X,X,X,X
TISLZJO,X,X,X,X,X,O,O,X,X,O,X,X
TISLZOJ,X,O,X,X,X,O,O,X,X,O,X,X
TISLOJZ,X,O,X,X,X,O,O,X,X,X,X,X
TISLOZJ,X,O,X,X,X,O,O,X,X,X,X,X
TISJLZO,X,O,X,X,X,O,X,O,X,X,O,X
TISJLOZ,X,O,X,X,X,X,X,O,X,X,O,X
TISJZLO,X,O,X,X,X,O,X,O,X,X,O,X
TISJZOL,X,O,X,X,X,O,X,O,X,X,X,X
TISJOLZ,X,O,X,X,X,X,X,O,X,X,X,X
TISJOZL,X,O,X,X,X,X,X,O,X,X,X,X
TISZLJO,X,X,X,X,X,O,O,X,X,O,X,X
TISZLOJ,X,O,X,X,X,O,O,X,X,O,X,X
TISZJLO,X,O,X,X,X,O,O,X,X,X,X,X
TISZJOL,X,O,X,X,X,O,O,X,X,X,X,X
TISZOLJ,X,O,X,X,X,O,X,X,X,X,X,X
TISZOJL,X,O,X,X,X,O,O,X,X,X,X,X
TISOLJZ,X,O,X,X,X,O,X,X,X,X,X,X
TISOLZJ,X,O,X,X,X,O,X,X,X,X,X,O
TISOJLZ,X,O,X,X,X,O,X,O,X,X,X,X
TISOJZL,X,O,X,X,X,O,X,O,X,X,X,O
TISOZLJ,X,O,X,X,X,O,X,X,X,X,X,O
TISOZJL,X,O,X,X,X,O,X,X,X,X,X,O
TIZLJSO,O,X,O,X,O,O,O,X,O,X,X,X
TIZLJOS,O,X,O,X,O,O,O,X,O,X,X,X
TIZLSJO,X,X,X,X,O,O,O,X,X,X,X,X
TIZLSOJ,X,X,X,X,O,O,O,X,X,X,X,X
TIZLOJS,X,X,O,X,O,O,O,X,O,X,X,X
TIZLOSJ,X,X,X,X,O,O,O,X,X,X,X,X
TIZJLSO,X,X,O,X,X,O,O,X,X,X,X,X
TIZJLOS,O,X,O,X,X,O,O,X,X,X,X,X
TIZJSLO,X,O,O,X,X,O,O,X,X,X,O,X
TIZJSOL,O,O,O,X,X,O,O,X,X,X,X,X
TIZJOLS,O,X,O,X,X,O,X,X,X,X,X,X
TIZJOSL,O,O,O,X,X,O,X,X,X,X,X,X
TIZSLJO,X,X,X,X,X,O,O,X,X,X,X,X
TIZSLOJ,X,O,X,X,X,O,O,X,X,X,X,X
TIZSJLO,X,O,O,X,X,O,O,X,X,X,X,X
TIZSJOL,X,O,O,X,X,O,O,X,X,X,X,X
TIZSOLJ,X,O,X,X,X,O,X,X,X,X,X,X
TIZSOJL,X,O,O,X,X,O,O,X,X,X,X,X
TIZOLJS,X,X,O,X,O,X,O,X,O,X,X,X
TIZOLSJ,X,X,X,X,O,X,O,X,X,X,X,O
TIZOJLS,O,X,O,X,X,O,X,X,X,X,X,X
TIZOJSL,O,O,O,X,X,O,X,X,X,X,X,O
TIZOSLJ,X,O,X,X,X,O,X,X,X,X,X,O
TIZOSJL,X,O,O,X,X,O,O,X,X,X,X,O
TIOLJSZ,X,O,X,X,X,X,O,X,O,X,X,X
TIOLJZS,X,X,X,X,X,X,O,X,O,X,X,X
TIOLSJZ,X,O,X,X,X,X,O,X,X,X,X,X
TIOLSZJ,X,O,X,X,X,X,O,X,X,X,X,O
TIOLZJS,X,X,X,X,O,X,O,X,O,X,X,X
TIOLZSJ,X,X,X,X,O,X,O,X,X,X,X,O
TIOJLSZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,X,X,X,X,X,O,X,X,X,X
TIOJSZL,X,O,X,X,X,X,X,O,X,X,X,O
TIOJZLS,O,X,O,X,X,X,X,X,X,X,X,X
TIOJZSL,O,O,O,X,X,X,X,X,X,X,X,O
TIOSLJZ,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,O,X,X,X,X,X,X,X,X,X,O
TIOSJLZ,X,O,X,X,X,X,X,O,X,X,X,X
TIOSJZL,X,O,X,X,X,X,X,O,X,X,X,O
TIOSZLJ,X,O,X,X,X,X,X,X,X,X,X,O
TIOSZJL,X,O,X,X,X,X,X,X,X,X,X,O
TIOZLJS,X,X,O,X,O,X,O,X,O,X,X,X
TIOZLSJ,X,X,X,X,O,X,O,X,X,X,X,O
TIOZJLS,O,X,O,X,X,O,X,X,X,X,X,X
TIOZJSL,O,O,O,X,X,O,X,X,X,X,X,O
TIOZSLJ,X,O,X,X,X,O,X,X,X,X,X,O
TIOZSJL,X,O,O,X,X,O,O,X,X,X,X,O
TLIJSZO,X,O,X,X,X,O,O,X,O,X,X,X
TLIJSOZ,X,O,X,X,X,X,O,X,X,X,X,X
TLIJZSO,O,X,X,X,X,O,O,X,O,X,X,X
TLIJZOS,O,X,X,X,X,O,O,X,O,X,X,X
TLIJOSZ,X,O,X,X,X,X,O,X,O,X,X,X
TLIJOZS,O,X,X,X,X,X,O,X,O,X,X,X
TLISJZO,X,O,X,X,X,O,O,X,X,X,X,X
TLISJOZ,X,O,X,X,X,X,O,X,X,X,X,X
TLISZJO,X,X,X,X,X,O,O,X,X,O,X,X
TLISZOJ,X,O,X,X,X,O,O,X,X,O,X,X
TLISOJZ,X,O,X,X,X,O,O,X,X,X,X,X
TLISOZJ,X,O,X,X,X,O,O,X,X,X,X,X
TLIZJSO,O,X,X,X,O,O,O,X,O,X,X,X
TLIZJOS,O,X,X,X,O,O,O,X,O,X,X,X
TLIZSJO,X,X,X,X,O,O,O,X,X,X,X,X
TLIZSOJ,X,X,X,X,O,O,O,X,X,X,X,X
TLIZOJS,X,X,X,X,O,O,O,X,O,X,X,X
TLIZOSJ,X,X,X,X,O,O,O,X,X,X,X,X
TLIOJSZ,X,O,X,X,X,X,O,X,O,X,X,X
TLIOJZS,X,X,X,X,X,X,O,X,O,X,X,X
TLIOSJZ,X,O,X,X,X,X,O,X,X,X,X,X
TLIOSZJ,X,O,X,X,X,X,O,X,X,X,X,O
TLIOZJS,X,X,X,X,O,O,O,X,O,X,X,X
TLIOZSJ,X,X,X,X,O,O,O,X,X,X,X,O
TLJISZO,X,X,X,X,X,O,O,X,O,X,X,X
TLJISOZ,X,X,X,X,X,X,O,X,X,X,X,X
TLJIZSO,O,X,X,X,X,O,O,X,O,X,X,X
TLJIZOS,O,X,X,X,X,O,O,X,O,X,X,X
TLJIOSZ,X,X,X,X,X,X,O,X,O,X,X,X
TLJIOZS,O,X,X,X,X,X,O,X,O,X,X,X
TLJSIZO,X,O,X,X,X,O,X,O,O,X,O,X
TLJSIOZ,X,O,X,X,X,X,X,O,X,X,O,X
TLJSZIO,O,X,X,X,X,O,O,O,O,X,O,X
TLJSZOI,O,X,X,X,X,O,O,O,O,X,O,X
TLJSOIZ,X,O,X,X,X,O,X,O,X,X,O,X
TLJSOZI,O,X,X,X,X,O,X,O,X,X,O,X
TLJZISO,O,X,O,X,O,O,O,X,O,X,X,X
TLJZIOS,O,X,O,X,O,O,O,X,O,X,X,X
TLJZSIO,O,X,O,X,O,O,O,X,O,X,O,X
TLJZSOI,O,X,O,X,O,O,O,X,O,X,O,X
TLJZOIS,O,X,O,X,O,O,X,X,O,X,X,X
TLJZOSI,O,X,O,X,O,X,O,X,O,X,X,X
TLJOISZ,X,X,X,X,X,X,X,X,O,X,X,X
TLJOIZS,O,X,X,X,X,X,X,X,O,X,X,X
TLJOSIZ,X,O,X,X,X,X,X,O,O,X,X,X
TLJOSZI,O,X,X,X,X,O,X,O,O,X,X,X
TLJOZIS,O,X,O,X,O,O,X,X,O,X,X,X
TLJOZSI,O,X,O,X,O,X,O,X,O,X,X,X
TLSIJZO,X,O,X,O,X,O,O,X,X,X,X,X
TLSIJOZ,X,O,X,O,X,X,O,X,X,X,X,X
TLSIZJO,X,X,X,O,X,O,O,X,X,O,X,X
TLSIZOJ,X,O,X,O,X,O,O,X,X,O,X,X
TLSIOJZ,X,O,X,O,X,O,O,X,X,X,X,X
TLSIOZJ,X,O,X,O,X,O,O,X,X,X,X,X
TLSJIZO,X,O,X,O,X,O,X,O,X,X,O,X
TLSJIOZ,X,O,X,O,X,X,X,O,X,X,O,X
TLSJZIO,X,X,X,O,X,O,O,O,X,O,O,X
TLSJZOI,X,X,X,O,X,O,O,O,X,O,O,X
TLSJOIZ,X,O,X,O,X,O,X,O,X,X,O,X
TLSJOZI,X,X,X,O,X,O,X,O,X,X,O,X
TLSZIJO,X,X,X,O,O,O,O,X,X,O,X,X
TLSZIOJ,X,X,X,O,O,O,O,X,X,O,X,X
TLSZJIO,X,X,X,O,O,O,O,X,X,O,X,X
TLSZJOI,X,X,X,O,O,O,O,X,X,O,X,X
TLSZOIJ,X,X,X,O,O,O,X,X,X,O,X,X
TLSZOJI,X,X,X,O,O,O,O,X,X,O,X,X
TLSOIJZ,X,O,X,O,X,O,X,X,X,X,X,X
TLSOIZJ,X,O,X,O,X,O,X,X,X,X,X,X
TLSOJIZ,X,O,X,O,X,O,X,O,X,X,X,X
TLSOJZI,X,X,X,O,X,O,X,O,X,X,X,X
TLSOZIJ,X,X,X,O,O,O,X,X,X,O,X,X
TLSOZJI,X,X,X,O,O,O,X,X,X,O,X,X
TLZIJSO,O,X,O,X,O,O,O,X,O,X,X,X
TLZIJOS,O,X,O,X,O,O,O,X,O,X,X,X
TLZISJO,X,X,X,O,O,O,O,X,X,X,X,X
TLZISOJ,X,X,X,O,O,O,O,X,X,X,X,X
TLZIOJS,X,X,O,X,O,O,O,X,O,X,X,X
TLZIOSJ,X,X,X,O,O,O,O,X,X,X,X,X
TLZJISO,O,X,O,X,O,O,O,X,O,X,X,X
TLZJIOS,O,X,O,X,O,O,O,X,O,X,X,X
TLZJSIO,O,X,O,X,O,O,O,X,O,X,O,X
TLZJSOI,O,X,O,X,O,O,O,X,O,X,O,X
TLZJOIS,O,X,O,X,O,O,X,X,O,X,X,X
TLZJOSI,O,X,O,X,O,X,O,X,O,X,X,X
TLZSIJO,X,X,X,O,O,O,O,X,X,X,X,X
TLZSIOJ,X,X,X,O,O,O,O,X,X,X,X,X
TLZSJIO,X,X,X,O,O,O,O,X,X,X,X,X
TLZSJOI,X,X,X,O,O,O,O,X,X,X,X,X
TLZSOIJ,X,X,X,O,O,O,X,X,X,X,X,X
TLZSOJI,X,X,X,O,O,O,O,X,X,X,X,X
TLZOIJS,X,X,O,X,O,O,O,X,O,X,X,X
TLZOISJ,X,X,X,O,O,O,O,X,X,X,X,X
TLZOJIS,X,X,O,X,O,O,X,X,O,X,X,X
