sequence,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBOlB/mBUiBtq?BywB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhF6gBzfBNnBxqBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhF6gBzfBNnBxqB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBSmBNnB/qB0r?BmqB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBKlBWmBNnB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBKlBWmBNnBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBOlBNnBCmB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBOlBNnBCmBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBNlBamBUiBfs?BWwB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfB0gB6mBNnB/q?B2wB,v115@3gF8GeC8HeD8EeF8DeC8JeK/IvhFzaB+gBNnBxqB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8JeK/IvhFzaB+gBNnBxqBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhF0bBzfB9qBxmB3m?BywB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBNlB3hBOsBCr?BUrB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBNlBUhBOsBCr?B3rB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBNlBGhB8qBXn?BywB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBKlBdmBUiBfs?BWwB,v115@3gF8GeC8HeD8EeF8DeC8JeT6IvhFxgBNnB6lBmkBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8JeT6IvhFxgBNnB6lBmkB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8Jex6IvhFTfBNlBUiBKrBfs?BuqB,v115@3gF8GeC8HeD8EeF8DeC8JeK/IvhFzaBNnBxlB+lB0r?BXrB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhF8fBtgB/qBxmBir?BzrB,v115@3gF8GeC8HeD8EeF8DeC8JeK/IvhFzaBNnBxlB+lBXr?B0rB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhFRgBUiBXgB9qBTm?BywB,v115@3gF8GeC8HeD8EeF8DeC8JeT6IvhF/mBUiBxkBOlBtq?BywB,v115@3gF8GeC8HeD8EeF8DeC8JeO/IvhFXbBChBNnBUlBTm?BRwB
TILJSZO,X,O,O,X,X,O,X,X,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TILJSOZ,X,O,O,X,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TILJZSO,X,O,O,X,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TILJZOS,X,O,O,X,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TILJOSZ,X,O,O,X,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O
TILJOZS,X,O,O,X,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TILSJZO,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X
TILSJOZ,X,O,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TILSZJO,X,O,X,X,O,O,X,X,O,X,O,O,O,X,X,O,X,X,X,O,X,O,O,X,X,X
TILSZOJ,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X
TILSOJZ,X,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TILSOZJ,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X
TILZJSO,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
TILZJOS,X,X,O,X,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
TILZSJO,X,X,X,X,O,O,X,X,O,X,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,O
TILZSOJ,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TILZOJS,X,X,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
TILZOSJ,X,X,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TILOJSZ,X,O,O,X,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O
TILOJZS,X,O,O,X,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TILOSJZ,X,O,O,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TILOSZJ,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O
