sequence,v115@EhB8IeA8IeA8AeC8AeE8Kei/IvhFzgBUiB5oB3kBWs?BlqB,v115@EhB8IeA8IeA8AeC8AeE8KeOEJvhF8kBzgBqmB/nB5o?BlqB,v115@EhB8IeA8IeA8AeC8AeE8Kei/IvhF3gBumB5oB1pB8q?BTsB,v115@EhB8IeA8IeA8AeC8AeE8Kel/IvhF3gBzhB5oB2pB8q?BSxB,v115@EhB8IeA8IeA8AeC8AeE8Kem/IvhFChB/nB5oBTkB0m?BlqB,v115@EhB8IeA8IeA8AeC8AeE8Ke0/IvhFlgB3hB5oB2pBTn?BCrB,v115@EhB8IeA8IeA8AeC8AeE8KeKEJvhFzfBWmB/nB5oB0m?BlqB,v115@EhB8IeA8IeA8AeC8AeE8KeKEJvhFflBlgBumB5oB8q?BTsB
TILJSZO,O,X,O,O,O,O,O,O
TILJSOZ,O,X,X,O,O,O,O,X
TILJZSO,O,X,O,O,X,O,O,O
TILJZOS,O,X,O,O,X,O,O,X
TILJOSZ,O,X,O,O,X,O,O,X
TILJOZS,O,X,O,O,X,O,O,X
TILSJZO,O,O,O,X,O,O,O,O
TILSJOZ,O,O,X,X,O,O,O,X
TILSZJO,O,O,O,X,O,O,O,O
TILSZOJ,O,O,O,X,O,X,O,O
TILSOJZ,O,O,O,X,O,O,O,O
TILSOZJ,O,O,O,X,O,X,O,O
TILZJSO,X,O,O,O,X,O,O,O
TILZJOS,X,X,O,O,X,O,O,X
TILZSJO,X,O,O,O,X,O,O,O
TILZSOJ,X,O,O,O,X,X,O,O
TILZOJS,X,X,O,O,X,X,O,O
TILZOSJ,X,X,O,O,X,X,O,O
TILOJSZ,O,X,O,O,O,O,O,O
TILOJZS,O,X,O,O,X,O,O,O
TILOSJZ,O,X,O,X,O,O,O,O
TILOSZJ,O,X,O,X,O,X,O,O
TILOZJS,X,X,O,O,X,X,O,O
TILOZSJ,X,X,O,O,X,X,O,O
TIJLSZO,O,X,O,O,O,O,O,O
TIJLSOZ,O,X,X,O,O,O,O,X
TIJLZSO,O,X,O,O,X,O,O,O
TIJLZOS,O,X,O,O,X,O,O,X
TIJLOSZ,O,X,O,O,X,O,O,X
TIJLOZS,O,X,O,O,X,O,O,X
TIJSLZO,O,O,O,O,O,X,O,X
TIJSLOZ,O,O,X,O,O,X,O,X
TIJSZLO,O,O,O,O,O,X,O,X
