sequence,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFCbB0cBTgB/?mB+pBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeO/IvhFxbBCgBlhB/?qBUmBTpB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeO/IvhFxbBflB0gBl?hBTpBCrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeT6IvhFxbBXgBlhBK?pBUmBGqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFCbB0cBlgB+?pB/qBTrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeT6IvhFxbB0gBlhB2?pBCrB3pB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeK/IvhFWgBxbBlhB/?qBUmBTpB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFCbB0cBGlBT?mB3pBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFzaBCcBlhB+?pB/qBUrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeT7IvhF0cBZkBWlB/?mB6pBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeK/IvhFRgB3hBUgBG?mBTpBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0cBlgB6pB/?qBTmBOpB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0cBTgB/mB6?pBOpBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFzaBSlBlhB8?qBGmB3pB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jez6IvhF+gB0cB/mB6?pBZkBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Je08IvhFlgBTmBxpBi?pB/pBGqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex/IvhFlhB0fBKpBu?qBXqBTrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Je08IvhFxkBTmBllBi?pB/pBGqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex/IvhFlhBXgBKpBu?qB0pBTrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0cBlfB3gBK?pBTmBGqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0cBlgBOpB/?qBTmB6pB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Je08IvhFxfB/mBTgB6?pBOpBlqB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Je36IvhF0gBlhB2kBT?pBxqBCrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0fBlhBKpBu?qBXqBTrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFufB1gB0cB6?qBTmB3pB,v115@5gD8GeC8FeD8FeD8BeA8AeF8JeZ/IvhFzaBFcBclB3?hB+pBCrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhFXgBlhBKpBu?qB0pBTrB,v115@5gD8GeC8FeD8FeD8BeA8AeF8Jex6IvhF0gBlhB6pB/?qBOpBTrB
TILJSZO,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X
TILJSOZ,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TILJZOS,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TILSJOZ,X,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSZJO,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O
TILSZOJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSOJZ,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZJSO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TILZSOJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZOJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOJSZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOJZS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOZJS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
