sequence,v115@IhA8IeA8EeB8AeB8AeA8AeE8JeOEJvhFZlBzgBfnB0?iB6oBFrB,v115@IhA8IeA8EeB8AeB8AeA8AeE8JeOEJvhFZlBFhB0iB6?oBfrBzrB
TIZJLOS,X,X
TIZJSLO,X,X
TIZJSOL,X,X
TIZJOLS,X,X
TIZJOSL,X,X
TIZSLJO,X,X
TIZSLOJ,X,X
TIZSJLO,X,X
TIZSJOL,X,X
TIZSOLJ,X,X
TIZSOJL,X,X
TIZOLJS,X,X
TIZOLSJ,X,X
TIZOJLS,X,X
TIZOJSL,X,X
TIZOSLJ,X,X
TIZOSJL,X,X
TIOLJSZ,O,X
TIOLJZS,X,X
TIOLSJZ,O,X
TIOLSZJ,O,X
TIOLZJS,X,X
TIOLZSJ,X,X
TIOJLSZ,O,X
TIOJLZS,X,X
TIOJSLZ,O,X
TIOJSZL,O,X
TIOJZLS,X,X
TIOJZSL,X,X
TIOSLJZ,O,X
TIOSLZJ,O,X
TIOSJLZ,O,X
TIOSJZL,O,X
TIOSZLJ,O,X
TIOSZJL,O,X
TIOZLJS,X,X
TIOZLSJ,X,X
TIOZJLS,X,X
TIOZJSL,X,X
TIOZSLJ,X,X
TIOZSJL,X,X
TLIJSZO,O,X
TLIJSOZ,O,X
TLIJZSO,X,X
TLIJZOS,X,X
TLIJOSZ,O,X
TLIJOZS,X,X
TLISJZO,O,X
TLISJOZ,O,X
TLISZJO,O,X
TLISZOJ,O,X
TLISOJZ,O,X
TLISOZJ,O,X
TLIZJSO,X,X
TLIZJOS,X,X
TLIZSJO,X,X
TLIZSOJ,X,X
TLIZOJS,X,X
TLIZOSJ,X,X
TLIOJSZ,O,X
TLIOJZS,X,X
TLIOSJZ,O,X
TLIOSZJ,O,X
TLIOZJS,X,X
TLIOZSJ,X,X
TLJISZO,O,X
TLJISOZ,O,X
TLJIZSO,X,X
TLJIZOS,X,X
TLJIOSZ,O,X
TLJIOZS,X,X
TLJSIZO,O,X
TLJSIOZ,O,X
TLJSZIO,O,X
TLJSZOI,O,X
TLJSOIZ,O,X
TLJSOZI,O,X
TLJZISO,X,X
TLJZIOS,X,X
TLJZSIO,X,X
TLJZSOI,X,X
TLJZOIS,X,X
TLJZOSI,X,X
TLJOISZ,O,X
TLJOIZS,X,X
TLJOSIZ,O,X
TLJOSZI,O,X
TLJOZIS,X,X
TLJOZSI,X,X
TLSIJZO,O,X
TLSIJOZ,O,X
TLSIZJO,O,X
TLSIZOJ,O,X
TLSIOJZ,O,X
TLSIOZJ,O,X
TLSJIZO,O,X
TLSJIOZ,O,X
TLSJZIO,O,X
TLSJZOI,O,X
TLSJOIZ,O,X
TLSJOZI,O,X
TLSZIJO,O,X
TLSZIOJ,O,X
TLSZJIO,O,X
TLSZJOI,O,X
TLSZOIJ,O,X
TLSZOJI,O,X
TLSOIJZ,O,X
TLSOIZJ,O,X
TLSOJIZ,O,X
TLSOJZI,O,X
TLSOZIJ,O,X
TLSOZJI,O,X
TLZIJSO,X,X
TLZIJOS,X,X
TLZISJO,X,X
TLZISOJ,X,X
TLZIOJS,X,X
TLZIOSJ,X,X
TLZJISO,X,X
TLZJIOS,X,X
TLZJSIO,X,X
TLZJSOI,X,X
TLZJOIS,X,X
TLZJOSI,X,X
TLZSIJO,X,X
TLZSIOJ,X,X
TLZSJIO,X,X
TLZSJOI,X,X
TLZSOIJ,X,X
TLZSOJI,X,X
TLZOIJS,X,X
TLZOISJ,X,X
TLZOJIS,X,X
TLZOJSI,X,X
TLZOSIJ,X,X
TLZOSJI,X,X
TLOIJSZ,O,X
TLOIJZS,X,X
TLOISJZ,O,X
TLOISZJ,O,X
TLOIZJS,X,X
TLOIZSJ,X,X
TLOJISZ,O,X
TLOJIZS,X,X
TLOJSIZ,O,X
TLOJSZI,O,X
TLOJZIS,X,X
TLOJZSI,X,X
TLOSIJZ,O,X
TLOSIZJ,O,X
TLOSJIZ,O,X
TLOSJZI,O,X
TLOSZIJ,O,X
TLOSZJI,O,X
TLOZIJS,X,X
TLOZISJ,X,X
TLOZJIS,X,X
TLOZJSI,X,X
TLOZSIJ,X,X
TLOZSJI,X,X
TJILSZO,O,X
TJILSOZ,O,X
TJILZSO,X,X
TJILZOS,X,X
TJILOSZ,O,X
TJILOZS,X,X
TJISLZO,O,X
TJISLOZ,O,X
TJISZLO,O,X
TJISZOL,O,X
TJISOLZ,O,X
TJISOZL,O,X
TJIZLSO,X,X
TJIZLOS,X,X
TJIZSLO,X,X
TJIZSOL,X,X
TJIZOLS,X,X
TJIZOSL,X,X
TJIOLSZ,O,X
TJIOLZS,X,X
TJIOSLZ,O,X
TJIOSZL,O,X
TJIOZLS,X,X
TJIOZSL,X,X
TJLISZO,O,X
TJLISOZ,O,X
