sequence,v115@zgB8HeC8GeB8FeD8FeH8AeC8Jex7IvhF6iBTeBclBm?hBXmBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Jex7IvhF8hBGeBamB3?iBTlBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Je07IvhFxdBzhBCjBX?hB2qBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Je38IvhF5iBTeBclBy?mBllBmrB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Jex7IvhFTeBclBXmBO?sB6sBlrB,v115@zgB8HeC8GeB8FeD8FeH8AeC8JeVBJvhFaiB5iBTeB0?gB2qBfsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8JefCJvhFxdBUhBCjBT?lBmlBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Je3AJvhFcmBxiBmhBC?jBTlBFsB
TILJSZO,X,O,X,X,X,X,O,X
TILJSOZ,X,X,O,X,X,X,X,X
TILJZSO,O,O,X,X,X,X,X,X
TILJZOS,O,O,O,X,X,X,X,X
TILJOSZ,X,X,O,X,X,X,X,X
TILJOZS,O,X,O,X,X,X,X,X
TILSJZO,O,O,X,X,X,X,O,X
TILSJOZ,O,X,O,X,X,X,X,X
TILSZJO,O,O,X,X,X,X,O,X
TILSZOJ,O,O,X,X,X,X,O,X
TILSOJZ,O,X,O,X,X,X,X,X
TILSOZJ,O,X,O,X,X,X,O,X
TILZJSO,O,O,X,X,X,X,X,X
TILZJOS,O,O,O,X,X,X,X,X
TILZSJO,X,O,X,X,X,X,O,O
TILZSOJ,O,X,X,X,X,X,O,O
TILZOJS,O,O,O,X,X,X,X,X
TILZOSJ,O,X,O,X,X,X,X,X
TILOJSZ,X,X,O,X,X,X,X,X
TILOJZS,O,X,O,X,X,X,X,X
TILOSJZ,O,X,O,X,X,X,X,X
TILOSZJ,O,X,O,X,X,X,O,X
TILOZJS,O,O,O,X,X,X,X,X
TILOZSJ,O,X,O,X,X,X,O,X
TIJLSZO,X,O,X,O,X,X,X,X
TIJLSOZ,X,X,O,O,X,X,X,X
TIJLZSO,O,O,X,O,X,X,X,X
TIJLZOS,O,O,O,O,X,X,X,X
TIJLOSZ,X,X,O,O,X,X,X,X
TIJLOZS,O,X,O,O,X,X,X,X
TIJSLZO,X,O,X,X,X,O,X,X
TIJSLOZ,X,X,X,X,X,O,X,X
TIJSZLO,X,O,X,X,X,O,X,X
TIJSZOL,X,O,X,X,X,O,X,X
TIJSOLZ,X,O,X,X,X,O,X,X
TIJSOZL,X,O,X,X,X,O,X,X
TIJZLSO,O,O,X,O,X,X,X,X
TIJZLOS,O,O,O,O,X,X,X,X
TIJZSLO,O,O,X,X,X,X,X,O
TIJZSOL,O,O,X,X,X,X,X,O
TIJZOLS,O,O,O,O,X,X,X,X
TIJZOSL,O,O,X,X,X,X,X,X
TIJOLSZ,X,O,O,O,X,X,X,X
TIJOLZS,O,O,O,O,X,X,X,X
TIJOSLZ,X,O,X,X,X,O,X,X
TIJOSZL,X,O,X,X,X,O,X,X
TIJOZLS,O,O,O,O,X,X,X,X
TIJOZSL,O,O,X,X,X,X,X,X
TISLJZO,O,O,X,X,X,O,O,X
TISLJOZ,O,X,X,X,X,O,X,X
TISLZJO,O,O,X,X,X,X,O,X
TISLZOJ,O,O,X,X,X,O,O,X
TISLOJZ,O,X,X,X,X,O,X,X
TISLOZJ,O,X,X,X,X,O,O,X
TISJLZO,O,O,X,X,X,O,X,X
TISJLOZ,O,X,X,X,X,O,X,X
TISJZLO,O,O,X,X,X,O,X,X
TISJZOL,O,O,X,X,X,O,X,X
TISJOLZ,O,O,X,X,X,O,X,X
TISJOZL,O,O,X,X,X,O,X,X
TISZLJO,O,O,X,X,X,X,O,O
TISZLOJ,O,O,X,X,X,O,O,O
TISZJLO,O,O,X,X,X,X,X,O
TISZJOL,O,O,X,X,X,X,X,O
TISZOLJ,O,O,X,X,X,O,X,O
TISZOJL,O,O,X,X,X,X,X,O
TISOLJZ,O,O,X,X,X,O,X,X
TISOLZJ,O,O,X,X,X,O,X,X
TISOJLZ,O,O,X,X,X,O,X,X
TISOJZL,O,O,X,X,X,O,X,X
TISOZLJ,O,O,X,X,X,O,X,X
TISOZJL,O,O,X,X,X,X,X,X
TIZLJSO,O,O,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,X,X,X
TIZLSJO,X,O,X,X,X,X,O,O
TIZLSOJ,O,X,X,X,X,X,O,O
TIZLOJS,O,O,O,X,X,X,X,X
TIZLOSJ,O,X,O,X,X,X,X,X
TIZJLSO,O,O,X,O,X,X,X,X
TIZJLOS,O,O,X,O,X,X,X,X
TIZJSLO,O,O,X,X,X,X,X,O
TIZJSOL,O,O,X,X,X,X,X,O
TIZJOLS,O,O,X,O,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X,X
TIZSLJO,O,X,X,X,X,X,O,O
TIZSLOJ,O,X,X,X,X,X,O,O
TIZSJLO,O,O,X,X,O,X,X,O
TIZSJOL,O,O,X,X,O,X,X,O
TIZSOLJ,O,X,X,X,X,X,X,O
TIZSOJL,O,X,X,X,O,X,X,O
TIZOLJS,O,O,O,X,X,X,X,X
TIZOLSJ,O,O,O,X,X,X,X,X
TIZOJLS,O,O,X,O,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,O
TIZOSJL,O,O,X,X,O,X,X,O
TIOLJSZ,X,O,O,X,X,X,X,X
TIOLJZS,O,O,O,X,X,X,X,X
TIOLSJZ,O,O,O,X,X,X,X,X
TIOLSZJ,O,O,O,X,X,X,X,X
TIOLZJS,O,O,O,X,X,X,X,X
TIOLZSJ,O,O,O,X,X,X,O,X
TIOJLSZ,X,O,O,O,X,X,X,X
TIOJLZS,O,O,O,O,X,X,X,X
TIOJSLZ,X,O,X,X,X,O,X,X
TIOJSZL,X,O,X,X,X,O,X,X
TIOJZLS,O,O,O,O,X,X,X,X
TIOJZSL,O,O,X,X,X,X,X,X
TIOSLJZ,O,O,X,X,X,O,X,X
TIOSLZJ,O,O,X,X,X,O,X,X
TIOSJLZ,O,O,X,X,X,O,X,X
TIOSJZL,O,O,X,X,X,O,X,X
TIOSZLJ,O,O,X,X,X,O,X,X
TIOSZJL,O,O,X,X,X,X,X,X
TIOZLJS,O,O,O,X,X,X,X,X
TIOZLSJ,O,O,O,X,X,X,O,X
TIOZJLS,O,O,X,O,X,X,X,X
TIOZJSL,O,O,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,O,O
TIOZSJL,O,O,X,X,O,X,X,O
TLIJSZO,X,O,X,X,X,X,O,X
TLIJSOZ,X,X,O,X,X,X,X,X
TLIJZSO,O,O,X,X,X,X,X,X
TLIJZOS,O,O,O,X,X,X,X,X
TLIJOSZ,X,X,O,X,X,X,X,X
TLIJOZS,O,X,O,X,X,X,X,X
TLISJZO,O,O,X,X,X,X,O,X
TLISJOZ,O,X,O,X,X,X,X,X
TLISZJO,O,O,X,X,X,X,O,X
TLISZOJ,O,O,X,X,X,X,O,X
TLISOJZ,O,X,O,X,X,X,X,X
TLISOZJ,O,X,O,X,X,X,O,X
TLIZJSO,O,O,X,X,X,X,X,X
TLIZJOS,O,O,O,X,X,X,X,X
TLIZSJO,X,O,X,X,X,X,O,O
TLIZSOJ,O,X,X,X,X,X,O,O
TLIZOJS,O,O,O,X,X,X,X,X
TLIZOSJ,O,X,O,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,X,X,X
TLIOJZS,O,X,O,X,X,X,X,X
TLIOSJZ,O,X,O,X,X,X,X,X
TLIOSZJ,O,X,O,X,X,X,O,X
TLIOZJS,O,O,O,X,X,X,X,X
TLIOZSJ,O,X,O,X,X,X,O,X
TLJISZO,X,O,X,X,X,X,O,X
TLJISOZ,X,X,O,X,X,X,X,X
TLJIZSO,O,O,X,X,X,X,X,X
TLJIZOS,O,O,O,X,X,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,X
TLJIOZS,O,X,O,X,X,X,X,X
TLJSIZO,O,O,X,X,X,X,O,X
TLJSIOZ,O,X,O,X,X,X,X,X
TLJSZIO,O,O,X,X,X,X,O,X
TLJSZOI,O,O,O,X,X,X,O,X
TLJSOIZ,O,O,O,X,X,X,X,X
TLJSOZI,O,O,O,X,X,X,X,X
TLJZISO,O,O,X,X,X,X,X,X
TLJZIOS,O,O,O,X,X,X,X,X
TLJZSIO,O,O,X,X,X,X,O,X
TLJZSOI,O,O,O,X,X,X,O,X
TLJZOIS,O,O,O,X,X,X,X,X
