sequence,v115@5gB8GeC8HeD8FeE8AeH8JeO/IvhFxbBTeBCgB/mB0l?BlpB,v115@5gB8GeC8HeD8FeE8AeH8JeU7IvhFFcBTeBikBGmBRq?B/pB,v115@5gB8GeC8HeD8FeE8AeH8Jex6IvhFOhBTeBlfBclB/p?BSwB,v115@5gB8GeC8HeD8FeE8AeH8Jey/IvhFFcBTeBWmB0fB/p?BxvB,v115@5gB8GeC8HeD8FeE8AeH8JeZ/IvhFufB1gBTeBXhB8p?BSwB,v115@5gB8GeC8HeD8FeE8AeH8Jex7IvhFTeB/mB6pB0qBOp?BFqB
TILJSZO,O,O,X,O,X,X
TILJSOZ,O,O,X,O,X,X
TILJZSO,X,O,X,X,X,X
TILJZOS,X,O,X,X,X,X
TILJOSZ,O,O,X,O,X,X
TILJOZS,X,O,X,X,X,X
TILSJZO,O,X,X,O,X,X
TILSJOZ,O,X,X,O,X,X
TILSZJO,O,X,X,X,X,X
TILSZOJ,O,X,X,X,X,X
TILSOJZ,O,X,X,O,X,X
TILSOZJ,O,X,X,X,X,X
TILZJSO,X,X,X,X,O,X
TILZJOS,X,X,X,X,O,X
TILZSJO,X,X,X,X,O,X
TILZSOJ,X,X,X,X,O,X
TILZOJS,X,X,X,X,O,X
TILZOSJ,X,X,X,X,O,X
TILOJSZ,O,O,X,O,X,X
TILOJZS,X,O,X,X,X,X
TILOSJZ,O,X,X,O,X,X
TILOSZJ,O,X,X,X,X,X
TILOZJS,X,X,X,X,O,X
TILOZSJ,X,X,X,X,O,X
TIJLSZO,O,O,X,O,X,X
TIJLSOZ,O,O,X,O,X,X
TIJLZSO,X,O,X,X,X,X
TIJLZOS,X,O,X,X,X,X
TIJLOSZ,O,O,X,O,X,X
TIJLOZS,X,O,X,X,X,X
TIJSLZO,O,O,X,O,X,X
TIJSLOZ,O,O,X,O,X,X
TIJSZLO,X,X,X,O,X,X
TIJSZOL,O,X,X,O,X,X
TIJSOLZ,O,O,X,O,X,X
TIJSOZL,O,X,X,O,X,X
TIJZLSO,O,O,X,X,X,X
TIJZLOS,O,O,X,X,X,X
TIJZSLO,O,X,X,O,X,X
TIJZSOL,O,X,X,O,X,X
TIJZOLS,O,O,X,X,X,X
TIJZOSL,O,X,X,O,X,X
TIJOLSZ,O,O,X,O,X,X
TIJOLZS,X,O,X,X,X,X
TIJOSLZ,O,O,X,O,X,X
TIJOSZL,O,X,X,O,X,X
TIJOZLS,O,O,X,X,X,X
TIJOZSL,O,X,X,O,X,X
TISLJZO,O,X,X,O,X,X
TISLJOZ,O,X,X,O,X,X
TISLZJO,O,X,X,X,X,X
TISLZOJ,O,X,X,X,X,X
TISLOJZ,O,X,X,O,X,X
TISLOZJ,O,X,X,X,X,X
TISJLZO,O,O,X,O,X,X
TISJLOZ,O,O,X,O,X,X
TISJZLO,X,X,X,O,X,X
TISJZOL,O,X,X,O,X,X
TISJOLZ,O,O,X,O,X,X
TISJOZL,O,X,X,O,X,X
TISZLJO,O,X,X,X,X,O
TISZLOJ,O,X,X,X,X,O
TISZJLO,O,X,X,O,X,X
TISZJOL,O,X,X,O,X,X
TISZOLJ,O,X,X,X,X,O
TISZOJL,O,X,X,O,X,X
TISOLJZ,O,X,X,O,X,X
TISOLZJ,O,X,X,X,X,X
TISOJLZ,O,O,X,O,X,X
TISOJZL,O,X,X,O,X,X
TISOZLJ,O,X,X,X,X,O
TISOZJL,O,X,X,O,X,X
TIZLJSO,O,X,X,X,O,X
TIZLJOS,O,X,X,X,O,X
TIZLSJO,O,X,X,X,O,X
TIZLSOJ,O,X,X,X,O,X
TIZLOJS,O,X,X,X,O,X
TIZLOSJ,O,X,X,X,O,X
TIZJLSO,O,O,X,X,O,X
TIZJLOS,O,O,X,X,O,X
TIZJSLO,O,X,X,O,X,X
TIZJSOL,O,X,X,O,O,X
TIZJOLS,O,O,X,X,O,X
TIZJOSL,O,X,X,O,O,X
TIZSLJO,O,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X
TIZSJLO,O,X,X,O,X,X
TIZSJOL,O,X,X,O,O,X
TIZSOLJ,O,X,X,X,X,X
TIZSOJL,O,X,X,O,O,X
TIZOLJS,O,X,X,X,O,X
TIZOLSJ,O,X,X,X,O,X
TIZOJLS,O,O,X,X,O,X
TIZOJSL,O,X,X,O,O,X
TIZOSLJ,O,X,X,X,X,X
TIZOSJL,O,X,X,O,O,X
TIOLJSZ,O,O,X,O,X,X
TIOLJZS,X,O,X,X,X,X
TIOLSJZ,O,X,X,O,X,X
TIOLSZJ,O,X,X,X,X,X
TIOLZJS,X,X,X,X,O,X
TIOLZSJ,X,X,X,X,O,X
TIOJLSZ,O,O,X,O,X,X
TIOJLZS,X,O,X,X,X,X
TIOJSLZ,O,O,X,O,X,X
TIOJSZL,O,X,X,O,X,X
TIOJZLS,O,O,X,X,X,X
TIOJZSL,O,X,X,O,X,X
TIOSLJZ,O,X,X,O,X,X
TIOSLZJ,O,X,X,X,X,X
TIOSJLZ,O,O,X,O,X,X
TIOSJZL,O,X,X,O,X,X
TIOSZLJ,O,X,X,X,X,O
TIOSZJL,O,X,X,O,X,X
TIOZLJS,O,X,X,X,O,X
TIOZLSJ,O,X,X,X,O,X
TIOZJLS,O,O,X,X,O,X
TIOZJSL,O,X,X,O,O,X
TIOZSLJ,O,X,X,X,X,X
TIOZSJL,O,X,X,O,O,X
TLIJSZO,O,O,X,O,X,X
TLIJSOZ,O,O,X,O,X,X
TLIJZSO,X,O,X,X,X,X
TLIJZOS,X,O,X,X,X,X
TLIJOSZ,O,O,X,O,X,X
TLIJOZS,X,O,X,X,X,X
TLISJZO,O,X,X,O,X,X
TLISJOZ,O,X,X,O,X,X
TLISZJO,O,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X
TLISOJZ,O,X,X,O,X,X
TLISOZJ,O,X,X,X,X,X
TLIZJSO,X,X,X,X,O,X
TLIZJOS,X,X,X,X,O,X
TLIZSJO,X,X,X,X,O,X
TLIZSOJ,X,X,X,X,O,X
TLIZOJS,X,X,X,X,O,X
TLIZOSJ,X,X,X,X,O,X
TLIOJSZ,O,O,X,O,X,X
TLIOJZS,X,O,X,X,X,X
TLIOSJZ,O,X,X,O,X,X
TLIOSZJ,O,X,X,X,X,X
TLIOZJS,X,X,X,X,O,X
TLIOZSJ,X,X,X,X,O,X
TLJISZO,O,O,X,X,X,X
TLJISOZ,O,O,X,X,X,X
TLJIZSO,X,O,X,X,X,X
TLJIZOS,X,O,X,X,X,X
TLJIOSZ,O,O,X,X,X,X
TLJIOZS,X,O,X,X,X,X
TLJSIZO,O,O,X,X,X,X
TLJSIOZ,O,O,X,X,X,X
TLJSZIO,O,X,O,X,X,X
TLJSZOI,O,X,O,X,X,X
TLJSOIZ,O,O,X,X,X,X
TLJSOZI,O,X,O,X,X,X
TLJZISO,O,O,X,X,X,X
TLJZIOS,O,O,O,X,X,X
TLJZSIO,O,X,O,X,X,X
TLJZSOI,O,X,O,X,X,X
TLJZOIS,O,O,O,X,X,X
TLJZOSI,O,X,O,X,X,X
TLJOISZ,O,O,X,X,X,X
TLJOIZS,X,O,X,X,X,X
TLJOSIZ,O,O,X,X,X,X
TLJOSZI,O,X,O,X,X,X
TLJOZIS,O,O,O,X,X,X
TLJOZSI,O,X,O,X,X,X
TLSIJZO,O,X,X,O,X,X
TLSIJOZ,O,X,X,O,X,X
TLSIZJO,O,X,X,X,X,X
TLSIZOJ,O,X,X,X,X,X
TLSIOJZ,O,X,X,O,X,X
TLSIOZJ,O,X,X,X,X,X
TLSJIZO,O,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,X
TLSJZIO,O,X,O,X,X,X
TLSJZOI,O,X,O,X,X,X
TLSJOIZ,O,X,X,X,X,X
TLSJOZI,O,X,O,X,X,X
TLSZIJO,O,X,O,X,X,O
TLSZIOJ,O,X,O,X,X,O
TLSZJIO,O,X,O,X,X,O
TLSZJOI,O,X,O,X,X,O
TLSZOIJ,O,X,O,X,X,O
TLSZOJI,O,X,O,X,X,O
TLSOIJZ,O,X,X,O,X,X
TLSOIZJ,O,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,X
TLSOJZI,O,X,O,X,X,X
TLSOZIJ,O,X,O,X,X,O
TLSOZJI,O,X,O,X,X,O
TLZIJSO,O,X,X,X,O,X
TLZIJOS,O,X,O,X,O,X
TLZISJO,O,X,X,X,O,X
TLZISOJ,O,X,X,X,O,X
TLZIOJS,O,X,O,X,O,X
TLZIOSJ,O,X,X,X,O,X
TLZJISO,O,X,X,X,O,X
TLZJIOS,O,X,O,X,O,X
TLZJSIO,O,X,O,X,O,X
TLZJSOI,O,X,O,X,O,X
TLZJOIS,O,X,O,X,O,X
TLZJOSI,O,X,O,X,O,X
TLZSIJO,O,X,O,X,O,O
TLZSIOJ,O,X,O,X,O,O
TLZSJIO,O,X,O,X,O,O
TLZSJOI,O,X,O,X,O,O
TLZSOIJ,O,X,O,X,O,O
TLZSOJI,O,X,O,X,O,O
TLZOIJS,O,X,O,X,O,X
TLZOISJ,O,X,X,X,O,X
TLZOJIS,O,X,O,X,O,X
TLZOJSI,O,X,O,X,O,X
TLZOSIJ,O,X,O,X,O,O
TLZOSJI,O,X,O,X,O,O
TLOIJSZ,O,O,X,O,X,X
TLOIJZS,X,O,X,X,X,X
TLOISJZ,O,X,X,O,X,X
TLOISZJ,O,X,X,X,X,X
TLOIZJS,X,X,X,X,O,X
TLOIZSJ,X,X,X,X,O,X
TLOJISZ,O,O,X,X,X,X
TLOJIZS,X,O,X,X,X,X
TLOJSIZ,O,O,X,X,X,X
TLOJSZI,O,X,O,X,X,X
TLOJZIS,O,O,O,X,X,X
TLOJZSI,O,X,O,X,X,X
TLOSIJZ,O,X,X,O,X,X
TLOSIZJ,O,X,X,X,X,X
TLOSJIZ,O,X,X,X,X,X
TLOSJZI,O,X,O,X,X,X
TLOSZIJ,O,X,O,X,X,O
TLOSZJI,O,X,O,X,X,O
TLOZIJS,O,X,O,X,O,X
TLOZISJ,O,X,X,X,O,X
TLOZJIS,O,X,O,X,O,X
TLOZJSI,O,X,O,X,O,X
TLOZSIJ,O,X,O,X,O,O
TLOZSJI,O,X,O,X,O,O
TJILSZO,O,O,X,O,X,X
TJILSOZ,O,O,X,O,X,X
TJILZSO,X,O,X,X,X,X
TJILZOS,X,O,X,X,X,X
TJILOSZ,O,O,X,O,X,X
TJILOZS,X,O,X,X,X,X
TJISLZO,O,O,X,O,X,X
TJISLOZ,O,O,X,O,X,X
TJISZLO,X,X,X,O,X,X
TJISZOL,O,X,X,O,X,X
TJISOLZ,O,O,X,O,X,X
TJISOZL,O,X,X,O,X,X
TJIZLSO,O,O,X,X,X,X
TJIZLOS,O,O,X,X,X,X
TJIZSLO,O,X,X,O,X,X
TJIZSOL,O,X,X,O,X,X
TJIZOLS,O,O,X,X,X,X
TJIZOSL,O,X,X,O,X,X
TJIOLSZ,O,O,X,O,X,X
TJIOLZS,X,O,X,X,X,X
TJIOSLZ,O,O,X,O,X,X
TJIOSZL,O,X,X,O,X,X
TJIOZLS,O,O,X,X,X,X
TJIOZSL,O,X,X,O,X,X
TJLISZO,O,O,X,X,X,X
TJLISOZ,O,O,X,X,X,X
TJLIZSO,X,O,X,X,X,X
TJLIZOS,X,O,X,X,X,X
TJLIOSZ,O,O,X,X,X,X
TJLIOZS,X,O,X,X,X,X
TJLSIZO,O,O,X,X,X,X
TJLSIOZ,O,O,X,X,X,X
TJLSZIO,O,X,O,X,X,X
