sequence,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBXhBF?nB8sBmsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBXhBl?iBUnBetB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBVmBU?iBetB3sB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFehBCdBxiBU?nBFoBXtB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFehBRdBCiB/?sBFoBctB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBVmB3?iBetBUsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF0cBxdBVmBG?jB/sBatB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFicBWjBRmBF?oBUnBXtB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF2hBXeBcoBR?mBqsBFsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB+jBVmBa?nBftB8sB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF0hBxiBXhBS?oBmsBlsB
TILJSZO,X,X,X,X,X,O,X,X,X,X,X
TILJSOZ,X,X,O,X,X,O,X,X,X,X,X
TILJZSO,X,X,O,X,X,X,X,O,O,X,X
TILJZOS,X,X,O,X,X,O,X,O,O,X,X
TILJOSZ,X,X,O,X,X,O,X,X,X,X,X
TILJOZS,X,X,O,X,X,O,X,O,O,X,X
TILSJZO,X,X,X,X,X,X,X,X,X,O,X
TILSJOZ,X,X,X,X,X,X,X,X,X,O,X
TILSZJO,X,X,X,X,X,X,X,O,X,X,X
TILSZOJ,X,X,X,X,X,X,X,O,X,X,X
TILSOJZ,X,X,O,X,X,O,X,X,X,O,X
TILSOZJ,X,X,X,X,X,X,X,O,X,X,X
TILZJSO,X,X,O,X,X,X,X,O,O,X,X
TILZJOS,X,X,O,X,X,X,X,O,O,X,X
TILZSJO,X,X,X,X,X,X,X,O,O,X,X
TILZSOJ,X,X,X,X,X,X,X,O,O,X,X
TILZOJS,X,X,O,X,X,O,X,O,O,X,X
TILZOSJ,X,X,X,X,X,X,X,O,O,X,X
TILOJSZ,X,X,O,X,X,O,X,X,X,X,X
TILOJZS,X,X,O,X,X,O,X,O,O,X,X
TILOSJZ,X,X,O,X,X,O,X,X,X,O,X
TILOSZJ,X,X,X,X,X,X,X,O,X,X,X
TILOZJS,X,X,O,X,X,O,X,O,O,X,X
TILOZSJ,X,X,X,X,X,X,X,O,O,X,X
TIJLSZO,X,X,X,X,X,O,X,X,X,X,X
TIJLSOZ,X,X,O,X,X,O,X,X,X,X,X
TIJLZSO,X,X,O,X,X,X,X,O,O,X,X
