sequence,v115@EhD8EeF8DeG8BeE8Jei6IvhF3bB1hBxdBWlBTmB0qB,v115@EhD8EeF8DeG8BeE8Je//IvhFUbBxdBlhBilBGmBzqB,v115@EhD8EeF8DeG8BeE8Jei6IvhFxdBflB0gBlhBGmBzqB,v115@EhD8EeF8DeG8BeE8Jei6IvhFFcBxdBflB0gBumBzqB,v115@EhD8EeF8DeG8BeE8JeT6IvhF/gBxdBUlBOrBlmBCrB,v115@EhD8EeF8DeG8BeE8Jei6IvhFxdBzfBfmBlhBGmB0qB,v115@EhD8EeF8DeG8BeE8Je//IvhFUbBxdBTlBOrBlmBCrB,v115@EhD8EeF8DeG8BeE8JeT6IvhFxdBXgBlhBuqBilBcrB,v115@EhD8EeF8DeG8BeE8Jei6IvhFxdBzfBlhBUmB+lBXrB
TILJSZO,O,O,O,O,X,X,X,X,X
TILJSOZ,O,X,X,O,X,X,X,O,X
TILJZSO,O,X,X,O,X,X,X,X,X
TILJZOS,O,X,X,O,X,X,X,X,X
TILJOSZ,O,X,X,O,X,X,X,X,X
TILJOZS,O,X,X,O,X,X,X,X,X
TILSJZO,O,O,O,O,X,X,X,X,X
TILSJOZ,O,X,X,O,X,X,X,X,X
TILSZJO,O,O,O,O,X,X,X,X,X
TILSZOJ,O,O,O,O,X,X,X,X,X
TILSOJZ,O,O,O,X,X,X,X,O,X
TILSOZJ,X,O,O,O,X,X,X,X,X
TILZJSO,O,X,X,X,X,X,X,X,X
TILZJOS,O,X,X,X,X,X,X,X,X
TILZSJO,O,O,O,X,X,X,X,X,X
TILZSOJ,O,O,O,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,O
TILZOSJ,O,X,X,X,X,O,X,X,O
TILOJSZ,O,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,X
TILOSJZ,O,O,O,X,X,X,X,O,X
TILOSZJ,O,O,O,O,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,X,X,O
TILOZSJ,O,X,X,X,X,O,X,X,O
TIJLSZO,O,O,O,O,X,X,X,X,X
TIJLSOZ,O,X,X,O,X,X,X,O,X
TIJLZSO,O,X,X,O,X,X,X,X,X
TIJLZOS,O,X,X,O,X,X,X,X,X
TIJLOSZ,O,X,X,O,X,X,X,X,X
TIJLOZS,O,X,X,O,X,X,X,X,X
TIJSLZO,O,O,O,O,X,X,X,X,X
TIJSLOZ,O,X,X,O,X,X,X,O,X
TIJSZLO,O,O,O,O,X,X,X,X,X
TIJSZOL,X,X,X,O,X,X,X,O,X
TIJSOLZ,O,O,X,O,X,X,O,O,X
TIJSOZL,X,X,X,O,X,X,O,O,X
TIJZLSO,O,X,X,O,X,X,X,X,X
TIJZLOS,O,X,X,O,X,X,X,X,X
TIJZSLO,O,X,X,O,O,X,X,X,X
TIJZSOL,O,X,X,X,O,X,X,O,X
TIJZOLS,O,X,X,O,X,X,X,X,O
TIJZOSL,O,X,X,O,O,X,X,X,O
TIJOLSZ,O,X,X,O,X,X,X,X,X
TIJOLZS,O,X,X,O,X,X,X,X,X
TIJOSLZ,O,O,O,O,X,X,O,O,X
TIJOSZL,O,X,O,O,X,X,O,O,X
TIJOZLS,O,X,X,O,X,X,X,X,X
TIJOZSL,O,X,X,O,O,X,X,X,X
TISLJZO,O,O,O,O,X,X,X,X,X
TISLJOZ,O,X,X,O,X,X,X,X,X
TISLZJO,O,O,O,O,X,X,X,X,X
TISLZOJ,O,O,O,O,X,X,X,X,X
TISLOJZ,O,O,O,X,X,X,X,O,X
TISLOZJ,X,O,O,O,X,X,X,X,X
TISJLZO,O,O,O,O,X,X,X,X,X
TISJLOZ,O,X,X,O,X,X,X,O,X
TISJZLO,O,O,O,O,X,X,X,X,X
TISJZOL,X,X,X,O,X,X,X,O,X
TISJOLZ,O,O,X,O,X,X,O,O,X
TISJOZL,X,X,X,O,X,X,O,O,X
TISZLJO,O,O,O,O,X,X,X,X,X
TISZLOJ,O,O,O,O,X,X,X,X,X
TISZJLO,O,O,O,O,X,X,X,X,X
TISZJOL,O,X,X,X,X,X,X,X,X
TISZOLJ,O,O,O,O,X,X,X,X,O
TISZOJL,O,X,X,X,X,X,O,O,O
TISOLJZ,O,O,O,X,X,X,X,O,X
TISOLZJ,O,O,O,O,X,X,X,X,X
TISOJLZ,O,O,O,X,X,X,O,O,X
TISOJZL,O,X,O,X,X,X,O,O,X
TISOZLJ,O,O,O,O,X,X,X,X,X
TISOZJL,O,X,O,O,X,X,O,O,X
TIZLJSO,O,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,X,X,X,X,X,X
TIZLSJO,O,O,O,X,X,X,X,X,X
TIZLSOJ,O,O,O,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X,X,X,O
TIZLOSJ,O,X,X,X,X,O,X,X,O
TIZJLSO,O,X,X,X,X,X,X,X,X
TIZJLOS,O,X,X,X,X,X,X,X,X
TIZJSLO,O,X,X,X,O,X,X,X,X
TIZJSOL,O,X,X,X,O,X,X,O,X
TIZJOLS,O,X,X,X,X,X,X,X,O
TIZJOSL,O,X,X,X,O,X,X,X,O
TIZSLJO,O,O,O,X,X,X,X,X,X
TIZSLOJ,O,O,O,X,X,O,X,X,X
TIZSJLO,O,O,O,X,O,X,X,X,X
TIZSJOL,O,X,X,X,O,O,X,X,X
TIZSOLJ,O,O,O,X,X,O,X,X,O
TIZSOJL,O,X,X,X,O,O,X,O,O
TIZOLJS,O,X,X,X,X,X,X,X,O
TIZOLSJ,O,X,X,X,X,O,X,X,O
TIZOJLS,O,X,X,X,X,X,X,X,O
TIZOJSL,O,X,X,X,O,X,X,X,O
TIZOSLJ,O,O,O,X,X,O,X,X,O
TIZOSJL,O,X,O,X,O,O,X,O,O
TIOLJSZ,O,O,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,O,X,X,X,X,O,X
TIOLSZJ,O,O,O,O,X,X,X,X,X
TIOLZJS,O,X,X,X,X,X,X,X,O
TIOLZSJ,O,O,X,X,X,O,X,X,O
TIOJLSZ,O,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,O,X,X,X,O,O,X
TIOJSZL,O,X,O,X,X,X,O,O,X
TIOJZLS,O,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,X,O,X,X,X,X
TIOSLJZ,O,O,O,X,X,X,X,O,X
TIOSLZJ,O,O,O,O,X,X,X,X,X
TIOSJLZ,O,O,O,X,X,X,O,O,X
TIOSJZL,O,X,O,X,X,X,O,O,X
TIOSZLJ,O,O,O,O,X,X,X,X,X
TIOSZJL,O,X,O,O,X,X,O,O,X
TIOZLJS,O,X,X,X,X,X,X,X,O
TIOZLSJ,O,X,X,O,X,O,X,X,O
TIOZJLS,O,X,X,X,X,X,X,X,O
TIOZJSL,O,X,X,O,O,X,X,X,O
TIOZSLJ,O,O,O,O,X,O,X,X,O
TIOZSJL,O,X,O,O,O,O,X,O,O
TLIJSZO,O,O,O,O,X,X,X,X,X
TLIJSOZ,O,X,X,O,X,X,X,O,X
TLIJZSO,O,X,X,O,X,X,X,X,X
TLIJZOS,O,X,X,O,X,X,X,X,X
TLIJOSZ,O,X,X,O,X,X,X,X,X
TLIJOZS,O,X,X,O,X,X,X,X,X
TLISJZO,O,O,O,O,X,X,X,X,X
TLISJOZ,O,X,X,O,X,X,X,X,X
TLISZJO,O,O,O,O,X,X,X,X,X
TLISZOJ,O,O,O,O,X,X,X,X,X
TLISOJZ,O,O,O,X,X,X,X,O,X
TLISOZJ,X,O,O,O,X,X,X,X,X
TLIZJSO,O,X,X,X,X,X,X,X,X
TLIZJOS,O,X,X,X,X,X,X,X,X
TLIZSJO,O,O,O,X,X,X,X,X,X
TLIZSOJ,O,O,O,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,X,O
TLIZOSJ,O,X,X,X,X,O,X,X,O
TLIOJSZ,O,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X,X,X,X
TLIOSJZ,O,O,O,X,X,X,X,O,X
TLIOSZJ,O,O,O,O,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X,X,X,O
TLIOZSJ,O,X,X,X,X,O,X,X,O
TLJISZO,O,O,O,O,X,X,X,X,X
TLJISOZ,O,X,X,O,X,X,X,O,X
TLJIZSO,O,X,X,O,X,X,X,X,X
TLJIZOS,O,X,X,O,X,X,X,X,X
TLJIOSZ,O,X,X,O,X,X,X,X,X
TLJIOZS,O,X,X,O,X,X,X,X,X
TLJSIZO,O,O,O,O,X,X,X,X,X
TLJSIOZ,O,X,X,O,X,X,X,O,X
TLJSZIO,O,O,O,O,X,X,X,X,X
TLJSZOI,O,O,O,O,X,X,X,X,X
TLJSOIZ,O,X,X,O,X,X,X,O,X
TLJSOZI,X,X,X,O,X,X,X,O,X
TLJZISO,O,X,X,O,X,X,X,X,X
TLJZIOS,O,X,X,O,X,X,X,X,X
TLJZSIO,O,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,O,X,X,X,X,X
TLJOIZS,O,X,X,O,X,X,X,X,X
TLJOSIZ,O,X,X,O,X,X,X,X,X
TLJOSZI,O,X,X,O,X,X,X,X,X
TLJOZIS,O,X,X,O,X,X,X,X,X
TLJOZSI,O,X,X,X,X,X,X,X,X
TLSIJZO,O,O,O,O,X,X,X,X,X
TLSIJOZ,O,X,X,O,X,X,X,X,X
TLSIZJO,O,O,O,O,X,X,X,X,X
TLSIZOJ,O,O,O,O,X,X,X,X,X
TLSIOJZ,O,O,O,X,X,X,X,O,X
TLSIOZJ,X,O,O,O,X,X,X,X,X
TLSJIZO,O,O,O,O,X,X,X,X,X
TLSJIOZ,O,X,X,O,X,X,X,X,X
TLSJZIO,O,O,O,O,X,X,X,X,X
TLSJZOI,X,O,O,O,X,X,X,X,X
TLSJOIZ,O,X,X,O,X,X,X,X,X
TLSJOZI,X,X,X,O,X,X,X,X,X
TLSZIJO,O,O,O,O,X,X,X,X,X
TLSZIOJ,O,O,O,O,X,X,X,X,X
TLSZJIO,O,O,O,O,X,X,X,X,X
TLSZJOI,O,O,O,O,X,X,X,X,X
TLSZOIJ,O,O,O,O,X,X,X,X,X
TLSZOJI,X,O,O,X,X,X,X,X,X
TLSOIJZ,O,O,O,X,X,X,X,O,X
TLSOIZJ,X,O,O,O,X,X,X,X,X
TLSOJIZ,X,O,O,O,X,X,X,O,X
TLSOJZI,X,O,O,O,X,X,X,O,X
TLSOZIJ,X,O,O,O,X,X,X,X,X
TLSOZJI,X,O,O,O,X,X,X,X,X
TLZIJSO,O,X,X,X,X,X,X,X,X
TLZIJOS,O,X,X,X,X,X,X,X,X
TLZISJO,O,O,O,X,X,X,X,X,X
TLZISOJ,O,O,O,X,X,X,X,X,X
TLZIOJS,O,X,X,X,X,X,X,X,O
TLZIOSJ,O,X,X,X,X,O,X,X,O
TLZJISO,O,X,X,X,X,X,X,X,X
TLZJIOS,O,X,X,X,X,X,X,X,X
TLZJSIO,O,X,X,X,X,X,X,X,X
TLZJSOI,O,X,X,X,X,X,X,X,X
TLZJOIS,O,X,X,X,X,X,X,X,X
TLZJOSI,O,X,X,X,X,X,X,X,X
TLZSIJO,O,O,O,X,X,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,X,X
TLZSJOI,O,O,O,X,X,X,X,X,X
TLZSOIJ,O,O,O,X,X,X,X,X,X
TLZSOJI,X,O,O,X,X,X,X,X,X
TLZOIJS,O,X,X,X,X,X,X,X,O
TLZOISJ,O,X,X,X,X,O,X,X,O
