sequence,v115@7gB8HeC8DeF8EeF8CeE8Je//IvhFRbBGdBTgBihBUq?BFrB,v115@7gB8HeC8DeF8EeF8CeE8Je//IvhFRbBShBTdB2lBUq?BFrB,v115@7gB8HeC8DeF8EeF8CeE8Je//IvhFagBGdBRhBzgBUq?BFrB,v115@7gB8HeC8DeF8EeF8CeE8Jem6IvhFRcBSiB0fBzgBFq?BXrB,v115@7gB8HeC8DeF8EeF8CeE8Jei6IvhFGcBTdBRgBfqBVr?B0qB,v115@7gB8HeC8DeF8EeF8CeE8Je37IvhFchBTdB6kBmfBxq?B1vB,v115@7gB8HeC8DeF8EeF8CeE8JeT6IvhFibBGdBRlBfrBlm?BUqB,v115@7gB8HeC8DeF8EeF8CeE8JeT6IvhFxcBfqBmlBllBCn?B0qB,v115@7gB8HeC8DeF8EeF8CeE8JeR7IvhFGdB0gBaqB/kBlm?BzqB,v115@7gB8HeC8DeF8EeF8CeE8JeG8IvhFTdBxfB8lBaqBlk?BXrB
TILJSZO,O,O,O,O,X,X,X,X,X,X
TILJSOZ,O,O,O,O,O,X,X,X,X,X
TILJZSO,O,X,O,O,X,O,X,X,X,X
TILJZOS,O,X,X,O,O,O,X,X,X,X
TILJOSZ,O,O,X,X,O,X,X,X,X,X
TILJOZS,X,X,X,O,O,O,X,X,X,X
TILSJZO,O,O,O,O,O,X,X,X,X,X
TILSJOZ,O,O,O,O,O,X,X,X,X,X
TILSZJO,O,X,O,O,O,O,X,X,X,X
TILSZOJ,O,O,X,O,O,O,X,X,X,X
TILSOJZ,O,O,O,O,O,X,X,X,X,X
TILSOZJ,O,O,X,O,O,O,X,X,X,X
TILZJSO,O,O,O,O,X,O,X,X,X,X
TILZJOS,O,O,X,O,O,O,X,X,X,X
TILZSJO,O,O,O,O,X,O,X,X,X,X
TILZSOJ,O,O,O,O,X,O,X,X,X,X
TILZOJS,O,O,X,O,O,O,X,X,X,X
TILZOSJ,O,O,X,O,X,O,X,X,X,X
TILOJSZ,O,O,X,X,O,X,X,X,X,X
TILOJZS,X,X,X,O,O,O,X,X,X,X
TILOSJZ,O,O,X,O,O,X,X,X,X,X
TILOSZJ,O,O,X,O,O,O,X,X,X,X
TILOZJS,X,O,X,O,O,O,X,X,X,X
TILOZSJ,X,O,X,O,X,O,X,X,X,X
TIJLSZO,O,O,O,X,X,X,X,X,X,X
