sequence,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFqfBmbBzcBF?mBXqB0qB,v115@6gC8GeC8FeD8AeA8CeF8DeE8Jei6IvhFRcBckBlgB3?hBeqBzqB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFqfBmbBzcBF?mB0qBXqB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFFbB8gBzcBf?lBOrBSvB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFXcB8hBzfBa?rBGlBVvB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhF3bBzcBUlBF?mBupByvB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFmcBflBlgBc?mBqqBzpB,v115@6gC8GeC8FeD8AeA8CeF8DeE8Jei7IvhFOkBRhB3hBF?lBzqB0pB
TILJSZO,O,X,X,O,X,X,X,X
TILJSOZ,O,X,O,O,X,X,X,X
TILJZSO,X,X,O,O,O,X,X,X
TILJZOS,O,X,O,O,O,X,X,X
TILJOSZ,O,X,O,O,X,X,X,X
TILJOZS,O,X,O,O,O,X,X,X
TILSJZO,O,X,X,O,X,X,X,X
TILSJOZ,O,X,O,O,X,X,X,X
TILSZJO,O,X,O,O,O,X,X,X
TILSZOJ,O,X,O,O,O,X,X,X
TILSOJZ,O,X,O,X,X,X,X,X
TILSOZJ,O,X,O,O,O,X,X,X
TILZJSO,X,X,O,X,O,O,X,X
TILZJOS,O,X,O,X,O,O,X,X
TILZSJO,O,X,O,O,O,O,X,X
TILZSOJ,O,X,O,O,O,O,X,X
TILZOJS,O,X,O,X,O,O,X,X
TILZOSJ,O,X,O,O,O,O,X,X
TILOJSZ,O,X,O,X,X,X,X,X
TILOJZS,O,X,O,X,O,X,X,X
TILOSJZ,O,X,O,X,X,X,X,X
TILOSZJ,O,X,O,O,O,X,X,X
TILOZJS,O,X,O,X,O,O,X,X
TILOZSJ,O,X,O,O,O,O,X,X
TIJLSZO,O,X,X,O,X,X,X,X
TIJLSOZ,O,X,O,O,X,X,X,X
TIJLZSO,X,X,O,O,O,X,X,X
TIJLZOS,O,X,O,O,O,X,X,X
TIJLOSZ,O,X,O,O,X,X,X,X
TIJLOZS,O,X,O,O,O,X,X,X
TIJSLZO,O,X,X,X,X,X,X,X
TIJSLOZ,O,X,O,X,X,X,X,X
TIJSZLO,O,X,X,O,X,X,O,X
TIJSZOL,O,X,X,O,X,X,O,X
