sequence,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je2/IvhFRbBCeB?UhBTjBFlB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je2/IvhFRbBCeB?TjBUlBFmB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Jei6IvhFzdB+jB?RgBUlBFmB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je//IvhFRbBGeB?igBUjBFmBTqB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Jem7IvhFfjB6jB?xfB0fBFmBTqB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Jei6IvhFWjBRgB?TjBUlBFmB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je//IvhFzbBGeB?UjBxlBlqBaqB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je//IvhFCeBZlB?TjBFmB8lBGqB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Jez7IvhFSjBlfB?UjBxlBmkB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Jex6IvhF8gBzdB?+jBlfBKqBXrB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8JeWDJvhFxfBVmB?0fBTjBilB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8JeKBJvhFWjBxfB?lfBclBTjB3qB,v115@4gB8HeB8CeA8EeB8BeB8CeG8BeF8Je//IvhFCeBTjB?xlB2qB8qBFqB
TILJSZO,O,X,X,X,O,X,X,X,X,O,X,O,X
TILJSOZ,O,X,X,X,O,X,X,X,X,O,X,O,X
TILJZSO,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,X,X,X,X,X,X,X,O,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,O,X,O,X
TILJOZS,O,X,X,X,X,X,X,X,O,X,O,X,X
TILSJZO,X,X,X,O,O,X,X,X,X,O,X,X,X
TILSJOZ,X,X,X,X,O,X,X,X,X,O,X,X,X
TILSZJO,X,X,X,O,O,X,O,X,X,O,X,X,X
TILSZOJ,X,X,X,O,X,X,O,X,X,O,X,X,X
TILSOJZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TILSOZJ,X,X,X,O,X,X,O,O,O,X,X,X,X
TILZJSO,X,O,X,O,X,X,O,X,X,X,X,X,X
TILZJOS,X,O,X,X,X,X,O,X,X,X,X,X,X
TILZSJO,X,X,X,O,X,X,O,X,X,X,X,X,X
TILZSOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,O,X,O,X,X,X,X
TILZOSJ,X,X,X,X,X,X,O,X,O,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,O,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,O,O,O,X,X,X,X
TILOZJS,X,X,X,X,X,X,O,X,O,X,X,X,X
TILOZSJ,X,X,X,X,X,X,O,O,O,X,X,X,X
TIJLSZO,O,X,X,X,O,X,X,X,X,O,X,O,X
TIJLSOZ,O,X,X,X,O,X,X,X,X,O,X,O,X
TIJLZSO,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,X,X,X,X,X,X,X,O,X,X
TIJLOSZ,O,X,X,X,X,X,X,X,X,O,X,O,X
TIJLOZS,O,X,X,X,X,X,X,X,O,X,O,X,X
TIJSLZO,O,X,X,X,O,X,X,X,X,X,O,X,X
TIJSLOZ,O,X,X,X,O,X,X,X,X,X,O,X,X
TIJSZLO,X,X,X,X,O,X,O,X,X,X,O,X,X
TIJSZOL,X,X,X,X,X,X,O,X,X,X,O,X,X
TIJSOLZ,O,X,X,X,O,X,X,O,X,X,O,X,X
TIJSOZL,X,X,X,X,X,X,O,O,X,X,O,X,X
TIJZLSO,O,X,O,X,X,O,O,X,X,X,X,X,X
TIJZLOS,O,X,O,X,X,O,O,X,X,X,O,X,X
TIJZSLO,O,X,O,X,O,O,O,X,X,X,X,X,X
TIJZSOL,O,X,O,X,X,X,O,X,X,X,O,X,X
TIJZOLS,O,X,O,X,X,O,O,X,X,X,O,X,X
TIJZOSL,O,X,O,X,X,X,O,X,X,X,O,X,X
TIJOLSZ,O,X,X,X,X,X,X,O,X,O,X,X,X
TIJOLZS,O,X,X,X,X,X,X,X,O,X,O,X,X
TIJOSLZ,O,X,X,X,O,X,X,O,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,O,O,X,X,O,X,X
TIJOZLS,O,X,O,X,X,X,O,X,X,X,O,X,X
TIJOZSL,O,X,O,X,X,X,O,X,X,X,O,X,X
TISLJZO,X,X,X,O,O,X,X,X,X,X,O,X,X
TISLJOZ,X,X,X,X,O,X,X,X,X,X,O,X,X
TISLZJO,X,X,X,O,O,X,O,X,X,X,X,X,X
TISLZOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TISLOJZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TISLOZJ,X,X,X,O,X,X,O,O,O,X,X,X,X
TISJLZO,X,X,X,X,O,X,X,X,X,X,O,X,X
TISJLOZ,X,X,X,X,O,X,X,X,X,X,O,X,X
TISJZLO,X,X,X,O,O,X,O,X,X,X,O,X,X
TISJZOL,X,X,X,O,X,X,O,X,X,X,O,X,X
TISJOLZ,X,X,X,X,O,X,X,O,X,X,O,X,X
TISJOZL,X,X,X,X,X,X,O,O,X,X,O,X,X
TISZLJO,X,X,X,O,O,X,O,X,X,X,X,X,X
TISZLOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TISZJLO,X,X,X,O,O,X,O,X,X,X,O,X,X
TISZJOL,X,X,X,O,X,X,O,X,X,X,O,X,X
TISZOLJ,X,X,X,X,X,X,O,O,X,X,X,X,X
TISZOJL,X,X,X,O,X,X,O,O,X,X,X,X,X
TISOLJZ,X,X,X,X,O,X,X,O,X,X,X,X,O
TISOLZJ,X,X,X,X,X,X,O,O,O,X,X,X,X
TISOJLZ,X,X,X,X,O,X,X,O,X,X,O,X,O
TISOJZL,X,X,X,X,X,X,O,O,X,X,O,X,O
TISOZLJ,X,X,X,X,X,X,O,O,X,X,X,X,X
TISOZJL,X,X,X,O,X,X,O,O,X,X,X,X,X
TIZLJSO,X,O,O,O,X,O,O,X,X,X,X,X,X
TIZLJOS,X,O,O,X,X,O,O,X,X,X,X,X,X
TIZLSJO,X,X,O,O,X,O,O,X,X,X,X,X,X
TIZLSOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZLOJS,X,X,O,X,X,O,O,X,O,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,O,X,O,X,X,X,X
TIZJLSO,X,O,O,O,X,O,O,X,X,X,X,X,X
TIZJLOS,X,O,O,X,X,O,O,X,X,X,O,X,X
TIZJSLO,X,O,O,O,O,O,O,X,X,X,X,X,X
TIZJSOL,X,O,O,O,X,X,O,X,X,X,O,X,X
TIZJOLS,X,O,O,X,X,O,O,X,X,X,O,X,X
TIZJOSL,X,O,O,X,X,X,O,X,X,X,O,X,X
TIZSLJO,X,X,O,O,O,O,O,X,X,X,X,X,X
TIZSLOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZSJLO,X,X,O,O,O,O,O,X,X,X,X,X,X
TIZSJOL,X,X,O,O,X,X,O,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,O,O,X,X,X,X,X
TIZSOJL,X,X,X,O,X,X,O,O,X,X,X,X,X
TIZOLJS,X,O,O,X,X,O,O,X,O,X,X,X,X
TIZOLSJ,X,O,X,X,X,X,O,O,O,X,X,X,X
TIZOJLS,X,O,O,X,X,O,O,X,X,X,X,X,X
TIZOJSL,X,O,O,X,X,X,O,X,X,X,X,X,X
TIZOSLJ,X,O,X,X,X,X,O,O,X,X,X,X,X
TIZOSJL,X,O,X,X,X,X,O,O,X,X,X,X,X
TIOLJSZ,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOLJZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,O,X,X,X,X,O
TIOLSZJ,X,X,X,X,X,X,O,O,O,X,X,X,X
TIOLZJS,X,O,X,X,X,X,O,X,O,X,X,X,X
TIOLZSJ,X,O,X,X,X,X,O,O,O,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOJLZS,O,X,X,X,X,X,X,X,O,X,O,X,X
TIOJSLZ,O,X,X,X,O,X,X,O,X,X,X,X,X
TIOJSZL,X,X,X,X,X,X,O,O,X,X,O,X,X
TIOJZLS,O,X,X,X,X,X,O,X,X,X,O,X,X
TIOJZSL,O,X,X,X,X,X,O,X,X,X,O,X,X
TIOSLJZ,X,X,X,X,O,X,X,O,X,X,X,X,O
TIOSLZJ,X,X,X,X,X,X,O,O,O,X,X,X,X
TIOSJLZ,X,X,X,X,O,X,X,O,X,X,X,X,O
TIOSJZL,X,X,X,X,X,X,O,O,X,X,X,X,O
TIOSZLJ,X,X,X,X,X,X,O,O,X,X,X,X,X
TIOSZJL,X,X,X,X,X,X,O,O,X,X,X,X,X
TIOZLJS,X,O,X,X,X,X,O,X,O,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,O,O,O,X,X,X,X
TIOZJLS,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOZJSL,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOZSLJ,X,O,X,X,X,X,O,O,X,X,X,X,X
TIOZSJL,X,O,X,X,X,X,O,O,X,X,X,X,X
TLIJSZO,O,X,X,X,O,X,X,X,X,O,X,O,X
TLIJSOZ,O,X,X,X,O,X,X,X,X,O,X,O,X
TLIJZSO,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X,X,X,X,X,O,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,X,O,X,O,X
TLIJOZS,O,X,X,X,X,X,X,X,O,X,O,X,X
TLISJZO,X,X,X,O,O,X,X,X,X,O,X,X,X
TLISJOZ,X,X,X,X,O,X,X,X,X,O,X,X,X
TLISZJO,X,X,X,O,O,X,O,X,X,O,X,X,X
TLISZOJ,X,X,X,O,X,X,O,X,X,O,X,X,X
TLISOJZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TLISOZJ,X,X,X,O,X,X,O,O,O,X,X,X,X
TLIZJSO,X,O,X,O,X,X,O,X,X,X,X,X,X
TLIZJOS,X,O,X,X,X,X,O,X,X,X,X,X,X
TLIZSJO,X,X,X,O,X,X,O,X,X,X,X,X,X
TLIZSOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,O,X,O,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,O,X,O,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,X,O,O,O,X,X,X,X
TLIOZJS,X,X,X,X,X,X,O,X,O,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,O,O,O,X,X,X,X
TLJISZO,O,X,X,X,O,X,X,X,X,O,X,O,X
TLJISOZ,O,X,X,X,O,X,X,X,X,O,X,O,X
TLJIZSO,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,O,X,X,X,X,X,X,X,X,O,X,X
TLJIOSZ,O,X,X,X,X,X,X,X,X,O,X,O,X
TLJIOZS,O,O,X,X,X,X,X,X,O,X,O,X,X
TLJSIZO,O,X,X,O,O,X,X,X,X,O,O,O,X
TLJSIOZ,O,X,X,X,O,X,X,X,X,O,O,O,X
TLJSZIO,O,X,X,O,O,X,X,X,X,O,X,X,X
TLJSZOI,X,X,X,O,X,X,X,X,X,O,X,X,X
TLJSOIZ,O,X,X,X,O,X,X,X,X,O,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJZISO,O,O,O,O,X,O,X,X,X,X,X,X,X
TLJZIOS,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJZSIO,O,O,O,O,X,X,X,X,X,O,X,X,X
TLJZSOI,X,X,O,O,X,X,X,X,X,O,X,X,X
TLJZOIS,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,O,O,X,X,X,X,X,O,X,X,X
TLJOISZ,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJOIZS,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJOSZI,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJOZIS,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,X,O,X,X,X,X,X,X,O,X,X,X
TLSIJZO,O,X,X,O,O,X,X,X,X,O,O,O,X
TLSIJOZ,O,X,X,X,O,X,X,X,O,O,O,O,X
TLSIZJO,X,X,X,O,O,X,O,X,X,O,X,X,X
TLSIZOJ,X,X,X,O,X,X,O,X,O,O,X,X,X
TLSIOJZ,X,X,X,X,O,X,X,O,O,X,X,X,X
TLSIOZJ,X,X,X,O,X,X,O,O,O,X,X,X,X
TLSJIZO,O,X,X,O,O,X,X,X,X,O,O,O,X
TLSJIOZ,O,X,X,X,O,X,X,X,X,O,O,O,X
TLSJZIO,O,X,X,O,O,X,X,X,X,O,X,X,X
TLSJZOI,X,X,X,O,X,X,X,X,X,O,X,X,X
TLSJOIZ,O,X,X,X,O,X,X,X,X,O,X,X,X
TLSJOZI,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSZIJO,O,X,X,O,O,X,O,X,X,O,X,X,X
TLSZIOJ,O,X,X,O,X,X,O,X,X,O,X,X,X
TLSZJIO,O,O,X,O,O,X,O,X,X,O,X,X,X
TLSZJOI,O,X,X,O,X,X,X,X,X,O,X,X,X
TLSZOIJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TLSZOJI,O,X,X,O,X,X,X,X,X,O,X,X,X
TLSOIJZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TLSOIZJ,X,X,X,O,X,X,X,O,X,X,X,X,X
TLSOJIZ,O,X,X,X,O,X,X,O,X,O,X,X,X
TLSOJZI,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSOZIJ,X,X,X,O,X,X,X,O,X,O,X,X,X
TLSOZJI,X,X,X,O,X,X,X,X,X,O,X,X,X
TLZIJSO,O,O,O,O,X,O,O,X,X,X,X,X,X
TLZIJOS,O,O,O,X,X,O,O,X,X,X,X,X,X
TLZISJO,O,X,O,O,X,O,O,X,X,X,X,X,X
TLZISOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TLZIOJS,O,X,O,X,X,O,O,X,O,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,O,X,O,X,X,X,X
TLZJISO,O,O,O,O,X,O,O,X,X,X,X,X,X
TLZJIOS,O,O,O,X,X,O,O,X,X,X,X,X,X
TLZJSIO,O,O,O,O,X,X,O,X,X,O,X,X,X
TLZJSOI,X,X,O,O,X,X,X,X,X,O,X,X,X
TLZJOIS,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,O,O,O,X,X,X,X,X,O,X,X,X
TLZSIJO,O,X,X,O,X,X,O,X,X,O,X,X,X
TLZSIOJ,O,X,X,O,X,X,O,X,X,O,X,X,X
TLZSJIO,O,O,O,O,X,X,O,X,X,O,X,X,X
TLZSJOI,O,X,O,O,X,X,X,X,X,O,X,X,X
TLZSOIJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TLZSOJI,O,X,X,O,X,X,X,X,X,O,X,X,X
TLZOIJS,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,O,O,O,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZOSJI,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,X,X,X,O,X,X,X,X,X
TLOIJZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOISJZ,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOISZJ,X,X,X,X,X,X,X,O,O,X,X,X,X
TLOIZJS,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOIZSJ,X,O,X,X,X,X,X,O,O,X,X,X,X
TLOJISZ,O,X,X,X,X,X,X,O,X,O,X,X,X
TLOJIZS,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,X,X,X,O,X,O,X,X,X
TLOJSZI,O,X,X,X,X,X,X,X,X,O,X,X,X
TLOJZIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,O,O,X,X,X,X,X,X,X,O,X,X,X
TLOSIJZ,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOSIZJ,X,X,X,O,X,X,X,O,X,X,X,X,X
TLOSJIZ,O,X,X,X,X,X,X,O,X,O,X,X,X
TLOSJZI,O,X,X,X,X,X,X,X,X,O,X,X,X
TLOSZIJ,X,O,X,O,X,X,X,O,X,O,X,X,X
TLOSZJI,X,O,X,O,X,X,X,X,X,O,X,X,X
TLOZIJS,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,O,X,X,X,X,X,O,X,X,X,X,X
TLOZJIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,O,X,O,X,X,X,O,X,X,X,X,X
TLOZSJI,X,O,X,O,X,X,X,X,X,X,X,X,X
TJILSZO,O,X,X,X,O,X,X,X,X,O,X,O,X
TJILSOZ,O,X,X,X,O,X,X,X,X,O,X,O,X
TJILZSO,O,O,X,X,X,X,X,X,X,X,X,X,X
TJILZOS,O,O,X,X,X,X,X,X,X,X,O,X,X
TJILOSZ,O,X,X,X,X,X,X,X,X,O,X,O,X
TJILOZS,O,O,X,X,X,X,X,X,O,X,O,X,X
TJISLZO,O,X,X,X,O,X,X,X,X,X,O,X,X
TJISLOZ,O,X,X,X,O,X,X,X,X,X,O,X,X
TJISZLO,X,X,X,X,O,X,O,X,X,X,O,X,X
TJISZOL,X,X,X,X,X,X,O,X,X,X,O,X,X
TJISOLZ,O,X,X,X,O,X,X,O,X,X,O,X,X
TJISOZL,X,X,X,X,X,X,O,O,X,X,O,X,X
TJIZLSO,O,X,O,X,X,O,O,X,X,X,X,X,X
TJIZLOS,O,X,O,X,X,O,O,X,X,X,O,X,X
TJIZSLO,O,X,O,X,O,O,O,X,X,X,X,X,X
TJIZSOL,O,X,O,X,X,X,O,X,X,X,O,X,X
TJIZOLS,O,X,O,X,X,O,O,X,X,X,O,X,X
TJIZOSL,O,X,O,X,X,X,O,X,X,X,O,X,X
TJIOLSZ,O,X,X,X,X,X,X,O,X,O,X,X,X
TJIOLZS,O,O,X,X,X,X,X,X,O,X,O,X,X
TJIOSLZ,O,X,X,X,O,X,X,O,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X,O,O,X,X,O,X,X
TJIOZLS,O,X,O,X,X,X,O,X,X,X,O,X,X
TJIOZSL,O,X,O,X,X,X,O,X,X,X,O,X,X
TJLISZO,O,X,X,X,O,X,X,X,X,O,X,O,X
TJLISOZ,O,X,X,X,O,X,X,X,X,O,X,O,X
TJLIZSO,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLIZOS,O,O,X,X,X,X,X,X,X,X,O,X,X
TJLIOSZ,O,X,X,X,X,X,X,X,X,O,X,O,X
TJLIOZS,O,O,X,X,X,X,X,X,O,X,O,X,X
TJLSIZO,O,X,X,O,O,X,X,X,X,O,O,O,X
TJLSIOZ,O,X,X,X,O,X,X,X,X,O,O,O,X
TJLSZIO,O,X,X,O,O,X,X,X,X,O,X,X,X
TJLSZOI,X,X,X,O,X,X,X,X,X,O,X,X,X
TJLSOIZ,O,X,X,X,O,X,X,X,X,O,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLZISO,O,O,O,O,X,O,X,X,X,X,X,X,X
TJLZIOS,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLZSIO,O,O,O,O,X,X,X,X,X,O,X,X,X
TJLZSOI,X,X,O,O,X,X,X,X,X,O,X,X,X
TJLZOIS,O,O,O,X,X,X,X,X,X,X,X,X,X
TJLZOSI,O,X,O,O,X,X,X,X,X,O,X,X,X
TJLOISZ,O,X,X,X,X,X,X,X,X,O,X,X,X
TJLOIZS,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,X,X,X,X,X,X,X,O,X,X,X
TJLOSZI,O,X,X,X,X,X,X,X,X,O,X,X,X
TJLOZIS,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLOZSI,O,X,O,X,X,X,X,X,X,O,X,X,X
TJSILZO,O,X,X,X,O,X,X,X,X,X,O,O,X
TJSILOZ,O,X,X,X,O,X,X,X,X,X,O,O,X
TJSIZLO,O,X,X,O,O,X,O,X,X,X,O,X,X
TJSIZOL,O,X,X,O,X,X,O,X,X,X,O,X,X
TJSIOLZ,O,X,X,X,O,X,X,O,X,X,O,X,X
TJSIOZL,O,X,X,X,X,X,O,O,X,X,O,X,X
TJSLIZO,O,X,X,O,O,X,X,X,X,O,O,O,X
TJSLIOZ,O,X,X,X,O,X,X,X,X,O,O,O,X
