sequence,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhF3gBzhBGjByqBUo?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFclBemBzhBfoB6o?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFamBUiBGjBTlBfs?BVyB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFzgBUiBFjB2qBfs?BSyB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFclBmhBCjBXmBTo?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFUhBFiBXjBTlBSt?BmrB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFclBymBziB+oBXm?BFsB,v115@+gB8HeA8IeA8IeE8AeC8JeZEJvhFamBFiB8nB+oBTl?BfsB
TILJSZO,O,X,O,O,X,O,O,O
TILJSOZ,O,X,O,O,X,O,O,X
TILJZSO,O,X,O,O,O,O,O,O
TILJZOS,O,X,X,O,O,O,O,X
TILJOSZ,O,X,O,O,X,O,O,X
TILJOZS,O,X,O,O,X,O,O,X
TILSJZO,O,O,O,O,X,O,O,O
TILSJOZ,O,X,O,O,X,O,O,X
TILSZJO,O,O,O,O,O,O,O,X
TILSZOJ,O,O,O,O,X,O,X,X
TILSOJZ,O,X,O,O,X,O,X,X
TILSOZJ,O,O,O,O,X,O,X,X
TILZJSO,O,O,O,O,O,X,O,X
TILZJOS,O,O,X,O,O,X,O,X
TILZSJO,O,O,O,O,O,X,O,X
TILZSOJ,O,O,O,O,X,X,X,X
TILZOJS,O,X,X,X,O,X,O,X
TILZOSJ,O,X,X,X,O,X,X,X
TILOJSZ,O,X,O,O,X,O,O,X
TILOJZS,O,X,O,O,O,O,O,X
TILOSJZ,O,X,O,O,X,O,X,X
TILOSZJ,O,X,O,O,O,O,X,X
TILOZJS,O,X,O,X,O,O,O,X
TILOZSJ,O,X,O,X,O,O,X,X
TIJLSZO,O,X,O,O,X,O,O,O
TIJLSOZ,O,X,O,O,X,O,O,X
TIJLZSO,O,X,O,O,O,O,O,O
TIJLZOS,O,X,X,O,O,O,O,X
TIJLOSZ,O,X,O,O,X,O,O,X
TIJLOZS,O,X,O,O,X,O,O,X
TIJSLZO,X,O,O,O,X,O,O,O
TIJSLOZ,X,X,O,O,X,O,O,X
TIJSZLO,X,O,O,O,X,O,O,O
TIJSZOL,X,O,O,O,X,X,O,O
TIJSOLZ,X,X,O,O,X,X,O,O
TIJSOZL,X,X,O,O,X,X,O,O
TIJZLSO,O,O,O,X,O,O,O,O
TIJZLOS,O,O,X,X,O,O,O,X
TIJZSLO,O,O,O,X,O,O,O,O
TIJZSOL,O,O,O,X,O,X,O,O
TIJZOLS,O,O,O,X,O,O,O,O
TIJZOSL,O,O,O,X,O,X,O,O
TIJOLSZ,O,X,O,O,X,O,O,O
TIJOLZS,O,X,O,O,O,O,O,O
TIJOSLZ,X,X,O,O,X,X,O,O
TIJOSZL,X,X,O,O,X,X,O,O
TIJOZLS,O,X,O,X,O,O,O,O
TIJOZSL,O,X,O,X,O,X,O,O
TISLJZO,O,O,O,O,X,X,O,O
TISLJOZ,O,X,O,O,X,X,O,X
TISLZJO,O,O,O,O,O,X,O,X
TISLZOJ,O,O,O,O,X,X,X,X
TISLOJZ,O,X,O,O,X,X,X,X
TISLOZJ,O,O,O,O,X,X,X,X
TISJLZO,X,O,O,O,X,X,O,O
TISJLOZ,X,X,O,O,X,X,O,X
TISJZLO,X,O,O,O,X,X,O,O
TISJZOL,X,O,O,O,X,X,O,O
TISJOLZ,X,X,O,O,X,X,O,O
TISJOZL,X,X,O,O,X,X,O,O
TISZLJO,O,O,O,O,O,X,O,X
TISZLOJ,O,O,O,O,X,X,X,X
TISZJLO,O,O,O,O,O,X,O,X
TISZJOL,O,O,O,O,O,X,O,X
TISZOLJ,O,O,O,X,O,X,X,X
TISZOJL,O,O,O,O,O,X,X,X
TISOLJZ,O,X,O,X,X,X,X,O
