sequence,v115@FhC8EeF8CeG8BeF8Jei6IvhFzbBWiBxdBFlBXmBUqB,v115@FhC8EeF8CeG8BeF8Je2/IvhFRbBzcBCeBUlBFmB3qB,v115@FhC8EeF8CeG8BeF8JeT6IvhFibBWiBxdBUlBFmB3qB,v115@FhC8EeF8CeG8BeF8Je2/IvhFRbBzcBCeBUhBFlB3qB,v115@FhC8EeF8CeG8BeF8JeT6IvhFXcBxdBCiBFlB8qBOqB,v115@FhC8EeF8CeG8BeF8JeT6IvhFxbB8hBCeBmgBFlB3qB,v115@FhC8EeF8CeG8BeF8JeT6IvhFibBWiBxdBUhBFlB3qB
TILJSZO,O,X,X,O,X,X,X
TILJSOZ,O,X,X,O,X,X,O
TILJZSO,O,X,O,O,X,O,X
TILJZOS,X,X,O,O,X,O,O
TILJOSZ,O,X,X,O,X,X,O
TILJOZS,X,X,O,O,X,O,O
TILSJZO,O,X,X,X,X,X,X
TILSJOZ,O,X,X,X,X,X,O
TILSZJO,O,X,X,X,O,X,X
TILSZOJ,O,X,X,X,O,X,X
TILSOJZ,O,X,X,X,X,X,O
TILSOZJ,O,X,X,X,X,X,X
TILZJSO,O,O,O,O,O,O,O
TILZJOS,X,O,O,O,O,O,O
TILZSJO,O,O,O,O,O,O,O
TILZSOJ,O,O,O,O,O,O,O
TILZOJS,X,O,O,O,O,O,O
TILZOSJ,X,O,O,O,O,O,O
TILOJSZ,O,X,X,O,X,X,O
TILOJZS,X,X,O,O,X,O,O
TILOSJZ,O,X,X,X,X,X,O
TILOSZJ,O,X,X,X,X,X,X
TILOZJS,X,O,O,X,O,O,O
TILOZSJ,X,O,O,X,O,O,O
TIJLSZO,O,X,X,O,X,X,X
TIJLSOZ,O,X,X,O,X,X,O
TIJLZSO,O,X,O,O,X,O,X
TIJLZOS,X,X,O,O,X,O,O
TIJLOSZ,O,X,X,O,X,X,O
TIJLOZS,X,X,O,O,X,O,O
TIJSLZO,O,X,X,O,X,X,O
TIJSLOZ,O,X,X,O,X,X,O
TIJSZLO,O,X,O,O,X,X,O
TIJSZOL,O,X,O,O,X,X,O
TIJSOLZ,O,X,X,O,X,X,O
TIJSOZL,O,X,O,X,X,X,O
TIJZLSO,O,X,O,O,X,O,O
TIJZLOS,X,X,O,O,X,O,O
TIJZSLO,O,X,O,O,X,O,O
TIJZSOL,O,X,O,O,X,O,O
TIJZOLS,X,X,O,O,X,O,O
TIJZOSL,X,X,O,O,X,O,O
TIJOLSZ,O,X,X,O,X,X,O
TIJOLZS,X,X,O,O,X,O,O
TIJOSLZ,O,X,X,O,X,X,O
TIJOSZL,O,X,O,X,X,X,O
TIJOZLS,X,X,O,O,X,O,O
TIJOZSL,X,X,O,O,X,O,O
TISLJZO,O,X,X,X,X,X,O
TISLJOZ,O,X,X,X,X,X,O
TISLZJO,O,X,X,X,X,X,O
TISLZOJ,O,X,X,X,X,X,O
TISLOJZ,O,X,X,X,X,X,O
TISLOZJ,O,X,X,X,X,X,O
TISJLZO,O,X,X,X,X,X,O
TISJLOZ,O,X,X,X,X,X,O
TISJZLO,O,X,O,X,X,X,O
TISJZOL,O,X,O,X,X,X,O
TISJOLZ,O,X,X,X,X,X,O
TISJOZL,O,X,O,X,X,X,O
TISZLJO,O,X,O,X,X,X,O
TISZLOJ,O,X,O,X,X,X,O
TISZJLO,O,X,O,X,X,X,O
TISZJOL,O,X,O,X,X,X,O
TISZOLJ,O,X,O,X,X,X,O
TISZOJL,O,X,O,X,X,X,O
TISOLJZ,O,X,X,X,X,X,O
TISOLZJ,O,X,X,X,X,X,O
TISOJLZ,O,X,X,X,X,X,O
TISOJZL,O,X,O,X,X,X,O
TISOZLJ,O,X,O,X,X,X,O
TISOZJL,O,X,O,X,X,X,O
TIZLJSO,O,O,O,O,O,O,O
TIZLJOS,X,O,O,O,O,O,O
TIZLSJO,O,O,O,O,O,O,O
TIZLSOJ,O,O,O,O,O,O,O
TIZLOJS,X,O,O,O,O,O,O
TIZLOSJ,X,O,O,O,O,O,O
TIZJLSO,O,O,O,O,O,O,O
TIZJLOS,X,O,O,O,O,O,O
TIZJSLO,O,O,O,O,X,O,O
TIZJSOL,O,O,O,O,X,O,O
TIZJOLS,X,O,O,O,O,O,O
TIZJOSL,X,O,O,O,X,O,O
TIZSLJO,O,O,O,O,O,O,O
TIZSLOJ,O,O,O,O,O,O,O
TIZSJLO,O,O,O,O,X,O,O
TIZSJOL,O,O,O,O,X,O,O
TIZSOLJ,O,O,O,O,O,O,O
TIZSOJL,O,O,O,O,X,X,O
TIZOLJS,X,O,O,O,O,O,O
TIZOLSJ,X,O,O,O,O,O,O
TIZOJLS,X,O,O,O,O,O,O
TIZOJSL,X,O,O,O,X,O,O
TIZOSLJ,X,O,O,O,O,O,O
TIZOSJL,X,O,O,O,X,X,O
TIOLJSZ,O,X,X,O,X,X,O
TIOLJZS,X,X,O,O,X,O,O
TIOLSJZ,O,X,X,X,X,X,O
TIOLSZJ,O,X,X,X,X,X,X
TIOLZJS,X,O,O,X,O,O,O
TIOLZSJ,X,O,O,X,O,O,O
TIOJLSZ,O,X,X,O,X,X,O
TIOJLZS,X,X,O,O,X,O,O
TIOJSLZ,O,X,X,O,X,X,O
TIOJSZL,O,X,O,X,X,X,O
TIOJZLS,X,X,O,O,X,O,O
TIOJZSL,X,X,O,O,X,O,O
TIOSLJZ,O,X,X,X,X,X,O
TIOSLZJ,O,X,X,X,X,X,O
TIOSJLZ,O,X,X,X,X,X,O
TIOSJZL,O,X,O,X,X,X,O
TIOSZLJ,O,X,O,X,X,X,O
TIOSZJL,O,X,O,X,X,X,O
TIOZLJS,X,O,O,X,O,O,O
TIOZLSJ,X,O,O,X,O,O,O
TIOZJLS,X,O,O,X,O,O,O
TIOZJSL,X,O,O,X,X,O,O
TIOZSLJ,X,O,O,X,O,O,O
TIOZSJL,X,O,O,X,X,X,O
TLIJSZO,O,X,X,O,X,X,X
TLIJSOZ,O,X,X,O,X,X,O
TLIJZSO,O,X,O,O,X,O,X
TLIJZOS,X,X,O,O,X,O,O
TLIJOSZ,O,X,X,O,X,X,O
TLIJOZS,X,X,O,O,X,O,O
TLISJZO,O,X,X,X,X,X,X
TLISJOZ,O,X,X,X,X,X,O
TLISZJO,O,X,X,X,O,X,X
TLISZOJ,O,X,X,X,O,X,X
TLISOJZ,O,X,X,X,X,X,O
TLISOZJ,O,X,X,X,X,X,X
TLIZJSO,O,O,O,O,O,O,O
TLIZJOS,X,O,O,O,O,O,O
TLIZSJO,O,O,O,O,O,O,O
TLIZSOJ,O,O,O,O,O,O,O
TLIZOJS,X,O,O,O,O,O,O
TLIZOSJ,X,O,O,O,O,O,O
TLIOJSZ,O,X,X,O,X,X,O
TLIOJZS,X,X,O,O,X,O,O
TLIOSJZ,O,X,X,X,X,X,O
TLIOSZJ,O,X,X,X,X,X,X
TLIOZJS,X,O,O,X,O,O,O
TLIOZSJ,X,O,O,X,O,O,O
TLJISZO,O,X,X,O,X,X,X
TLJISOZ,O,X,X,O,X,X,O
TLJIZSO,O,O,O,O,X,O,X
TLJIZOS,X,O,O,O,X,O,O
TLJIOSZ,O,X,X,O,X,X,O
TLJIOZS,X,O,O,O,X,O,O
TLJSIZO,O,X,X,O,X,X,X
TLJSIOZ,O,X,X,O,X,X,O
TLJSZIO,O,X,X,O,X,O,X
TLJSZOI,O,X,X,O,X,O,X
TLJSOIZ,O,X,X,O,X,X,O
TLJSOZI,O,X,X,O,X,O,X
TLJZISO,O,O,O,O,X,O,O
TLJZIOS,X,O,O,O,X,O,O
TLJZSIO,O,O,O,O,X,O,O
TLJZSOI,O,O,O,O,X,O,O
TLJZOIS,X,O,O,O,X,O,O
TLJZOSI,X,O,O,O,X,O,O
TLJOISZ,O,X,X,O,X,X,O
TLJOIZS,X,O,O,O,X,O,O
TLJOSIZ,O,X,X,O,X,X,O
TLJOSZI,O,X,X,O,X,O,X
TLJOZIS,X,O,O,O,X,O,O
TLJOZSI,X,O,O,O,X,O,O
TLSIJZO,O,X,X,O,X,O,X
TLSIJOZ,O,X,X,O,X,O,O
TLSIZJO,O,X,X,O,O,O,X
TLSIZOJ,O,X,X,O,O,O,X
TLSIOJZ,O,X,X,O,X,O,O
TLSIOZJ,O,X,X,X,X,O,X
