sequence,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFOhB8hBCjBXoBlr?BxxB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFzcBWjBUhBXoBlr?BxxB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFicB3hBunBcoBlr?BxxB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFldB3hBOmBcoBCs?BxxB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFWiBxdBUhBlrB3s?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhFXdBTeBmgB1rBUt?BSxB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhFXdBTeB6rBmlBcs?BVyB,v115@zgB8HeB8HeD8BeH8EeF8Oe2AJvhFTeB3hBqnBFmB8r?BxxB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhF8hBCeBmgBlrB3s?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFXdBUhBFoBxrBWx?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oe2AJvhFSjB3hBFmB8rBzn?BxxB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFZhBldBqrBfnBco?BWyB,v115@zgB8HeB8HeD8BeH8EeF8Oei7IvhFWiBTeBUhBxrBVy?BXsB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFxdB3hB2rBCoBVy?B0rB,v115@zgB8HeB8HeD8BeH8EeF8Oe2AJvhFCdBxiBUhBlrB3s?BTtB,v115@zgB8HeB8HeD8BeH8EeF8Oex7IvhFXdB0mBmlBFoBSx?BTtB,v115@zgB8HeB8HeD8BeH8EeF8OeT7IvhFOhBCeB1rBXoB8r?BxxB
TILJSZO,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TILJZSO,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILJZOS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILJOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILSJZO,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSJOZ,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSZJO,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSZOJ,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSOJZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZJSO,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TILZJOS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILZSJO,O,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X
TILZSOJ,O,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X
TILZOJS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILZOSJ,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TILOJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILOSJZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILOZJS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILOZSJ,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJLSZO,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLZSO,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TIJLZOS,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJSLZO,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJSLOZ,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJSZLO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIJSZOL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIJSOLZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIJZLSO,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TIJZLOS,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TIJZSLO,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
