sequence,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je37IvhF5hBKiBzdB8?lB2wBlsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeR8IvhFzdB0gBFnBG?rB3sBirB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je37IvhF8iBlhBzlB2?sBCnBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeR8IvhFzdB6lB/mBU?iB2wBlsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je37IvhF5hByiB8lBT?iB2wBlsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeR8IvhFzdBmgBUiBf?rBqrBlsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je37IvhF8iBlhBzlBR?sBywBGsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeKCJvhFzdBlgBRrB3?sBcrBGrB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeX9IvhF8iBlgBTmB2?sBCmBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je37IvhFuhB8lBliBy?rBznBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeaCJvhFzdBxgBUhBf?rB1sBWxB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je8CJvhFlgB3hB2sBz?lBCnBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeG8IvhFidBlgB0nBR?rBTrB3sB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Jei8IvhF0gBfnBliBW?rBznBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JefCJvhFmdBlgBqnB0?mBzlBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JelAJvhFUiBXmBznBG?mBinBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeF8IvhFXdB8iB6lBT?mB2sBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je+BJvhFyiBlgBTiBR?rB3sBUrB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JexAJvhFiiBzgBumB1?sBUrB3sB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je39IvhFlgBxmBumB8?sBzlBywB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je8BJvhFlgB3iB2rBC?mBznBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je+BJvhFyiBlgBXnBz?lB0nBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je2CJvhFlgBcmBXnBC?mBznBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeR8IvhF3dBSmBOsBl?lB8sBTrB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeR8IvhFzdBlgBGrBi?sBcrB/sB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je+BJvhFKiBlgBznBR?rBUrB3sB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeSCJvhFlgBxmBeoBz?lB3rBUsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeWCJvhFlgBxmB8sBz?lB3rBisB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeSCJvhFlgBxmBeoBz?lBUsB3rB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je38IvhF6lBliBmmBU?mBznBxwB
ISTJZOL,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X
ISTJOLZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
ISTJOZL,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTZLJO,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X
ISTZLOJ,X,O,X,X,X,X,X,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTZJLO,X,O,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X
ISTZJOL,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X
ISTZOLJ,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTZOJL,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X
ISTOLJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISTOLZJ,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
ISTOJZL,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTOZLJ,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOZJL,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ISLTJZO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,O,X,X,O
ISLTJOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O
ISLTZJO,X,X,X,X,X,O,X,O,X,O,X,X,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,O,X,O
ISLTZOJ,X,X,X,X,X,O,X,O,X,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLTOJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
ISLTOZJ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJTZO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O
ISLJTOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O
ISLJZTO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O
ISLJZOT,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
ISLJOZT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZTJO,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X
ISLZTOJ,X,X,X,X,X,O,X,O,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZJTO,X,X,X,X,O,O,X,O,X,O,X,X,X,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X
ISLZJOT,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,O,X,X,O,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOJT,X,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLOTZJ,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOJTZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLOJZT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZJT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTLZO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
ISJTLOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
ISJTZLO,X,O,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,O,O,X,X
ISJTZOL,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X
ISJTOLZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
ISJTOZL,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJLTZO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ISJLTOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ISJLZTO,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
ISJLZOT,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJLOZT,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,X,O,X,X,X,O,X,O,O,X,X,O,X,O,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
ISJZTOL,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISJZLTO,X,O,X,X,X,O,X,O,O,O,X,O,X,O,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
ISJZLOT,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZOTL,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISJZOLT,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJOTZL,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJOLTZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJOLZT,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISJOZLT,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,O,X,O,X,O,O,O,X,X,X,X,O,X,X
ISZTLOJ,X,O,X,X,X,X,X,O,X,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZTJLO,X,O,X,X,X,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,O,O,X,X
ISZTJOL,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X
ISZTOLJ,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTOJL,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X
ISZLTJO,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X
ISZLTOJ,X,O,X,X,X,X,X,O,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLJTO,X,O,X,X,O,X,X,O,O,O,X,X,X,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X
ISZLJOT,X,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,O,O,X,X,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOJT,X,O,O,X,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJTLO,O,O,X,X,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X
ISZJTOL,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISZJLTO,O,O,X,X,O,X,X,O,O,O,X,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X
ISZJLOT,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOTL,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISZJOLT,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,X,O,O,X,X,X,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTJL,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISZOLTJ,X,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLJT,X,O,O,X,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJTL,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISZOJLT,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOTLZJ,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
ISOTJZL,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOTZLJ,X,O,O,X,X,X,O,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTZJL,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
ISOLTJZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOLTZJ,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJTZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOLJZT,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZJT,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOJTZL,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOJLTZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOJLZT,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISOJZLT,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTJL,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISOZLTJ,X,O,O,X,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISOZJLT,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLJSO,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
IZTLJOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
IZTLSJO,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
IZTLSOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTLOJS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTJLSO,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X
IZTJLOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X
IZTJSLO,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
IZTJSOL,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IZTJOLS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTJOSL,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTSLJO,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
IZTSLOJ,X,O,X,X,X,X,X,O,X,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTSJLO,X,O,X,X,X,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X
IZTSJOL,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IZTSOLJ,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOJL,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IZTOLJS,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,X,O,X,X,X,O,X,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTOJSL,X,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLTJSO,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
IZLTJOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
IZLTSJO,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
IZLTSOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,X,O,X,X,O,X,X,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
IZLJTOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLJSTO,X,O,X,X,O,X,X,X,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZLJSOT,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOST,X,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
IZLSTOJ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJTO,X,O,X,X,O,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
IZLSJOT,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,O,X,X,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOJT,X,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,X,O,X,X,X,O,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,O,O,X,X,X,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,X,O,O,X,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X
IZJTLOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X
IZJTSLO,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
IZJTSOL,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IZJTOLS,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJTOSL,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLTSO,O,O,X,X,O,X,X,X,O,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZJLTOS,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJLSTO,O,O,X,X,O,X,X,X,O,O,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLSOT,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,X,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
IZJSTOL,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IZJSLTO,O,O,X,X,O,X,X,X,O,O,X,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
IZJSLOT,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IZJSOLT,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,O,O,X,O,X,O,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJOLTS,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,X,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
