sequence,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFRdBcjBGhBT?iBlrB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhF2hBRdBcjBS?nBlrB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFuiBcjBRhBz?hBlrB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Je2AJvhFRcBCeBzhBX?jB0rBlsB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhFicBGeBRiB1?rB8sBXsB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhF/hBUdBOoBC?jBxrBVxB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFGdBTeBRnBF?mB8rB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jex7IvhFTeBCnB8sBm?lBFnBXsB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFRdBXiBusBc?oBFmBzrB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhFicBfnBxiBu?sBFoB0rB
TSLOJZI,O,O,X,O,O,X,X,X,X,X
TSLOZIJ,O,O,O,O,O,X,X,X,X,X
TSLOZJI,O,O,O,O,O,X,X,X,X,X
TSJILZO,O,O,O,O,X,O,X,X,X,X
TSJILOZ,O,O,X,O,O,O,X,X,X,X
TSJIZLO,O,O,O,O,X,O,X,X,X,X
TSJIZOL,O,O,O,O,X,O,X,X,X,X
TSJIOLZ,O,O,X,O,O,O,X,X,X,X
TSJIOZL,O,O,X,O,X,O,X,X,X,X
TSJLIZO,O,O,O,O,X,X,X,X,X,X
TSJLIOZ,O,O,X,O,X,X,X,X,X,X
TSJLZIO,O,O,O,O,X,X,X,X,X,X
TSJLZOI,O,O,O,O,X,X,X,X,X,X
TSJLOIZ,O,O,X,O,O,X,X,X,X,X
TSJLOZI,O,O,X,O,O,X,X,X,X,X
TSJZILO,O,O,O,O,O,X,X,X,X,X
TSJZIOL,O,O,O,O,O,X,X,X,X,X
TSJZLIO,O,O,O,O,O,X,X,X,X,X
TSJZLOI,O,O,O,O,O,X,X,X,X,X
TSJZOIL,O,O,O,O,O,X,X,X,X,X
TSJZOLI,O,O,O,O,O,X,X,X,X,X
TSJOILZ,O,O,X,O,O,O,X,X,X,X
TSJOIZL,O,O,X,O,X,O,X,X,X,X
TSJOLIZ,O,O,X,O,O,X,X,X,X,X
TSJOLZI,O,O,X,O,O,X,X,X,X,X
TSJOZIL,O,O,X,O,O,X,X,X,X,X
TSJOZLI,O,O,X,O,O,X,X,X,X,X
TSZILJO,O,O,O,O,O,X,X,X,X,X
TSZILOJ,O,O,O,O,O,X,X,X,X,X
TSZIJLO,O,O,O,O,O,X,X,X,X,X
TSZIJOL,O,O,O,O,O,X,X,X,X,X
TSZIOLJ,O,O,O,O,O,X,X,X,X,X
TSZIOJL,O,O,O,O,O,X,X,X,X,X
TSZLIJO,O,O,O,O,O,X,X,X,X,X
TSZLIOJ,O,O,O,O,O,X,X,X,X,X
TSZLJIO,O,O,O,O,O,X,X,X,X,X
TSZLJOI,O,O,O,O,O,X,X,X,X,X
TSZLOIJ,O,O,O,O,O,X,X,X,X,X
TSZLOJI,O,O,O,O,O,X,X,X,X,X
TSZJILO,O,O,O,O,O,X,X,X,X,X
TSZJIOL,O,O,O,O,O,X,X,X,X,X
TSZJLIO,O,O,O,O,O,X,X,X,X,X
TSZJLOI,O,O,O,O,O,X,X,X,X,X
TSZJOIL,O,O,O,O,O,X,X,X,X,X
TSZJOLI,O,O,O,O,O,X,X,X,X,X
TSZOILJ,O,O,O,O,O,X,X,X,X,X
TSZOIJL,O,O,O,O,O,X,X,X,X,X
TSZOLIJ,O,O,O,O,O,X,X,X,X,X
TSZOLJI,O,O,O,O,O,X,X,X,X,X
TSZOJIL,O,O,O,O,O,X,X,X,X,X
TSZOJLI,O,O,O,O,O,X,X,X,X,X
TSOILJZ,O,O,X,O,O,X,O,X,X,X
TSOILZJ,O,O,O,O,X,X,O,X,X,X
TSOIJLZ,O,O,X,O,O,O,O,X,X,X
TSOIJZL,O,O,X,O,X,O,O,X,X,X
TSOIZLJ,O,O,O,O,X,X,O,X,X,X
TSOIZJL,O,O,O,O,X,X,O,X,X,X
TSOLIJZ,O,O,X,O,O,X,O,X,X,X
TSOLIZJ,O,O,O,O,X,X,O,X,X,X
TSOLJIZ,O,O,X,O,O,X,X,X,X,X
TSOLJZI,O,O,X,O,O,X,X,X,X,X
TSOLZIJ,O,O,O,O,O,X,X,X,X,X
TSOLZJI,O,O,O,O,O,X,X,X,X,X
TSOJILZ,O,O,X,O,O,O,X,X,X,X
TSOJIZL,O,O,X,O,X,O,X,X,X,X
TSOJLIZ,O,O,X,O,O,X,X,X,X,X
TSOJLZI,O,O,X,O,O,X,X,X,X,X
TSOJZIL,O,O,X,O,O,X,X,X,X,X
TSOJZLI,O,O,X,O,O,X,X,X,X,X
TSOZILJ,O,O,O,O,O,X,X,X,X,X
TSOZIJL,O,O,O,O,O,X,X,X,X,X
TSOZLIJ,O,O,O,O,O,X,X,X,X,X
TSOZLJI,O,O,O,O,O,X,X,X,X,X
TSOZJIL,O,O,O,O,O,X,X,X,X,X
TSOZJLI,O,O,O,O,O,X,X,X,X,X
TZILJSO,O,O,O,X,O,X,X,X,X,X
TZILJOS,O,O,O,X,O,X,X,X,X,X
TZILSJO,O,O,O,X,O,X,X,X,X,X
TZILSOJ,O,O,O,X,O,X,X,X,X,X
TZILOJS,O,O,O,X,O,X,X,X,X,X
TZILOSJ,O,O,X,X,O,X,X,X,X,X
TZIJLSO,O,O,O,O,O,X,X,X,X,X
TZIJLOS,O,O,O,O,O,X,X,X,X,X
TZIJSLO,O,X,O,O,O,X,X,X,X,X
TZIJSOL,O,O,X,O,O,X,X,X,X,X
TZIJOLS,O,O,O,O,O,X,X,X,X,X
TZIJOSL,O,O,X,O,O,X,X,X,X,X
TZISLJO,O,O,O,O,O,X,X,X,X,X
TZISLOJ,O,O,O,O,O,X,X,X,X,X
TZISJLO,O,O,O,O,O,X,X,X,X,X
TZISJOL,O,O,O,O,O,X,X,X,X,X
TZISOLJ,O,O,O,O,O,X,X,X,X,X
TZISOJL,O,O,O,O,O,X,X,X,X,X
TZIOLJS,O,O,O,O,O,X,X,X,X,X
TZIOLSJ,O,O,X,O,O,X,X,X,X,X
TZIOJLS,O,O,O,O,O,X,X,X,X,X
TZIOJSL,O,O,X,O,O,X,X,X,X,X
TZIOSLJ,O,O,X,O,O,X,X,X,X,X
TZIOSJL,O,O,X,O,O,X,X,X,X,X
TZLIJSO,O,O,O,X,O,X,X,O,X,X
TZLIJOS,O,O,O,X,O,X,X,O,X,X
TZLISJO,O,O,O,X,O,X,X,X,X,X
TZLISOJ,O,O,O,X,O,X,X,X,X,X
TZLIOJS,O,O,O,X,O,X,X,O,X,X
TZLIOSJ,O,O,X,X,O,X,X,X,X,X
TZLJISO,O,O,O,O,O,X,X,O,X,X
TZLJIOS,O,O,O,O,O,X,X,O,X,X
TZLJSIO,O,O,O,O,O,X,X,O,X,X
TZLJSOI,O,O,O,O,O,X,X,O,X,X
TZLJOIS,O,O,O,O,O,X,X,O,X,X
TZLJOSI,O,O,X,O,O,X,X,O,X,X
TZLSIJO,O,O,O,O,O,X,X,X,X,X
TZLSIOJ,O,O,O,O,O,X,X,X,X,O
TZLSJIO,O,O,O,O,O,X,X,O,X,O
TZLSJOI,O,O,O,O,O,X,X,O,X,O
TZLSOIJ,O,O,O,O,O,X,X,X,X,O
TZLSOJI,O,O,O,O,O,X,X,O,X,O
TZLOIJS,O,O,O,O,O,X,X,O,X,X
TZLOISJ,O,O,X,O,O,X,X,X,X,X
TZLOJIS,O,O,O,O,O,X,X,O,X,X
TZLOJSI,O,O,X,O,O,X,X,O,X,X
TZLOSIJ,O,O,O,O,O,X,X,X,X,O
TZLOSJI,O,O,O,O,O,X,X,O,X,O
TZJILSO,O,O,O,O,O,X,X,X,X,X
TZJILOS,O,O,O,O,O,X,X,X,X,X
TZJISLO,O,X,O,O,O,X,X,X,X,X
TZJISOL,O,O,X,O,O,X,X,X,X,X
TZJIOLS,O,O,O,O,O,X,X,X,X,X
TZJIOSL,O,O,X,O,O,X,X,X,X,X
TZJLISO,O,O,O,O,O,X,X,X,X,X
TZJLIOS,O,O,O,O,O,X,X,X,X,X
TZJLSIO,O,O,O,O,O,X,X,X,X,X
TZJLSOI,O,O,O,O,O,X,X,X,X,X
TZJLOIS,O,O,O,O,O,X,X,X,X,X
TZJLOSI,O,O,X,O,O,X,X,X,X,X
TZJSILO,O,O,O,O,O,X,X,X,X,O
TZJSIOL,O,O,O,O,O,X,X,X,X,O
TZJSLIO,O,O,O,O,O,X,X,X,X,O
TZJSLOI,O,O,O,O,O,X,X,X,X,O
TZJSOIL,O,O,O,O,O,X,X,X,X,O
TZJSOLI,O,O,O,O,O,X,X,X,X,O
TZJOILS,O,O,O,O,O,X,X,X,X,X
TZJOISL,O,O,X,O,O,X,X,X,X,X
TZJOLIS,O,O,O,O,O,X,X,X,X,X
TZJOLSI,O,O,X,O,O,X,X,X,X,X
TZJOSIL,O,O,X,O,O,X,X,X,X,O
TZJOSLI,O,O,X,O,O,X,X,X,X,O
TZSILJO,O,O,O,O,O,X,X,X,X,X
TZSILOJ,O,O,O,O,O,X,X,X,X,O
TZSIJLO,O,O,O,O,O,X,X,X,X,X
TZSIJOL,O,O,O,O,O,X,X,X,X,X
TZSIOLJ,O,O,O,O,O,X,X,X,X,O
TZSIOJL,O,O,O,O,O,X,X,X,X,X
TZSLIJO,O,O,O,O,O,X,X,X,X,X
TZSLIOJ,O,O,O,O,O,X,X,X,X,O
TZSLJIO,O,O,O,O,O,X,X,X,X,O
TZSLJOI,O,O,O,O,O,X,X,X,X,O
TZSLOIJ,O,O,O,O,O,X,X,X,X,O
TZSLOJI,O,O,O,O,O,X,X,X,X,O
TZSJILO,O,O,O,O,O,X,X,X,X,O
TZSJIOL,O,O,O,O,O,X,X,X,X,O
TZSJLIO,O,O,O,O,O,X,X,X,X,O
TZSJLOI,O,O,O,O,O,X,X,X,X,O
TZSJOIL,O,O,O,O,O,X,X,X,X,O
TZSJOLI,O,O,O,O,O,X,X,X,X,O
TZSOILJ,O,O,O,O,O,X,X,X,X,O
TZSOIJL,O,O,O,O,O,X,X,X,X,X
TZSOLIJ,O,O,O,O,O,X,X,X,X,O
TZSOLJI,O,O,O,O,O,X,X,X,X,O
TZSOJIL,O,O,O,O,O,X,X,X,X,O
TZSOJLI,O,O,O,O,O,X,X,X,X,O
TZOILJS,O,O,O,O,O,X,X,X,X,X
TZOILSJ,O,O,X,O,O,X,X,X,X,X
TZOIJLS,O,O,O,O,O,X,X,X,X,X
TZOIJSL,O,O,X,O,O,X,X,X,X,X
TZOISLJ,O,O,X,O,O,X,X,X,X,X
TZOISJL,O,O,X,O,O,X,X,X,X,X
TZOLIJS,O,O,O,O,O,X,X,O,X,X
TZOLISJ,O,O,X,O,O,X,X,X,X,X
TZOLJIS,O,O,O,O,O,X,X,O,X,X
TZOLJSI,O,O,X,O,O,X,X,O,X,X
TZOLSIJ,O,O,O,O,O,X,X,X,X,O
TZOLSJI,O,O,O,O,O,X,X,O,X,O
TZOJILS,O,O,O,O,O,X,X,X,X,X
TZOJISL,O,O,X,O,O,X,X,X,X,X
TZOJLIS,O,O,O,O,O,X,X,X,X,X
TZOJLSI,O,O,X,O,O,X,X,X,X,X
TZOJSIL,O,O,X,O,O,X,X,X,X,O
TZOJSLI,O,O,X,O,O,X,X,X,X,O
TZOSILJ,O,O,O,O,O,X,X,X,X,O
TZOSIJL,O,O,O,O,O,X,X,X,X,X
TZOSLIJ,O,O,O,O,O,X,X,X,X,O
TZOSLJI,O,O,O,O,O,X,X,X,X,O
TZOSJIL,O,O,O,O,O,X,X,X,X,O
TZOSJLI,O,O,O,O,O,X,X,X,X,O
TOILJSZ,X,X,X,O,O,X,X,X,X,X
TOILJZS,O,O,X,X,O,X,X,X,X,X
TOILSJZ,X,X,X,O,O,X,X,X,X,X
TOILSZJ,X,X,O,O,X,X,X,X,X,X
TOILZJS,O,O,O,X,O,X,X,X,X,X
TOILZSJ,O,O,X,X,O,X,X,X,X,X
TOIJLSZ,X,X,X,O,O,O,X,X,X,X
TOIJLZS,O,O,X,X,O,X,X,X,X,X
TOIJSLZ,X,O,X,O,O,O,X,X,X,X
TOIJSZL,X,O,X,O,X,O,X,X,X,X
TOIJZLS,O,O,X,X,O,X,X,X,X,X
TOIJZSL,O,O,X,O,O,O,X,X,X,X
TOISLJZ,X,O,X,O,O,X,X,X,X,X
TOISLZJ,X,O,O,O,X,X,X,X,X,X
TOISJLZ,X,O,X,O,O,O,X,X,X,X
TOISJZL,X,O,X,O,X,O,X,X,X,X
TOISZLJ,X,O,O,O,X,X,X,X,X,X
TOISZJL,X,O,O,O,X,X,X,X,X,X
TOIZLJS,O,O,O,X,O,X,X,X,X,X
TOIZLSJ,O,O,X,X,O,X,X,X,X,X
TOIZJLS,O,O,O,X,O,X,X,X,X,X
TOIZJSL,O,O,X,O,O,X,X,X,X,X
TOIZSLJ,O,O,X,O,O,X,X,X,X,X
TOIZSJL,O,O,X,O,O,X,X,X,X,X
TOLIJSZ,X,X,X,O,O,X,X,X,X,X
TOLIJZS,O,O,X,X,O,X,X,X,X,X
TOLISJZ,X,X,X,O,O,X,X,X,X,X
TOLISZJ,X,X,O,O,X,X,X,X,X,X
TOLIZJS,O,O,O,X,O,X,X,X,X,X
TOLIZSJ,O,O,X,X,O,X,X,X,X,X
TOLJISZ,X,X,X,O,O,X,X,X,X,X
TOLJIZS,O,O,X,X,O,X,X,X,X,X
TOLJSIZ,O,O,X,O,O,X,X,X,X,X
TOLJSZI,O,O,X,O,O,X,X,X,O,X
TOLJZIS,O,O,X,X,O,X,X,X,X,X
TOLJZSI,O,O,X,X,O,X,X,X,X,X
TOLSIJZ,O,O,X,O,O,X,O,X,X,X
TOLSIZJ,O,O,O,O,X,X,O,X,X,X
TOLSJIZ,O,O,X,O,O,X,X,X,X,X
TOLSJZI,O,O,X,O,O,X,X,X,X,X
TOLSZIJ,O,O,O,O,O,X,X,X,X,X
TOLSZJI,O,O,O,O,O,X,X,X,X,X
TOLZIJS,O,O,O,X,O,X,X,X,X,X
TOLZISJ,O,O,X,X,O,X,X,X,X,X
TOLZJIS,O,O,O,X,O,X,X,X,X,X
TOLZJSI,O,O,X,X,O,X,X,X,X,X
TOLZSIJ,O,O,O,X,O,X,X,X,X,O
TOLZSJI,O,O,O,X,O,X,X,X,X,O
TOJILSZ,X,X,X,O,O,O,X,X,X,X
TOJILZS,O,O,X,X,O,X,X,X,X,X
TOJISLZ,X,O,X,O,O,O,X,X,X,X
TOJISZL,X,O,X,O,X,O,X,X,X,X
TOJIZLS,O,O,X,O,O,X,X,X,X,X
TOJIZSL,O,O,X,O,O,O,X,X,X,X
TOJLISZ,X,X,X,O,O,X,X,X,X,X
TOJLIZS,O,O,X,X,O,X,X,X,X,X
TOJLSIZ,O,O,X,O,O,X,X,X,X,X
TOJLSZI,O,O,X,O,O,X,X,X,O,X
TOJLZIS,O,O,X,X,O,X,X,X,X,X
TOJLZSI,O,O,X,X,O,X,X,X,X,X
TOJSILZ,O,O,X,O,O,O,X,X,O,X
TOJSIZL,O,O,X,O,X,O,X,X,O,X
TOJSLIZ,O,O,X,O,O,X,X,X,O,X
TOJSLZI,O,O,X,O,O,X,X,X,O,X
TOJSZIL,O,O,X,O,O,X,X,X,O,X
TOJSZLI,O,O,X,O,O,X,X,X,O,X
TOJZILS,O,O,X,O,O,X,X,X,X,X
TOJZISL,O,O,X,O,O,X,X,X,X,X
TOJZLIS,O,O,X,O,O,X,X,X,X,X
TOJZLSI,O,O,X,O,O,X,X,X,X,X
TOJZSIL,O,O,X,O,O,X,X,X,X,O
TOJZSLI,O,O,X,O,O,X,X,X,X,O
TOSILJZ,O,O,X,O,O,X,O,X,X,X
TOSILZJ,O,O,O,O,X,X,O,X,X,X
TOSIJLZ,O,O,X,O,O,O,O,X,X,X
TOSIJZL,O,O,X,O,X,O,O,X,X,X
TOSIZLJ,O,O,O,O,X,X,O,X,X,X
TOSIZJL,O,O,O,O,X,X,O,X,X,X
TOSLIJZ,O,O,X,O,O,X,O,X,X,X
TOSLIZJ,O,O,O,O,X,X,O,X,X,X
TOSLJIZ,O,O,X,O,O,X,X,X,X,X
TOSLJZI,O,O,X,O,O,X,X,X,X,X
TOSLZIJ,O,O,O,O,O,X,X,X,X,X
TOSLZJI,O,O,O,O,O,X,X,X,X,X
TOSJILZ,O,O,X,O,O,O,X,X,X,X
TOSJIZL,O,O,X,O,X,O,X,X,X,X
TOSJLIZ,O,O,X,O,O,X,X,X,X,X
TOSJLZI,O,O,X,O,O,X,X,X,X,X
TOSJZIL,O,O,X,O,O,X,X,X,X,X
TOSJZLI,O,O,X,O,O,X,X,X,X,X
TOSZILJ,O,O,O,O,O,X,X,X,X,X
TOSZIJL,O,O,O,O,O,X,X,X,X,X
TOSZLIJ,O,O,O,O,O,X,X,X,X,X
TOSZLJI,O,O,O,O,O,X,X,X,X,X
TOSZJIL,O,O,O,O,O,X,X,X,X,X
TOSZJLI,O,O,O,O,O,X,X,X,X,X
TOZILJS,O,O,O,O,O,X,X,X,X,X
TOZILSJ,O,O,X,O,O,X,X,X,X,X
TOZIJLS,O,O,O,O,O,X,X,X,X,X
TOZIJSL,O,O,X,O,O,X,X,X,X,X
TOZISLJ,O,O,X,O,O,X,X,X,X,X
TOZISJL,O,O,X,O,O,X,X,X,X,X
TOZLIJS,O,O,O,O,O,X,X,O,X,X
TOZLISJ,O,O,X,O,O,X,X,X,X,X
TOZLJIS,O,O,O,O,O,X,X,O,X,X
TOZLJSI,O,O,X,O,O,X,X,O,X,X
TOZLSIJ,O,O,O,O,O,X,X,X,X,O
TOZLSJI,O,O,O,O,O,X,X,O,X,O
TOZJILS,O,O,O,O,O,X,X,X,X,X
TOZJISL,O,O,X,O,O,X,X,X,X,X
TOZJLIS,O,O,O,O,O,X,X,X,X,X
TOZJLSI,O,O,X,O,O,X,X,X,X,X
TOZJSIL,O,O,X,O,O,X,X,X,X,O
TOZJSLI,O,O,X,O,O,X,X,X,X,O
TOZSILJ,O,O,O,O,O,X,X,X,X,O
TOZSIJL,O,O,O,O,O,X,X,X,X,X
TOZSLIJ,O,O,O,O,O,X,X,X,X,O
TOZSLJI,O,O,O,O,O,X,X,X,X,O
TOZSJIL,O,O,O,O,O,X,X,X,X,O
TOZSJLI,O,O,O,O,O,X,X,X,X,O
ITLJSZO,O,X,O,X,X,X,X,X,X,X
ITLJSOZ,O,X,X,X,O,X,X,X,X,X
ITLJZSO,O,O,O,X,X,X,X,X,X,X
ITLJZOS,O,O,O,X,O,X,X,X,X,X
ITLJOSZ,X,X,X,X,O,X,X,X,X,X
ITLJOZS,O,O,X,X,O,X,X,X,X,X
ITLSJZO,O,X,O,X,X,X,X,X,X,X
ITLSJOZ,O,X,X,X,O,X,X,X,X,X
ITLSZJO,O,X,O,X,X,X,X,X,X,X
ITLSZOJ,O,X,O,X,X,X,X,X,X,X
ITLSOJZ,O,X,X,X,O,X,X,X,X,X
ITLSOZJ,O,X,O,X,X,X,X,X,X,X
ITLZJSO,O,O,O,X,O,X,X,X,X,X
ITLZJOS,O,O,O,X,O,X,X,X,X,X
ITLZSJO,O,O,O,X,O,X,X,X,X,X
ITLZSOJ,O,O,O,X,O,X,X,X,X,X
ITLZOJS,O,O,O,X,O,X,X,X,X,X
ITLZOSJ,O,O,X,X,O,X,X,X,X,X
ITLOJSZ,X,X,X,X,O,X,X,X,X,X
ITLOJZS,O,O,X,X,O,X,X,X,X,X
ITLOSJZ,X,X,X,X,O,X,X,X,X,X
ITLOSZJ,X,X,O,X,X,X,X,X,X,X
ITLOZJS,O,O,O,X,O,X,X,X,X,X
ITLOZSJ,O,O,X,X,O,X,X,X,X,X
ITJLSZO,O,X,O,O,X,O,X,X,X,X
ITJLSOZ,O,X,X,O,O,O,X,X,X,X
ITJLZSO,O,O,O,O,X,X,X,X,X,X
ITJLZOS,O,O,O,O,O,X,X,X,X,X
ITJLOSZ,X,X,X,O,O,O,X,X,X,X
ITJLOZS,O,O,X,X,O,X,X,X,X,X
ITJSLZO,O,O,O,O,X,O,X,X,X,X
ITJSLOZ,O,O,X,O,O,O,X,X,X,X
ITJSZLO,O,O,O,O,X,O,X,X,X,X
ITJSZOL,O,O,O,O,X,O,X,X,X,X
ITJSOLZ,O,O,X,O,O,O,X,X,X,X
ITJSOZL,O,O,X,O,X,O,X,X,X,X
ITJZLSO,O,O,O,O,O,X,X,X,X,X
ITJZLOS,O,O,O,O,O,X,X,X,X,X
ITJZSLO,O,X,O,O,O,O,X,X,X,X
ITJZSOL,O,O,X,O,O,O,X,X,X,X
ITJZOLS,O,O,O,O,O,X,X,X,X,X
ITJZOSL,O,O,X,O,O,O,X,X,X,X
ITJOLSZ,X,X,X,O,O,O,X,X,X,X
ITJOLZS,O,O,X,X,O,X,X,X,X,X
ITJOSLZ,X,O,X,O,O,O,X,X,X,X
ITJOSZL,X,O,X,O,X,O,X,X,X,X
ITJOZLS,O,O,X,O,O,X,X,X,X,X
ITJOZSL,O,O,X,O,O,O,X,X,X,X
ITSLJZO,O,O,O,O,X,X,X,X,X,X
ITSLJOZ,O,O,X,O,O,X,X,X,X,X
ITSLZJO,O,O,O,O,X,X,X,X,X,X
ITSLZOJ,O,O,O,O,X,X,X,X,X,X
ITSLOJZ,O,O,X,O,O,X,X,X,X,X
ITSLOZJ,O,O,O,O,X,X,X,X,X,X
ITSJLZO,O,O,O,O,X,O,X,X,X,X
ITSJLOZ,O,O,X,O,O,O,X,X,X,X
ITSJZLO,O,O,O,O,X,O,X,X,X,X
ITSJZOL,O,O,O,O,X,O,X,X,X,X
ITSJOLZ,O,O,X,O,O,O,X,X,X,X
ITSJOZL,O,O,X,O,X,O,X,X,X,X
ITSZLJO,O,O,O,O,X,X,X,X,X,X
ITSZLOJ,O,O,O,O,X,X,X,X,X,X
ITSZJLO,O,O,O,O,X,X,X,X,X,X
ITSZJOL,O,O,O,O,X,X,X,X,X,X
ITSZOLJ,O,O,O,O,X,X,X,X,X,X
ITSZOJL,O,O,O,O,X,X,X,X,X,X
ITSOLJZ,O,O,X,O,O,X,X,X,X,X
ITSOLZJ,O,O,O,O,X,X,X,X,X,X
ITSOJLZ,O,O,X,O,O,O,X,X,X,X
ITSOJZL,O,O,X,O,X,O,X,X,X,X
ITSOZLJ,O,O,O,O,X,X,X,X,X,X
ITSOZJL,O,O,O,O,X,X,X,X,X,X
ITZLJSO,O,O,O,X,O,X,X,X,X,X
ITZLJOS,O,O,O,X,O,X,X,X,X,X
ITZLSJO,O,O,O,X,O,X,X,X,X,X
ITZLSOJ,O,O,O,X,O,X,X,X,X,X
ITZLOJS,O,O,O,X,O,X,X,X,X,X
ITZLOSJ,O,O,X,X,O,X,X,X,X,X
ITZJLSO,O,O,O,O,O,X,X,X,X,X
ITZJLOS,O,O,O,O,O,X,X,X,X,X
ITZJSLO,O,X,O,O,O,X,X,X,X,X
ITZJSOL,O,O,X,O,O,X,X,X,X,X
ITZJOLS,O,O,O,O,O,X,X,X,X,X
ITZJOSL,O,O,X,O,O,X,X,X,X,X
ITZSLJO,O,O,O,O,O,X,X,X,X,X
ITZSLOJ,O,O,O,O,O,X,X,X,X,X
ITZSJLO,O,O,O,O,O,X,X,X,X,X
ITZSJOL,O,O,O,O,O,X,X,X,X,X
ITZSOLJ,O,O,O,O,O,X,X,X,X,X
ITZSOJL,O,O,O,O,O,X,X,X,X,X
ITZOLJS,O,O,O,O,O,X,X,X,X,X
ITZOLSJ,O,O,X,O,O,X,X,X,X,X
ITZOJLS,O,O,O,O,O,X,X,X,X,X
ITZOJSL,O,O,X,O,O,X,X,X,X,X
ITZOSLJ,O,O,X,O,O,X,X,X,X,X
ITZOSJL,O,O,X,O,O,X,X,X,X,X
ITOLJSZ,X,X,X,O,O,X,X,X,X,X
ITOLJZS,O,O,X,X,O,X,X,X,X,X
ITOLSJZ,X,X,X,O,O,X,X,X,X,X
ITOLSZJ,X,X,O,O,X,X,X,X,X,X
ITOLZJS,O,O,O,X,O,X,X,X,X,X
ITOLZSJ,O,O,X,X,O,X,X,X,X,X
ITOJLSZ,X,X,X,O,O,O,X,X,X,X
ITOJLZS,O,O,X,X,O,X,X,X,X,X
ITOJSLZ,X,O,X,O,O,O,X,X,X,X
ITOJSZL,X,O,X,O,X,O,X,X,X,X
ITOJZLS,O,O,X,X,O,X,X,X,X,X
ITOJZSL,O,O,X,O,O,O,X,X,X,X
ITOSLJZ,X,O,X,O,O,X,X,X,X,X
ITOSLZJ,X,O,O,O,X,X,X,X,X,X
ITOSJLZ,X,O,X,O,O,O,X,X,X,X
ITOSJZL,X,O,X,O,X,O,X,X,X,X
ITOSZLJ,X,O,O,O,X,X,X,X,X,X
ITOSZJL,X,O,O,O,X,X,X,X,X,X
ITOZLJS,O,O,O,X,O,X,X,X,X,X
ITOZLSJ,O,O,X,X,O,X,X,X,X,X
ITOZJLS,O,O,O,X,O,X,X,X,X,X
ITOZJSL,O,O,X,O,O,X,X,X,X,X
ITOZSLJ,O,O,X,O,O,X,X,X,X,X
ITOZSJL,O,O,X,O,O,X,X,X,X,X
ILTJSZO,O,X,O,X,X,X,X,X,X,X
ILTJSOZ,O,X,X,X,O,X,X,X,X,X
ILTJZSO,O,X,O,X,X,X,X,X,X,X
ILTJZOS,O,X,O,X,O,X,X,X,X,X
ILTJOSZ,X,X,X,X,O,X,X,X,X,X
ILTJOZS,O,X,X,X,O,X,X,X,X,X
ILTSJZO,O,X,O,X,X,X,X,X,X,X
ILTSJOZ,O,X,X,X,O,X,X,X,X,X
ILTSZJO,O,X,O,X,X,X,X,X,X,X
ILTSZOJ,O,X,O,X,X,X,X,X,X,X
ILTSOJZ,O,X,X,X,O,X,X,X,X,X
ILTSOZJ,O,X,O,X,X,X,X,X,X,X
ILTZJSO,O,X,O,X,O,X,X,X,X,X
ILTZJOS,O,X,O,X,O,X,X,X,X,X
ILTZSJO,O,X,O,X,O,X,X,X,X,X
ILTZSOJ,O,X,O,X,O,X,X,X,X,X
ILTZOJS,O,X,O,X,O,X,X,X,X,X
ILTZOSJ,O,X,X,X,O,X,X,X,X,X
ILTOJSZ,X,X,X,X,O,X,X,X,X,X
ILTOJZS,O,X,X,X,O,X,X,X,X,X
ILTOSJZ,X,X,X,X,O,X,X,X,X,X
ILTOSZJ,X,X,O,X,X,X,X,X,X,X
ILTOZJS,O,X,O,X,O,X,X,X,X,X
ILTOZSJ,O,X,X,X,O,X,X,X,X,X
ILJTSZO,O,X,O,X,X,O,X,X,X,X
ILJTSOZ,O,X,X,X,X,O,X,X,X,X
ILJTZSO,O,X,O,X,X,X,X,X,X,X
ILJTZOS,O,X,O,X,X,X,X,X,X,X
ILJTOSZ,X,X,X,X,X,O,X,X,X,X
ILJTOZS,O,X,X,X,X,X,X,X,X,X
ILJSTZO,X,X,X,X,X,O,X,X,X,X
ILJSTOZ,X,X,X,X,X,O,X,X,X,X
ILJSZTO,O,X,O,X,X,X,X,X,O,X
ILJSZOT,O,X,O,X,X,X,X,X,O,X
ILJSOTZ,X,X,X,X,X,O,X,X,X,X
ILJSOZT,O,X,X,X,X,X,X,X,X,X
ILJZTSO,O,X,O,X,X,X,X,X,X,X
ILJZTOS,O,X,O,X,X,X,X,X,X,X
ILJZSTO,O,X,O,X,X,X,X,X,X,X
ILJZSOT,O,X,O,X,X,X,X,X,X,X
ILJZOTS,O,X,O,X,X,X,X,X,X,X
ILJZOST,O,X,O,X,X,X,X,X,X,X
