sequence,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFRdBcjBGhBT?iBlrB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhF2hBRdBcjBS?nBlrB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFuiBcjBRhBz?hBlrB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Je2AJvhFRcBCeBzhBX?jB0rBlsB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhFicBGeBRiB1?rB8sBXsB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhF/hBUdBOoBC?jBxrBVxB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFGdBTeBRnBF?mB8rB3sB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jex7IvhFTeBCnB8sBm?lBFnBXsB,v115@zgB8HeB8HeE8DeE8EeF8CeB8Jei7IvhFRdBXiBusBc?oBFmBzrB,v115@zgB8HeB8HeE8DeE8EeF8CeB8JeT7IvhFicBfnBxiBu?sBFoB0rB
TLIJSZO,O,X,O,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,O,X,X,X,X,X
TLIJZSO,O,O,O,X,X,X,X,X,X,X
TLIJZOS,O,O,O,X,O,X,X,X,X,X
TLIJOSZ,X,X,X,X,O,X,X,X,X,X
TLIJOZS,O,O,X,X,O,X,X,X,X,X
TLISJZO,O,X,O,X,X,X,X,X,X,X
TLISJOZ,O,X,X,X,O,X,X,X,X,X
TLISZJO,O,X,O,X,X,X,X,X,X,X
TLISZOJ,O,X,O,X,X,X,X,X,X,X
TLISOJZ,O,X,X,X,O,X,X,X,X,X
TLISOZJ,O,X,O,X,X,X,X,X,X,X
TLIZJSO,O,O,O,X,O,X,X,X,X,X
TLIZJOS,O,O,O,X,O,X,X,X,X,X
TLIZSJO,O,O,O,X,O,X,X,X,X,X
TLIZSOJ,O,O,O,X,O,X,X,X,X,X
TLIZOJS,O,O,O,X,O,X,X,X,X,X
TLIZOSJ,O,O,X,X,O,X,X,X,X,X
TLIOJSZ,X,X,X,X,O,X,X,X,X,X
TLIOJZS,O,O,X,X,O,X,X,X,X,X
TLIOSJZ,X,X,X,X,O,X,X,X,X,X
TLIOSZJ,X,X,O,X,X,X,X,X,X,X
TLIOZJS,O,O,O,X,O,X,X,X,X,X
TLIOZSJ,O,O,X,X,O,X,X,X,X,X
TLJISZO,O,X,O,O,X,X,X,X,X,X
TLJISOZ,O,X,X,O,O,X,X,X,X,X
TLJIZSO,O,O,O,O,X,X,X,X,X,X
TLJIZOS,O,O,O,O,O,X,X,X,X,X
TLJIOSZ,X,X,X,O,O,X,X,X,X,X
TLJIOZS,O,O,X,X,O,X,X,X,X,X
TLJSIZO,O,O,O,O,X,X,X,X,X,X
TLJSIOZ,O,O,X,O,X,X,X,X,X,X
TLJSZIO,O,O,O,O,X,X,X,X,O,X
TLJSZOI,O,O,O,O,X,X,X,X,X,X
TLJSOIZ,O,O,X,O,O,X,X,X,X,X
TLJSOZI,O,O,X,O,O,X,X,X,X,X
TLJZISO,O,O,O,O,O,X,X,X,X,X
TLJZIOS,O,O,O,O,O,X,X,X,X,X
TLJZSIO,O,O,O,O,O,X,X,X,X,X
TLJZSOI,O,O,O,O,O,X,X,X,X,X
TLJZOIS,O,O,O,O,O,X,X,X,X,X
TLJZOSI,O,O,X,O,O,X,X,X,X,X
TLJOISZ,X,X,X,O,O,X,X,X,X,X
TLJOIZS,O,O,X,X,O,X,X,X,X,X
TLJOSIZ,O,O,X,O,O,X,X,X,X,X
TLJOSZI,O,O,X,O,O,X,X,X,O,X
TLJOZIS,O,O,X,X,O,X,X,X,X,X
TLJOZSI,O,O,X,X,O,X,X,X,X,X
TLSIJZO,O,O,O,O,X,X,O,X,X,X
TLSIJOZ,O,O,X,O,O,X,O,X,X,X
TLSIZJO,O,O,O,O,X,X,O,X,X,X
TLSIZOJ,O,O,O,O,X,X,O,X,X,X
TLSIOJZ,O,O,X,O,O,X,O,X,X,X
TLSIOZJ,O,O,O,O,X,X,O,X,X,X
TLSJIZO,O,O,O,O,X,X,X,X,X,X
TLSJIOZ,O,O,X,O,X,X,X,X,X,X
TLSJZIO,O,O,O,O,X,X,X,X,X,X
TLSJZOI,O,O,O,O,X,X,X,X,X,X
TLSJOIZ,O,O,X,O,O,X,X,X,X,X
TLSJOZI,O,O,X,O,O,X,X,X,X,X
TLSZIJO,O,O,O,O,O,X,X,X,X,X
TLSZIOJ,O,O,O,O,O,X,X,X,X,X
TLSZJIO,O,O,O,O,X,X,X,X,X,X
TLSZJOI,O,O,O,O,O,X,X,X,X,X
TLSZOIJ,O,O,O,O,O,X,X,X,X,X
TLSZOJI,O,O,O,O,O,X,X,X,X,X
TLSOIJZ,O,O,X,O,O,X,O,X,X,X
TLSOIZJ,O,O,O,O,X,X,O,X,X,X
TLSOJIZ,O,O,X,O,O,X,X,X,X,X
TLSOJZI,O,O,X,O,O,X,X,X,X,X
TLSOZIJ,O,O,O,O,O,X,X,X,X,X
TLSOZJI,O,O,O,O,O,X,X,X,X,X
TLZIJSO,O,O,O,X,O,X,X,X,X,X
TLZIJOS,O,O,O,X,O,X,X,X,X,X
TLZISJO,O,O,O,X,O,X,X,X,X,X
TLZISOJ,O,O,O,X,O,X,X,X,X,X
TLZIOJS,O,O,O,X,O,X,X,X,X,X
TLZIOSJ,O,O,X,X,O,X,X,X,X,X
TLZJISO,O,O,O,O,O,X,X,X,X,X
TLZJIOS,O,O,O,O,O,X,X,X,X,X
TLZJSIO,O,O,O,O,O,X,X,X,X,X
TLZJSOI,O,O,O,O,O,X,X,X,X,X
TLZJOIS,O,O,O,O,O,X,X,X,X,X
TLZJOSI,O,O,X,O,O,X,X,X,X,X
TLZSIJO,O,O,O,O,O,X,X,X,X,X
TLZSIOJ,O,O,O,O,O,X,X,X,X,O
TLZSJIO,O,O,O,O,O,X,X,X,X,O
TLZSJOI,O,O,O,O,O,X,X,X,X,O
TLZSOIJ,O,O,O,O,O,X,X,X,X,O
TLZSOJI,O,O,O,O,O,X,X,X,X,O
TLZOIJS,O,O,O,O,O,X,X,X,X,X
TLZOISJ,O,O,X,O,O,X,X,X,X,X
TLZOJIS,O,O,O,O,O,X,X,X,X,X
TLZOJSI,O,O,X,O,O,X,X,X,X,X
TLZOSIJ,O,O,O,O,O,X,X,X,X,O
TLZOSJI,O,O,O,O,O,X,X,X,X,O
TLOIJSZ,X,X,X,O,O,X,X,X,X,X
TLOIJZS,O,O,X,X,O,X,X,X,X,X
TLOISJZ,X,X,X,O,O,X,X,X,X,X
TLOISZJ,X,X,O,O,X,X,X,X,X,X
TLOIZJS,O,O,O,X,O,X,X,X,X,X
TLOIZSJ,O,O,X,X,O,X,X,X,X,X
TLOJISZ,X,X,X,O,O,X,X,X,X,X
TLOJIZS,O,O,X,X,O,X,X,X,X,X
TLOJSIZ,O,O,X,O,O,X,X,X,X,X
TLOJSZI,O,O,X,O,O,X,X,X,O,X
TLOJZIS,O,O,X,X,O,X,X,X,X,X
TLOJZSI,O,O,X,X,O,X,X,X,X,X
TLOSIJZ,O,O,X,O,O,X,O,X,X,X
TLOSIZJ,O,O,O,O,X,X,O,X,X,X
TLOSJIZ,O,O,X,O,O,X,X,X,X,X
TLOSJZI,O,O,X,O,O,X,X,X,X,X
TLOSZIJ,O,O,O,O,O,X,X,X,X,X
TLOSZJI,O,O,O,O,O,X,X,X,X,X
TLOZIJS,O,O,O,X,O,X,X,X,X,X
TLOZISJ,O,O,X,X,O,X,X,X,X,X
TLOZJIS,O,O,O,X,O,X,X,X,X,X
TLOZJSI,O,O,X,X,O,X,X,X,X,X
TLOZSIJ,O,O,O,X,O,X,X,X,X,O
TLOZSJI,O,O,O,X,O,X,X,X,X,O
TJILSZO,O,X,O,O,X,O,X,X,X,X
TJILSOZ,O,X,X,O,O,O,X,X,X,X
TJILZSO,O,O,O,O,X,X,X,X,X,X
TJILZOS,O,O,O,O,O,X,X,X,X,X
TJILOSZ,X,X,X,O,O,O,X,X,X,X
TJILOZS,O,O,X,X,O,X,X,X,X,X
TJISLZO,O,O,O,O,X,O,X,X,X,X
TJISLOZ,O,O,X,O,O,O,X,X,X,X
TJISZLO,O,O,O,O,X,O,X,X,X,X
TJISZOL,O,O,O,O,X,O,X,X,X,X
TJISOLZ,O,O,X,O,O,O,X,X,X,X
TJISOZL,O,O,X,O,X,O,X,X,X,X
TJIZLSO,O,O,O,O,O,X,X,X,X,X
TJIZLOS,O,O,O,O,O,X,X,X,X,X
TJIZSLO,O,X,O,O,O,O,X,X,X,X
TJIZSOL,O,O,X,O,O,O,X,X,X,X
TJIZOLS,O,O,O,O,O,X,X,X,X,X
TJIZOSL,O,O,X,O,O,O,X,X,X,X
TJIOLSZ,X,X,X,O,O,O,X,X,X,X
TJIOLZS,O,O,X,X,O,X,X,X,X,X
TJIOSLZ,X,O,X,O,O,O,X,X,X,X
TJIOSZL,X,O,X,O,X,O,X,X,X,X
TJIOZLS,O,O,X,O,O,X,X,X,X,X
TJIOZSL,O,O,X,O,O,O,X,X,X,X
TJLISZO,O,X,O,O,X,X,X,X,X,X
TJLISOZ,O,X,X,O,O,X,X,X,X,X
TJLIZSO,O,O,O,O,X,X,X,X,X,X
TJLIZOS,O,O,O,O,O,X,X,X,X,X
TJLIOSZ,X,X,X,O,O,X,X,X,X,X
TJLIOZS,O,O,X,X,O,X,X,X,X,X
TJLSIZO,O,O,O,O,X,X,X,X,X,X
TJLSIOZ,O,O,X,O,X,X,X,X,X,X
TJLSZIO,O,O,O,O,X,X,X,X,O,X
TJLSZOI,O,O,O,O,X,X,X,X,X,X
TJLSOIZ,O,O,X,O,O,X,X,X,X,X
TJLSOZI,O,O,X,O,O,X,X,X,X,X
TJLZISO,O,O,O,O,O,X,X,X,X,X
TJLZIOS,O,O,O,O,O,X,X,X,X,X
TJLZSIO,O,O,O,O,O,X,X,X,X,X
TJLZSOI,O,O,O,O,O,X,X,X,X,X
TJLZOIS,O,O,O,O,O,X,X,X,X,X
TJLZOSI,O,O,X,O,O,X,X,X,X,X
TJLOISZ,X,X,X,O,O,X,X,X,X,X
TJLOIZS,O,O,X,X,O,X,X,X,X,X
TJLOSIZ,O,O,X,O,O,X,X,X,X,X
TJLOSZI,O,O,X,O,O,X,X,X,O,X
TJLOZIS,O,O,X,X,O,X,X,X,X,X
TJLOZSI,O,O,X,X,O,X,X,X,X,X
TJSILZO,O,O,O,O,X,O,X,X,O,X
TJSILOZ,O,O,X,O,O,O,X,X,X,X
TJSIZLO,O,O,O,O,X,O,X,X,O,X
TJSIZOL,O,O,O,O,X,O,X,X,O,X
TJSIOLZ,O,O,X,O,O,O,X,X,X,X
TJSIOZL,O,O,X,O,X,O,X,X,X,X
TJSLIZO,O,O,O,O,X,X,X,X,O,X
TJSLIOZ,O,O,X,O,X,X,X,X,X,X
TJSLZIO,O,O,O,O,X,X,X,X,O,X
TJSLZOI,O,O,O,O,X,X,X,X,O,X
TJSLOIZ,O,O,X,O,O,X,X,X,X,X
TJSLOZI,O,O,X,O,O,X,X,X,O,X
TJSZILO,O,O,O,O,O,X,X,X,O,X
TJSZIOL,O,O,O,O,O,X,X,X,O,X
TJSZLIO,O,O,O,O,O,X,X,X,O,X
TJSZLOI,O,O,O,O,O,X,X,X,O,X
TJSZOIL,O,O,O,O,O,X,X,X,O,X
TJSZOLI,O,O,O,O,O,X,X,X,O,X
TJSOILZ,O,O,X,O,O,O,X,X,X,X
TJSOIZL,O,O,X,O,X,O,X,X,X,X
TJSOLIZ,O,O,X,O,O,X,X,X,X,X
TJSOLZI,O,O,X,O,O,X,X,X,O,X
TJSOZIL,O,O,X,O,O,X,X,X,O,X
TJSOZLI,O,O,X,O,O,X,X,X,O,X
TJZILSO,O,O,O,O,O,X,X,X,X,X
TJZILOS,O,O,O,O,O,X,X,X,X,X
TJZISLO,O,X,O,O,O,X,X,X,X,X
TJZISOL,O,O,X,O,O,X,X,X,X,X
TJZIOLS,O,O,O,O,O,X,X,X,X,X
TJZIOSL,O,O,X,O,O,X,X,X,X,X
TJZLISO,O,O,O,O,O,X,X,X,X,X
