sequence,v115@EhD8EeE8DeF8BeG8Jem6IvhFFcBxdB0fBqlB3hBzpB,v115@EhD8EeE8DeF8BeG8JeT6IvhF/gB1hBUhBxiBupBiqB,v115@EhD8EeE8DeF8BeG8JeT6IvhF0cBxdBigBWqBFmBXqB,v115@EhD8EeE8DeF8BeG8Je//IvhFUbBxdBlhBmlBCmBzpB,v115@EhD8EeE8DeF8BeG8Jem6IvhFxdB0fBfmBlhBCmBzpB,v115@EhD8EeE8DeF8BeG8Jey/IvhFxdBulB3hB0fBFmBzpB
TOLZIJS,O,X,O,X,X,X
TOLZISJ,O,O,X,X,X,X
TOLZJIS,O,X,O,X,X,X
TOLZJSI,O,X,O,X,X,X
TOLZSIJ,O,O,X,X,X,X
TOLZSJI,O,O,X,X,X,X
TOJILSZ,X,O,O,O,X,O
TOJILZS,X,O,O,X,X,X
TOJISLZ,X,O,O,O,X,O
TOJISZL,X,O,O,O,O,X
TOJIZLS,X,O,O,X,X,X
TOJIZSL,X,O,O,O,X,X
TOJLISZ,X,O,O,O,X,O
TOJLIZS,X,O,O,X,X,X
TOJLSIZ,X,O,O,O,X,O
TOJLSZI,X,O,O,O,X,O
TOJLZIS,X,O,O,X,X,X
TOJLZSI,X,O,O,X,X,X
TOJSILZ,X,O,O,O,X,O
TOJSIZL,X,O,O,O,O,X
TOJSLIZ,X,O,O,O,X,O
TOJSLZI,X,O,O,O,X,O
TOJSZIL,X,O,O,O,O,X
TOJSZLI,X,O,O,O,O,X
TOJZILS,X,O,O,X,X,X
TOJZISL,X,O,O,O,X,X
TOJZLIS,X,O,O,X,X,X
TOJZLSI,X,O,O,X,X,X
TOJZSIL,X,O,O,O,X,X
TOJZSLI,X,O,O,O,X,X
TOSILJZ,O,O,X,O,X,O
TOSILZJ,O,O,X,O,O,X
TOSIJLZ,O,O,O,O,X,O
TOSIJZL,X,O,O,O,O,X
TOSIZLJ,O,X,X,O,O,X
TOSIZJL,X,X,O,O,O,X
TOSLIJZ,O,O,X,O,X,O
TOSLIZJ,O,O,X,O,O,X
TOSLJIZ,O,O,X,O,X,O
TOSLJZI,O,O,X,O,X,O
TOSLZIJ,O,O,X,O,O,X
TOSLZJI,O,O,X,O,O,X
TOSJILZ,O,O,O,O,X,O
TOSJIZL,X,O,O,O,O,X
TOSJLIZ,O,O,O,O,X,O
TOSJLZI,O,O,O,O,X,O
TOSJZIL,X,O,O,O,O,X
TOSJZLI,X,O,O,O,O,X
TOSZILJ,O,X,X,O,O,X
TOSZIJL,X,X,O,O,O,X
TOSZLIJ,O,X,X,O,O,X
TOSZLJI,O,X,X,O,O,X
TOSZJIL,X,X,O,O,O,X
TOSZJLI,X,X,O,O,O,X
TOZILJS,O,X,O,X,X,X
TOZILSJ,O,O,X,X,X,X
TOZIJLS,O,O,O,X,X,X
TOZIJSL,X,O,O,O,O,X
TOZISLJ,O,X,X,O,O,X
TOZISJL,X,X,O,O,O,X
TOZLIJS,O,X,O,X,X,X
TOZLISJ,O,O,X,X,X,X
TOZLJIS,O,X,O,X,X,X
TOZLJSI,O,X,O,X,X,X
TOZLSIJ,O,O,X,X,X,X
TOZLSJI,O,O,X,X,X,X
TOZJILS,O,O,O,X,X,X
TOZJISL,X,O,O,O,O,X
TOZJLIS,O,O,O,X,X,X
TOZJLSI,O,O,O,X,X,X
TOZJSIL,X,O,O,O,O,X
TOZJSLI,X,O,O,O,O,X
TOZSILJ,O,X,X,O,O,X
TOZSIJL,X,X,O,O,O,X
TOZSLIJ,O,X,X,O,O,X
TOZSLJI,O,X,X,O,O,X
TOZSJIL,X,X,O,O,O,X
TOZSJLI,X,X,O,O,O,X
ITLJSZO,X,O,O,O,X,O
ITLJSOZ,X,O,O,X,X,X
ITLJZSO,O,O,O,X,X,X
ITLJZOS,O,O,O,X,X,X
ITLJOSZ,X,O,O,X,X,X
ITLJOZS,O,O,O,X,X,X
ITLSJZO,O,O,X,O,X,O
ITLSJOZ,O,O,X,X,X,X
ITLSZJO,O,X,X,O,O,X
ITLSZOJ,O,O,X,X,X,X
ITLSOJZ,O,O,X,X,X,X
ITLSOZJ,O,O,X,X,O,X
ITLZJSO,O,O,X,X,X,X
ITLZJOS,O,O,O,X,X,X
ITLZSJO,O,X,X,X,O,X
ITLZSOJ,O,O,X,X,X,X
ITLZOJS,O,X,O,X,X,X
ITLZOSJ,O,O,X,X,X,X
ITLOJSZ,X,O,O,O,X,O
ITLOJZS,O,O,O,X,X,X
ITLOSJZ,O,O,X,O,X,O
ITLOSZJ,O,O,X,O,O,X
ITLOZJS,O,X,O,X,X,X
ITLOZSJ,O,O,X,X,X,X
ITJLSZO,X,O,O,O,X,O
ITJLSOZ,X,O,O,X,X,X
ITJLZSO,X,O,O,X,X,X
ITJLZOS,X,O,O,X,X,X
ITJLOSZ,X,O,O,X,X,X
ITJLOZS,X,O,O,X,X,X
ITJSLZO,X,O,O,O,X,O
ITJSLOZ,X,O,O,X,X,X
ITJSZLO,X,X,X,O,O,X
ITJSZOL,X,O,O,O,O,X
ITJSOLZ,X,O,O,X,X,O
ITJSOZL,X,O,O,O,O,X
ITJZLSO,X,O,O,X,X,X
ITJZLOS,X,O,O,X,X,X
ITJZSLO,X,X,X,O,O,X
ITJZSOL,X,O,O,O,O,X
ITJZOLS,X,O,O,X,X,X
ITJZOSL,X,O,O,X,X,X
ITJOLSZ,X,O,O,O,X,O
ITJOLZS,X,O,O,X,X,X
ITJOSLZ,X,O,O,O,X,O
ITJOSZL,X,O,O,O,O,X
ITJOZLS,X,O,O,X,X,X
ITJOZSL,X,O,O,O,X,X
ITSLJZO,O,O,X,O,X,O
ITSLJOZ,O,O,X,X,X,X
ITSLZJO,O,X,X,O,O,X
ITSLZOJ,O,O,X,X,X,X
ITSLOJZ,O,O,X,X,X,X
ITSLOZJ,O,O,X,X,O,X
ITSJLZO,O,O,O,O,X,O
ITSJLOZ,O,O,O,X,X,X
ITSJZLO,X,X,X,O,O,X
ITSJZOL,X,O,O,O,O,X
ITSJOLZ,O,O,O,X,X,O
ITSJOZL,X,O,O,O,O,X
ITSZLJO,O,X,X,O,O,X
ITSZLOJ,O,X,X,X,X,X
ITSZJLO,X,X,X,O,O,X
ITSZJOL,X,X,O,O,O,X
ITSZOLJ,O,X,X,X,O,X
ITSZOJL,X,X,O,O,O,X
ITSOLJZ,O,O,X,O,X,O
ITSOLZJ,O,O,X,O,O,X
ITSOJLZ,O,O,O,O,X,O
ITSOJZL,X,O,O,O,O,X
ITSOZLJ,O,X,X,O,O,X
ITSOZJL,X,X,O,O,O,X
ITZLJSO,O,O,X,X,X,X
ITZLJOS,O,O,O,X,X,X
ITZLSJO,O,X,X,X,O,X
ITZLSOJ,O,O,X,X,X,X
ITZLOJS,O,X,O,X,X,X
ITZLOSJ,X,O,X,X,X,X
ITZJLSO,O,O,O,X,X,X
ITZJLOS,O,O,O,X,X,X
ITZJSLO,X,X,X,O,O,X
ITZJSOL,X,O,O,O,O,X
ITZJOLS,X,O,O,X,X,X
ITZJOSL,X,O,O,X,X,X
ITZSLJO,O,X,X,O,O,X
ITZSLOJ,O,X,X,X,X,X
ITZSJLO,X,X,X,O,O,X
ITZSJOL,X,X,O,O,O,X
ITZSOLJ,X,X,X,X,O,X
ITZSOJL,X,X,O,O,O,X
ITZOLJS,X,X,O,X,X,X
ITZOLSJ,X,O,X,X,X,X
ITZOJLS,X,O,O,X,X,X
ITZOJSL,X,O,O,O,X,X
ITZOSLJ,X,X,X,O,O,X
ITZOSJL,X,X,O,O,O,X
ITOLJSZ,X,O,O,O,X,O
ITOLJZS,O,O,O,X,X,X
ITOLSJZ,O,O,X,O,X,O
ITOLSZJ,O,O,X,O,O,X
ITOLZJS,O,X,O,X,X,X
ITOLZSJ,O,O,X,X,X,X
ITOJLSZ,X,O,O,O,X,O
ITOJLZS,X,O,O,X,X,X
ITOJSLZ,X,O,O,O,X,O
ITOJSZL,X,O,O,O,O,X
ITOJZLS,X,O,O,X,X,X
ITOJZSL,X,O,O,O,X,X
ITOSLJZ,O,O,X,O,X,O
ITOSLZJ,O,O,X,O,O,X
ITOSJLZ,O,O,O,O,X,O
ITOSJZL,X,O,O,O,O,X
ITOSZLJ,O,X,X,O,O,X
ITOSZJL,X,X,O,O,O,X
ITOZLJS,O,X,O,X,X,X
ITOZLSJ,O,O,X,X,X,X
ITOZJLS,O,O,O,X,X,X
ITOZJSL,X,O,O,O,O,X
ITOZSLJ,O,X,X,O,O,X
ITOZSJL,X,X,O,O,O,X
ILTJSZO,X,O,O,O,X,O
ILTJSOZ,X,O,O,X,X,X
ILTJZSO,O,O,O,X,X,X
ILTJZOS,O,O,O,X,X,X
ILTJOSZ,X,O,O,X,X,X
ILTJOZS,O,O,O,X,X,X
ILTSJZO,O,O,X,O,X,O
ILTSJOZ,O,O,X,X,X,X
ILTSZJO,O,X,X,O,O,X
ILTSZOJ,O,O,X,X,X,X
ILTSOJZ,O,O,X,X,X,X
ILTSOZJ,O,O,X,X,O,X
ILTZJSO,O,O,X,X,X,X
ILTZJOS,O,O,O,X,X,X
ILTZSJO,O,X,X,X,O,X
ILTZSOJ,O,O,X,X,X,X
ILTZOJS,O,X,O,X,X,X
ILTZOSJ,O,O,X,X,X,X
ILTOJSZ,X,O,O,O,X,O
ILTOJZS,O,O,O,X,X,X
ILTOSJZ,O,O,X,O,X,O
ILTOSZJ,O,O,X,O,O,X
ILTOZJS,O,X,O,X,X,X
ILTOZSJ,O,O,X,X,X,X
ILJTSZO,X,O,O,O,X,O
ILJTSOZ,X,O,O,X,X,X
ILJTZSO,O,O,O,X,X,X
ILJTZOS,O,O,O,X,X,X
ILJTOSZ,X,O,O,X,X,X
ILJTOZS,O,O,O,X,X,X
ILJSTZO,O,O,X,O,X,O
ILJSTOZ,O,O,X,X,X,X
ILJSZTO,O,O,X,O,X,O
ILJSZOT,O,O,X,X,X,O
ILJSOTZ,O,O,X,X,X,O
ILJSOZT,O,O,X,X,X,O
ILJZTSO,O,O,X,X,X,X
ILJZTOS,O,O,O,X,X,X
ILJZSTO,O,O,X,X,X,O
ILJZSOT,O,O,X,X,X,O
ILJZOTS,O,O,O,X,X,X
ILJZOST,O,O,X,X,X,X
ILJOTSZ,X,O,O,X,X,O
ILJOTZS,O,O,O,X,X,X
ILJOSTZ,O,O,X,X,X,O
ILJOSZT,O,O,X,X,X,O
ILJOZTS,O,O,O,X,X,X
ILJOZST,O,O,X,X,X,O
ILSTJZO,O,O,X,O,X,O
ILSTJOZ,O,O,X,X,X,X
ILSTZJO,O,X,X,O,O,X
ILSTZOJ,O,O,X,X,X,X
ILSTOJZ,O,O,X,X,X,X
ILSTOZJ,O,O,X,X,O,X
ILSJTZO,O,O,X,O,X,O
ILSJTOZ,O,O,X,X,X,X
ILSJZTO,O,O,X,O,X,O
ILSJZOT,O,O,X,X,X,O
ILSJOTZ,O,O,X,X,X,O
ILSJOZT,O,O,X,X,X,O
ILSZTJO,O,X,X,O,O,X
ILSZTOJ,O,O,X,X,X,X
ILSZJTO,O,X,X,O,O,O
ILSZJOT,O,X,X,X,X,O
ILSZOTJ,O,O,X,X,X,X
ILSZOJT,O,X,X,X,X,X
ILSOTJZ,O,O,X,X,X,O
ILSOTZJ,O,O,X,X,O,X
ILSOJTZ,O,O,X,X,X,O
ILSOJZT,O,X,X,X,X,O
ILSOZTJ,O,O,X,X,O,X
ILSOZJT,O,X,X,X,O,O
ILZTJSO,O,O,X,X,X,X
ILZTJOS,O,O,O,X,X,X
ILZTSJO,O,X,X,X,O,X
ILZTSOJ,O,O,X,X,X,X
ILZTOJS,O,X,O,X,X,X
ILZTOSJ,O,O,X,X,X,X
ILZJTSO,O,O,X,X,X,X
ILZJTOS,O,O,O,X,X,X
ILZJSTO,O,O,X,X,O,O
ILZJSOT,O,O,X,X,X,O
ILZJOTS,O,O,O,X,X,X
ILZJOST,O,O,X,X,X,X
ILZSTJO,O,X,X,X,O,X
ILZSTOJ,O,O,X,X,X,X
ILZSJTO,O,X,X,X,O,O
ILZSJOT,O,X,X,X,X,O
ILZSOTJ,O,O,X,X,X,X
ILZSOJT,O,X,X,X,X,X
ILZOTJS,O,X,O,X,X,X
ILZOTSJ,O,O,X,X,X,X
ILZOJTS,O,X,O,X,X,X
ILZOJST,O,X,X,X,X,O
ILZOSTJ,O,O,X,X,X,X
ILZOSJT,O,X,X,X,X,O
ILOTJSZ,X,O,O,O,X,O
ILOTJZS,O,O,O,X,X,X
ILOTSJZ,O,O,X,O,X,O
ILOTSZJ,O,O,X,O,O,X
ILOTZJS,O,X,O,X,X,X
ILOTZSJ,O,O,X,X,X,X
ILOJTSZ,X,O,O,O,X,O
ILOJTZS,O,O,O,X,X,X
ILOJSTZ,O,O,X,O,X,O
ILOJSZT,O,O,X,O,X,O
ILOJZTS,O,O,O,X,X,X
ILOJZST,O,O,X,X,X,O
ILOSTJZ,O,O,X,O,X,O
ILOSTZJ,O,O,X,O,O,X
ILOSJTZ,O,O,X,O,X,O
ILOSJZT,O,X,X,O,X,O
ILOSZTJ,O,O,X,O,O,X
ILOSZJT,O,X,X,O,O,O
ILOZTJS,O,X,O,X,X,X
ILOZTSJ,O,O,X,X,X,X
ILOZJTS,O,X,O,X,X,X
ILOZJST,O,X,X,X,O,O
ILOZSTJ,O,O,X,X,O,X
ILOZSJT,O,X,X,X,O,O
IJTLSZO,X,O,O,O,X,O
IJTLSOZ,X,O,O,X,X,X
IJTLZSO,X,O,O,X,X,X
IJTLZOS,X,O,O,X,X,X
IJTLOSZ,X,O,O,X,X,X
IJTLOZS,X,O,O,X,X,X
IJTSLZO,X,O,O,O,X,O
IJTSLOZ,X,O,O,X,X,X
IJTSZLO,X,X,X,O,O,X
IJTSZOL,X,O,O,O,O,X
IJTSOLZ,X,O,O,X,X,O
IJTSOZL,X,O,O,O,O,X
IJTZLSO,X,O,O,X,X,X
IJTZLOS,X,O,O,X,X,X
IJTZSLO,X,X,X,O,O,X
IJTZSOL,X,O,O,O,O,X
IJTZOLS,X,O,O,X,X,X
IJTZOSL,X,O,O,X,X,X
IJTOLSZ,X,O,O,O,X,O
IJTOLZS,X,O,O,X,X,X
IJTOSLZ,X,O,O,O,X,O
IJTOSZL,X,O,O,O,O,X
IJTOZLS,X,O,O,X,X,X
IJTOZSL,X,O,O,O,X,X
IJLTSZO,X,O,O,O,X,O
IJLTSOZ,X,O,O,X,X,X
IJLTZSO,O,O,O,X,X,X
IJLTZOS,O,O,O,X,X,X
IJLTOSZ,X,O,O,X,X,X
IJLTOZS,O,O,O,X,X,X
IJLSTZO,O,O,X,O,X,O
IJLSTOZ,O,O,X,X,X,X
IJLSZTO,O,O,X,O,X,O
IJLSZOT,O,O,X,X,X,O
IJLSOTZ,O,O,X,X,X,O
IJLSOZT,O,O,X,X,X,O
IJLZTSO,O,O,X,X,X,X
IJLZTOS,O,O,O,X,X,X
IJLZSTO,O,O,X,X,X,O
IJLZSOT,O,O,X,X,X,O
IJLZOTS,O,O,O,X,X,X
IJLZOST,O,O,X,X,X,X
IJLOTSZ,X,O,O,X,X,O
IJLOTZS,O,O,O,X,X,X
IJLOSTZ,O,O,X,X,X,O
IJLOSZT,O,O,X,X,X,O
IJLOZTS,O,O,O,X,X,X
IJLOZST,O,O,X,X,X,O
IJSTLZO,O,O,O,O,X,O
IJSTLOZ,O,O,O,X,X,X
IJSTZLO,X,X,X,O,O,X
IJSTZOL,X,O,O,O,O,X
IJSTOLZ,O,O,O,X,X,O
IJSTOZL,X,O,O,O,O,X
IJSLTZO,O,X,X,O,X,O
IJSLTOZ,O,O,X,X,X,X
IJSLZTO,O,X,X,O,X,O
IJSLZOT,O,X,X,X,X,O
IJSLOTZ,O,O,X,X,X,O
IJSLOZT,O,X,X,X,X,O
IJSZTLO,X,X,X,O,O,X
IJSZTOL,X,O,O,O,O,X
IJSZLTO,O,X,X,O,O,O
IJSZLOT,O,X,X,X,X,O
IJSZOTL,X,O,O,O,O,X
IJSZOLT,X,X,X,X,X,O
IJSOTLZ,O,O,O,X,X,O
IJSOTZL,X,O,O,O,O,X
IJSOLTZ,O,O,X,X,X,O
IJSOLZT,O,X,X,X,X,O
IJSOZTL,X,O,O,O,O,X
IJSOZLT,O,X,X,X,O,O
IJZTLSO,O,O,O,X,X,X
IJZTLOS,O,O,O,X,X,X
IJZTSLO,X,X,X,O,O,X
IJZTSOL,X,O,O,O,O,X
IJZTOLS,X,O,O,X,X,X
IJZTOSL,X,O,O,X,X,X
IJZLTSO,O,X,X,X,X,X
IJZLTOS,O,X,O,X,X,X
IJZLSTO,O,X,X,X,O,O
IJZLSOT,O,X,X,X,X,O
IJZLOTS,O,X,O,X,X,X
IJZLOST,O,X,X,X,X,X
IJZSTLO,X,X,X,O,O,X
IJZSTOL,X,O,O,O,O,X
IJZSLTO,O,X,X,O,O,O
IJZSLOT,O,X,X,X,X,O
IJZSOTL,X,O,O,O,O,X
IJZSOLT,X,X,X,X,X,O
IJZOTLS,X,O,O,X,X,X
IJZOTSL,X,O,O,X,X,X
IJZOLTS,O,X,O,X,X,X
IJZOLST,O,X,X,X,X,O
IJZOSTL,X,O,O,X,O,X
IJZOSLT,X,X,X,X,X,O
IJOTLSZ,X,O,O,O,X,O
IJOTLZS,X,O,O,X,X,X
IJOTSLZ,X,O,O,O,X,O
IJOTSZL,X,O,O,O,O,X
IJOTZLS,X,O,O,X,X,X
IJOTZSL,X,O,O,O,X,X
IJOLTSZ,X,O,O,O,X,O
IJOLTZS,O,O,O,X,X,X
IJOLSTZ,O,O,X,O,X,O
IJOLSZT,O,X,X,O,X,O
IJOLZTS,O,X,O,X,X,X
IJOLZST,O,X,X,X,X,O
IJOSTLZ,O,O,O,O,X,O
IJOSTZL,X,O,O,O,O,X
IJOSLTZ,O,O,X,O,X,O
IJOSLZT,O,X,X,O,X,O
IJOSZTL,X,O,O,O,O,X
IJOSZLT,O,X,X,O,O,O
IJOZTLS,O,O,O,X,X,X
IJOZTSL,X,O,O,O,O,X
IJOZLTS,O,X,O,X,X,X
IJOZLST,O,X,X,X,O,O
IJOZSTL,X,O,O,O,O,X
IJOZSLT,O,X,X,O,O,O
ISTLJZO,O,O,X,O,X,O
ISTLJOZ,O,O,X,X,X,X
ISTLZJO,O,X,X,O,O,X
ISTLZOJ,O,O,X,X,X,X
ISTLOJZ,O,O,X,X,X,X
ISTLOZJ,O,O,X,X,O,X
ISTJLZO,O,O,O,O,X,O
ISTJLOZ,O,O,O,X,X,X
ISTJZLO,X,X,X,O,O,X
ISTJZOL,X,O,O,O,O,X
ISTJOLZ,O,O,O,X,X,O
ISTJOZL,X,O,O,O,O,X
ISTZLJO,O,X,X,O,O,X
ISTZLOJ,O,X,X,X,X,X
ISTZJLO,X,X,X,O,O,X
ISTZJOL,X,X,O,O,O,X
ISTZOLJ,O,X,X,X,O,X
ISTZOJL,X,X,O,O,O,X
ISTOLJZ,O,O,X,O,X,O
ISTOLZJ,O,O,X,O,O,X
ISTOJLZ,O,O,O,O,X,O
ISTOJZL,X,O,O,O,O,X
ISTOZLJ,O,X,X,O,O,X
ISTOZJL,X,X,O,O,O,X
ISLTJZO,O,O,X,O,X,O
ISLTJOZ,O,O,X,X,X,X
ISLTZJO,O,X,X,O,O,X
ISLTZOJ,O,O,X,X,X,X
ISLTOJZ,O,O,X,X,X,X
ISLTOZJ,O,O,X,X,O,X
ISLJTZO,O,O,X,O,X,O
ISLJTOZ,O,O,X,X,X,X
ISLJZTO,O,O,X,O,X,O
ISLJZOT,O,O,X,X,X,O
ISLJOTZ,O,O,X,X,X,O
ISLJOZT,O,O,X,X,X,O
ISLZTJO,O,X,X,O,O,X
ISLZTOJ,O,O,X,X,X,X
ISLZJTO,O,X,X,O,O,O
ISLZJOT,O,X,X,X,X,O
ISLZOTJ,O,O,X,X,X,X
ISLZOJT,O,X,X,X,X,X
ISLOTJZ,O,O,X,X,X,O
ISLOTZJ,O,O,X,X,O,X
ISLOJTZ,O,O,X,X,X,O
ISLOJZT,O,X,X,X,X,O
ISLOZTJ,O,O,X,X,O,X
ISLOZJT,O,X,X,X,O,O
ISJTLZO,O,O,O,O,X,O
ISJTLOZ,O,O,O,X,X,X
ISJTZLO,X,X,X,O,O,X
ISJTZOL,X,O,O,O,O,X
ISJTOLZ,O,O,O,X,X,O
ISJTOZL,X,O,O,O,O,X
ISJLTZO,O,X,X,O,X,O
ISJLTOZ,O,O,X,X,X,X
ISJLZTO,O,X,X,O,X,O
ISJLZOT,O,X,X,X,X,O
ISJLOTZ,O,O,X,X,X,O
ISJLOZT,O,X,X,X,X,O
ISJZTLO,X,X,X,O,O,X
ISJZTOL,X,O,O,O,O,X
ISJZLTO,O,X,X,O,O,O
ISJZLOT,O,X,X,X,X,O
ISJZOTL,X,O,O,O,O,X
ISJZOLT,X,X,X,X,X,O
ISJOTLZ,O,O,O,X,X,O
ISJOTZL,X,O,O,O,O,X
ISJOLTZ,O,O,X,X,X,O
ISJOLZT,O,X,X,X,X,O
ISJOZTL,X,O,O,O,O,X
ISJOZLT,O,X,X,X,O,O
ISZTLJO,O,X,X,O,O,X
ISZTLOJ,O,X,X,X,X,X
ISZTJLO,X,X,X,O,O,X
ISZTJOL,X,X,O,O,O,X
ISZTOLJ,O,X,X,X,O,X
ISZTOJL,X,X,O,O,O,X
ISZLTJO,O,X,X,O,O,X
ISZLTOJ,O,X,X,X,X,X
ISZLJTO,O,X,X,O,O,O
ISZLJOT,O,X,X,X,X,O
ISZLOTJ,O,X,X,X,X,X
ISZLOJT,O,X,X,X,X,X
ISZJTLO,X,X,X,O,O,X
ISZJTOL,X,X,O,O,O,X
ISZJLTO,O,X,X,O,O,O
ISZJLOT,O,X,X,X,X,O
ISZJOTL,X,X,O,O,O,X
ISZJOLT,X,X,X,X,X,O
ISZOTLJ,O,X,X,X,O,X
ISZOTJL,X,X,O,O,O,X
ISZOLTJ,O,X,X,X,O,X
ISZOLJT,O,X,X,X,O,O
ISZOJTL,X,X,O,O,O,X
ISZOJLT,O,X,X,X,O,O
ISOTLJZ,O,O,X,O,X,O
ISOTLZJ,O,O,X,O,O,X
ISOTJLZ,O,O,O,O,X,O
ISOTJZL,X,O,O,O,O,X
ISOTZLJ,O,X,X,O,O,X
ISOTZJL,X,X,O,O,O,X
ISOLTJZ,O,O,X,O,X,O
ISOLTZJ,O,O,X,O,O,X
ISOLJTZ,O,O,X,O,X,O
ISOLJZT,O,X,X,O,X,O
ISOLZTJ,O,O,X,O,O,X
ISOLZJT,O,X,X,O,O,O
ISOJTLZ,O,O,O,O,X,O
ISOJTZL,X,O,O,O,O,X
ISOJLTZ,O,O,X,O,X,O
ISOJLZT,O,X,X,O,X,O
ISOJZTL,X,O,O,O,O,X
ISOJZLT,O,X,X,O,O,O
ISOZTLJ,O,X,X,O,O,X
ISOZTJL,X,X,O,O,O,X
ISOZLTJ,O,X,X,O,O,X
ISOZLJT,O,X,X,O,O,O
ISOZJTL,X,X,O,O,O,X
ISOZJLT,O,X,X,O,O,O
IZTLJSO,O,O,X,X,X,X
IZTLJOS,O,O,O,X,X,X
IZTLSJO,O,X,X,X,O,X
IZTLSOJ,O,O,X,X,X,X
IZTLOJS,O,X,O,X,X,X
IZTLOSJ,X,O,X,X,X,X
IZTJLSO,O,O,O,X,X,X
IZTJLOS,O,O,O,X,X,X
IZTJSLO,X,X,X,O,O,X
IZTJSOL,X,O,O,O,O,X
IZTJOLS,X,O,O,X,X,X
IZTJOSL,X,O,O,X,X,X
IZTSLJO,O,X,X,O,O,X
IZTSLOJ,O,X,X,X,X,X
IZTSJLO,X,X,X,O,O,X
IZTSJOL,X,X,O,O,O,X
IZTSOLJ,X,X,X,X,O,X
IZTSOJL,X,X,O,O,O,X
IZTOLJS,X,X,O,X,X,X
IZTOLSJ,X,O,X,X,X,X
IZTOJLS,X,O,O,X,X,X
IZTOJSL,X,O,O,O,X,X
IZTOSLJ,X,X,X,O,O,X
IZTOSJL,X,X,O,O,O,X
IZLTJSO,O,O,X,X,X,X
IZLTJOS,O,O,O,X,X,X
IZLTSJO,O,X,X,X,O,X
IZLTSOJ,O,O,X,X,X,X
IZLTOJS,O,X,O,X,X,X
IZLTOSJ,O,O,X,X,X,X
IZLJTSO,O,O,X,X,X,X
IZLJTOS,O,O,O,X,X,X
IZLJSTO,O,O,X,X,O,O
IZLJSOT,O,O,X,X,X,O
IZLJOTS,O,O,O,X,X,X
IZLJOST,O,O,X,X,X,X
IZLSTJO,O,X,X,X,O,X
IZLSTOJ,O,O,X,X,X,X
IZLSJTO,O,X,X,X,O,O
IZLSJOT,O,X,X,X,X,O
IZLSOTJ,O,O,X,X,X,X
IZLSOJT,O,X,X,X,X,X
IZLOTJS,O,X,O,X,X,X
IZLOTSJ,O,O,X,X,X,X
IZLOJTS,O,X,O,X,X,X
IZLOJST,O,X,X,X,X,O
IZLOSTJ,O,O,X,X,X,X
IZLOSJT,O,X,X,X,X,O
IZJTLSO,O,O,O,X,X,X
IZJTLOS,O,O,O,X,X,X
IZJTSLO,X,X,X,O,O,X
IZJTSOL,X,O,O,O,O,X
IZJTOLS,X,O,O,X,X,X
IZJTOSL,X,O,O,X,X,X
IZJLTSO,O,X,X,X,X,X
IZJLTOS,O,X,O,X,X,X
IZJLSTO,O,X,X,X,O,O
IZJLSOT,O,X,X,X,X,O
IZJLOTS,O,X,O,X,X,X
IZJLOST,O,X,X,X,X,X
IZJSTLO,X,X,X,O,O,X
IZJSTOL,X,O,O,O,O,X
IZJSLTO,O,X,X,O,O,O
IZJSLOT,O,X,X,X,X,O
IZJSOTL,X,O,O,O,O,X
IZJSOLT,X,X,X,X,X,O
IZJOTLS,X,O,O,X,X,X
IZJOTSL,X,O,O,X,X,X
IZJOLTS,O,X,O,X,X,X
IZJOLST,O,X,X,X,X,O
IZJOSTL,X,O,O,X,O,X
IZJOSLT,X,X,X,X,X,O
IZSTLJO,O,X,X,O,O,X
IZSTLOJ,O,X,X,X,X,X
IZSTJLO,X,X,X,O,O,X
IZSTJOL,X,X,O,O,O,X
IZSTOLJ,O,X,X,X,O,X
IZSTOJL,X,X,O,O,O,X
IZSLTJO,O,X,X,O,O,X
IZSLTOJ,O,X,X,X,X,X
IZSLJTO,O,X,X,O,O,O
IZSLJOT,O,X,X,X,X,O
IZSLOTJ,O,X,X,X,X,X
IZSLOJT,O,X,X,X,X,X
IZSJTLO,X,X,X,O,O,X
IZSJTOL,X,X,O,O,O,X
IZSJLTO,O,X,X,O,O,O
IZSJLOT,O,X,X,X,X,O
IZSJOTL,X,X,O,O,O,X
IZSJOLT,X,X,X,X,X,O
IZSOTLJ,O,X,X,X,O,X
IZSOTJL,X,X,O,O,O,X
IZSOLTJ,O,X,X,X,O,X
IZSOLJT,O,X,X,X,O,O
IZSOJTL,X,X,O,O,O,X
IZSOJLT,O,X,X,X,O,O
IZOTLJS,O,X,O,X,X,X
IZOTLSJ,O,O,X,X,X,X
IZOTJLS,O,O,O,X,X,X
IZOTJSL,X,O,O,O,O,X
IZOTSLJ,O,X,X,O,O,X
IZOTSJL,X,X,O,O,O,X
IZOLTJS,O,X,O,X,X,X
IZOLTSJ,O,O,X,X,X,X
IZOLJTS,O,X,O,X,X,X
IZOLJST,O,X,X,X,O,O
IZOLSTJ,O,O,X,X,O,X
IZOLSJT,O,X,X,X,O,O
IZOJTLS,O,O,O,X,X,X
IZOJTSL,X,O,O,O,O,X
IZOJLTS,O,X,O,X,X,X
IZOJLST,O,X,X,X,O,O
IZOJSTL,X,O,O,O,O,X
IZOJSLT,O,X,X,O,O,O
IZOSTLJ,O,X,X,O,O,X
IZOSTJL,X,X,O,O,O,X
IZOSLTJ,O,X,X,O,O,X
IZOSLJT,O,X,X,O,O,O
IZOSJTL,X,X,O,O,O,X
