sequence,v115@EhD8EeE8DeF8BeG8Jem6IvhFFcBxdB0fBqlB3hBzpB,v115@EhD8EeE8DeF8BeG8JeT6IvhF/gB1hBUhBxiBupBiqB,v115@EhD8EeE8DeF8BeG8JeT6IvhF0cBxdBigBWqBFmBXqB,v115@EhD8EeE8DeF8BeG8Je//IvhFUbBxdBlhBmlBCmBzpB,v115@EhD8EeE8DeF8BeG8Jem6IvhFxdB0fBfmBlhBCmBzpB,v115@EhD8EeE8DeF8BeG8Jey/IvhFxdBulB3hB0fBFmBzpB
TLJISOZ,X,O,O,X,X,X
TLJIZSO,O,O,O,X,X,X
TLJIZOS,O,O,O,X,X,X
TLJIOSZ,X,O,O,X,X,X
TLJIOZS,O,O,O,X,X,X
TLJSIZO,X,O,O,O,X,O
TLJSIOZ,X,O,O,X,X,X
TLJSZIO,X,O,O,O,X,O
TLJSZOI,X,O,O,O,X,O
TLJSOIZ,X,O,O,X,X,X
TLJSOZI,X,O,O,X,X,X
TLJZISO,O,O,O,X,X,X
TLJZIOS,O,O,O,X,X,X
TLJZSIO,O,O,O,X,X,X
TLJZSOI,X,O,O,X,X,X
TLJZOIS,O,O,O,X,X,X
TLJZOSI,X,O,O,X,X,X
TLJOISZ,X,O,O,X,X,X
TLJOIZS,O,O,O,X,X,X
TLJOSIZ,X,O,O,X,X,X
TLJOSZI,X,O,O,X,X,X
TLJOZIS,O,O,O,X,X,X
TLJOZSI,O,O,O,X,X,X
TLSIJZO,O,O,X,O,X,O
TLSIJOZ,O,O,X,X,X,X
TLSIZJO,O,X,X,O,O,X
TLSIZOJ,O,O,X,X,X,X
TLSIOJZ,O,O,X,X,X,X
TLSIOZJ,O,O,X,X,O,X
TLSJIZO,O,O,X,O,X,O
TLSJIOZ,O,O,X,X,X,X
TLSJZIO,O,O,X,O,X,O
TLSJZOI,O,O,X,O,X,O
TLSJOIZ,O,O,X,X,X,X
TLSJOZI,O,O,X,X,X,X
TLSZIJO,O,X,X,O,O,X
TLSZIOJ,O,O,X,X,X,X
TLSZJIO,O,X,X,O,O,X
TLSZJOI,O,X,X,O,O,X
TLSZOIJ,O,O,X,X,X,X
TLSZOJI,O,O,X,X,X,X
TLSOIJZ,O,O,X,X,X,X
TLSOIZJ,O,O,X,X,O,X
TLSOJIZ,O,O,X,X,X,X
TLSOJZI,O,O,X,X,X,X
TLSOZIJ,O,O,X,X,O,X
TLSOZJI,O,O,X,X,O,X
TLZIJSO,O,O,X,X,X,X
TLZIJOS,O,O,O,X,X,X
TLZISJO,O,X,X,X,O,X
TLZISOJ,O,O,X,X,X,X
TLZIOJS,O,X,O,X,X,X
TLZIOSJ,O,O,X,X,X,X
TLZJISO,O,O,X,X,X,X
TLZJIOS,O,O,O,X,X,X
TLZJSIO,O,O,X,X,X,X
TLZJSOI,O,O,X,X,X,X
TLZJOIS,O,O,O,X,X,X
TLZJOSI,X,O,O,X,X,X
TLZSIJO,O,X,X,X,O,X
TLZSIOJ,O,O,X,X,X,X
TLZSJIO,O,X,X,X,O,X
TLZSJOI,O,X,X,X,O,X
TLZSOIJ,O,O,X,X,X,X
TLZSOJI,O,O,X,X,X,X
TLZOIJS,O,X,O,X,X,X
TLZOISJ,O,O,X,X,X,X
TLZOJIS,O,X,O,X,X,X
TLZOJSI,O,X,O,X,X,X
TLZOSIJ,O,O,X,X,X,X
TLZOSJI,O,O,X,X,X,X
TLOIJSZ,X,O,O,O,X,O
TLOIJZS,O,O,O,X,X,X
TLOISJZ,O,O,X,O,X,O
TLOISZJ,O,O,X,O,O,X
TLOIZJS,O,X,O,X,X,X
TLOIZSJ,O,O,X,X,X,X
TLOJISZ,X,O,O,O,X,O
TLOJIZS,O,O,O,X,X,X
TLOJSIZ,X,O,O,O,X,O
TLOJSZI,X,O,O,O,X,O
TLOJZIS,O,O,O,X,X,X
TLOJZSI,O,O,O,X,X,X
TLOSIJZ,O,O,X,O,X,O
TLOSIZJ,O,O,X,O,O,X
TLOSJIZ,O,O,X,O,X,O
TLOSJZI,O,O,X,O,X,O
TLOSZIJ,O,O,X,O,O,X
TLOSZJI,O,O,X,O,O,X
TLOZIJS,O,X,O,X,X,X
TLOZISJ,O,O,X,X,X,X
TLOZJIS,O,X,O,X,X,X
TLOZJSI,O,X,O,X,X,X
TLOZSIJ,O,O,X,X,X,X
TLOZSJI,O,O,X,X,X,X
TJILSZO,X,O,O,O,X,O
TJILSOZ,X,O,O,X,X,X
TJILZSO,X,O,O,X,X,X
TJILZOS,X,O,O,X,X,X
TJILOSZ,X,O,O,X,X,X
TJILOZS,X,O,O,X,X,X
TJISLZO,X,O,O,O,X,O
TJISLOZ,X,O,O,X,X,X
TJISZLO,X,X,X,O,O,X
TJISZOL,X,O,O,O,O,X
TJISOLZ,X,O,O,X,X,O
TJISOZL,X,O,O,O,O,X
TJIZLSO,X,O,O,X,X,X
TJIZLOS,X,O,O,X,X,X
TJIZSLO,X,X,X,O,O,X
TJIZSOL,X,O,O,O,O,X
TJIZOLS,X,O,O,X,X,X
TJIZOSL,X,O,O,X,X,X
TJIOLSZ,X,O,O,O,X,O
TJIOLZS,X,O,O,X,X,X
TJIOSLZ,X,O,O,O,X,O
TJIOSZL,X,O,O,O,O,X
TJIOZLS,X,O,O,X,X,X
TJIOZSL,X,O,O,O,X,X
TJLISZO,X,O,O,O,X,O
TJLISOZ,X,O,O,X,X,X
TJLIZSO,X,O,O,X,X,X
TJLIZOS,X,O,O,X,X,X
TJLIOSZ,X,O,O,X,X,X
TJLIOZS,X,O,O,X,X,X
TJLSIZO,X,O,O,O,X,O
TJLSIOZ,X,O,O,X,X,X
TJLSZIO,X,O,O,O,X,O
TJLSZOI,X,O,O,O,X,O
TJLSOIZ,X,O,O,X,X,X
TJLSOZI,X,O,O,X,X,X
TJLZISO,X,O,O,X,X,X
TJLZIOS,X,O,O,X,X,X
TJLZSIO,X,O,O,X,X,X
TJLZSOI,X,O,O,X,X,X
TJLZOIS,X,O,O,X,X,X
TJLZOSI,X,O,O,X,X,X
TJLOISZ,X,O,O,X,X,X
TJLOIZS,X,O,O,X,X,X
TJLOSIZ,X,O,O,X,X,X
TJLOSZI,X,O,O,X,X,X
TJLOZIS,X,O,O,X,X,X
TJLOZSI,X,O,O,X,X,X
TJSILZO,X,O,O,O,X,O
TJSILOZ,X,O,O,X,X,X
TJSIZLO,X,X,X,O,O,X
TJSIZOL,X,O,O,O,O,X
TJSIOLZ,X,O,O,X,X,O
TJSIOZL,X,O,O,O,O,X
TJSLIZO,X,O,O,O,X,O
TJSLIOZ,X,O,O,X,X,X
TJSLZIO,X,O,O,O,X,O
TJSLZOI,X,O,O,O,X,O
TJSLOIZ,X,O,O,X,X,X
TJSLOZI,X,O,O,X,X,X
TJSZILO,X,X,X,O,O,X
TJSZIOL,X,O,O,O,O,X
TJSZLIO,X,X,X,O,O,X
TJSZLOI,X,X,X,O,O,X
TJSZOIL,X,O,O,O,O,X
TJSZOLI,X,O,O,O,O,X
TJSOILZ,X,O,O,X,X,O
TJSOIZL,X,O,O,O,O,X
TJSOLIZ,X,O,O,X,X,O
TJSOLZI,X,O,O,X,X,O
TJSOZIL,X,O,O,O,O,X
TJSOZLI,X,O,O,O,O,X
TJZILSO,X,O,O,X,X,X
TJZILOS,X,O,O,X,X,X
TJZISLO,X,X,X,O,O,X
TJZISOL,X,O,O,O,O,X
TJZIOLS,X,O,O,X,X,X
TJZIOSL,X,O,O,X,X,X
TJZLISO,X,O,O,X,X,X
TJZLIOS,X,O,O,X,X,X
TJZLSIO,X,O,O,X,X,X
TJZLSOI,X,O,O,X,X,X
TJZLOIS,X,O,O,X,X,X
TJZLOSI,X,O,O,X,X,X
TJZSILO,X,X,X,O,O,X
TJZSIOL,X,O,O,O,O,X
TJZSLIO,X,X,X,O,O,X
TJZSLOI,X,X,X,O,O,X
TJZSOIL,X,O,O,O,O,X
TJZSOLI,X,O,O,O,O,X
TJZOILS,X,O,O,X,X,X
TJZOISL,X,O,O,X,X,X
TJZOLIS,X,O,O,X,X,X
TJZOLSI,X,O,O,X,X,X
TJZOSIL,X,O,O,X,X,X
TJZOSLI,X,O,O,X,X,X
TJOILSZ,X,O,O,O,X,O
TJOILZS,X,O,O,X,X,X
TJOISLZ,X,O,O,O,X,O
TJOISZL,X,O,O,O,O,X
TJOIZLS,X,O,O,X,X,X
TJOIZSL,X,O,O,O,X,X
TJOLISZ,X,O,O,O,X,O
TJOLIZS,X,O,O,X,X,X
TJOLSIZ,X,O,O,O,X,O
TJOLSZI,X,O,O,O,X,O
TJOLZIS,X,O,O,X,X,X
TJOLZSI,X,O,O,X,X,X
TJOSILZ,X,O,O,O,X,O
TJOSIZL,X,O,O,O,O,X
TJOSLIZ,X,O,O,O,X,O
TJOSLZI,X,O,O,O,X,O
TJOSZIL,X,O,O,O,O,X
TJOSZLI,X,O,O,O,O,X
TJOZILS,X,O,O,X,X,X
TJOZISL,X,O,O,O,X,X
TJOZLIS,X,O,O,X,X,X
TJOZLSI,X,O,O,X,X,X
TJOZSIL,X,O,O,O,X,X
TJOZSLI,X,O,O,O,X,X
TSILJZO,O,O,X,O,X,O
TSILJOZ,O,O,X,X,X,X
TSILZJO,O,X,X,O,O,X
TSILZOJ,O,O,X,X,X,X
TSILOJZ,O,O,X,X,X,X
TSILOZJ,O,O,X,X,O,X
TSIJLZO,O,O,O,O,X,O
TSIJLOZ,O,O,O,X,X,X
TSIJZLO,X,X,X,O,O,X
TSIJZOL,X,O,O,O,O,X
TSIJOLZ,O,O,O,X,X,O
TSIJOZL,X,O,O,O,O,X
TSIZLJO,O,X,X,O,O,X
TSIZLOJ,O,X,X,X,X,X
TSIZJLO,X,X,X,O,O,X
TSIZJOL,X,X,O,O,O,X
TSIZOLJ,O,X,X,X,O,X
TSIZOJL,X,X,O,O,O,X
TSIOLJZ,O,O,X,O,X,O
TSIOLZJ,O,O,X,O,O,X
TSIOJLZ,O,O,O,O,X,O
TSIOJZL,X,O,O,O,O,X
TSIOZLJ,O,X,X,O,O,X
TSIOZJL,X,X,O,O,O,X
TSLIJZO,O,O,X,O,X,O
TSLIJOZ,O,O,X,X,X,X
TSLIZJO,O,X,X,O,O,X
TSLIZOJ,O,O,X,X,X,X
TSLIOJZ,O,O,X,X,X,X
TSLIOZJ,O,O,X,X,O,X
TSLJIZO,O,O,X,O,X,O
TSLJIOZ,O,O,X,X,X,X
TSLJZIO,O,O,X,O,X,O
TSLJZOI,O,O,X,O,X,O
TSLJOIZ,O,O,X,X,X,X
TSLJOZI,O,O,X,X,X,X
TSLZIJO,O,X,X,O,O,X
TSLZIOJ,O,O,X,X,X,X
TSLZJIO,O,X,X,O,O,X
TSLZJOI,O,X,X,O,O,X
TSLZOIJ,O,O,X,X,X,X
TSLZOJI,O,O,X,X,X,X
TSLOIJZ,O,O,X,X,X,X
TSLOIZJ,O,O,X,X,O,X
TSLOJIZ,O,O,X,X,X,X
TSLOJZI,O,O,X,X,X,X
TSLOZIJ,O,O,X,X,O,X
TSLOZJI,O,O,X,X,O,X
TSJILZO,O,O,O,O,X,O
TSJILOZ,O,O,O,X,X,X
TSJIZLO,X,X,X,O,O,X
TSJIZOL,X,O,O,O,O,X
TSJIOLZ,O,O,O,X,X,O
TSJIOZL,X,O,O,O,O,X
TSJLIZO,O,O,O,O,X,O
TSJLIOZ,O,O,O,X,X,X
TSJLZIO,O,O,O,O,X,O
TSJLZOI,O,O,O,O,X,O
TSJLOIZ,O,O,O,X,X,X
TSJLOZI,O,O,O,X,X,X
TSJZILO,X,X,X,O,O,X
TSJZIOL,X,O,O,O,O,X
TSJZLIO,X,X,X,O,O,X
TSJZLOI,X,X,X,O,O,X
TSJZOIL,X,O,O,O,O,X
TSJZOLI,X,O,O,O,O,X
TSJOILZ,O,O,O,X,X,O
TSJOIZL,X,O,O,O,O,X
TSJOLIZ,O,O,O,X,X,O
TSJOLZI,O,O,O,X,X,O
TSJOZIL,X,O,O,O,O,X
TSJOZLI,X,O,O,O,O,X
TSZILJO,O,X,X,O,O,X
TSZILOJ,O,X,X,X,X,X
TSZIJLO,X,X,X,O,O,X
TSZIJOL,X,X,O,O,O,X
TSZIOLJ,O,X,X,X,O,X
TSZIOJL,X,X,O,O,O,X
TSZLIJO,O,X,X,O,O,X
TSZLIOJ,O,X,X,X,X,X
TSZLJIO,O,X,X,O,O,X
TSZLJOI,O,X,X,O,O,X
TSZLOIJ,O,X,X,X,X,X
TSZLOJI,O,X,X,X,X,X
TSZJILO,X,X,X,O,O,X
TSZJIOL,X,X,O,O,O,X
TSZJLIO,X,X,X,O,O,X
TSZJLOI,X,X,X,O,O,X
