sequence,v115@9gA8BeA8FeD8FeE8CeH8AeC8Je06IvhFxbBOiBXeBT?hBSoBFsB,v115@9gA8BeA8FeD8FeE8CeH8AeC8Je06IvhFxbBidB+jBT?hB3iBFsB,v115@9gA8BeA8FeD8FeE8CeH8AeC8Je06IvhFxbBXdB6jB2?mBziBFsB,v115@9gA8BeA8FeD8FeE8CeH8AeC8Je06IvhFxbBTeB/mBF?iBCoBOsB,v115@9gA8BeA8FeD8FeE8CeH8AeC8Je06IvhFxbBTeBihBW?oBXiBFsB,v115@9gA8BeA8FeD8FeE8CeH8AeC8Je06IvhFmbBzcBfjB6?jBxmBFsB
TILJSZO,O,O,O,X,O,O
TILJSOZ,O,O,O,X,O,O
TILJZSO,O,O,O,X,O,O
TILJZOS,O,O,O,X,O,O
TILJOSZ,O,O,O,X,O,O
TILJOZS,O,O,O,X,O,O
TILSJZO,O,X,O,O,O,O
TILSJOZ,O,X,O,O,O,O
TILSZJO,O,X,O,O,O,O
TILSZOJ,O,X,O,O,X,O
TILSOJZ,O,X,O,O,X,O
TILSOZJ,O,X,O,O,X,O
TILZJSO,O,O,O,X,O,O
TILZJOS,O,O,O,X,O,O
TILZSJO,O,X,O,O,O,O
TILZSOJ,O,X,O,O,X,O
TILZOJS,O,O,O,X,O,O
TILZOSJ,O,X,O,O,X,O
TILOJSZ,O,O,O,X,O,O
TILOJZS,O,O,O,X,O,O
TILOSJZ,O,X,O,O,X,O
TILOSZJ,O,X,O,O,X,O
TILOZJS,O,O,O,X,O,O
TILOZSJ,O,X,O,O,X,O
TIJLSZO,O,O,O,X,O,O
TIJLSOZ,O,O,O,X,O,O
TIJLZSO,O,O,O,X,O,O
TIJLZOS,O,O,O,X,O,O
TIJLOSZ,O,O,O,X,O,O
TIJLOZS,O,O,O,X,O,O
TIJSLZO,O,O,O,X,O,O
TIJSLOZ,O,O,O,X,O,O
TIJSZLO,O,O,O,X,O,O
TIJSZOL,X,O,O,X,O,O
TIJSOLZ,X,O,O,X,O,O
TIJSOZL,X,O,O,X,O,O
TIJZLSO,O,O,O,X,O,O
TIJZLOS,O,O,O,X,O,O
TIJZSLO,O,O,O,X,O,O
TIJZSOL,X,O,O,X,O,O
TIJZOLS,O,O,O,X,O,O
TIJZOSL,O,O,O,X,O,O
TIJOLSZ,O,O,O,X,O,O
TIJOLZS,O,O,O,X,O,O
TIJOSLZ,O,O,O,X,O,O
TIJOSZL,O,O,O,X,O,O
TIJOZLS,O,O,O,X,O,O
TIJOZSL,O,O,O,X,O,O
TISLJZO,O,X,O,O,O,O
TISLJOZ,O,X,O,O,O,O
TISLZJO,O,X,O,O,O,O
TISLZOJ,O,X,O,O,X,O
TISLOJZ,O,X,O,O,X,O
TISLOZJ,O,X,O,O,X,O
TISJLZO,O,O,O,O,O,O
TISJLOZ,O,O,O,O,O,O
TISJZLO,O,O,O,O,O,O
TISJZOL,X,O,O,X,O,O
TISJOLZ,X,O,O,X,O,O
TISJOZL,X,O,O,X,O,O
TISZLJO,O,X,O,O,O,O
TISZLOJ,O,X,O,O,X,O
TISZJLO,O,O,O,O,O,O
TISZJOL,X,O,O,X,O,O
TISZOLJ,O,X,O,O,X,O
TISZOJL,O,O,O,X,X,O
TISOLJZ,O,X,O,O,X,O
TISOLZJ,O,X,O,O,X,O
TISOJLZ,O,O,O,X,X,O
TISOJZL,O,O,O,X,X,O
TISOZLJ,O,X,O,O,X,O
TISOZJL,O,O,O,X,X,O
TIZLJSO,O,O,O,X,O,O
TIZLJOS,O,O,O,X,O,O
TIZLSJO,O,X,O,O,O,O
TIZLSOJ,O,X,O,O,X,O
TIZLOJS,O,O,O,X,O,O
TIZLOSJ,O,X,O,O,X,O
TIZJLSO,O,O,O,X,O,O
TIZJLOS,O,O,O,X,O,O
TIZJSLO,O,O,O,X,O,O
TIZJSOL,X,O,O,X,O,O
TIZJOLS,O,O,O,X,O,O
TIZJOSL,O,O,O,X,O,O
TIZSLJO,O,X,O,O,O,O
TIZSLOJ,O,X,O,O,X,O
TIZSJLO,O,O,O,O,O,O
TIZSJOL,X,O,O,X,O,O
TIZSOLJ,O,X,O,O,X,O
TIZSOJL,O,O,O,X,X,O
TIZOLJS,O,O,O,X,O,O
TIZOLSJ,O,X,O,X,X,O
TIZOJLS,O,O,O,X,O,O
TIZOJSL,O,O,O,X,O,O
TIZOSLJ,O,X,O,X,X,O
TIZOSJL,O,O,O,X,X,O
TIOLJSZ,O,O,O,X,O,O
TIOLJZS,O,O,O,X,O,O
TIOLSJZ,O,X,O,X,X,O
TIOLSZJ,O,X,O,X,X,O
TIOLZJS,O,O,O,X,O,O
TIOLZSJ,O,X,O,X,X,O
TIOJLSZ,O,O,O,X,O,O
TIOJLZS,O,O,O,X,O,O
TIOJSLZ,O,O,O,X,O,O
TIOJSZL,O,O,O,X,O,O
TIOJZLS,O,O,O,X,O,O
TIOJZSL,O,O,O,X,O,O
TIOSLJZ,O,X,O,X,X,O
TIOSLZJ,O,X,O,X,X,O
TIOSJLZ,O,O,O,X,X,O
TIOSJZL,O,O,O,X,X,O
TIOSZLJ,O,X,O,X,X,O
TIOSZJL,O,O,O,X,X,O
TIOZLJS,O,O,O,X,O,O
TIOZLSJ,O,X,O,X,X,O
TIOZJLS,O,O,O,X,O,O
TIOZJSL,O,O,O,X,O,O
TIOZSLJ,O,X,O,X,X,O
TIOZSJL,O,O,O,X,X,O
TLIJSZO,O,O,O,X,O,O
TLIJSOZ,O,O,O,X,O,O
TLIJZSO,O,O,O,X,O,O
TLIJZOS,O,O,O,X,O,O
TLIJOSZ,O,O,O,X,O,O
TLIJOZS,O,O,O,X,O,O
TLISJZO,O,X,O,O,O,O
TLISJOZ,O,X,O,O,O,O
TLISZJO,O,X,O,O,O,O
TLISZOJ,O,X,O,O,X,O
TLISOJZ,O,X,O,O,X,O
TLISOZJ,O,X,O,O,X,O
TLIZJSO,O,O,O,X,O,O
TLIZJOS,O,O,O,X,O,O
TLIZSJO,O,X,O,O,O,O
TLIZSOJ,O,X,O,O,X,O
TLIZOJS,O,O,O,X,O,O
TLIZOSJ,O,X,O,O,X,O
TLIOJSZ,O,O,O,X,O,O
TLIOJZS,O,O,O,X,O,O
TLIOSJZ,O,X,O,O,X,O
TLIOSZJ,O,X,O,O,X,O
TLIOZJS,O,O,O,X,O,O
TLIOZSJ,O,X,O,O,X,O
TLJISZO,O,O,O,X,O,O
TLJISOZ,O,O,O,X,O,O
TLJIZSO,O,O,O,X,O,O
TLJIZOS,O,O,O,X,O,O
TLJIOSZ,O,O,O,X,O,O
TLJIOZS,O,O,O,X,O,O
TLJSIZO,O,O,O,X,O,O
TLJSIOZ,O,O,O,X,O,O
TLJSZIO,O,O,O,X,O,O
TLJSZOI,O,O,O,X,O,X
TLJSOIZ,O,O,O,X,O,X
TLJSOZI,O,O,O,X,O,X
TLJZISO,O,O,O,X,O,O
TLJZIOS,O,O,O,X,O,O
TLJZSIO,O,O,O,X,O,O
TLJZSOI,O,O,O,X,O,X
TLJZOIS,O,O,O,X,O,X
TLJZOSI,O,O,O,X,O,X
TLJOISZ,O,O,O,X,O,X
TLJOIZS,O,O,O,X,O,X
TLJOSIZ,O,O,O,X,O,X
TLJOSZI,O,O,O,X,O,X
TLJOZIS,O,O,O,X,O,X
TLJOZSI,O,O,O,X,O,X
TLSIJZO,O,X,O,O,O,O
TLSIJOZ,O,X,O,O,O,O
TLSIZJO,O,X,O,O,O,O
TLSIZOJ,O,X,O,O,X,O
TLSIOJZ,O,X,O,O,X,O
TLSIOZJ,O,X,O,O,X,O
TLSJIZO,O,X,O,O,O,O
TLSJIOZ,O,X,O,O,O,O
TLSJZIO,O,X,O,O,O,O
TLSJZOI,O,X,O,O,O,X
TLSJOIZ,O,X,O,O,O,X
TLSJOZI,O,X,O,O,O,X
TLSZIJO,O,X,O,O,O,O
TLSZIOJ,O,X,O,O,X,O
TLSZJIO,O,X,O,O,O,O
TLSZJOI,O,X,O,O,O,X
TLSZOIJ,O,X,O,O,X,X
TLSZOJI,O,X,O,O,X,X
TLSOIJZ,O,X,O,O,X,X
TLSOIZJ,O,X,O,O,X,X
TLSOJIZ,O,X,O,O,X,X
TLSOJZI,O,X,O,O,X,X
TLSOZIJ,O,X,O,O,X,X
TLSOZJI,O,X,O,O,X,X
TLZIJSO,O,O,O,X,O,O
TLZIJOS,O,O,O,X,O,O
TLZISJO,O,X,O,O,O,O
TLZISOJ,O,X,O,O,X,O
TLZIOJS,O,O,O,X,O,O
TLZIOSJ,O,X,O,O,X,O
TLZJISO,O,O,O,X,O,O
TLZJIOS,O,O,O,X,O,O
TLZJSIO,O,O,O,X,O,O
TLZJSOI,O,O,O,X,O,X
TLZJOIS,O,O,O,X,O,X
TLZJOSI,O,O,O,X,O,X
TLZSIJO,O,X,O,O,O,O
TLZSIOJ,O,X,O,O,X,O
TLZSJIO,O,X,O,O,O,O
TLZSJOI,O,X,O,O,O,X
TLZSOIJ,O,X,O,O,X,X
TLZSOJI,O,X,O,O,X,X
TLZOIJS,O,O,O,X,O,X
TLZOISJ,O,X,O,O,X,X
TLZOJIS,O,O,O,X,O,X
TLZOJSI,O,O,O,X,O,X
TLZOSIJ,O,X,O,O,X,X
TLZOSJI,O,X,O,O,X,X
TLOIJSZ,O,O,O,X,O,X
TLOIJZS,O,O,O,X,O,X
TLOISJZ,O,X,O,O,X,X
TLOISZJ,O,X,O,O,X,X
TLOIZJS,O,O,O,X,O,X
TLOIZSJ,O,X,O,O,X,X
TLOJISZ,O,O,O,X,O,X
TLOJIZS,O,O,O,X,O,X
TLOJSIZ,O,O,O,X,O,X
TLOJSZI,O,O,O,X,O,X
TLOJZIS,O,O,O,X,O,X
TLOJZSI,O,O,O,X,O,X
TLOSIJZ,O,X,O,O,X,X
TLOSIZJ,O,X,O,O,X,X
TLOSJIZ,O,X,O,O,X,X
TLOSJZI,O,X,O,O,X,X
TLOSZIJ,O,X,O,O,X,X
TLOSZJI,O,X,O,O,X,X
TLOZIJS,O,O,O,X,O,X
TLOZISJ,O,X,O,O,X,X
TLOZJIS,O,O,O,X,O,X
TLOZJSI,O,O,O,X,O,X
TLOZSIJ,O,X,O,O,X,X
TLOZSJI,O,X,O,O,X,X
TJILSZO,O,O,O,X,O,O
TJILSOZ,O,O,O,X,O,O
TJILZSO,O,O,O,X,O,O
TJILZOS,O,O,O,X,O,O
TJILOSZ,O,O,O,X,O,O
TJILOZS,O,O,O,X,O,O
TJISLZO,O,O,O,X,O,O
TJISLOZ,O,O,O,X,O,O
TJISZLO,O,O,O,X,O,O
TJISZOL,X,O,O,X,O,O
TJISOLZ,X,O,O,X,O,O
TJISOZL,X,O,O,X,O,O
TJIZLSO,O,O,O,X,O,O
TJIZLOS,O,O,O,X,O,O
TJIZSLO,O,O,O,X,O,O
TJIZSOL,X,O,O,X,O,O
TJIZOLS,O,O,O,X,O,O
TJIZOSL,O,O,O,X,O,O
TJIOLSZ,O,O,O,X,O,O
TJIOLZS,O,O,O,X,O,O
TJIOSLZ,O,O,O,X,O,O
TJIOSZL,O,O,O,X,O,O
TJIOZLS,O,O,O,X,O,O
TJIOZSL,O,O,O,X,O,O
TJLISZO,O,O,O,X,O,O
TJLISOZ,O,O,O,X,O,O
TJLIZSO,O,O,O,X,O,O
TJLIZOS,O,O,O,X,O,O
TJLIOSZ,O,O,O,X,O,O
TJLIOZS,O,O,O,X,O,O
TJLSIZO,O,O,O,X,O,O
TJLSIOZ,O,O,O,X,O,O
TJLSZIO,O,O,O,X,O,O
TJLSZOI,O,O,O,X,O,X
TJLSOIZ,O,O,O,X,O,X
TJLSOZI,O,O,O,X,O,X
TJLZISO,O,O,O,X,O,O
TJLZIOS,O,O,O,X,O,O
