sequence,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhB6oBXmBm?nBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhBynB+oBX?mBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeeFJvhFChBxiBlmBc?sBToB3qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JexAJvhFXiB6oBllBz?nBUqBmrB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeiAJvhFzhBGjBUoBR?qBFsB3qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8Je/FJvhFRhBziB+oBi?mBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JezBJvhFfoB6oBRqBF?sBOqB8qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhBVrBasBG?oBXoBUqB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeyFJvhFUiBGjBfsBV?tBRqBTqB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JemAJvhFUiBFjBfsBS?tBRqBTqB
TSZLJIO,O,O,O,X,X,O,X,O,O,O
TSZLJOI,O,O,O,X,X,O,X,O,X,X
TSZLOIJ,O,O,O,X,X,O,O,O,X,O
TSZLOJI,O,O,O,X,X,O,X,O,X,X
TSZJILO,O,O,O,X,O,O,X,X,O,O
TSZJIOL,O,O,O,X,O,O,X,X,O,O
TSZJLIO,O,O,O,X,X,O,X,O,O,X
TSZJLOI,O,O,O,X,X,O,X,O,X,X
TSZJOIL,O,O,O,X,O,O,X,X,O,X
TSZJOLI,O,O,O,X,X,O,X,O,X,X
TSZOILJ,O,O,O,X,O,O,O,X,O,X
TSZOIJL,O,O,O,X,O,O,X,X,O,O
TSZOLIJ,O,O,O,X,X,O,O,O,X,X
TSZOLJI,O,O,O,X,X,O,X,O,X,X
TSZOJIL,O,O,O,X,O,O,X,X,O,X
TSZOJLI,O,O,O,X,X,O,X,O,X,X
TSOILJZ,O,O,X,X,X,X,O,X,O,X
TSOILZJ,O,X,X,X,O,X,O,X,O,X
TSOIJLZ,O,O,O,X,X,X,O,X,O,X
TSOIJZL,O,O,O,X,X,X,X,X,O,X
TSOIZLJ,O,O,O,X,O,X,O,X,O,X
TSOIZJL,O,O,O,X,O,X,X,X,O,X
TSOLIJZ,O,O,X,X,X,X,O,O,X,X
TSOLIZJ,O,X,X,X,X,X,O,X,X,X
TSOLJIZ,O,O,O,X,X,X,O,O,X,X
TSOLJZI,O,O,O,X,X,X,X,O,X,X
TSOLZIJ,O,X,X,X,X,X,O,X,X,X
TSOLZJI,O,X,X,X,X,X,X,X,X,X
TSOJILZ,O,O,O,X,X,X,O,X,O,X
TSOJIZL,O,O,O,X,X,X,X,X,O,X
TSOJLIZ,O,O,O,X,X,X,O,O,X,X
TSOJLZI,O,O,O,X,X,X,X,O,X,X
TSOJZIL,O,O,O,X,X,X,X,X,O,X
TSOJZLI,O,O,O,X,X,X,X,X,X,X
TSOZILJ,O,O,O,X,O,X,O,X,O,X
TSOZIJL,O,O,O,X,O,X,X,X,O,X
TSOZLIJ,O,O,O,X,X,X,O,X,X,X
TSOZLJI,O,O,O,X,X,X,X,X,X,X
TSOZJIL,O,O,O,X,O,X,X,X,O,X
TSOZJLI,O,O,O,X,X,X,X,X,X,X
TZILJSO,O,X,O,X,O,O,X,O,O,X
TZILJOS,O,X,O,O,O,O,X,O,X,X
TZILSJO,O,X,O,X,O,O,X,O,O,X
TZILSOJ,O,X,X,O,O,O,X,O,O,X
TZILOJS,O,X,X,O,O,X,X,O,X,X
TZILOSJ,X,X,X,O,O,X,X,O,X,X
TZIJLSO,O,O,O,X,O,O,X,O,O,X
TZIJLOS,O,O,O,O,O,O,X,O,X,X
TZIJSLO,O,O,O,X,O,O,X,X,O,X
TZIJSOL,O,O,O,X,O,O,X,X,O,X
TZIJOLS,O,O,O,O,O,O,X,O,X,X
TZIJOSL,O,X,O,O,O,O,X,X,X,X
TZISLJO,O,O,O,X,O,O,O,X,O,X
TZISLOJ,O,O,X,O,O,O,O,X,O,X
TZISJLO,O,O,O,X,O,O,X,X,O,X
TZISJOL,O,O,O,X,O,O,X,X,O,X
TZISOLJ,O,O,O,O,O,O,O,X,O,X
TZISOJL,O,O,O,O,O,O,X,X,O,X
TZIOLJS,O,X,O,O,O,X,X,O,X,X
TZIOLSJ,X,X,O,O,O,X,X,O,X,X
TZIOJLS,O,O,O,O,O,X,X,O,X,X
TZIOJSL,O,X,O,O,O,X,X,X,X,X
TZIOSLJ,X,X,O,O,O,X,O,X,X,X
TZIOSJL,X,X,O,O,O,X,X,X,X,X
TZLIJSO,O,X,O,X,O,O,X,O,X,X
TZLIJOS,O,X,O,O,O,O,X,O,X,X
TZLISJO,O,X,O,X,O,O,X,O,X,X
TZLISOJ,O,X,X,O,O,O,X,O,X,X
TZLIOJS,O,X,X,O,O,X,X,O,X,X
TZLIOSJ,X,X,X,O,O,X,X,O,X,X
TZLJISO,O,O,O,O,O,O,X,O,X,X
TZLJIOS,O,O,O,O,O,O,X,O,X,X
TZLJSIO,O,O,O,O,X,O,X,O,X,X
TZLJSOI,O,O,O,O,X,O,X,O,X,X
TZLJOIS,O,O,O,O,O,O,X,O,X,X
TZLJOSI,O,O,O,O,X,O,X,O,X,X
TZLSIJO,O,O,O,X,X,O,X,O,X,X
TZLSIOJ,O,O,X,O,X,O,X,O,X,X
TZLSJIO,O,O,O,X,X,O,X,O,X,X
TZLSJOI,O,O,O,X,X,O,X,O,X,X
TZLSOIJ,O,O,O,O,X,O,X,O,X,X
TZLSOJI,O,O,O,O,X,O,X,O,X,X
TZLOIJS,O,X,O,O,O,X,X,O,X,X
TZLOISJ,X,X,O,O,O,X,X,O,X,X
TZLOJIS,O,O,O,O,O,O,X,O,X,X
TZLOJSI,O,O,O,O,X,O,X,O,X,X
TZLOSIJ,O,X,O,O,X,O,X,O,X,X
TZLOSJI,O,X,O,O,X,O,X,O,X,X
TZJILSO,O,O,O,O,O,O,X,O,O,X
TZJILOS,O,O,O,O,O,O,X,O,X,X
TZJISLO,O,O,O,O,O,O,X,X,O,X
TZJISOL,O,O,O,O,O,O,X,X,O,X
TZJIOLS,O,O,O,O,O,O,X,O,X,X
TZJIOSL,O,X,O,O,O,O,X,X,X,X
TZJLISO,O,O,O,O,O,O,X,O,X,X
TZJLIOS,O,O,O,O,O,O,X,O,X,X
TZJLSIO,O,O,O,O,X,O,X,O,X,X
TZJLSOI,O,O,O,O,X,O,X,O,X,X
TZJLOIS,O,O,O,O,O,O,X,O,X,X
TZJLOSI,O,O,O,O,X,O,X,O,X,X
TZJSILO,O,O,O,O,O,O,X,X,O,X
TZJSIOL,O,O,O,O,O,O,X,X,O,X
TZJSLIO,O,O,O,O,X,O,X,O,O,X
TZJSLOI,O,O,O,O,X,O,X,O,X,X
TZJSOIL,O,O,O,O,O,O,X,X,O,X
TZJSOLI,O,O,O,O,X,O,X,O,X,X
TZJOILS,O,O,O,O,O,O,X,O,X,X
TZJOISL,O,X,O,O,O,O,X,X,X,X
TZJOLIS,O,O,O,O,O,O,X,O,X,X
TZJOLSI,O,O,O,O,X,O,X,O,X,X
TZJOSIL,O,O,O,O,O,O,X,X,X,X
TZJOSLI,O,O,O,O,X,O,X,O,X,X
TZSILJO,O,O,O,X,O,O,O,X,O,X
TZSILOJ,O,O,X,O,O,O,O,X,O,X
TZSIJLO,O,O,O,X,O,O,X,X,O,X
TZSIJOL,O,O,O,X,O,O,X,X,O,X
TZSIOLJ,O,O,O,O,O,O,O,X,O,X
TZSIOJL,O,O,O,O,O,O,X,X,O,X
TZSLIJO,O,O,O,X,X,O,O,O,O,X
TZSLIOJ,O,O,X,O,X,O,O,O,O,X
TZSLJIO,O,O,O,X,X,O,X,O,O,X
TZSLJOI,O,O,O,X,X,O,X,O,X,X
TZSLOIJ,O,O,O,O,X,O,O,O,X,X
TZSLOJI,O,O,O,O,X,O,X,O,X,X
TZSJILO,O,O,O,X,O,O,X,X,O,X
TZSJIOL,O,O,O,X,O,O,X,X,O,X
TZSJLIO,O,O,O,X,X,O,X,O,O,X
TZSJLOI,O,O,O,X,X,O,X,O,X,X
TZSJOIL,O,O,O,X,O,O,X,X,O,X
TZSJOLI,O,O,O,X,X,O,X,O,X,X
TZSOILJ,O,O,O,O,O,O,O,X,O,X
TZSOIJL,O,O,O,O,O,O,X,X,O,X
TZSOLIJ,O,O,O,O,X,O,O,O,X,X
TZSOLJI,O,O,O,O,X,O,X,O,X,X
TZSOJIL,O,O,O,O,O,O,X,X,O,X
TZSOJLI,O,O,O,O,X,O,X,O,X,X
TZOILJS,O,X,O,O,O,X,X,O,X,X
TZOILSJ,X,X,O,O,O,X,X,O,X,X
TZOIJLS,O,O,O,O,O,X,X,O,X,X
TZOIJSL,O,X,O,O,O,X,X,X,X,X
TZOISLJ,X,X,O,O,O,X,O,X,X,X
TZOISJL,X,X,O,O,O,X,X,X,X,X
TZOLIJS,O,X,O,O,O,X,X,O,X,X
TZOLISJ,X,X,O,O,O,X,X,O,X,X
TZOLJIS,O,O,O,O,O,O,X,O,X,X
TZOLJSI,O,O,O,O,X,O,X,O,X,X
TZOLSIJ,O,X,O,O,X,O,X,O,X,X
TZOLSJI,O,X,O,O,X,O,X,O,X,X
TZOJILS,O,O,O,O,O,O,X,O,X,X
TZOJISL,O,X,O,O,O,O,X,X,X,X
TZOJLIS,O,O,O,O,O,O,X,O,X,X
TZOJLSI,O,O,O,O,X,O,X,O,X,X
TZOJSIL,O,O,O,O,O,O,X,X,X,X
TZOJSLI,O,O,O,O,X,O,X,O,X,X
TZOSILJ,O,O,O,O,O,O,O,X,X,X
TZOSIJL,O,O,O,O,O,O,X,X,X,X
TZOSLIJ,O,O,O,O,X,O,O,O,X,X
TZOSLJI,O,O,O,O,X,O,X,O,X,X
TZOSJIL,O,O,O,O,O,O,X,X,X,X
TZOSJLI,O,O,O,O,X,O,X,O,X,X
TOILJSZ,X,X,X,X,X,X,X,O,O,X
TOILJZS,X,X,X,X,O,X,X,O,X,X
TOILSJZ,X,X,X,X,X,X,O,O,O,X
TOILSZJ,X,X,X,X,O,X,O,X,O,X
TOILZJS,X,X,X,X,O,X,X,O,X,X
TOILZSJ,X,X,X,X,O,X,X,X,X,X
TOIJLSZ,X,X,X,X,X,X,X,O,O,X
TOIJLZS,X,X,O,X,O,X,X,O,X,X
TOIJSLZ,X,X,X,X,X,X,O,X,O,X
TOIJSZL,X,X,X,X,X,X,X,X,O,X
TOIJZLS,X,X,O,X,O,X,X,X,X,X
TOIJZSL,X,X,O,X,O,X,X,X,X,X
TOISLJZ,X,X,X,X,X,X,O,X,O,X
TOISLZJ,X,X,X,X,O,X,O,X,O,X
TOISJLZ,X,X,O,X,X,X,O,X,O,X
TOISJZL,X,X,O,X,X,X,X,X,O,X
TOISZLJ,X,X,O,X,O,X,O,X,O,X
TOISZJL,X,X,O,X,O,X,X,X,O,X
TOIZLJS,X,X,O,X,O,X,X,X,X,X
TOIZLSJ,X,X,O,X,O,X,X,X,X,X
TOIZJLS,X,X,O,X,O,X,X,X,X,X
TOIZJSL,X,X,O,X,O,X,X,X,X,X
TOIZSLJ,X,X,O,X,O,X,O,X,X,X
TOIZSJL,X,X,O,X,O,X,X,X,X,X
TOLIJSZ,X,X,X,X,X,X,X,O,X,X
TOLIJZS,X,X,X,X,O,X,X,O,X,X
TOLISJZ,X,X,X,X,X,X,O,O,X,X
TOLISZJ,X,X,X,X,O,X,O,X,X,X
TOLIZJS,X,X,X,X,O,X,X,O,X,X
TOLIZSJ,X,X,X,X,O,X,X,O,X,X
TOLJISZ,O,X,X,O,X,X,X,O,X,X
TOLJIZS,O,X,O,O,X,O,X,O,X,X
TOLJSIZ,O,X,X,O,X,X,X,O,X,X
TOLJSZI,O,X,O,O,X,O,X,O,X,X
TOLJZIS,O,X,O,O,X,O,X,O,X,X
TOLJZSI,O,X,O,O,X,O,X,O,X,X
TOLSIJZ,O,X,X,O,X,X,O,O,X,X
TOLSIZJ,O,X,X,O,X,X,O,X,X,X
TOLSJIZ,O,X,O,O,X,X,O,O,X,X
TOLSJZI,X,X,O,O,X,X,X,O,X,X
TOLSZIJ,O,X,X,O,X,X,O,X,X,X
TOLSZJI,O,X,X,O,X,X,X,X,X,X
TOLZIJS,O,X,X,O,O,X,X,O,X,X
TOLZISJ,X,X,X,O,O,X,X,O,X,X
TOLZJIS,O,X,X,O,O,O,X,O,X,X
TOLZJSI,O,X,X,O,X,O,X,O,X,X
TOLZSIJ,O,X,X,O,X,O,X,O,X,X
TOLZSJI,O,X,X,O,X,O,X,O,X,X
TOJILSZ,O,X,X,O,X,X,X,O,O,X
TOJILZS,O,X,O,O,O,O,X,O,X,X
TOJISLZ,O,X,X,O,X,X,O,X,O,X
TOJISZL,O,X,X,O,X,X,X,X,O,X
TOJIZLS,O,X,O,O,O,O,X,X,X,X
TOJIZSL,O,X,O,O,O,O,X,X,X,X
TOJLISZ,O,O,X,O,X,X,X,O,X,X
TOJLIZS,O,O,O,O,X,O,X,O,X,X
TOJLSIZ,O,O,X,O,X,X,X,O,X,X
TOJLSZI,O,O,O,O,X,O,X,O,X,X
TOJLZIS,O,O,O,O,X,O,X,O,X,X
TOJLZSI,O,O,O,O,X,O,X,O,X,X
TOJSILZ,O,O,O,O,X,X,O,X,O,X
TOJSIZL,O,O,X,O,X,X,X,X,O,X
TOJSLIZ,O,O,O,O,X,X,O,O,X,X
TOJSLZI,O,O,O,O,X,O,X,O,X,X
TOJSZIL,O,O,X,O,X,O,X,X,O,X
TOJSZLI,O,O,O,O,X,O,X,X,X,X
TOJZILS,O,O,O,O,O,O,X,O,X,X
TOJZISL,O,X,O,O,O,O,X,X,X,X
TOJZLIS,O,O,O,O,O,O,X,O,X,X
TOJZLSI,O,O,O,O,X,O,X,O,X,X
TOJZSIL,O,O,O,O,O,O,X,X,X,X
TOJZSLI,O,O,O,O,X,O,X,O,X,X
TOSILJZ,O,O,X,O,X,X,O,X,O,X
TOSILZJ,O,X,X,O,O,X,O,X,O,X
TOSIJLZ,O,O,O,X,X,X,O,X,O,X
TOSIJZL,O,O,O,X,X,X,X,X,O,X
TOSIZLJ,O,O,O,X,O,X,O,X,O,X
TOSIZJL,O,O,O,X,O,X,X,X,O,X
TOSLIJZ,O,O,X,O,X,X,O,O,X,X
TOSLIZJ,O,X,X,O,X,X,O,X,X,X
TOSLJIZ,O,O,O,O,X,X,O,O,X,X
TOSLJZI,O,O,O,O,X,X,X,O,X,X
TOSLZIJ,O,X,X,O,X,X,O,X,X,X
TOSLZJI,O,X,X,O,X,X,X,X,X,X
TOSJILZ,O,O,O,O,X,X,O,X,O,X
TOSJIZL,O,O,O,O,X,X,X,X,O,X
TOSJLIZ,O,O,O,O,X,X,O,O,X,X
TOSJLZI,O,O,O,O,X,X,X,O,X,X
TOSJZIL,O,O,O,O,X,X,X,X,O,X
TOSJZLI,O,O,O,O,X,X,X,X,X,X
TOSZILJ,O,O,O,O,O,X,O,X,O,X
TOSZIJL,O,O,O,O,O,X,X,X,O,X
TOSZLIJ,O,O,O,O,X,X,O,X,X,X
TOSZLJI,O,O,O,O,X,X,X,X,X,X
TOSZJIL,O,O,O,O,O,X,X,X,O,X
TOSZJLI,O,O,O,O,X,X,X,X,X,X
TOZILJS,O,X,O,O,O,X,X,O,X,X
TOZILSJ,X,X,O,O,O,X,X,O,X,X
TOZIJLS,O,O,O,O,O,X,X,O,X,X
TOZIJSL,O,X,O,O,O,X,X,X,X,X
TOZISLJ,X,X,O,O,O,X,O,X,X,X
TOZISJL,X,X,O,O,O,X,X,X,X,X
TOZLIJS,O,X,O,O,O,X,X,O,X,X
TOZLISJ,X,X,O,O,O,X,X,O,X,X
TOZLJIS,O,O,O,O,O,O,X,O,X,X
TOZLJSI,O,O,O,O,X,O,X,O,X,X
TOZLSIJ,O,X,O,O,X,O,X,O,X,X
TOZLSJI,O,X,O,O,X,O,X,O,X,X
TOZJILS,O,O,O,O,O,O,X,O,X,X
TOZJISL,O,X,O,O,O,O,X,X,X,X
TOZJLIS,O,O,O,O,O,O,X,O,X,X
TOZJLSI,O,O,O,O,X,O,X,O,X,X
TOZJSIL,O,O,O,O,O,O,X,X,X,X
TOZJSLI,O,O,O,O,X,O,X,O,X,X
TOZSILJ,O,O,O,O,O,O,O,X,X,X
TOZSIJL,O,O,O,O,O,O,X,X,X,X
TOZSLIJ,O,O,O,O,X,O,O,O,X,X
TOZSLJI,O,O,O,O,X,O,X,O,X,X
TOZSJIL,O,O,O,O,O,O,X,X,X,X
TOZSJLI,O,O,O,O,X,O,X,O,X,X
ITLJSZO,O,X,X,X,X,X,X,O,O,O
ITLJSOZ,O,X,X,X,X,X,X,O,O,O
ITLJZSO,O,X,X,X,O,O,X,O,O,O
ITLJZOS,O,X,X,X,O,O,X,O,X,X
ITLJOSZ,O,X,X,X,X,X,X,O,O,O
ITLJOZS,O,X,X,X,O,O,X,O,X,X
ITLSJZO,O,X,X,X,X,X,O,O,O,O
ITLSJOZ,O,X,X,X,X,X,O,O,O,O
ITLSZJO,O,X,X,X,O,X,O,O,O,O
ITLSZOJ,O,X,X,X,O,X,O,O,O,O
ITLSOJZ,O,X,X,X,X,X,O,O,O,O
ITLSOZJ,O,X,X,X,O,X,O,X,O,O
ITLZJSO,O,X,X,X,O,O,X,O,O,O
ITLZJOS,O,X,X,X,O,O,X,O,X,X
ITLZSJO,O,X,X,X,O,O,X,O,O,O
ITLZSOJ,O,X,X,X,O,O,X,O,O,O
ITLZOJS,O,X,X,X,O,X,X,O,X,X
ITLZOSJ,X,X,X,X,O,X,X,O,X,X
ITLOJSZ,X,X,X,X,X,X,X,O,O,O
ITLOJZS,X,X,X,X,O,X,X,O,X,X
ITLOSJZ,X,X,X,X,X,X,O,O,O,O
ITLOSZJ,X,X,X,X,O,X,O,X,O,O
ITLOZJS,X,X,X,X,O,X,X,O,X,X
ITLOZSJ,X,X,X,X,O,X,X,O,X,X
ITJLSZO,O,O,X,X,X,X,X,O,O,O
ITJLSOZ,O,O,X,X,X,X,X,O,O,O
ITJLZSO,O,O,O,X,O,O,X,O,O,O
ITJLZOS,O,O,O,X,O,O,X,O,X,X
ITJLOSZ,O,O,X,X,X,X,X,O,O,O
ITJLOZS,O,O,O,X,O,O,X,O,X,X
ITJSLZO,O,O,X,X,X,X,O,X,O,O
ITJSLOZ,O,O,X,X,X,X,O,X,O,O
ITJSZLO,O,O,X,X,X,X,X,X,O,O
ITJSZOL,O,O,X,X,X,X,X,X,O,O
ITJSOLZ,O,O,X,X,X,X,O,X,O,X
ITJSOZL,O,O,X,X,X,X,X,X,O,X
ITJZLSO,O,O,X,X,O,O,X,O,O,X
ITJZLOS,O,O,X,X,O,O,X,O,X,X
ITJZSLO,O,O,X,X,O,O,X,X,O,X
ITJZSOL,O,O,X,X,O,O,X,X,O,X
ITJZOLS,O,O,X,X,O,O,X,O,X,X
ITJZOSL,O,X,X,X,O,O,X,X,X,X
ITJOLSZ,O,X,X,X,X,X,X,O,O,X
ITJOLZS,O,X,O,X,O,O,X,O,X,X
ITJOSLZ,O,X,X,X,X,X,O,X,O,X
ITJOSZL,O,X,X,X,X,X,X,X,O,X
ITJOZLS,O,X,X,X,O,O,X,X,X,X
ITJOZSL,O,X,X,X,O,O,X,X,X,X
ITSLJZO,O,O,X,X,X,X,O,X,O,O
ITSLJOZ,O,O,X,X,X,X,O,X,O,O
ITSLZJO,O,O,X,X,O,X,O,X,O,O
ITSLZOJ,O,O,X,X,O,X,O,X,O,O
ITSLOJZ,O,O,X,X,X,X,O,X,O,O
ITSLOZJ,O,X,X,X,O,X,O,X,O,O
ITSJLZO,O,O,O,X,X,X,O,X,O,O
ITSJLOZ,O,O,O,X,X,X,O,X,O,O
ITSJZLO,O,O,X,X,X,X,X,X,O,O
ITSJZOL,O,O,X,X,X,X,X,X,O,O
ITSJOLZ,O,O,O,X,X,X,O,X,O,X
ITSJOZL,O,O,X,X,X,X,X,X,O,X
ITSZLJO,O,O,X,X,O,X,O,X,O,O
ITSZLOJ,O,O,X,X,O,X,O,X,O,O
ITSZJLO,O,O,X,X,O,X,X,X,O,O
ITSZJOL,O,O,X,X,O,X,X,X,O,O
ITSZOLJ,O,O,X,X,O,X,O,X,O,X
ITSZOJL,O,O,X,X,O,X,X,X,O,O
ITSOLJZ,O,O,X,X,X,X,O,X,O,X
ITSOLZJ,O,X,X,X,O,X,O,X,O,X
ITSOJLZ,O,O,O,X,X,X,O,X,O,X
ITSOJZL,O,O,X,X,X,X,X,X,O,X
ITSOZLJ,O,O,X,X,O,X,O,X,O,X
ITSOZJL,O,O,X,X,O,X,X,X,O,X
ITZLJSO,O,X,X,X,O,O,X,O,O,X
ITZLJOS,O,X,X,X,O,O,X,O,X,X
ITZLSJO,O,X,X,X,O,O,X,O,O,X
ITZLSOJ,O,X,X,X,O,O,X,O,O,X
ITZLOJS,O,X,X,X,O,X,X,O,X,X
ITZLOSJ,X,X,X,X,O,X,X,O,X,X
ITZJLSO,O,O,X,X,O,O,X,O,O,X
ITZJLOS,O,O,X,X,O,O,X,O,X,X
ITZJSLO,O,O,X,X,O,O,X,X,O,X
ITZJSOL,O,O,X,X,O,O,X,X,O,X
ITZJOLS,O,O,X,X,O,O,X,O,X,X
ITZJOSL,O,X,X,X,O,O,X,X,X,X
ITZSLJO,O,O,X,X,O,O,O,X,O,X
ITZSLOJ,O,O,X,X,O,O,O,X,O,X
ITZSJLO,O,O,X,X,O,O,X,X,O,X
ITZSJOL,O,O,X,X,O,O,X,X,O,X
ITZSOLJ,O,O,X,X,O,O,O,X,O,X
ITZSOJL,O,O,X,X,O,O,X,X,O,X
ITZOLJS,O,X,X,X,O,X,X,O,X,X
ITZOLSJ,X,X,X,X,O,X,X,O,X,X
ITZOJLS,O,O,X,X,O,X,X,O,X,X
ITZOJSL,O,X,X,X,O,X,X,X,X,X
ITZOSLJ,X,X,X,X,O,X,O,X,X,X
ITZOSJL,X,X,X,X,O,X,X,X,X,X
ITOLJSZ,X,X,X,X,X,X,X,O,O,X
ITOLJZS,X,X,X,X,O,X,X,O,X,X
ITOLSJZ,X,X,X,X,X,X,O,O,O,X
ITOLSZJ,X,X,X,X,O,X,O,X,O,X
ITOLZJS,X,X,X,X,O,X,X,O,X,X
ITOLZSJ,X,X,X,X,O,X,X,X,X,X
ITOJLSZ,X,X,X,X,X,X,X,O,O,X
ITOJLZS,X,X,O,X,O,X,X,O,X,X
ITOJSLZ,X,X,X,X,X,X,O,X,O,X
ITOJSZL,X,X,X,X,X,X,X,X,O,X
ITOJZLS,X,X,X,X,O,X,X,X,X,X
ITOJZSL,X,X,X,X,O,X,X,X,X,X
ITOSLJZ,X,X,X,X,X,X,O,X,O,X
ITOSLZJ,X,X,X,X,O,X,O,X,O,X
ITOSJLZ,X,X,O,X,X,X,O,X,O,X
ITOSJZL,X,X,X,X,X,X,X,X,O,X
ITOSZLJ,X,X,X,X,O,X,O,X,O,X
ITOSZJL,X,X,X,X,O,X,X,X,O,X
ITOZLJS,X,X,X,X,O,X,X,X,X,X
ITOZLSJ,X,X,X,X,O,X,X,X,X,X
ITOZJLS,X,X,X,X,O,X,X,X,X,X
ITOZJSL,X,X,X,X,O,X,X,X,X,X
ITOZSLJ,X,X,X,X,O,X,O,X,X,X
ITOZSJL,X,X,X,X,O,X,X,X,X,X
ILTJSZO,O,X,X,X,X,X,X,O,O,O
ILTJSOZ,O,X,X,X,X,X,X,O,O,O
ILTJZSO,O,X,X,X,O,X,X,O,O,O
ILTJZOS,O,X,X,X,O,X,X,O,X,X
ILTJOSZ,O,X,X,X,X,X,X,O,O,O
ILTJOZS,O,X,X,X,O,X,X,O,X,X
ILTSJZO,O,X,X,X,X,X,O,O,O,O
ILTSJOZ,O,X,X,X,X,X,O,O,O,O
ILTSZJO,O,X,X,X,O,X,O,O,O,O
ILTSZOJ,O,X,X,X,O,X,O,O,O,O
ILTSOJZ,O,X,X,X,X,X,O,O,O,O
ILTSOZJ,O,X,X,X,O,X,O,X,O,O
ILTZJSO,O,X,X,X,O,X,X,O,O,O
ILTZJOS,O,X,X,X,O,X,X,O,X,X
ILTZSJO,O,X,X,X,O,X,X,O,O,O
ILTZSOJ,O,X,X,X,O,X,X,O,O,O
ILTZOJS,O,X,X,X,O,X,X,O,X,X
ILTZOSJ,X,X,X,X,O,X,X,O,X,X
ILTOJSZ,X,X,X,X,X,X,X,O,O,O
ILTOJZS,X,X,X,X,O,X,X,O,X,X
ILTOSJZ,X,X,X,X,X,X,O,O,O,O
ILTOSZJ,X,X,X,X,O,X,O,X,O,O
ILTOZJS,X,X,X,X,O,X,X,O,X,X
ILTOZSJ,X,X,X,X,O,X,X,O,X,X
ILJTSZO,O,X,X,O,X,X,X,O,O,O
ILJTSOZ,O,X,X,O,X,X,X,O,O,O
ILJTZSO,O,X,X,O,O,X,X,O,O,O
ILJTZOS,O,X,X,X,O,X,X,O,X,X
ILJTOSZ,X,X,X,O,X,X,X,O,O,O
ILJTOZS,X,X,X,X,O,X,X,O,X,X
ILJSTZO,O,X,X,O,X,X,O,O,O,O
ILJSTOZ,O,X,X,O,X,X,O,O,O,O
ILJSZTO,O,X,X,O,X,X,X,X,O,O
ILJSZOT,O,X,X,O,X,X,X,X,X,O
ILJSOTZ,O,X,X,O,X,X,X,X,X,O
ILJSOZT,O,X,X,O,X,X,X,X,X,O
ILJZTSO,O,X,X,O,O,X,X,O,X,O
ILJZTOS,O,X,X,O,O,X,X,O,X,X
ILJZSTO,O,X,X,O,O,O,X,X,X,O
ILJZSOT,O,X,X,O,X,O,X,X,X,O
ILJZOTS,O,X,X,X,O,X,X,X,X,X
ILJZOST,O,X,X,X,X,O,X,X,X,X
ILJOTSZ,X,X,X,X,X,X,X,O,X,O
ILJOTZS,X,X,X,X,X,X,X,O,X,X
ILJOSTZ,O,X,X,X,X,X,X,X,X,O
ILJOSZT,O,X,X,X,X,X,X,X,X,O
ILJOZTS,O,X,X,X,X,X,X,X,X,X
ILJOZST,O,X,X,X,X,O,X,X,X,X
ILSTJZO,O,X,X,X,X,X,O,O,O,O
ILSTJOZ,O,X,X,X,X,X,O,O,O,O
ILSTZJO,O,X,X,X,O,X,O,O,O,O
ILSTZOJ,O,X,X,X,O,X,O,O,O,O
ILSTOJZ,O,X,X,X,X,X,O,O,O,O
ILSTOZJ,O,X,X,X,O,X,O,X,O,O
ILSJTZO,O,X,X,X,X,X,O,O,O,O
ILSJTOZ,O,X,X,X,X,X,O,O,O,O
ILSJZTO,O,X,X,X,X,X,X,X,O,O
ILSJZOT,O,X,X,X,X,X,X,X,X,O
ILSJOTZ,O,X,X,X,X,X,X,X,X,O
ILSJOZT,O,X,X,X,X,X,X,X,X,O
ILSZTJO,O,X,X,X,O,X,O,X,O,O
ILSZTOJ,O,X,X,X,O,X,O,X,O,O
ILSZJTO,O,X,X,X,O,X,X,X,O,O
ILSZJOT,O,X,X,X,X,X,X,X,X,O
ILSZOTJ,O,X,X,X,X,X,X,X,O,O
ILSZOJT,O,X,X,X,X,X,X,X,X,O
ILSOTJZ,O,X,X,X,X,X,O,X,O,O
ILSOTZJ,O,X,X,X,X,X,O,X,O,O
ILSOJTZ,O,X,X,X,X,X,X,X,X,O
ILSOJZT,O,X,X,X,X,X,X,X,X,O
ILSOZTJ,O,X,X,X,X,X,X,X,O,O
ILSOZJT,O,X,X,X,X,X,X,X,X,O
ILZTJSO,O,X,X,X,O,X,X,O,O,O
ILZTJOS,O,X,X,O,O,X,X,O,X,X
ILZTSJO,O,X,X,X,O,X,X,O,O,O
ILZTSOJ,O,X,X,O,O,X,X,O,O,O
ILZTOJS,O,X,X,O,O,X,X,O,X,X
