sequence,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhB6oBXmBm?nBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhBynB+oBX?mBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeeFJvhFChBxiBlmBc?sBToB3qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JexAJvhFXiB6oBllBz?nBUqBmrB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeiAJvhFzhBGjBUoBR?qBFsB3qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8Je/FJvhFRhBziB+oBi?mBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JezBJvhFfoB6oBRqBF?sBOqB8qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhBVrBasBG?oBXoBUqB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeyFJvhFUiBGjBfsBV?tBRqBTqB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JemAJvhFUiBFjBfsBS?tBRqBTqB
TIZOSJL,X,X,X,X,O,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,O,O,X
TIOLJZS,X,X,X,X,O,X,X,O,X,X
TIOLSJZ,X,X,X,X,X,X,O,O,O,X
TIOLSZJ,X,X,X,X,O,X,O,X,O,X
TIOLZJS,X,X,X,X,O,X,X,O,X,X
TIOLZSJ,X,X,X,X,O,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,O,O,X
TIOJLZS,X,X,O,X,O,X,X,O,X,X
TIOJSLZ,X,X,X,X,X,X,O,X,O,X
TIOJSZL,X,X,X,X,X,X,X,X,O,X
TIOJZLS,X,X,X,X,O,X,X,X,X,X
TIOJZSL,X,X,X,X,O,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,O,X,O,X
TIOSLZJ,X,X,X,X,O,X,O,X,O,X
TIOSJLZ,X,X,O,X,X,X,O,X,O,X
TIOSJZL,X,X,X,X,X,X,X,X,O,X
TIOSZLJ,X,X,X,X,O,X,O,X,O,X
TIOSZJL,X,X,X,X,O,X,X,X,O,X
TIOZLJS,X,X,X,X,O,X,X,X,X,X
TIOZLSJ,X,X,X,X,O,X,X,X,X,X
TIOZJLS,X,X,X,X,O,X,X,X,X,X
TIOZJSL,X,X,X,X,O,X,X,X,X,X
TIOZSLJ,X,X,X,X,O,X,O,X,X,X
TIOZSJL,X,X,X,X,O,X,X,X,X,X
TLIJSZO,O,X,X,X,X,X,X,O,O,O
TLIJSOZ,O,X,X,X,X,X,X,O,O,O
TLIJZSO,O,X,X,X,O,O,X,O,O,O
TLIJZOS,O,X,X,X,O,O,X,O,X,X
TLIJOSZ,O,X,X,X,X,X,X,O,O,O
TLIJOZS,O,X,X,X,O,O,X,O,X,X
TLISJZO,O,X,X,X,X,X,O,O,O,O
TLISJOZ,O,X,X,X,X,X,O,O,O,O
TLISZJO,O,X,X,X,O,X,O,O,O,O
TLISZOJ,O,X,X,X,O,X,O,O,O,O
TLISOJZ,O,X,X,X,X,X,O,O,O,O
TLISOZJ,O,X,X,X,O,X,O,X,O,O
TLIZJSO,O,X,X,X,O,O,X,O,O,O
TLIZJOS,O,X,X,X,O,O,X,O,X,X
TLIZSJO,O,X,X,X,O,O,X,O,O,O
TLIZSOJ,O,X,X,X,O,O,X,O,O,O
TLIZOJS,O,X,X,X,O,X,X,O,X,X
TLIZOSJ,X,X,X,X,O,X,X,O,X,X
TLIOJSZ,X,X,X,X,X,X,X,O,O,O
TLIOJZS,X,X,X,X,O,X,X,O,X,X
TLIOSJZ,X,X,X,X,X,X,O,O,O,O
TLIOSZJ,X,X,X,X,O,X,O,X,O,O
TLIOZJS,X,X,X,X,O,X,X,O,X,X
TLIOZSJ,X,X,X,X,O,X,X,O,X,X
TLJISZO,O,O,X,O,X,X,X,O,O,O
TLJISOZ,O,O,X,O,X,X,X,O,O,O
TLJIZSO,O,O,O,O,X,O,X,O,O,O
TLJIZOS,O,O,O,X,X,O,X,O,X,X
TLJIOSZ,O,O,X,O,X,X,X,O,O,O
TLJIOZS,O,O,O,X,X,O,X,O,X,X
TLJSIZO,O,O,X,O,X,X,X,O,O,O
TLJSIOZ,O,O,X,O,X,X,X,O,O,O
TLJSZIO,O,O,O,O,X,O,X,O,O,O
TLJSZOI,O,O,O,O,X,O,X,O,X,X
TLJSOIZ,O,O,X,O,X,X,X,O,X,X
TLJSOZI,O,O,O,X,X,O,X,O,X,X
TLJZISO,O,O,O,O,X,O,X,O,X,X
TLJZIOS,O,O,O,O,X,O,X,O,X,X
TLJZSIO,O,O,O,O,X,O,X,O,X,X
TLJZSOI,O,O,O,O,X,O,X,O,X,X
TLJZOIS,O,O,O,O,X,O,X,O,X,X
TLJZOSI,O,O,O,O,X,O,X,O,X,X
TLJOISZ,O,O,X,O,X,X,X,O,X,X
TLJOIZS,O,O,O,X,X,O,X,O,X,X
TLJOSIZ,O,O,X,O,X,X,X,O,X,X
TLJOSZI,O,O,O,X,X,O,X,O,X,X
TLJOZIS,O,O,O,X,X,O,X,O,X,X
TLJOZSI,O,O,O,X,X,O,X,O,X,X
TLSIJZO,O,O,X,X,X,X,O,O,O,O
TLSIJOZ,O,O,X,X,X,X,O,O,O,O
TLSIZJO,O,O,X,X,X,X,O,O,O,O
TLSIZOJ,O,O,X,X,X,X,O,O,O,O
TLSIOJZ,O,O,X,X,X,X,O,O,O,O
TLSIOZJ,O,X,X,X,X,X,O,X,O,O
TLSJIZO,O,O,O,X,X,X,O,O,O,O
TLSJIOZ,O,O,O,X,X,X,O,O,O,O
TLSJZIO,O,O,O,X,X,O,X,O,O,O
TLSJZOI,O,O,O,X,X,O,X,O,X,X
TLSJOIZ,O,O,O,X,X,X,O,O,X,X
TLSJOZI,O,O,O,X,X,O,X,O,X,X
TLSZIJO,O,O,X,X,X,O,O,O,O,O
TLSZIOJ,O,O,X,X,X,O,O,O,O,O
TLSZJIO,O,O,X,X,X,O,X,O,O,O
TLSZJOI,O,O,X,X,X,O,X,O,X,X
