sequence,v115@ShB8DeB8BeC8AeE8JeZEJvhFzfBulBfnB0iB6oBNrB
TILJSZO,O
TILJSOZ,O
TILJZSO,X
TILJZOS,X
TILJOSZ,O
TILJOZS,X
TILSJZO,O
TILSJOZ,O
TILSZJO,O
TILSZOJ,O
TILSOJZ,O
TILSOZJ,O
TILZJSO,X
TILZJOS,X
TILZSJO,X
TILZSOJ,X
TILZOJS,X
TILZOSJ,X
TILOJSZ,O
TILOJZS,X
TILOSJZ,O
TILOSZJ,O
TILOZJS,X
TILOZSJ,X
TIJLSZO,O
TIJLSOZ,O
TIJLZSO,X
TIJLZOS,X
TIJLOSZ,O
TIJLOZS,X
TIJSLZO,O
TIJSLOZ,O
TIJSZLO,O
TIJSZOL,O
TIJSOLZ,O
TIJSOZL,O
TIJZLSO,X
TIJZLOS,X
TIJZSLO,X
TIJZSOL,X
TIJZOLS,X
TIJZOSL,X
TIJOLSZ,O
TIJOLZS,X
TIJOSLZ,O
TIJOSZL,O
TIJOZLS,X
TIJOZSL,X
TISLJZO,O
TISLJOZ,O
TISLZJO,O
TISLZOJ,O
TISLOJZ,O
TISLOZJ,O
TISJLZO,O
TISJLOZ,O
TISJZLO,O
TISJZOL,O
TISJOLZ,O
TISJOZL,O
TISZLJO,O
TISZLOJ,O
TISZJLO,O
TISZJOL,O
TISZOLJ,O
TISZOJL,O
TISOLJZ,O
TISOLZJ,O
TISOJLZ,O
TISOJZL,O
TISOZLJ,O
TISOZJL,O
TIZLJSO,X
TIZLJOS,X
TIZLSJO,X
TIZLSOJ,X
TIZLOJS,X
TIZLOSJ,X
TIZJLSO,X
TIZJLOS,X
TIZJSLO,X
TIZJSOL,X
TIZJOLS,X
TIZJOSL,X
TIZSLJO,X
TIZSLOJ,X
TIZSJLO,X
TIZSJOL,X
TIZSOLJ,X
TIZSOJL,X
TIZOLJS,X
TIZOLSJ,X
TIZOJLS,X
TIZOJSL,X
TIZOSLJ,X
TIZOSJL,X
TIOLJSZ,O
TIOLJZS,X
TIOLSJZ,O
TIOLSZJ,O
TIOLZJS,X
TIOLZSJ,X
TIOJLSZ,O
TIOJLZS,X
TIOJSLZ,O
TIOJSZL,O
TIOJZLS,X
TIOJZSL,X
TIOSLJZ,O
TIOSLZJ,O
TIOSJLZ,O
TIOSJZL,O
TIOSZLJ,O
TIOSZJL,O
TIOZLJS,X
TIOZLSJ,X
TIOZJLS,X
TIOZJSL,X
TIOZSLJ,X
TIOZSJL,X
TLIJSZO,O
TLIJSOZ,O
TLIJZSO,X
TLIJZOS,X
TLIJOSZ,O
TLIJOZS,X
TLISJZO,O
TLISJOZ,O
TLISZJO,O
TLISZOJ,O
TLISOJZ,O
TLISOZJ,O
TLIZJSO,X
TLIZJOS,X
TLIZSJO,X
TLIZSOJ,X
TLIZOJS,X
TLIZOSJ,X
TLIOJSZ,O
TLIOJZS,X
TLIOSJZ,O
TLIOSZJ,O
TLIOZJS,X
TLIOZSJ,X
TLJISZO,O
TLJISOZ,O
TLJIZSO,X
TLJIZOS,X
TLJIOSZ,O
TLJIOZS,X
TLJSIZO,O
TLJSIOZ,O
TLJSZIO,O
TLJSZOI,O
TLJSOIZ,O
TLJSOZI,O
TLJZISO,X
TLJZIOS,X
TLJZSIO,X
TLJZSOI,X
TLJZOIS,X
TLJZOSI,X
TLJOISZ,O
TLJOIZS,X
TLJOSIZ,O
TLJOSZI,O
TLJOZIS,X
TLJOZSI,X
TLSIJZO,O
TLSIJOZ,O
TLSIZJO,O
TLSIZOJ,O
TLSIOJZ,O
TLSIOZJ,O
TLSJIZO,O
TLSJIOZ,O
TLSJZIO,O
TLSJZOI,O
TLSJOIZ,O
TLSJOZI,O
TLSZIJO,O
TLSZIOJ,O
TLSZJIO,O
TLSZJOI,O
TLSZOIJ,O
TLSZOJI,O
TLSOIJZ,O
TLSOIZJ,O
TLSOJIZ,O
TLSOJZI,O
TLSOZIJ,O
TLSOZJI,O
TLZIJSO,X
TLZIJOS,X
TLZISJO,X
TLZISOJ,X
TLZIOJS,X
TLZIOSJ,X
TLZJISO,X
TLZJIOS,X
TLZJSIO,X
TLZJSOI,X
TLZJOIS,X
TLZJOSI,X
TLZSIJO,X
TLZSIOJ,X
TLZSJIO,X
TLZSJOI,X
TLZSOIJ,X
TLZSOJI,X
TLZOIJS,X
TLZOISJ,X
TLZOJIS,X
TLZOJSI,X
TLZOSIJ,X
TLZOSJI,X
TLOIJSZ,O
TLOIJZS,X
TLOISJZ,O
TLOISZJ,O
TLOIZJS,X
TLOIZSJ,X
TLOJISZ,O
TLOJIZS,X
TLOJSIZ,O
TLOJSZI,O
TLOJZIS,X
TLOJZSI,X
TLOSIJZ,O
TLOSIZJ,O
TLOSJIZ,O
TLOSJZI,O
TLOSZIJ,O
TLOSZJI,O
TLOZIJS,X
TLOZISJ,X
TLOZJIS,X
TLOZJSI,X
TLOZSIJ,X
TLOZSJI,X
TJILSZO,O
TJILSOZ,O
TJILZSO,X
TJILZOS,X
TJILOSZ,O
TJILOZS,X
TJISLZO,O
TJISLOZ,O
TJISZLO,O
TJISZOL,O
TJISOLZ,O
TJISOZL,O
TJIZLSO,X
TJIZLOS,X
TJIZSLO,X
TJIZSOL,X
TJIZOLS,X
TJIZOSL,X
TJIOLSZ,O
TJIOLZS,X
TJIOSLZ,O
TJIOSZL,O
TJIOZLS,X
TJIOZSL,X
TJLISZO,O
TJLISOZ,O
TJLIZSO,X
TJLIZOS,X
TJLIOSZ,O
TJLIOZS,X
TJLSIZO,O
TJLSIOZ,O
TJLSZIO,O
TJLSZOI,O
TJLSOIZ,O
TJLSOZI,O
TJLZISO,X
TJLZIOS,X
TJLZSIO,X
TJLZSOI,X
TJLZOIS,X
TJLZOSI,X
TJLOISZ,O
TJLOIZS,X
TJLOSIZ,O
TJLOSZI,O
TJLOZIS,X
TJLOZSI,X
TJSILZO,O
TJSILOZ,O
TJSIZLO,O
TJSIZOL,O
TJSIOLZ,O
TJSIOZL,O
TJSLIZO,O
TJSLIOZ,O
TJSLZIO,O
TJSLZOI,O
TJSLOIZ,O
TJSLOZI,O
TJSZILO,O
TJSZIOL,O
TJSZLIO,O
TJSZLOI,O
TJSZOIL,O
TJSZOLI,O
TJSOILZ,O
TJSOIZL,O
TJSOLIZ,O
TJSOLZI,O
TJSOZIL,O
TJSOZLI,O
TJZILSO,X
TJZILOS,X
TJZISLO,X
TJZISOL,X
TJZIOLS,X
TJZIOSL,X
TJZLISO,X
TJZLIOS,X
TJZLSIO,X
TJZLSOI,X
TJZLOIS,X
TJZLOSI,X
TJZSILO,X
TJZSIOL,X
TJZSLIO,X
TJZSLOI,X
TJZSOIL,X
TJZSOLI,X
TJZOILS,X
TJZOISL,X
TJZOLIS,X
TJZOLSI,X
TJZOSIL,X
TJZOSLI,X
TJOILSZ,O
TJOILZS,X
TJOISLZ,O
TJOISZL,O
TJOIZLS,X
TJOIZSL,X
TJOLISZ,O
TJOLIZS,X
TJOLSIZ,O
TJOLSZI,O
TJOLZIS,X
TJOLZSI,X
TJOSILZ,O
TJOSIZL,O
TJOSLIZ,O
TJOSLZI,O
TJOSZIL,O
TJOSZLI,O
TJOZILS,X
TJOZISL,X
TJOZLIS,X
TJOZLSI,X
TJOZSIL,X
TJOZSLI,X
TSILJZO,O
TSILJOZ,O
TSILZJO,O
TSILZOJ,O
TSILOJZ,O
TSILOZJ,O
TSIJLZO,O
TSIJLOZ,O
TSIJZLO,O
TSIJZOL,O
TSIJOLZ,O
TSIJOZL,O
TSIZLJO,O
TSIZLOJ,O
TSIZJLO,O
TSIZJOL,O
TSIZOLJ,O
TSIZOJL,O
TSIOLJZ,O
TSIOLZJ,O
TSIOJLZ,O
TSIOJZL,O
TSIOZLJ,O
TSIOZJL,O
TSLIJZO,O
TSLIJOZ,O
TSLIZJO,O
TSLIZOJ,O
TSLIOJZ,O
TSLIOZJ,O
TSLJIZO,O
TSLJIOZ,O
TSLJZIO,O
TSLJZOI,O
TSLJOIZ,O
TSLJOZI,O
TSLZIJO,O
TSLZIOJ,O
TSLZJIO,O
TSLZJOI,O
TSLZOIJ,O
TSLZOJI,O
TSLOIJZ,O
TSLOIZJ,O
TSLOJIZ,O
TSLOJZI,O
TSLOZIJ,O
TSLOZJI,O
TSJILZO,O
TSJILOZ,O
TSJIZLO,O
TSJIZOL,O
TSJIOLZ,O
TSJIOZL,O
TSJLIZO,O
TSJLIOZ,O
TSJLZIO,O
TSJLZOI,O
TSJLOIZ,O
TSJLOZI,O
TSJZILO,O
TSJZIOL,O
TSJZLIO,O
TSJZLOI,O
TSJZOIL,O
TSJZOLI,O
TSJOILZ,O
TSJOIZL,O
TSJOLIZ,O
TSJOLZI,O
TSJOZIL,O
TSJOZLI,O
TSZILJO,O
TSZILOJ,O
TSZIJLO,O
TSZIJOL,O
TSZIOLJ,O
TSZIOJL,O
TSZLIJO,O
TSZLIOJ,O
TSZLJIO,O
TSZLJOI,O
TSZLOIJ,O
TSZLOJI,O
TSZJILO,O
TSZJIOL,O
TSZJLIO,O
TSZJLOI,O
TSZJOIL,O
TSZJOLI,O
TSZOILJ,O
TSZOIJL,O
TSZOLIJ,O
TSZOLJI,O
TSZOJIL,O
TSZOJLI,O
TSOILJZ,O
TSOILZJ,O
TSOIJLZ,O
TSOIJZL,O
TSOIZLJ,O
TSOIZJL,O
TSOLIJZ,O
TSOLIZJ,O
TSOLJIZ,O
TSOLJZI,O
TSOLZIJ,O
TSOLZJI,O
TSOJILZ,O
TSOJIZL,O
TSOJLIZ,O
TSOJLZI,O
TSOJZIL,O
TSOJZLI,O
TSOZILJ,O
TSOZIJL,O
TSOZLIJ,O
TSOZLJI,O
TSOZJIL,O
TSOZJLI,O
TZILJSO,X
TZILJOS,X
TZILSJO,X
TZILSOJ,X
TZILOJS,X
TZILOSJ,X
TZIJLSO,X
TZIJLOS,X
TZIJSLO,X
TZIJSOL,X
TZIJOLS,X
TZIJOSL,X
TZISLJO,X
TZISLOJ,X
TZISJLO,X
TZISJOL,X
TZISOLJ,X
TZISOJL,X
TZIOLJS,X
TZIOLSJ,X
TZIOJLS,X
TZIOJSL,X
TZIOSLJ,X
TZIOSJL,X
TZLIJSO,X
TZLIJOS,X
TZLISJO,X
TZLISOJ,X
TZLIOJS,X
TZLIOSJ,X
TZLJISO,X
TZLJIOS,X
TZLJSIO,X
TZLJSOI,X
TZLJOIS,X
TZLJOSI,X
TZLSIJO,X
TZLSIOJ,X
TZLSJIO,X
TZLSJOI,X
TZLSOIJ,X
TZLSOJI,X
TZLOIJS,X
TZLOISJ,X
TZLOJIS,X
TZLOJSI,X
TZLOSIJ,X
TZLOSJI,X
TZJILSO,X
TZJILOS,X
TZJISLO,X
TZJISOL,X
TZJIOLS,X
TZJIOSL,X
TZJLISO,X
TZJLIOS,X
TZJLSIO,X
TZJLSOI,X
TZJLOIS,X
TZJLOSI,X
TZJSILO,X
TZJSIOL,X
TZJSLIO,X
TZJSLOI,X
TZJSOIL,X
TZJSOLI,X
TZJOILS,X
TZJOISL,X
TZJOLIS,X
TZJOLSI,X
TZJOSIL,X
TZJOSLI,X
TZSILJO,X
TZSILOJ,X
TZSIJLO,X
TZSIJOL,X
TZSIOLJ,X
TZSIOJL,X
TZSLIJO,X
TZSLIOJ,X
TZSLJIO,X
TZSLJOI,X
TZSLOIJ,X
TZSLOJI,X
TZSJILO,X
TZSJIOL,X
TZSJLIO,X
TZSJLOI,X
TZSJOIL,X
TZSJOLI,X
TZSOILJ,X
TZSOIJL,X
TZSOLIJ,X
TZSOLJI,X
TZSOJIL,X
TZSOJLI,X
TZOILJS,X
TZOILSJ,X
TZOIJLS,X
TZOIJSL,X
TZOISLJ,X
TZOISJL,X
TZOLIJS,X
TZOLISJ,X
TZOLJIS,X
TZOLJSI,X
TZOLSIJ,X
TZOLSJI,X
TZOJILS,X
TZOJISL,X
TZOJLIS,X
TZOJLSI,X
TZOJSIL,X
TZOJSLI,X
TZOSILJ,X
TZOSIJL,X
TZOSLIJ,X
TZOSLJI,X
TZOSJIL,X
TZOSJLI,X
TOILJSZ,O
TOILJZS,X
TOILSJZ,O
TOILSZJ,O
TOILZJS,X
TOILZSJ,X
TOIJLSZ,O
TOIJLZS,X
TOIJSLZ,O
TOIJSZL,O
TOIJZLS,X
TOIJZSL,X
TOISLJZ,O
TOISLZJ,O
TOISJLZ,O
TOISJZL,O
TOISZLJ,O
TOISZJL,O
TOIZLJS,X
TOIZLSJ,X
TOIZJLS,X
TOIZJSL,X
TOIZSLJ,X
TOIZSJL,X
TOLIJSZ,O
TOLIJZS,X
TOLISJZ,O
TOLISZJ,O
TOLIZJS,X
TOLIZSJ,X
TOLJISZ,O
TOLJIZS,X
TOLJSIZ,O
TOLJSZI,O
TOLJZIS,X
TOLJZSI,X
TOLSIJZ,O
TOLSIZJ,O
TOLSJIZ,O
TOLSJZI,O
TOLSZIJ,O
TOLSZJI,O
TOLZIJS,X
TOLZISJ,X
TOLZJIS,X
TOLZJSI,X
TOLZSIJ,X
TOLZSJI,X
TOJILSZ,O
TOJILZS,X
TOJISLZ,O
TOJISZL,O
TOJIZLS,X
TOJIZSL,X
TOJLISZ,O
TOJLIZS,X
TOJLSIZ,O
TOJLSZI,O
TOJLZIS,X
TOJLZSI,X
TOJSILZ,O
TOJSIZL,O
TOJSLIZ,O
TOJSLZI,O
TOJSZIL,O
TOJSZLI,O
TOJZILS,X
TOJZISL,X
TOJZLIS,X
TOJZLSI,X
TOJZSIL,X
TOJZSLI,X
TOSILJZ,O
TOSILZJ,O
TOSIJLZ,O
TOSIJZL,O
TOSIZLJ,O
TOSIZJL,O
TOSLIJZ,O
TOSLIZJ,O
TOSLJIZ,O
