sequence,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFNgB/iBajB5jB0k?B2uB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFmdB5jBXgB0iBaq?BTpB,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFNgBmdB5jB0iBKp?BfqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhF/iBajB5jBckBzp?BOpB,v115@2gC8HeB8GeD8FeF8DeG8Je//IvhFUbBidB5jBziBNp?BeqB,v115@2gC8HeB8GeD8FeF8DeG8Je//IvhFUbBTdBejB5jBKp?BdqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhFxdBOkB0iB6oBfq?BTpB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFUbBTdBejB5jB3k?ByuB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFmdB5jBXgB0iBip?BzpB,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFmdB5jB0iBikB3p?BNqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhFyiB5jBOkB0iBfq?BTpB
TSJIZLO,O,O,X,X,X,X,O,X,O,X,O
TSJIZOL,O,O,X,X,X,X,X,X,O,X,X
TSJIOLZ,O,X,X,O,X,X,X,X,X,X,O
TSJIOZL,O,X,X,O,X,X,X,X,X,X,X
TSJLIZO,O,X,X,X,X,X,O,X,X,X,O
TSJLIOZ,O,X,X,O,X,X,X,X,X,X,O
TSJLZIO,O,X,X,X,X,X,O,X,X,X,O
TSJLZOI,O,X,X,X,X,X,O,X,X,X,X
TSJLOIZ,O,X,X,O,X,X,X,X,X,X,O
TSJLOZI,O,X,X,O,X,X,O,X,X,X,X
TSJZILO,O,O,X,X,X,X,O,X,O,X,O
TSJZIOL,O,O,X,X,X,X,X,X,O,X,X
TSJZLIO,O,O,X,X,X,X,O,X,O,X,O
TSJZLOI,O,X,X,X,X,X,O,X,X,X,X
TSJZOIL,O,O,X,X,X,X,X,X,O,X,X
TSJZOLI,O,X,X,X,X,X,O,X,X,X,X
TSJOILZ,O,X,X,O,X,X,X,X,X,X,O
TSJOIZL,O,X,X,O,X,X,X,X,X,X,X
TSJOLIZ,O,X,X,O,X,X,X,X,X,X,O
TSJOLZI,O,X,X,O,X,X,O,X,X,X,X
TSJOZIL,O,X,X,O,X,X,X,X,X,X,X
TSJOZLI,O,X,X,O,X,X,O,X,X,X,X
TSZILJO,O,O,X,X,X,X,O,X,O,O,O
TSZILOJ,X,X,X,O,X,X,O,X,X,O,X
TSZIJLO,O,O,X,X,X,X,O,X,O,O,O
TSZIJOL,O,O,X,X,X,X,X,X,O,X,X
TSZIOLJ,X,X,X,O,X,X,X,X,X,X,X
TSZIOJL,X,O,X,O,X,X,X,X,O,X,X
TSZLIJO,O,O,X,X,X,X,O,X,O,O,O
TSZLIOJ,X,X,X,O,X,X,O,X,X,O,X
TSZLJIO,O,O,X,X,X,X,O,X,O,O,O
TSZLJOI,O,X,X,X,X,X,O,X,X,X,X
TSZLOIJ,X,X,X,O,X,X,O,X,X,X,X
TSZLOJI,X,X,X,O,X,X,O,X,X,X,X
TSZJILO,O,O,X,X,X,X,O,X,O,O,O
TSZJIOL,O,O,X,X,X,X,X,X,O,X,X
TSZJLIO,O,O,X,X,X,X,O,X,O,O,O
TSZJLOI,O,X,X,X,X,X,O,X,X,X,X
TSZJOIL,O,O,X,X,X,X,X,X,O,X,X
TSZJOLI,O,X,X,X,X,X,O,X,X,X,X
TSZOILJ,X,X,X,O,X,X,X,X,X,X,X
TSZOIJL,X,O,X,O,X,X,X,X,O,X,X
TSZOLIJ,X,X,X,O,X,X,O,X,X,X,X
TSZOLJI,X,X,X,O,X,X,O,X,X,X,X
TSZOJIL,X,O,X,O,X,X,X,X,O,X,X
TSZOJLI,X,X,X,O,X,X,O,X,X,X,X
TSOILJZ,O,X,X,O,X,X,X,X,X,X,O
TSOILZJ,X,X,X,O,X,X,X,X,X,X,X
TSOIJLZ,O,X,X,O,X,X,X,X,X,X,O
TSOIJZL,O,X,X,O,X,X,X,X,X,X,X
TSOIZLJ,X,X,X,O,X,X,X,X,X,X,X
TSOIZJL,X,O,X,O,X,X,X,X,O,X,X
TSOLIJZ,O,X,X,O,X,X,X,X,X,X,O
TSOLIZJ,X,X,X,O,X,X,X,X,X,X,X
TSOLJIZ,O,X,X,O,X,X,X,X,X,X,O
TSOLJZI,O,X,X,O,X,X,O,X,X,X,X
TSOLZIJ,X,X,X,O,X,X,O,X,X,X,X
TSOLZJI,X,X,X,O,X,X,O,X,X,X,X
TSOJILZ,O,X,X,O,X,X,X,X,X,X,O
TSOJIZL,O,X,X,O,X,X,X,X,X,X,X
TSOJLIZ,O,X,X,O,X,X,X,X,X,X,O
TSOJLZI,O,X,X,O,X,X,O,X,X,X,X
TSOJZIL,O,X,X,O,X,X,X,X,X,X,X
TSOJZLI,O,X,X,O,X,X,O,X,X,X,X
TSOZILJ,X,X,X,O,X,X,X,X,X,X,X
TSOZIJL,X,O,X,O,X,X,X,X,O,X,X
TSOZLIJ,X,X,X,O,X,X,O,X,X,X,X
TSOZLJI,X,X,X,O,X,X,O,X,X,X,X
TSOZJIL,X,O,X,O,X,X,X,X,O,X,X
TSOZJLI,X,X,X,O,X,X,O,X,X,X,X
TZILJSO,X,X,O,X,X,X,O,X,O,X,X
TZILJOS,X,X,X,X,X,X,X,X,O,X,X
TZILSJO,X,X,O,X,X,X,O,X,O,X,O
TZILSOJ,X,X,O,X,X,X,O,X,O,X,X
TZILOJS,X,X,X,X,X,X,X,X,O,X,X
TZILOSJ,X,X,X,X,X,X,O,X,O,X,X
TZIJLSO,O,X,O,X,X,X,X,X,O,X,X
TZIJLOS,O,X,X,X,X,X,X,X,O,X,X
TZIJSLO,O,O,X,X,X,X,X,X,O,O,X
TZIJSOL,O,O,X,X,X,X,X,X,O,X,X
TZIJOLS,O,O,X,X,X,X,X,X,X,X,X
TZIJOSL,O,O,X,X,X,X,X,X,X,X,X
TZISLJO,O,O,X,X,X,X,O,X,O,O,O
TZISLOJ,X,X,X,O,X,X,O,X,X,O,X
TZISJLO,O,O,X,X,X,X,O,X,O,O,O
TZISJOL,O,O,X,X,X,X,X,X,O,X,X
TZISOLJ,X,X,X,O,X,X,X,X,X,X,X
TZISOJL,X,O,X,O,X,X,X,X,O,X,X
TZIOLJS,X,O,X,X,X,X,X,X,X,X,X
TZIOLSJ,X,O,X,O,X,X,X,X,X,X,X
TZIOJLS,X,O,X,X,X,X,X,X,X,X,X
TZIOJSL,X,O,X,O,X,X,X,X,X,X,X
TZIOSLJ,X,O,X,O,X,X,X,X,X,X,X
TZIOSJL,X,O,X,O,X,X,X,X,X,X,X
TZLIJSO,X,X,O,X,X,X,O,X,O,X,X
TZLIJOS,X,X,X,X,X,X,X,X,O,X,X
TZLISJO,X,X,O,X,X,X,O,X,O,X,O
TZLISOJ,X,X,O,X,X,X,O,X,O,X,X
TZLIOJS,X,X,X,X,X,X,X,X,O,X,X
TZLIOSJ,X,X,X,X,X,X,O,X,O,X,X
TZLJISO,X,X,O,X,X,X,O,X,O,X,X
TZLJIOS,X,X,X,X,X,X,X,X,O,X,X
TZLJSIO,X,X,O,X,X,X,O,X,O,X,X
TZLJSOI,X,X,O,X,X,X,O,X,O,X,X
TZLJOIS,X,X,X,X,X,X,X,X,O,X,X
TZLJOSI,X,X,X,X,X,X,X,X,O,X,X
TZLSIJO,X,X,O,X,X,X,O,X,O,X,O
TZLSIOJ,X,X,O,X,X,X,O,X,O,X,X
TZLSJIO,X,X,O,X,X,X,O,X,O,X,O
TZLSJOI,X,X,O,X,X,X,O,X,O,X,X
TZLSOIJ,X,X,O,X,X,X,O,X,O,X,X
TZLSOJI,X,X,O,X,X,X,O,X,O,X,X
TZLOIJS,X,X,X,X,X,X,X,X,O,X,X
TZLOISJ,X,X,X,X,X,X,O,X,O,X,X
TZLOJIS,X,X,X,X,X,X,X,X,O,X,X
TZLOJSI,X,X,X,X,X,X,X,X,O,X,X
TZLOSIJ,X,X,X,X,X,X,O,X,O,X,X
TZLOSJI,X,X,X,X,X,X,O,X,O,X,X
TZJILSO,O,X,O,X,X,X,X,X,O,X,X
TZJILOS,O,X,X,X,X,X,X,X,O,X,X
TZJISLO,O,O,X,X,X,X,X,X,O,O,X
TZJISOL,O,O,X,X,X,X,X,X,O,X,X
TZJIOLS,O,O,X,X,X,X,X,X,X,X,X
TZJIOSL,O,O,X,X,X,X,X,X,X,X,X
TZJLISO,O,X,O,X,X,X,O,X,O,X,X
TZJLIOS,O,X,X,X,X,X,X,X,O,X,X
TZJLSIO,O,X,O,X,X,X,O,X,O,X,X
TZJLSOI,O,X,O,X,X,X,O,X,O,X,X
TZJLOIS,O,X,X,X,X,X,X,X,O,X,X
TZJLOSI,O,X,X,X,X,X,X,X,O,X,X
TZJSILO,O,O,X,X,X,X,O,X,O,O,X
TZJSIOL,O,O,X,X,X,X,X,X,O,X,X
TZJSLIO,O,O,X,X,X,X,O,X,O,O,X
TZJSLOI,O,X,X,X,X,X,O,X,X,X,X
TZJSOIL,O,O,X,X,X,X,X,X,O,X,X
TZJSOLI,O,X,X,X,X,X,O,X,X,X,X
TZJOILS,O,O,X,X,X,X,X,X,X,X,X
TZJOISL,O,O,X,X,X,X,X,X,X,X,X
TZJOLIS,O,O,X,X,X,X,X,X,X,X,X
TZJOLSI,O,O,X,X,X,X,X,X,X,X,X
TZJOSIL,O,O,X,X,X,X,X,X,X,X,X
TZJOSLI,O,O,X,X,X,X,X,X,X,X,X
TZSILJO,O,O,X,X,X,X,O,X,O,O,O
TZSILOJ,X,X,X,O,X,X,O,X,X,O,X
TZSIJLO,O,O,X,X,X,X,O,X,O,O,O
TZSIJOL,O,O,X,X,X,X,X,X,O,X,X
TZSIOLJ,X,X,X,O,X,X,X,X,X,X,X
TZSIOJL,X,O,X,O,X,X,X,X,O,X,X
TZSLIJO,O,O,X,X,X,X,O,X,O,O,O
TZSLIOJ,X,X,X,O,X,X,O,X,X,O,X
TZSLJIO,O,O,X,X,X,X,O,X,O,O,O
TZSLJOI,O,X,X,X,X,X,O,X,X,X,X
TZSLOIJ,X,X,X,O,X,X,O,X,X,X,X
TZSLOJI,X,X,X,O,X,X,O,X,X,X,X
TZSJILO,O,O,X,X,X,X,O,X,O,O,O
TZSJIOL,O,O,X,X,X,X,X,X,O,X,X
TZSJLIO,O,O,X,X,X,X,O,X,O,O,O
TZSJLOI,O,X,X,X,X,X,O,X,X,X,X
TZSJOIL,O,O,X,X,X,X,X,X,O,X,X
TZSJOLI,O,X,X,X,X,X,O,X,X,X,X
TZSOILJ,X,X,X,O,X,X,X,X,X,X,X
TZSOIJL,X,O,X,O,X,X,X,X,O,X,X
TZSOLIJ,X,X,X,O,X,X,O,X,X,X,X
TZSOLJI,X,X,X,O,X,X,O,X,X,X,X
TZSOJIL,X,O,X,O,X,X,X,X,O,X,X
TZSOJLI,X,X,X,O,X,X,O,X,X,X,X
TZOILJS,X,O,X,X,X,X,X,X,X,X,X
TZOILSJ,X,O,X,O,X,X,X,X,X,X,X
TZOIJLS,X,O,X,X,X,X,X,X,X,X,X
TZOIJSL,X,O,X,O,X,X,X,X,X,X,X
TZOISLJ,X,O,X,O,X,X,X,X,X,X,X
TZOISJL,X,O,X,O,X,X,X,X,X,X,X
TZOLIJS,X,O,X,X,X,X,X,X,X,X,X
TZOLISJ,X,O,X,O,X,X,O,X,X,X,X
TZOLJIS,X,O,X,X,X,X,X,X,X,X,X
TZOLJSI,X,O,X,X,X,X,X,X,X,X,X
TZOLSIJ,X,O,X,O,X,X,O,X,X,X,X
TZOLSJI,X,O,X,O,X,X,O,X,X,X,X
TZOJILS,X,O,X,X,X,X,X,X,X,X,X
TZOJISL,X,O,X,O,X,X,X,X,X,X,X
TZOJLIS,X,O,X,X,X,X,X,X,X,X,X
TZOJLSI,X,O,X,X,X,X,X,X,X,X,X
TZOJSIL,X,O,X,O,X,X,X,X,X,X,X
TZOJSLI,X,O,X,O,X,X,X,X,X,X,X
TZOSILJ,X,O,X,O,X,X,X,X,X,X,X
TZOSIJL,X,O,X,O,X,X,X,X,X,X,X
TZOSLIJ,X,O,X,O,X,X,O,X,X,X,X
TZOSLJI,X,O,X,O,X,X,O,X,X,X,X
TZOSJIL,X,O,X,O,X,X,X,X,X,X,X
TZOSJLI,X,O,X,O,X,X,O,X,X,X,X
TOILJSZ,X,X,X,X,O,X,X,X,X,X,X
TOILJZS,X,X,X,X,O,X,X,X,X,X,X
TOILSJZ,X,X,X,O,X,X,X,X,X,X,O
TOILSZJ,X,O,X,O,X,X,X,X,X,X,X
TOILZJS,X,O,X,X,X,X,X,X,X,X,X
TOILZSJ,X,O,X,O,X,X,X,X,X,X,X
TOIJLSZ,X,X,X,X,O,X,X,X,X,X,X
TOIJLZS,X,X,X,X,O,X,X,X,X,X,X
TOIJSLZ,O,X,X,O,O,X,X,X,X,X,X
TOIJSZL,O,O,X,O,O,X,X,X,X,X,X
TOIJZLS,O,O,X,X,O,X,X,X,X,X,X
TOIJZSL,O,O,X,O,O,X,X,X,X,X,X
TOISLJZ,O,X,X,O,X,X,X,X,X,X,O
TOISLZJ,X,O,X,O,X,X,X,X,X,X,X
TOISJLZ,O,X,X,O,X,X,X,X,X,X,O
TOISJZL,O,O,X,O,X,X,X,X,X,X,X
TOISZLJ,X,O,X,O,X,X,X,X,X,X,X
TOISZJL,X,O,X,O,X,X,X,X,X,X,X
TOIZLJS,X,O,X,X,X,X,X,X,X,X,X
TOIZLSJ,X,O,X,O,X,X,X,X,X,X,X
TOIZJLS,X,O,X,X,X,X,X,X,X,X,X
TOIZJSL,X,O,X,O,X,X,X,X,X,X,X
TOIZSLJ,X,O,X,O,X,X,X,X,X,X,X
TOIZSJL,X,O,X,O,X,X,X,X,X,X,X
TOLIJSZ,X,X,X,X,O,O,X,X,X,X,X
TOLIJZS,X,X,X,X,O,O,X,X,X,X,X
TOLISJZ,X,X,X,O,X,O,X,X,X,X,O
TOLISZJ,X,O,X,O,X,O,X,X,X,X,X
TOLIZJS,X,O,X,X,X,X,X,X,X,X,X
TOLIZSJ,X,O,X,O,X,X,X,X,X,X,X
TOLJISZ,X,X,X,X,O,O,X,O,X,X,X
TOLJIZS,X,X,X,X,O,O,X,X,X,X,X
TOLJSIZ,X,X,X,X,O,O,X,O,X,X,X
TOLJSZI,X,X,X,X,O,O,X,O,X,X,X
TOLJZIS,X,X,X,X,O,O,X,X,X,X,X
TOLJZSI,X,X,X,X,O,O,X,X,X,X,X
TOLSIJZ,X,X,X,O,X,O,X,O,X,X,O
TOLSIZJ,X,O,X,O,X,O,X,O,X,X,X
TOLSJIZ,X,X,X,O,X,O,X,O,X,X,O
TOLSJZI,X,X,X,O,X,O,O,O,X,X,X
TOLSZIJ,X,O,X,O,X,O,O,O,X,X,X
TOLSZJI,X,O,X,O,X,O,O,O,X,X,X
TOLZIJS,X,O,X,X,X,X,X,X,X,X,X
TOLZISJ,X,O,X,O,X,X,O,X,X,X,X
TOLZJIS,X,O,X,X,X,O,X,X,X,X,X
TOLZJSI,X,O,X,X,X,O,X,X,X,X,X
TOLZSIJ,X,O,X,O,X,O,O,X,X,X,X
TOLZSJI,X,O,X,O,X,O,O,X,X,X,X
TOJILSZ,X,X,X,X,O,O,X,O,X,X,X
TOJILZS,X,X,X,X,O,O,X,X,X,X,X
TOJISLZ,O,X,X,O,O,X,X,X,X,X,X
TOJISZL,O,O,X,O,O,X,X,X,X,X,X
TOJIZLS,O,O,X,X,O,X,X,X,X,X,X
TOJIZSL,O,O,X,O,O,X,X,X,X,X,X
TOJLISZ,X,X,X,X,O,O,X,O,X,X,X
TOJLIZS,X,X,X,X,O,O,X,X,X,X,X
TOJLSIZ,X,X,X,X,O,O,X,O,X,X,X
TOJLSZI,X,X,X,X,O,O,X,O,X,X,X
TOJLZIS,X,X,X,X,O,O,X,X,X,X,X
TOJLZSI,X,X,X,X,O,O,X,X,X,X,X
TOJSILZ,O,X,X,O,O,X,X,X,X,X,X
TOJSIZL,O,O,X,O,O,X,X,X,X,X,X
TOJSLIZ,O,X,X,O,O,X,X,X,X,X,X
TOJSLZI,O,X,X,O,O,X,X,X,X,X,X
TOJSZIL,O,O,X,O,O,X,X,X,X,X,X
TOJSZLI,O,O,X,O,O,X,X,X,X,X,X
TOJZILS,O,O,X,X,O,X,X,X,X,X,X
TOJZISL,O,O,X,O,O,X,X,X,X,X,X
TOJZLIS,O,O,X,X,O,X,X,X,X,X,X
TOJZLSI,O,O,X,X,O,X,X,X,X,X,X
TOJZSIL,O,O,X,O,O,X,X,X,X,X,X
TOJZSLI,O,O,X,O,O,X,X,X,X,X,X
TOSILJZ,O,X,X,O,X,X,X,X,X,X,O
TOSILZJ,X,O,X,O,X,X,X,X,X,X,X
TOSIJLZ,O,X,X,O,X,X,X,X,X,X,O
TOSIJZL,O,O,X,O,X,X,X,X,X,X,X
TOSIZLJ,X,O,X,O,X,X,X,X,X,X,X
TOSIZJL,X,O,X,O,X,X,X,X,X,X,X
TOSLIJZ,O,X,X,O,X,X,X,X,X,X,O
TOSLIZJ,X,O,X,O,X,X,X,X,X,X,X
TOSLJIZ,O,X,X,O,X,X,X,X,X,X,O
TOSLJZI,O,X,X,O,X,X,O,X,X,X,X
TOSLZIJ,X,O,X,O,X,X,O,X,X,X,X
TOSLZJI,X,O,X,O,X,X,O,X,X,X,X
TOSJILZ,O,X,X,O,X,X,X,X,X,X,O
TOSJIZL,O,O,X,O,X,X,X,X,X,X,X
TOSJLIZ,O,X,X,O,X,X,X,X,X,X,O
TOSJLZI,O,X,X,O,X,X,O,X,X,X,X
TOSJZIL,O,O,X,O,X,X,X,X,X,X,X
TOSJZLI,O,O,X,O,X,X,O,X,X,X,X
TOSZILJ,X,O,X,O,X,X,X,X,X,X,X
TOSZIJL,X,O,X,O,X,X,X,X,X,X,X
TOSZLIJ,X,O,X,O,X,X,O,X,X,X,X
TOSZLJI,X,O,X,O,X,X,O,X,X,X,X
TOSZJIL,X,O,X,O,X,X,X,X,X,X,X
TOSZJLI,X,O,X,O,X,X,O,X,X,X,X
TOZILJS,X,O,X,X,X,X,X,X,X,X,X
TOZILSJ,X,O,X,O,X,X,X,X,X,X,X
TOZIJLS,X,O,X,X,X,X,X,X,X,X,X
TOZIJSL,X,O,X,O,X,X,X,X,X,X,X
TOZISLJ,X,O,X,O,X,X,X,X,X,X,X
TOZISJL,X,O,X,O,X,X,X,X,X,X,X
TOZLIJS,X,O,X,X,X,X,X,X,X,X,X
TOZLISJ,X,O,X,O,X,X,O,X,X,X,X
TOZLJIS,X,O,X,X,X,X,X,X,X,X,X
TOZLJSI,X,O,X,X,X,X,X,X,X,X,X
TOZLSIJ,X,O,X,O,X,X,O,X,X,X,X
TOZLSJI,X,O,X,O,X,X,O,X,X,X,X
TOZJILS,X,O,X,X,X,X,X,X,X,X,X
TOZJISL,X,O,X,O,X,X,X,X,X,X,X
TOZJLIS,X,O,X,X,X,X,X,X,X,X,X
TOZJLSI,X,O,X,X,X,X,X,X,X,X,X
TOZJSIL,X,O,X,O,X,X,X,X,X,X,X
TOZJSLI,X,O,X,O,X,X,X,X,X,X,X
TOZSILJ,X,O,X,O,X,X,X,X,X,X,X
TOZSIJL,X,O,X,O,X,X,X,X,X,X,X
TOZSLIJ,X,O,X,O,X,X,O,X,X,X,X
TOZSLJI,X,O,X,O,X,X,O,X,X,X,X
TOZSJIL,X,O,X,O,X,X,X,X,X,X,X
TOZSJLI,X,O,X,O,X,X,O,X,X,X,X
ITLJSZO,O,X,X,X,O,O,X,O,O,X,O
ITLJSOZ,O,X,X,X,O,O,X,O,X,X,O
ITLJZSO,O,X,X,X,O,O,X,X,O,X,X
ITLJZOS,O,X,X,X,X,O,X,X,O,X,X
ITLJOSZ,X,X,X,X,O,O,X,O,X,X,X
ITLJOZS,X,X,X,X,X,O,X,X,X,X,X
ITLSJZO,O,X,O,X,X,O,O,O,O,X,O
ITLSJOZ,O,X,O,O,X,O,X,O,X,X,O
ITLSZJO,O,X,O,X,X,O,O,O,O,X,O
ITLSZOJ,X,X,O,O,X,O,O,O,O,X,X
ITLSOJZ,O,X,O,O,X,O,X,O,X,X,O
ITLSOZJ,X,X,O,O,X,O,X,O,O,X,X
ITLZJSO,X,X,O,X,X,O,O,X,O,X,X
ITLZJOS,X,X,X,X,X,O,X,X,O,X,X
ITLZSJO,X,X,O,X,X,O,O,X,O,X,O
ITLZSOJ,X,X,O,X,X,O,O,X,O,X,X
ITLZOJS,X,X,X,X,X,X,X,X,O,X,X
ITLZOSJ,X,X,X,X,X,X,O,X,O,X,X
ITLOJSZ,X,X,X,X,X,O,X,X,X,X,X
ITLOJZS,X,X,X,X,X,O,X,X,X,X,X
ITLOSJZ,X,X,X,O,X,O,X,X,X,X,O
ITLOSZJ,X,X,X,O,X,O,X,X,O,X,X
ITLOZJS,X,X,X,X,X,X,X,X,O,X,X
ITLOZSJ,X,X,X,O,X,X,X,X,O,X,X
ITJLSZO,O,X,X,X,O,O,X,O,X,X,O
ITJLSOZ,O,X,X,X,O,O,X,O,X,X,O
ITJLZSO,O,X,X,X,O,O,X,X,X,X,X
ITJLZOS,O,X,X,X,X,O,X,X,X,X,X
ITJLOSZ,X,X,X,X,O,O,X,O,X,X,X
ITJLOZS,X,X,X,X,O,O,X,X,X,X,X
ITJSLZO,O,X,X,X,O,X,X,X,X,X,O
ITJSLOZ,O,X,X,O,O,X,X,X,X,X,O
ITJSZLO,O,X,X,X,O,X,X,X,X,X,O
ITJSZOL,O,X,X,X,O,X,X,X,X,X,X
ITJSOLZ,O,X,X,O,O,X,X,X,X,X,O
ITJSOZL,O,X,X,O,O,X,X,X,X,X,X
ITJZLSO,O,X,X,X,O,X,X,X,X,X,X
ITJZLOS,O,X,X,X,X,X,X,X,X,X,X
ITJZSLO,O,X,X,X,O,X,X,X,X,X,X
ITJZSOL,O,X,X,X,O,X,X,X,X,X,X
ITJZOLS,O,X,X,X,O,X,X,X,X,X,X
ITJZOSL,O,X,X,X,O,X,X,X,X,X,X
ITJOLSZ,X,X,X,X,O,O,X,O,X,X,X
ITJOLZS,X,X,X,X,O,O,X,X,X,X,X
ITJOSLZ,O,X,X,O,O,X,X,X,X,X,X
ITJOSZL,O,X,X,O,O,X,X,X,X,X,X
ITJOZLS,O,X,X,X,O,X,X,X,X,X,X
ITJOZSL,O,X,X,O,O,X,X,X,X,X,X
ITSLJZO,O,X,X,X,X,X,O,X,X,X,O
ITSLJOZ,O,X,X,O,X,X,X,X,X,X,O
ITSLZJO,O,O,X,X,X,X,O,X,O,O,O
ITSLZOJ,X,X,X,O,X,X,O,X,X,O,X
ITSLOJZ,O,X,X,O,X,X,X,X,X,X,O
ITSLOZJ,X,X,X,O,X,X,X,X,X,X,X
ITSJLZO,O,X,X,X,X,X,O,X,X,X,O
ITSJLOZ,O,X,X,O,X,X,X,X,X,X,O
ITSJZLO,O,O,X,X,X,X,O,X,O,X,O
ITSJZOL,O,O,X,X,X,X,X,X,O,X,X
ITSJOLZ,O,X,X,O,X,X,X,X,X,X,O
ITSJOZL,O,X,X,O,X,X,X,X,X,X,X
ITSZLJO,O,O,X,X,X,X,O,X,O,O,O
ITSZLOJ,X,X,X,O,X,X,O,X,X,O,X
ITSZJLO,O,O,X,X,X,X,O,X,O,O,O
ITSZJOL,O,O,X,X,X,X,X,X,O,X,X
ITSZOLJ,X,X,X,O,X,X,X,X,X,X,X
ITSZOJL,X,O,X,O,X,X,X,X,O,X,X
ITSOLJZ,O,X,X,O,X,X,X,X,X,X,O
ITSOLZJ,X,X,X,O,X,X,X,X,X,X,X
ITSOJLZ,O,X,X,O,X,X,X,X,X,X,O
ITSOJZL,O,X,X,O,X,X,X,X,X,X,X
ITSOZLJ,X,X,X,O,X,X,X,X,X,X,X
ITSOZJL,X,O,X,O,X,X,X,X,O,X,X
ITZLJSO,X,X,O,X,X,X,O,X,O,X,X
ITZLJOS,X,X,X,X,X,X,X,X,O,X,X
ITZLSJO,X,X,O,X,X,X,O,X,O,X,O
ITZLSOJ,X,X,O,X,X,X,O,X,O,X,X
ITZLOJS,X,X,X,X,X,X,X,X,O,X,X
ITZLOSJ,X,X,X,X,X,X,O,X,O,X,X
ITZJLSO,O,X,O,X,X,X,X,X,O,X,X
ITZJLOS,O,X,X,X,X,X,X,X,O,X,X
ITZJSLO,O,O,X,X,X,X,X,X,O,O,X
ITZJSOL,O,O,X,X,X,X,X,X,O,X,X
ITZJOLS,O,O,X,X,X,X,X,X,X,X,X
ITZJOSL,O,O,X,X,X,X,X,X,X,X,X
ITZSLJO,O,O,X,X,X,X,O,X,O,O,O
ITZSLOJ,X,X,X,O,X,X,O,X,X,O,X
ITZSJLO,O,O,X,X,X,X,O,X,O,O,O
ITZSJOL,O,O,X,X,X,X,X,X,O,X,X
ITZSOLJ,X,X,X,O,X,X,X,X,X,X,X
ITZSOJL,X,O,X,O,X,X,X,X,O,X,X
ITZOLJS,X,O,X,X,X,X,X,X,X,X,X
ITZOLSJ,X,O,X,O,X,X,X,X,X,X,X
ITZOJLS,X,O,X,X,X,X,X,X,X,X,X
ITZOJSL,X,O,X,O,X,X,X,X,X,X,X
ITZOSLJ,X,O,X,O,X,X,X,X,X,X,X
ITZOSJL,X,O,X,O,X,X,X,X,X,X,X
ITOLJSZ,X,X,X,X,O,X,X,X,X,X,X
ITOLJZS,X,X,X,X,O,X,X,X,X,X,X
ITOLSJZ,X,X,X,O,X,X,X,X,X,X,O
ITOLSZJ,X,O,X,O,X,X,X,X,X,X,X
ITOLZJS,X,O,X,X,X,X,X,X,X,X,X
ITOLZSJ,X,O,X,O,X,X,X,X,X,X,X
ITOJLSZ,X,X,X,X,O,X,X,X,X,X,X
ITOJLZS,X,X,X,X,O,X,X,X,X,X,X
ITOJSLZ,O,X,X,O,O,X,X,X,X,X,X
ITOJSZL,O,O,X,O,O,X,X,X,X,X,X
ITOJZLS,O,O,X,X,O,X,X,X,X,X,X
ITOJZSL,O,O,X,O,O,X,X,X,X,X,X
ITOSLJZ,O,X,X,O,X,X,X,X,X,X,O
ITOSLZJ,X,O,X,O,X,X,X,X,X,X,X
ITOSJLZ,O,X,X,O,X,X,X,X,X,X,O
ITOSJZL,O,O,X,O,X,X,X,X,X,X,X
ITOSZLJ,X,O,X,O,X,X,X,X,X,X,X
ITOSZJL,X,O,X,O,X,X,X,X,X,X,X
ITOZLJS,X,O,X,X,X,X,X,X,X,X,X
ITOZLSJ,X,O,X,O,X,X,X,X,X,X,X
ITOZJLS,X,O,X,X,X,X,X,X,X,X,X
ITOZJSL,X,O,X,O,X,X,X,X,X,X,X
ITOZSLJ,X,O,X,O,X,X,X,X,X,X,X
ITOZSJL,X,O,X,O,X,X,X,X,X,X,X
ILTJSZO,O,X,X,X,O,O,X,O,O,X,O
ILTJSOZ,O,X,X,X,O,O,X,O,X,X,O
ILTJZSO,O,X,X,X,O,O,X,X,O,X,X
ILTJZOS,O,X,X,X,X,O,X,X,O,X,X
ILTJOSZ,X,X,X,X,O,O,X,O,X,X,X
ILTJOZS,X,X,X,X,X,O,X,X,X,X,X
ILTSJZO,O,X,O,X,X,O,O,O,O,X,O
ILTSJOZ,O,X,O,O,X,O,X,O,X,X,O
ILTSZJO,O,X,O,X,X,O,O,O,O,X,O
ILTSZOJ,X,X,O,O,X,O,O,O,O,X,X
ILTSOJZ,O,X,O,O,X,O,X,O,X,X,O
ILTSOZJ,X,X,O,O,X,O,X,O,O,X,X
ILTZJSO,X,X,O,X,X,O,O,X,O,X,X
ILTZJOS,X,X,X,X,X,O,X,X,O,X,X
ILTZSJO,X,X,O,X,X,O,O,X,O,X,O
