sequence,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFNgB/iBajB5jB0k?B2uB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFmdB5jBXgB0iBaq?BTpB,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFNgBmdB5jB0iBKp?BfqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhF/iBajB5jBckBzp?BOpB,v115@2gC8HeB8GeD8FeF8DeG8Je//IvhFUbBidB5jBziBNp?BeqB,v115@2gC8HeB8GeD8FeF8DeG8Je//IvhFUbBTdBejB5jBKp?BdqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhFxdBOkB0iB6oBfq?BTpB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFUbBTdBejB5jB3k?ByuB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFmdB5jBXgB0iBip?BzpB,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFmdB5jB0iBikB3p?BNqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhFyiB5jBOkB0iBfq?BTpB
TIZSOLJ,X,X,X,O,X,X,X,X,X,X,X
TIZSOJL,X,O,X,O,X,X,X,X,O,X,X
TIZOLJS,X,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,O,X,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X,X,X,X,X
TIZOJSL,X,O,X,O,X,X,X,X,X,X,X
TIZOSLJ,X,O,X,O,X,X,X,X,X,X,X
TIZOSJL,X,O,X,O,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,O,X,X,X,X,X,X
TIOLJZS,X,X,X,X,O,X,X,X,X,X,X
TIOLSJZ,X,X,X,O,X,X,X,X,X,X,O
TIOLSZJ,X,O,X,O,X,X,X,X,X,X,X
TIOLZJS,X,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,O,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,O,X,X,X,X,X,X
TIOJLZS,X,X,X,X,O,X,X,X,X,X,X
TIOJSLZ,O,X,X,O,O,X,X,X,X,X,X
TIOJSZL,O,O,X,O,O,X,X,X,X,X,X
TIOJZLS,O,O,X,X,O,X,X,X,X,X,X
TIOJZSL,O,O,X,O,O,X,X,X,X,X,X
TIOSLJZ,O,X,X,O,X,X,X,X,X,X,O
TIOSLZJ,X,O,X,O,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,O,X,X,X,X,X,X,O
TIOSJZL,O,O,X,O,X,X,X,X,X,X,X
TIOSZLJ,X,O,X,O,X,X,X,X,X,X,X
TIOSZJL,X,O,X,O,X,X,X,X,X,X,X
TIOZLJS,X,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,O,X,X,X,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X,X,X,X,X
TIOZJSL,X,O,X,O,X,X,X,X,X,X,X
TIOZSLJ,X,O,X,O,X,X,X,X,X,X,X
TIOZSJL,X,O,X,O,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,O,O,X,O,O,X,O
TLIJSOZ,O,X,X,X,O,O,X,O,X,X,O
TLIJZSO,O,X,X,X,O,O,X,X,O,X,X
TLIJZOS,O,X,X,X,X,O,X,X,O,X,X
TLIJOSZ,X,X,X,X,O,O,X,O,X,X,X
TLIJOZS,X,X,X,X,X,O,X,X,X,X,X
TLISJZO,O,X,O,X,X,O,O,O,O,X,O
TLISJOZ,O,X,O,O,X,O,X,O,X,X,O
TLISZJO,O,X,O,X,X,O,O,O,O,X,O
TLISZOJ,X,X,O,O,X,O,O,O,O,X,X
TLISOJZ,O,X,O,O,X,O,X,O,X,X,O
TLISOZJ,X,X,O,O,X,O,X,O,O,X,X
TLIZJSO,X,X,O,X,X,O,O,X,O,X,X
TLIZJOS,X,X,X,X,X,O,X,X,O,X,X
TLIZSJO,X,X,O,X,X,O,O,X,O,X,O
TLIZSOJ,X,X,O,X,X,O,O,X,O,X,X
TLIZOJS,X,X,X,X,X,X,X,X,O,X,X
TLIZOSJ,X,X,X,X,X,X,O,X,O,X,X
TLIOJSZ,X,X,X,X,X,O,X,X,X,X,X
TLIOJZS,X,X,X,X,X,O,X,X,X,X,X
TLIOSJZ,X,X,X,O,X,O,X,X,X,X,O
TLIOSZJ,X,X,X,O,X,O,X,X,O,X,X
TLIOZJS,X,X,X,X,X,X,X,X,O,X,X
TLIOZSJ,X,X,X,O,X,X,X,X,O,X,X
TLJISZO,O,X,X,X,O,O,X,O,O,X,O
TLJISOZ,O,X,X,X,O,O,X,O,X,X,O
TLJIZSO,O,X,X,X,O,O,X,X,O,X,X
TLJIZOS,O,X,X,X,X,O,X,X,O,X,X
TLJIOSZ,X,X,X,X,O,O,X,O,X,X,X
TLJIOZS,X,X,X,X,X,O,X,X,X,X,X
TLJSIZO,O,X,X,X,O,O,O,O,O,X,O
TLJSIOZ,O,X,X,X,O,O,X,O,X,X,O
TLJSZIO,O,X,X,X,O,O,O,O,O,X,O
TLJSZOI,O,X,X,X,O,O,O,O,O,X,X
TLJSOIZ,O,X,X,X,O,O,X,O,X,X,O
TLJSOZI,O,X,X,X,O,O,O,O,X,X,X
TLJZISO,O,X,X,X,O,O,O,X,O,X,X
TLJZIOS,O,X,X,X,X,O,X,X,O,X,X
TLJZSIO,O,X,X,X,O,O,O,X,O,X,X
TLJZSOI,O,X,X,X,O,O,O,X,O,X,X
TLJZOIS,O,X,X,X,X,O,X,X,O,X,X
TLJZOSI,O,X,X,X,X,O,X,X,O,X,X
TLJOISZ,X,X,X,X,O,O,X,O,X,X,X
TLJOIZS,X,X,X,X,X,O,X,X,X,X,X
TLJOSIZ,X,X,X,X,O,O,X,O,X,X,X
TLJOSZI,X,X,X,X,O,O,X,O,X,X,X
TLJOZIS,X,X,X,X,X,O,X,X,X,X,X
TLJOZSI,X,X,X,X,X,O,X,X,X,X,X
TLSIJZO,O,X,O,X,X,O,O,O,O,X,O
TLSIJOZ,O,X,O,O,X,O,X,O,X,X,O
TLSIZJO,O,X,O,X,X,O,O,O,O,X,O
TLSIZOJ,X,X,O,O,X,O,O,O,O,X,X
TLSIOJZ,O,X,O,O,X,O,X,O,X,X,O
TLSIOZJ,X,X,O,O,X,O,X,O,O,X,X
TLSJIZO,O,X,O,X,X,O,O,O,O,X,O
TLSJIOZ,O,X,O,O,X,O,X,O,X,X,O
TLSJZIO,O,X,O,X,X,O,O,O,O,X,O
TLSJZOI,O,X,O,X,X,O,O,O,O,X,X
TLSJOIZ,O,X,O,O,X,O,X,O,X,X,O
TLSJOZI,O,X,O,O,X,O,O,O,X,X,X
TLSZIJO,O,X,O,X,X,O,O,O,O,X,O
TLSZIOJ,X,X,O,O,X,O,O,O,O,X,X
TLSZJIO,O,X,O,X,X,O,O,O,O,X,O
TLSZJOI,O,X,O,X,X,O,O,O,O,X,X
TLSZOIJ,X,X,O,O,X,O,O,O,O,X,X
TLSZOJI,X,X,O,O,X,O,O,O,O,X,X
TLSOIJZ,O,X,O,O,X,O,X,O,X,X,O
TLSOIZJ,X,X,O,O,X,O,X,O,O,X,X
TLSOJIZ,O,X,O,O,X,O,X,O,X,X,O
TLSOJZI,O,X,O,O,X,O,O,O,X,X,X
TLSOZIJ,X,X,O,O,X,O,O,O,O,X,X
TLSOZJI,X,X,O,O,X,O,O,O,O,X,X
TLZIJSO,X,X,O,X,X,O,O,X,O,X,X
TLZIJOS,X,X,X,X,X,O,X,X,O,X,X
TLZISJO,X,X,O,X,X,O,O,X,O,X,O
TLZISOJ,X,X,O,X,X,O,O,X,O,X,X
TLZIOJS,X,X,X,X,X,X,X,X,O,X,X
TLZIOSJ,X,X,X,X,X,X,O,X,O,X,X
TLZJISO,X,X,O,X,X,O,O,X,O,X,X
TLZJIOS,X,X,X,X,X,O,X,X,O,X,X
TLZJSIO,X,X,O,X,X,O,O,X,O,X,X
TLZJSOI,X,X,O,X,X,O,O,X,O,X,X
TLZJOIS,X,X,X,X,X,O,X,X,O,X,X
TLZJOSI,X,X,X,X,X,O,X,X,O,X,X
TLZSIJO,X,X,O,X,X,O,O,X,O,X,O
TLZSIOJ,X,X,O,X,X,O,O,X,O,X,X
TLZSJIO,X,X,O,X,X,O,O,X,O,X,O
TLZSJOI,X,X,O,X,X,O,O,X,O,X,X
TLZSOIJ,X,X,O,X,X,O,O,X,O,X,X
TLZSOJI,X,X,O,X,X,O,O,X,O,X,X
TLZOIJS,X,X,X,X,X,X,X,X,O,X,X
TLZOISJ,X,X,X,X,X,X,O,X,O,X,X
TLZOJIS,X,X,X,X,X,O,X,X,O,X,X
TLZOJSI,X,X,X,X,X,O,X,X,O,X,X
TLZOSIJ,X,X,X,X,X,O,O,X,O,X,X
TLZOSJI,X,X,X,X,X,O,O,X,O,X,X
TLOIJSZ,X,X,X,X,X,O,X,X,X,X,X
TLOIJZS,X,X,X,X,X,O,X,X,X,X,X
TLOISJZ,X,X,X,O,X,O,X,X,X,X,O
TLOISZJ,X,X,X,O,X,O,X,X,O,X,X
TLOIZJS,X,X,X,X,X,X,X,X,O,X,X
TLOIZSJ,X,X,X,O,X,X,X,X,O,X,X
TLOJISZ,X,X,X,X,X,O,X,O,X,X,X
TLOJIZS,X,X,X,X,X,O,X,X,X,X,X
TLOJSIZ,X,X,X,X,X,O,X,O,X,X,X
TLOJSZI,X,X,X,X,X,O,X,O,X,X,X
TLOJZIS,X,X,X,X,X,O,X,X,X,X,X
TLOJZSI,X,X,X,X,X,O,X,X,X,X,X
TLOSIJZ,X,X,X,O,X,O,X,O,X,X,O
TLOSIZJ,X,X,X,O,X,O,X,O,O,X,X
TLOSJIZ,X,X,X,O,X,O,X,O,X,X,O
TLOSJZI,X,X,X,O,X,O,O,O,X,X,X
TLOSZIJ,X,X,X,O,X,O,O,O,O,X,X
TLOSZJI,X,X,X,O,X,O,O,O,O,X,X
TLOZIJS,X,X,X,X,X,X,X,X,O,X,X
TLOZISJ,X,X,X,O,X,X,O,X,O,X,X
TLOZJIS,X,X,X,X,X,O,X,X,O,X,X
TLOZJSI,X,X,X,X,X,O,X,X,O,X,X
TLOZSIJ,X,X,X,O,X,O,O,X,O,X,X
TLOZSJI,X,X,X,O,X,O,O,X,O,X,X
TJILSZO,O,X,X,X,O,O,X,O,X,X,O
TJILSOZ,O,X,X,X,O,O,X,O,X,X,O
TJILZSO,O,X,X,X,O,O,X,X,X,X,X
TJILZOS,O,X,X,X,X,O,X,X,X,X,X
TJILOSZ,X,X,X,X,O,O,X,O,X,X,X
TJILOZS,X,X,X,X,O,O,X,X,X,X,X
TJISLZO,O,X,X,X,O,X,X,X,X,X,O
TJISLOZ,O,X,X,O,O,X,X,X,X,X,O
TJISZLO,O,X,X,X,O,X,X,X,X,X,O
TJISZOL,O,X,X,X,O,X,X,X,X,X,X
TJISOLZ,O,X,X,O,O,X,X,X,X,X,O
TJISOZL,O,X,X,O,O,X,X,X,X,X,X
TJIZLSO,O,X,X,X,O,X,X,X,X,X,X
TJIZLOS,O,X,X,X,X,X,X,X,X,X,X
TJIZSLO,O,X,X,X,O,X,X,X,X,X,X
TJIZSOL,O,X,X,X,O,X,X,X,X,X,X
TJIZOLS,O,X,X,X,O,X,X,X,X,X,X
TJIZOSL,O,X,X,X,O,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,O,O,X,O,X,X,X
TJIOLZS,X,X,X,X,O,O,X,X,X,X,X
TJIOSLZ,O,X,X,O,O,X,X,X,X,X,X
TJIOSZL,O,X,X,O,O,X,X,X,X,X,X
TJIOZLS,O,X,X,X,O,X,X,X,X,X,X
TJIOZSL,O,X,X,O,O,X,X,X,X,X,X
TJLISZO,O,X,X,X,O,O,X,O,X,X,O
TJLISOZ,O,X,X,X,O,O,X,O,X,X,O
TJLIZSO,O,X,X,X,O,O,X,X,X,X,X
TJLIZOS,O,X,X,X,X,O,X,X,X,X,X
TJLIOSZ,X,X,X,X,O,O,X,O,X,X,X
TJLIOZS,X,X,X,X,O,O,X,X,X,X,X
TJLSIZO,O,X,X,X,O,O,O,O,X,X,O
TJLSIOZ,O,X,X,X,O,O,X,O,X,X,O
TJLSZIO,O,X,X,X,O,O,O,O,X,X,O
TJLSZOI,O,X,X,X,O,O,O,O,X,X,X
TJLSOIZ,O,X,X,X,O,O,X,O,X,X,O
TJLSOZI,O,X,X,X,O,O,O,O,X,X,X
TJLZISO,O,X,X,X,O,O,O,X,X,X,X
TJLZIOS,O,X,X,X,X,O,X,X,X,X,X
TJLZSIO,O,X,X,X,O,O,O,X,X,X,X
TJLZSOI,O,X,X,X,O,O,O,X,X,X,X
TJLZOIS,O,X,X,X,X,O,X,X,X,X,X
TJLZOSI,O,X,X,X,X,O,X,X,X,X,X
TJLOISZ,X,X,X,X,O,O,X,O,X,X,X
TJLOIZS,X,X,X,X,O,O,X,X,X,X,X
TJLOSIZ,X,X,X,X,O,O,X,O,X,X,X
TJLOSZI,X,X,X,X,O,O,X,O,X,X,X
TJLOZIS,X,X,X,X,O,O,X,X,X,X,X
TJLOZSI,X,X,X,X,O,O,X,X,X,X,X
TJSILZO,O,X,X,X,O,X,O,X,X,X,O
TJSILOZ,O,X,X,O,O,X,X,X,X,X,O
TJSIZLO,O,X,X,X,O,X,O,X,X,X,O
TJSIZOL,O,X,X,X,O,X,X,X,X,X,X
TJSIOLZ,O,X,X,O,O,X,X,X,X,X,O
TJSIOZL,O,X,X,O,O,X,X,X,X,X,X
TJSLIZO,O,X,X,X,O,X,O,X,X,X,O
TJSLIOZ,O,X,X,O,O,X,X,X,X,X,O
TJSLZIO,O,X,X,X,O,X,O,X,X,X,O
TJSLZOI,O,X,X,X,O,X,O,X,X,X,X
TJSLOIZ,O,X,X,O,O,X,X,X,X,X,O
TJSLOZI,O,X,X,O,O,X,O,X,X,X,X
TJSZILO,O,X,X,X,O,X,O,X,X,X,O
TJSZIOL,O,X,X,X,O,X,X,X,X,X,X
TJSZLIO,O,X,X,X,O,X,O,X,X,X,O
TJSZLOI,O,X,X,X,O,X,O,X,X,X,X
TJSZOIL,O,X,X,X,O,X,X,X,X,X,X
TJSZOLI,O,X,X,X,O,X,O,X,X,X,X
TJSOILZ,O,X,X,O,O,X,X,X,X,X,O
TJSOIZL,O,X,X,O,O,X,X,X,X,X,X
TJSOLIZ,O,X,X,O,O,X,X,X,X,X,O
TJSOLZI,O,X,X,O,O,X,O,X,X,X,X
TJSOZIL,O,X,X,O,O,X,X,X,X,X,X
TJSOZLI,O,X,X,O,O,X,O,X,X,X,X
TJZILSO,O,X,X,X,O,X,X,X,X,X,X
TJZILOS,O,X,X,X,X,X,X,X,X,X,X
TJZISLO,O,X,X,X,O,X,X,X,X,X,X
TJZISOL,O,X,X,X,O,X,X,X,X,X,X
TJZIOLS,O,X,X,X,O,X,X,X,X,X,X
TJZIOSL,O,X,X,X,O,X,X,X,X,X,X
TJZLISO,O,X,X,X,O,X,O,X,X,X,X
TJZLIOS,O,X,X,X,X,X,X,X,X,X,X
TJZLSIO,O,X,X,X,O,X,O,X,X,X,X
TJZLSOI,O,X,X,X,O,X,O,X,X,X,X
TJZLOIS,O,X,X,X,X,X,X,X,X,X,X
TJZLOSI,O,X,X,X,X,X,X,X,X,X,X
TJZSILO,O,X,X,X,O,X,O,X,X,X,X
TJZSIOL,O,X,X,X,O,X,X,X,X,X,X
TJZSLIO,O,X,X,X,O,X,O,X,X,X,X
TJZSLOI,O,X,X,X,O,X,O,X,X,X,X
TJZSOIL,O,X,X,X,O,X,X,X,X,X,X
TJZSOLI,O,X,X,X,O,X,O,X,X,X,X
TJZOILS,O,X,X,X,O,X,X,X,X,X,X
TJZOISL,O,X,X,X,O,X,X,X,X,X,X
TJZOLIS,O,X,X,X,O,X,X,X,X,X,X
TJZOLSI,O,X,X,X,O,X,X,X,X,X,X
TJZOSIL,O,X,X,X,O,X,X,X,X,X,X
TJZOSLI,O,X,X,X,O,X,X,X,X,X,X
TJOILSZ,X,X,X,X,O,O,X,O,X,X,X
TJOILZS,X,X,X,X,O,O,X,X,X,X,X
TJOISLZ,O,X,X,O,O,X,X,X,X,X,X
TJOISZL,O,X,X,O,O,X,X,X,X,X,X
TJOIZLS,O,X,X,X,O,X,X,X,X,X,X
TJOIZSL,O,X,X,O,O,X,X,X,X,X,X
TJOLISZ,X,X,X,X,O,O,X,O,X,X,X
TJOLIZS,X,X,X,X,O,O,X,X,X,X,X
TJOLSIZ,X,X,X,X,O,O,X,O,X,X,X
TJOLSZI,X,X,X,X,O,O,X,O,X,X,X
TJOLZIS,X,X,X,X,O,O,X,X,X,X,X
TJOLZSI,X,X,X,X,O,O,X,X,X,X,X
TJOSILZ,O,X,X,O,O,X,X,X,X,X,X
TJOSIZL,O,X,X,O,O,X,X,X,X,X,X
TJOSLIZ,O,X,X,O,O,X,X,X,X,X,X
TJOSLZI,O,X,X,O,O,X,X,X,X,X,X
TJOSZIL,O,X,X,O,O,X,X,X,X,X,X
TJOSZLI,O,X,X,O,O,X,X,X,X,X,X
TJOZILS,O,X,X,X,O,X,X,X,X,X,X
TJOZISL,O,X,X,O,O,X,X,X,X,X,X
TJOZLIS,O,X,X,X,O,X,X,X,X,X,X
TJOZLSI,O,X,X,X,O,X,X,X,X,X,X
TJOZSIL,O,X,X,O,O,X,X,X,X,X,X
TJOZSLI,O,X,X,O,O,X,X,X,X,X,X
TSILJZO,O,X,X,X,X,X,O,X,X,X,O
TSILJOZ,O,X,X,O,X,X,X,X,X,X,O
TSILZJO,O,O,X,X,X,X,O,X,O,O,O
TSILZOJ,X,X,X,O,X,X,O,X,X,O,X
TSILOJZ,O,X,X,O,X,X,X,X,X,X,O
TSILOZJ,X,X,X,O,X,X,X,X,X,X,X
TSIJLZO,O,X,X,X,X,X,O,X,X,X,O
TSIJLOZ,O,X,X,O,X,X,X,X,X,X,O
TSIJZLO,O,O,X,X,X,X,O,X,O,X,O
TSIJZOL,O,O,X,X,X,X,X,X,O,X,X
TSIJOLZ,O,X,X,O,X,X,X,X,X,X,O
TSIJOZL,O,X,X,O,X,X,X,X,X,X,X
TSIZLJO,O,O,X,X,X,X,O,X,O,O,O
TSIZLOJ,X,X,X,O,X,X,O,X,X,O,X
TSIZJLO,O,O,X,X,X,X,O,X,O,O,O
TSIZJOL,O,O,X,X,X,X,X,X,O,X,X
TSIZOLJ,X,X,X,O,X,X,X,X,X,X,X
TSIZOJL,X,O,X,O,X,X,X,X,O,X,X
