sequence,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFicB9iBTeBfnB8s?B+tB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcBeiBtiB6jB/t?B0sB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhF/hBaiBGeBUjB9s?BTtB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcB0dBdnBSoBGt?BXtB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFicBTeBfnBGoBUt?B9sB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcB/iBGeBNoBUn?BSyB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFmcB6jB0hB3nBTt?BtsB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcBXeBdnBCtB+t?B0sB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcBcjBXiBtsB+t?BisB
TILJSZO,O,X,X,O,X,X,X,O,X
TILJSOZ,X,X,X,O,X,X,X,O,X
TILJZSO,O,X,X,O,X,O,X,O,X
TILJZOS,X,X,X,O,X,O,X,O,X
TILJOSZ,X,X,X,O,X,X,X,O,X
TILJOZS,X,X,X,O,X,O,X,O,X
TILSJZO,O,X,O,X,X,X,X,O,X
TILSJOZ,X,X,O,X,X,X,X,O,X
TILSZJO,X,X,O,X,O,O,X,X,X
TILSZOJ,X,X,O,X,X,O,X,X,X
TILSOJZ,X,X,O,X,X,X,X,O,X
TILSOZJ,X,X,O,X,X,O,X,X,X
TILZJSO,X,X,O,X,X,O,X,O,X
TILZJOS,X,X,X,X,X,O,X,O,X
TILZSJO,X,X,O,X,O,O,X,X,X
TILZSOJ,X,X,O,X,X,O,X,X,X
TILZOJS,X,X,X,X,X,O,X,O,X
TILZOSJ,X,X,X,X,X,O,X,X,X
TILOJSZ,X,X,X,O,X,X,X,O,X
TILOJZS,X,X,X,O,X,O,X,O,X
TILOSJZ,X,X,O,X,X,X,X,O,X
TILOSZJ,X,X,O,X,X,O,X,X,X
TILOZJS,X,X,O,X,X,O,X,O,X
TILOZSJ,X,X,O,X,X,O,X,X,X
TIJLSZO,O,X,X,O,X,X,X,O,O
TIJLSOZ,X,X,X,O,X,X,X,O,O
TIJLZSO,O,X,X,O,X,X,X,O,O
TIJLZOS,X,X,X,O,X,X,X,O,X
TIJLOSZ,X,X,X,O,X,X,X,O,X
TIJLOZS,X,X,X,O,X,X,X,O,X
TIJSLZO,O,O,O,O,X,X,X,X,O
TIJSLOZ,X,O,O,O,X,X,X,X,O
TIJSZLO,O,O,O,O,X,X,X,X,O
TIJSZOL,O,O,O,O,X,X,X,X,O
TIJSOLZ,X,O,O,O,X,X,X,X,O
TIJSOZL,X,O,O,O,X,X,X,X,O
TIJZLSO,O,X,O,O,X,X,X,X,O
TIJZLOS,O,X,X,O,X,X,X,X,X
TIJZSLO,O,O,O,O,X,X,X,X,O
TIJZSOL,O,O,O,O,X,X,X,X,O
TIJZOLS,O,X,X,O,X,X,X,X,X
TIJZOSL,O,O,O,O,X,X,X,X,O
TIJOLSZ,X,X,X,O,X,X,X,O,X
TIJOLZS,X,X,X,O,X,X,X,O,X
TIJOSLZ,X,O,O,O,X,X,X,X,O
TIJOSZL,X,O,O,O,X,X,X,X,O
TIJOZLS,O,X,O,O,X,X,X,X,X
TIJOZSL,O,O,O,O,X,X,X,X,O
TISLJZO,O,O,O,X,X,X,X,O,X
TISLJOZ,X,O,O,X,X,X,X,O,X
TISLZJO,X,O,O,X,O,X,X,X,X
TISLZOJ,X,X,O,X,X,X,X,X,X
TISLOJZ,X,O,O,X,X,X,X,O,X
TISLOZJ,X,X,O,X,X,X,X,X,X
TISJLZO,O,O,O,O,X,X,X,X,X
TISJLOZ,X,O,O,O,X,X,X,X,X
TISJZLO,O,O,O,O,X,X,X,X,X
TISJZOL,O,O,O,O,X,X,X,X,X
TISJOLZ,X,O,O,O,X,X,X,X,X
TISJOZL,X,O,O,O,X,X,X,X,X
TISZLJO,X,O,O,X,O,X,X,X,X
TISZLOJ,X,X,O,X,X,X,X,X,X
TISZJLO,X,O,O,X,O,X,X,X,X
TISZJOL,X,O,O,X,O,X,X,X,X
TISZOLJ,X,X,O,X,X,X,X,X,X
TISZOJL,X,X,O,X,X,X,X,X,X
TISOLJZ,X,O,O,X,X,X,X,O,X
TISOLZJ,X,X,O,X,X,X,X,X,X
TISOJLZ,X,O,O,O,X,X,X,X,X
TISOJZL,X,O,O,O,X,X,X,X,X
TISOZLJ,X,X,O,X,X,X,X,X,X
TISOZJL,X,X,O,X,X,X,X,X,X
TIZLJSO,X,X,O,X,X,O,X,O,X
TIZLJOS,X,X,X,X,X,O,X,O,X
TIZLSJO,X,X,O,X,O,O,X,X,X
TIZLSOJ,X,X,O,X,X,O,X,X,X
TIZLOJS,X,X,X,X,X,O,X,O,X
TIZLOSJ,X,X,X,X,X,O,X,X,X
