sequence,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8JeT6IvhFegBUdB?ajB5jBFnB3sB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhF3dB5jB?zfBeoBFnBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFUdB5jB?zfBeoBFnB3sB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Je//IvhFagBUdB?FeB+oBRnBTsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Je//IvhFagBFdB?TeBWoBxsBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jem6IvhFTeB0fB?XiBxsBCtBFsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFFdBzfB?GjBXjBxsBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8JeT6IvhFegBajB?5jBXiB1sBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFzfBxiB?FnBXoBGoBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Jei6IvhFGeBzfB?XiBVoBxsBUsB,v115@2gB8HeC8DeA8BeB8EeF8DeF8BeB8Je39IvhF5jBlfB?isB8sBmpBzrB
TILJSZO,X,X,X,X,O,X,X,O,X,X,X
TILJSOZ,X,X,X,X,O,X,X,O,X,O,X
TILJZSO,O,X,X,X,X,X,X,O,X,X,O
TILJZOS,O,X,X,X,X,X,X,O,X,X,X
TILJOSZ,X,X,X,X,O,X,O,O,X,O,X
TILJOZS,O,X,X,X,X,X,O,O,X,O,X
TILSJZO,X,X,X,X,O,X,X,O,X,X,X
TILSJOZ,X,X,X,X,O,X,X,O,X,O,X
TILSZJO,X,X,X,X,O,O,X,O,X,X,O
TILSZOJ,X,X,X,X,O,O,X,X,X,X,O
TILSOJZ,X,X,X,X,O,X,X,O,X,O,X
TILSOZJ,X,X,X,X,O,O,X,X,X,O,X
TILZJSO,O,X,X,X,O,O,X,O,X,X,O
TILZJOS,O,X,X,X,O,O,O,O,X,X,X
TILZSJO,O,X,X,X,O,O,X,O,X,X,O
TILZSOJ,X,X,X,X,O,O,X,X,X,X,O
TILZOJS,O,X,X,X,X,O,O,X,X,X,X
TILZOSJ,X,X,X,X,X,O,O,X,X,X,O
TILOJSZ,X,X,X,X,X,X,O,O,O,O,X
TILOJZS,X,X,X,X,X,X,O,O,X,O,X
TILOSJZ,X,X,X,X,X,X,O,O,O,O,X
TILOSZJ,X,X,X,X,X,O,O,X,O,O,X
TILOZJS,X,X,X,X,X,O,O,X,X,O,X
TILOZSJ,X,X,X,X,X,O,O,X,O,O,O
TIJLSZO,X,X,X,X,O,X,X,O,X,X,X
TIJLSOZ,X,O,X,X,O,X,X,O,X,O,X
TIJLZSO,O,X,X,X,X,X,X,O,X,X,O
TIJLZOS,O,X,O,X,X,X,X,O,X,X,X
TIJLOSZ,X,O,O,X,O,X,O,O,X,O,X
TIJLOZS,O,O,O,X,X,X,O,O,X,O,X
TIJSLZO,O,X,X,X,O,X,X,O,X,X,X
TIJSLOZ,O,O,X,X,O,X,X,O,X,O,X
TIJSZLO,O,X,X,X,O,X,X,O,X,X,X
TIJSZOL,O,O,O,X,O,X,X,O,X,O,X
TIJSOLZ,O,O,O,X,O,X,O,O,X,O,X
TIJSOZL,O,O,O,X,O,X,X,O,X,O,X
TIJZLSO,O,X,X,X,O,X,X,O,X,X,X
TIJZLOS,O,X,O,X,O,X,O,O,X,X,X
TIJZSLO,O,X,X,X,O,X,X,O,X,X,X
TIJZSOL,O,O,O,X,O,X,O,O,X,O,X
