sequence,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je08IvhFxdBlgBOrBX?lBSvBzrB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je08IvhFxdBlgBKrBf?sBTlBWvB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je/AJvhFxdBlhB8qBG?mBzpBywB,v115@zgB8HeB8EeF8CeE8FeD8FeC8JeT7IvhFxdBlhB3lBW?vBirB0rB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhF0gBlhBXlBO?rBSvBzrB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhF0gBlhBXlBS?vBmrBTrB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je08IvhFxdBlgBTmBG?qBywBXqB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhFlgB3hB6qB0?mBzpB2wB,v115@zgB8HeB8EeF8CeE8FeD8FeC8JeT7IvhF0cBxdB/mB1?qBWvBywB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhF0gBlhBTlBK?rBfsBWvB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je/AJvhFFcBxdBumB8?qBzpBywB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je1BJvhFxdB0gBfsBT?lBKrBWvB
TILJSZO,O,X,O,O,X,O,X,X,O,X,X,O
TILJSOZ,X,X,X,O,X,X,X,X,O,X,X,X
TILJZSO,O,X,X,O,O,O,X,X,O,X,O,X
TILJZOS,O,X,X,X,O,O,X,X,O,X,X,X
TILJOSZ,X,X,X,O,X,X,O,X,O,X,X,X
TILJOZS,O,X,X,X,X,O,O,X,O,X,X,X
TILSJZO,X,X,O,X,X,X,X,O,O,X,X,X
TILSJOZ,X,X,X,X,X,X,X,O,O,X,X,X
TILSZJO,X,X,O,X,O,O,X,O,O,X,X,O
TILSZOJ,X,X,O,X,O,O,X,X,O,X,X,O
TILSOJZ,X,X,X,X,X,X,X,O,O,X,X,X
TILSOZJ,X,X,O,X,X,X,X,O,O,X,X,X
TILZJSO,X,X,O,X,O,O,X,X,X,O,X,X
TILZJOS,X,X,X,X,O,O,X,X,X,X,X,X
TILZSJO,X,X,O,X,O,O,X,X,O,O,O,X
TILZSOJ,X,X,O,X,O,O,X,X,O,O,O,X
TILZOJS,X,X,X,X,O,O,X,X,X,X,X,X
TILZOSJ,X,X,O,X,O,O,X,X,O,X,X,X
TILOJSZ,O,X,X,O,X,X,O,X,O,X,X,X
TILOJZS,O,X,X,X,O,X,O,X,O,X,X,X
