sequence,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?lmBatBXsBGsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?lmBmsB3sBCsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcB3hB?FjB6sBOtBzrB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxdBXjB?lmBmsB6rBTsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?1mBatBGsBXsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFXdBFjB?xmB6rBOtBTsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFmcBTeB?1mBfoBSsBRxB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?1mBSsBetBXsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFViBGeB?ZoBThBXnBSxB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhF/iBGeB?ZoBlmBTsB6rB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFqiBTeB?3hB2sBlmBRxB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFSiBTeB?xmBetBlmBXsB
TILJSZO,X,X,X,X,O,X,O,X,O,X,X,X
TILJSOZ,X,X,X,X,O,X,O,X,O,X,X,X
TILJZSO,X,X,X,X,O,X,O,X,O,X,X,X
TILJZOS,O,O,X,X,O,X,X,O,X,X,X,O
TILJOSZ,X,X,X,X,O,X,X,X,X,X,X,X
TILJOZS,O,O,X,X,O,X,X,O,X,X,X,O
TILSJZO,O,X,O,X,X,X,O,X,O,X,X,X
TILSJOZ,O,X,X,X,X,X,O,X,O,X,X,X
TILSZJO,O,X,O,X,X,O,O,X,O,X,X,X
TILSZOJ,O,X,O,X,O,O,O,X,O,X,X,X
TILSOJZ,O,X,X,X,X,X,O,X,O,X,X,X
TILSOZJ,O,X,O,X,O,X,O,X,O,X,X,X
TILZJSO,X,X,X,X,O,X,O,X,O,X,X,X
TILZJOS,O,O,X,X,O,X,X,O,X,X,X,O
TILZSJO,O,X,O,X,X,O,O,X,O,X,X,X
TILZSOJ,O,X,O,X,O,O,O,X,O,X,X,X
TILZOJS,O,X,X,X,O,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,O,O,O,X,X,X,X,X
TILOJSZ,X,X,X,X,O,X,X,X,X,X,X,X
TILOJZS,O,X,X,X,O,X,X,X,X,X,X,X
TILOSJZ,O,X,X,X,X,X,O,X,X,X,X,X
TILOSZJ,O,X,X,X,O,O,O,X,X,X,X,X
TILOZJS,O,X,X,X,O,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,O,O,O,X,X,X,X,X
TIJLSZO,X,X,X,X,O,X,O,O,O,X,O,X
TIJLSOZ,X,X,X,X,O,X,O,O,O,X,O,X
TIJLZSO,X,X,X,X,O,X,O,O,O,X,O,X
TIJLZOS,O,O,X,X,O,X,X,O,X,X,O,X
TIJLOSZ,X,X,X,X,O,X,X,O,X,X,O,X
TIJLOZS,O,O,X,X,O,X,X,O,X,X,O,X
TIJSLZO,X,O,X,O,X,X,O,X,X,X,O,O
TIJSLOZ,X,O,X,O,X,X,O,X,X,X,O,O
TIJSZLO,X,O,X,O,X,O,O,X,X,X,O,O
TIJSZOL,X,O,X,O,X,O,O,O,X,X,O,O
TIJSOLZ,X,O,X,O,X,X,O,X,X,X,O,O
TIJSOZL,X,O,X,O,X,X,O,O,X,X,O,O
TIJZLSO,X,X,X,X,O,X,O,O,O,X,O,X
TIJZLOS,O,O,X,X,O,X,X,O,X,X,O,X
TIJZSLO,X,O,X,O,X,O,O,X,X,X,O,O
TIJZSOL,X,O,X,O,X,O,O,O,X,X,O,O
TIJZOLS,O,O,X,X,O,X,X,O,X,X,O,X
TIJZOSL,X,O,X,X,X,O,O,O,X,X,O,O
TIJOLSZ,X,X,X,X,X,X,X,O,X,X,O,X
TIJOLZS,X,O,X,X,X,X,X,O,X,X,O,X
TIJOSLZ,X,O,X,X,X,X,O,X,X,X,O,O
TIJOSZL,X,O,X,X,X,O,O,O,X,X,O,O
TIJOZLS,O,O,X,X,O,X,X,O,X,X,O,X
TIJOZSL,X,O,X,X,X,O,O,O,X,X,O,O
TISLJZO,O,X,O,X,X,X,O,X,X,X,X,X
TISLJOZ,O,X,X,X,X,X,O,X,X,X,X,X
TISLZJO,O,X,O,X,X,O,O,X,X,X,X,X
TISLZOJ,O,X,O,X,O,O,O,X,X,X,X,X
TISLOJZ,O,X,X,X,X,X,O,X,X,X,X,X
TISLOZJ,O,X,O,X,O,X,O,X,X,X,X,X
TISJLZO,X,X,X,O,X,X,O,X,X,X,O,X
TISJLOZ,X,X,X,O,X,X,O,X,X,X,O,X
TISJZLO,X,X,X,O,X,O,O,X,X,X,O,X
TISJZOL,X,O,X,O,X,O,O,O,X,X,O,X
TISJOLZ,X,X,X,O,X,X,O,X,X,X,O,X
TISJOZL,X,O,X,O,X,X,O,O,X,X,O,X
TISZLJO,O,X,O,X,X,O,O,X,X,X,X,X
TISZLOJ,O,X,O,X,O,O,O,X,X,X,X,X
TISZJLO,X,X,X,O,X,O,O,X,X,X,O,X
TISZJOL,X,O,X,O,X,O,O,O,X,X,O,X
TISZOLJ,O,X,O,X,O,O,O,X,X,X,X,X
TISZOJL,X,X,X,X,X,O,O,X,X,X,X,X
TISOLJZ,X,X,X,X,X,X,O,X,X,X,X,X
TISOLZJ,X,X,X,X,X,O,O,X,X,X,X,X
TISOJLZ,X,X,X,X,X,X,O,X,X,X,X,X
TISOJZL,X,X,X,X,X,O,O,X,X,X,X,X
TISOZLJ,O,X,X,X,O,O,O,X,X,X,X,X
TISOZJL,X,X,X,X,X,O,O,X,X,X,X,X
TIZLJSO,X,X,X,X,O,X,O,X,O,X,X,X
TIZLJOS,O,O,X,X,O,X,X,O,X,X,X,O
TIZLSJO,O,X,O,X,X,O,O,X,O,X,X,X
TIZLSOJ,O,X,O,X,O,O,O,X,O,X,X,X
TIZLOJS,O,X,X,X,O,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,O,O,O,X,X,X,X,X
