sequence,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhFxbBflB0gBlhBzq?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfBlgB/qBOr?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhFTfB0gBlhB/qBOr?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhFTfB0gBlhB2qBCs?BXrB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfBlgB2qBCs?BXrB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhFxbBzfBfmBlhB0q?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfBlgB/qBKr?BWxB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhF8fBqgBlhB/qBxr?BTrB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhFflB0gBlhB6qBxr?BTrB,v115@5gD8GeC8FeF8FeE8CeD8Jem6IvhFCcBTfBlhB/qBxr?BUrB,v115@5gD8GeC8FeF8FeE8CeD8JeT6IvhFxbBykBfmBWsB0q?BlrB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfB/qBFmBCs?BmqB,v115@5gD8GeC8FeF8FeE8CeD8JeT6IvhF1hBmkBCmBxrB/q?BUrB,v115@5gD8GeC8FeF8FeE8CeD8JeT6IvhF2gB3hBxkBFmB0q?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Je06IvhF2kBlhB3lBxrB6q?BTrB,v115@5gD8GeC8FeF8FeE8CeD8JeK/IvhFfgBxbBzgB+rBUn?BlqB,v115@5gD8GeC8FeF8FeE8CeD8JeT/IvhF0gBlhBmfB3lBxr?BSwB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhF8fBCcBTlBxrBXr?BlrB,v115@5gD8GeC8FeF8FeE8CeD8Jex7IvhFmfBfmBlhBTfB0q?BCsB
TILJSZO,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X
TILJSOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
TILJZSO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILJZOS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TILJOZS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILSJZO,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X
TILSJOZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TILSZJO,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TILSZOJ,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TILSOJZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TILZJSO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZJOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZSJO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TILOJZS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILOSJZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
