sequence,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeR8IvhFGeBTgBihBU?jBFnB3sB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeC8IvhFxdB2lBlhB3?iBcoBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8Je37IvhF1hB0dB6jBx?lBmnBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeG8IvhF/iBFeBigBc?oBRmBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeC8IvhFxdB2lBlhBc?nBTjB3sB,v115@zgC8GeB8HeB8HeF8CeG8BeB8Jez7IvhFRdBSjB2lBF?nBXoBUsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeaBJvhFGeBTgBRiBF?nBXoBUsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JecAJvhFxcB6jBXhBe?oBFnBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeaBJvhFxdBTgBGjBF?nB8sBfsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeG+IvhFigBRiBzgBF?nBXoBUsB
TILJSZO,X,O,O,O,X,X,X,X,X,X
TILJSOZ,X,O,O,X,X,X,X,X,X,X
TILJZSO,O,O,O,O,X,X,X,X,X,X
TILJZOS,O,O,O,X,X,X,X,X,X,X
TILJOSZ,X,O,O,X,X,X,X,X,X,X
TILJOZS,X,O,O,X,X,X,X,X,X,X
TILSJZO,X,O,O,O,X,X,X,X,X,O
TILSJOZ,X,O,O,X,X,X,X,X,X,O
TILSZJO,O,O,O,O,O,X,X,X,X,O
TILSZOJ,X,O,O,O,O,X,X,X,X,X
TILSOJZ,X,O,O,X,X,X,X,X,X,O
TILSOZJ,X,O,O,X,O,X,X,X,X,X
TILZJSO,O,O,O,O,X,X,X,X,X,X
TILZJOS,O,O,X,X,X,X,X,X,X,X
TILZSJO,O,O,O,O,X,X,X,X,X,X
TILZSOJ,X,O,O,O,X,X,X,X,X,X
TILZOJS,O,O,X,X,X,X,X,X,X,X
TILZOSJ,X,O,O,X,X,X,X,X,X,X
TILOJSZ,X,O,O,X,X,X,X,X,X,X
TILOJZS,X,O,O,X,X,X,X,X,X,X
TILOSJZ,X,O,O,X,X,X,X,X,X,X
TILOSZJ,X,O,O,X,X,X,X,X,X,X
TILOZJS,O,O,O,X,X,X,X,X,X,X
TILOZSJ,X,O,O,X,X,X,X,X,X,X
TIJLSZO,X,O,O,X,X,X,X,X,X,X
TIJLSOZ,X,O,O,X,X,X,X,X,X,X
TIJLZSO,X,O,O,X,X,X,X,X,X,X
TIJLZOS,X,O,O,X,X,X,X,X,X,X
TIJLOSZ,X,O,O,X,X,X,X,X,X,X
TIJLOZS,X,O,O,X,X,X,X,X,X,X
TIJSLZO,X,X,O,X,X,O,X,X,X,X
TIJSLOZ,X,X,O,X,X,O,X,X,X,X
TIJSZLO,X,X,O,O,X,O,X,X,X,X
TIJSZOL,X,X,O,O,X,O,X,X,X,X
TIJSOLZ,X,X,O,X,X,O,X,X,X,X
TIJSOZL,X,X,O,X,X,O,X,X,X,X
TIJZLSO,X,X,O,X,X,X,X,X,X,X
TIJZLOS,X,X,O,X,X,X,X,X,X,X
TIJZSLO,X,X,O,O,X,X,X,X,X,X
TIJZSOL,X,X,O,O,X,X,X,X,X,X
TIJZOLS,X,X,O,X,X,X,X,X,X,X
TIJZOSL,X,X,O,X,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,X,X,X,X,X,X
TIJOLZS,X,X,O,X,X,X,X,X,X,X
TIJOSLZ,X,X,O,X,X,O,X,X,X,X
TIJOSZL,X,X,O,X,X,O,X,X,X,X
TIJOZLS,X,X,O,X,X,X,X,X,X,X
TIJOZSL,X,X,O,X,X,X,X,X,X,X
TISLJZO,X,O,O,O,X,O,X,X,X,O
TISLJOZ,X,O,O,X,X,O,O,X,X,O
TISLZJO,X,O,O,O,O,O,X,X,X,O
TISLZOJ,X,O,O,O,O,X,X,X,X,X
TISLOJZ,X,O,O,X,X,O,O,X,X,O
TISLOZJ,X,O,O,X,O,X,O,X,X,X
TISJLZO,X,X,O,X,X,O,X,X,X,O
TISJLOZ,X,X,O,X,X,O,O,X,X,O
TISJZLO,X,X,O,O,X,O,X,X,X,O
TISJZOL,X,X,O,O,X,O,O,X,X,X
TISJOLZ,X,X,O,X,X,O,O,X,X,O
TISJOZL,X,X,O,X,X,O,O,X,X,X
TISZLJO,X,X,O,O,X,X,X,X,X,O
TISZLOJ,X,X,O,O,X,X,X,X,X,X
TISZJLO,X,X,O,O,X,X,X,X,X,O
TISZJOL,X,X,O,O,X,X,O,X,X,X
TISZOLJ,X,X,O,O,X,X,O,X,X,X
TISZOJL,X,X,O,O,X,X,O,X,X,X
TISOLJZ,X,X,O,X,X,X,O,X,X,O
TISOLZJ,X,X,O,X,O,X,O,X,X,X
TISOJLZ,X,X,O,X,X,X,O,X,X,O
