sequence,v115@7gB8HeB8FeG8CeF8CeE8JeO/IvhFVgBahB5hBTdBfr?BUqB,v115@7gB8HeB8FeG8CeF8CeE8JeO/IvhF8fB5hBTdB1lB3q?BarB,v115@7gB8HeB8FeG8CeF8CeE8JeO/IvhF0bBxcBzfBCiBFr?B3qB,v115@7gB8HeB8FeG8CeF8CeE8JeK/IvhFzaBGdBRhBllBcr?B3qB,v115@7gB8HeB8FeG8CeF8CeE8JeO/IvhF8fB5hBTdBamB3g?B1vB,v115@7gB8HeB8FeG8CeF8CeE8Jem6IvhFRcBSiBTfBllBcr?B3qB,v115@7gB8HeB8FeG8CeF8CeE8Jex6IvhFTdBifBGhBXhBFr?BUqB
TILJSZO,X,X,O,X,O,X,X
TILJSOZ,X,X,O,X,O,X,O
TILJZSO,X,X,O,O,O,X,O
TILJZOS,X,X,O,O,O,X,O
TILJOSZ,X,X,O,X,O,X,O
TILJOZS,X,X,O,O,O,X,O
TILSJZO,X,X,O,X,O,X,X
TILSJOZ,X,X,O,X,O,X,O
TILSZJO,X,X,O,X,O,X,O
TILSZOJ,X,X,O,X,O,X,O
TILSOJZ,X,X,O,X,O,X,O
TILSOZJ,X,X,O,X,O,X,O
TILZJSO,X,X,O,X,O,X,O
TILZJOS,X,X,O,X,O,X,O
TILZSJO,X,X,O,X,O,X,O
TILZSOJ,X,X,O,X,O,X,O
TILZOJS,X,X,O,X,O,X,O
TILZOSJ,X,X,O,X,O,X,O
TILOJSZ,X,X,O,X,O,X,O
TILOJZS,X,X,O,O,O,X,O
TILOSJZ,X,X,O,X,O,X,O
TILOSZJ,X,X,O,X,O,X,O
TILOZJS,X,X,O,X,O,X,O
TILOZSJ,X,X,O,X,O,X,O
TIJLSZO,X,X,O,X,O,X,X
TIJLSOZ,X,X,O,X,O,X,O
TIJLZSO,X,X,O,O,O,X,X
TIJLZOS,X,X,O,O,O,X,O
TIJLOSZ,X,X,O,X,O,X,O
TIJLOZS,X,X,O,O,O,X,O
TIJSLZO,O,X,O,X,O,X,X
TIJSLOZ,O,X,O,X,O,X,X
TIJSZLO,O,O,O,X,O,X,X
TIJSZOL,O,O,O,X,O,X,X
TIJSOLZ,O,X,X,X,O,X,X
TIJSOZL,O,O,X,X,O,X,X
TIJZLSO,X,X,X,O,O,X,O
TIJZLOS,X,X,X,O,O,X,O
TIJZSLO,X,O,X,O,O,X,X
TIJZSOL,X,O,X,X,O,X,X
TIJZOLS,X,X,X,O,O,X,O
TIJZOSL,X,O,X,X,O,X,X
TIJOLSZ,X,X,O,X,O,X,O
TIJOLZS,X,X,O,X,O,X,O
TIJOSLZ,O,X,X,X,O,X,X
TIJOSZL,O,O,X,X,O,X,X
TIJOZLS,X,X,O,X,O,X,O
TIJOZSL,X,O,O,X,O,X,X
TISLJZO,O,X,O,X,O,X,X
TISLJOZ,O,X,O,X,O,X,X
TISLZJO,O,O,O,X,O,X,X
TISLZOJ,O,O,O,X,O,X,X
TISLOJZ,O,X,O,X,O,X,X
TISLOZJ,O,O,O,X,O,X,X
TISJLZO,O,X,O,X,O,X,X
TISJLOZ,O,X,O,X,O,X,X
TISJZLO,O,O,O,X,O,X,X
TISJZOL,O,O,O,X,O,X,X
TISJOLZ,O,X,X,X,O,X,X
TISJOZL,O,O,X,X,O,X,X
TISZLJO,O,O,O,X,O,X,X
TISZLOJ,O,O,O,X,O,X,X
TISZJLO,O,O,O,X,O,X,X
TISZJOL,O,O,O,X,O,X,X
TISZOLJ,O,O,O,X,O,X,X
TISZOJL,O,O,O,X,O,X,X
TISOLJZ,O,X,O,X,O,X,X
TISOLZJ,O,O,O,X,O,X,X
TISOJLZ,O,X,O,X,O,X,X
TISOJZL,O,O,O,X,O,X,X
TISOZLJ,O,O,O,X,O,X,X
TISOZJL,O,O,O,X,O,X,X
TIZLJSO,X,X,X,X,O,X,O
TIZLJOS,X,X,X,X,O,X,O
TIZLSJO,X,X,X,X,O,X,O
