sequence,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFxbB0dB6jB/?qBFmBmqB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhF0bBxdBKlBG?jBFmBXrB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFXcBxdBKlBG?jBFmB0qB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFxbB0dB6jBl?gB2qBXrB,v115@ChB8CeB8DeC8AeB8CeH8BeE8Je2/IvhFXcB0dB6jBx?lBFlBzqB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFZgB0dB6jBX?mBuqBFrB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhFFcB0dB6jBx?lBmqB/qB,v115@ChB8CeB8DeC8AeB8CeH8BeE8JeT6IvhF1gB0dB6jBx?lB2qBXrB
TILJSZO,X,O,O,X,O,X,O,X
TILJSOZ,X,O,O,X,X,X,O,X
TILJZSO,X,O,O,X,O,X,O,X
TILJZOS,X,O,O,O,O,X,O,O
TILJOSZ,X,O,O,X,O,X,O,X
TILJOZS,X,O,O,O,O,X,O,O
TILSJZO,X,X,O,X,O,O,X,X
TILSJOZ,X,X,O,X,X,O,X,X
TILSZJO,X,X,X,X,O,O,X,X
TILSZOJ,X,X,X,X,X,O,X,O
TILSOJZ,X,X,O,X,X,O,X,X
TILSOZJ,X,X,X,X,X,O,X,O
TILZJSO,X,O,X,X,O,X,O,X
TILZJOS,X,O,X,O,O,X,O,O
TILZSJO,X,X,X,X,O,O,X,X
TILZSOJ,X,X,X,X,X,O,X,O
TILZOJS,X,O,X,O,O,X,O,O
TILZOSJ,O,X,X,X,O,O,X,O
TILOJSZ,X,O,O,X,O,X,O,X
TILOJZS,X,O,O,X,O,X,O,O
TILOSJZ,X,X,O,X,O,O,X,X
TILOSZJ,X,X,X,X,O,O,X,O
TILOZJS,X,O,X,O,O,X,O,O
TILOZSJ,O,X,X,X,O,O,X,O
TIJLSZO,X,O,O,X,O,X,X,X
TIJLSOZ,X,O,O,X,X,X,X,X
TIJLZSO,X,O,O,X,O,X,X,X
TIJLZOS,X,O,O,O,O,X,X,O
TIJLOSZ,X,O,O,X,O,X,X,X
TIJLOZS,X,O,O,O,O,X,X,O
TIJSLZO,X,O,O,X,O,X,X,X
TIJSLOZ,X,O,O,X,X,X,X,X
TIJSZLO,X,X,O,X,O,X,X,X
TIJSZOL,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,O,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X
TIJZLSO,X,O,O,X,O,X,X,X
TIJZLOS,X,O,O,O,O,X,X,O
TIJZSLO,X,X,O,X,O,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,O,X,X,X,O
TIJZOSL,X,X,X,X,X,X,X,X
TIJOLSZ,X,O,O,X,X,X,X,X
TIJOLZS,X,O,O,O,X,X,X,O
TIJOSLZ,X,X,O,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,O,X,X,X,O
TIJOZSL,X,X,X,X,X,X,X,X
TISLJZO,X,X,O,X,O,O,X,X
TISLJOZ,X,X,O,X,X,O,X,X
TISLZJO,X,X,X,X,O,O,X,X
TISLZOJ,X,X,X,X,X,O,X,O
TISLOJZ,X,X,O,X,X,O,X,X
TISLOZJ,X,X,X,X,X,O,X,O
TISJLZO,X,X,O,X,O,O,X,X
TISJLOZ,X,X,O,X,X,O,X,X
TISJZLO,X,X,O,X,O,O,X,X
TISJZOL,X,X,X,X,X,O,X,X
TISJOLZ,X,X,O,X,X,O,X,X
TISJOZL,X,X,X,X,X,O,X,X
TISZLJO,X,X,X,X,O,O,X,X
TISZLOJ,X,X,X,X,X,O,X,O
TISZJLO,X,X,X,X,O,O,X,X
TISZJOL,X,X,X,X,X,O,X,X
TISZOLJ,X,X,X,X,X,O,X,O
TISZOJL,X,X,X,X,X,O,X,X
TISOLJZ,X,X,X,X,X,O,X,X
TISOLZJ,X,X,X,X,X,O,X,O
TISOJLZ,X,X,X,X,X,O,X,X
TISOJZL,X,X,X,X,X,O,X,X
TISOZLJ,X,X,X,X,X,O,X,O
TISOZJL,X,X,X,X,X,O,X,X
TIZLJSO,X,X,X,X,O,X,O,X
TIZLJOS,X,X,X,O,O,X,O,O
TIZLSJO,X,X,X,X,O,O,X,X
TIZLSOJ,X,X,X,X,X,O,X,O
TIZLOJS,X,X,X,O,O,X,O,O
TIZLOSJ,O,X,X,X,O,O,X,O
TIZJLSO,X,X,X,X,O,X,X,X
TIZJLOS,X,X,X,O,O,X,X,O
TIZJSLO,X,X,X,X,O,X,X,X
TIZJSOL,X,X,X,X,X,X,X,X
TIZJOLS,X,X,X,O,X,X,X,O
TIZJOSL,X,X,X,X,X,X,X,X
TIZSLJO,X,X,X,X,O,O,X,X
TIZSLOJ,X,X,X,X,X,O,X,O
TIZSJLO,X,X,X,X,O,O,X,X
TIZSJOL,X,X,X,X,X,O,X,X
TIZSOLJ,X,X,X,X,X,O,X,O
TIZSOJL,X,X,X,X,X,O,X,X
TIZOLJS,X,X,X,O,X,X,O,O
TIZOLSJ,O,X,X,X,X,O,X,O
TIZOJLS,X,X,X,X,X,X,X,O
TIZOJSL,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,O,X,O
TIZOSJL,X,X,X,X,X,O,X,X
TIOLJSZ,X,X,X,X,X,X,O,X
TIOLJZS,X,X,X,X,X,X,O,O
TIOLSJZ,X,X,X,X,X,O,X,X
TIOLSZJ,X,X,X,X,X,O,X,O
TIOLZJS,X,X,X,O,X,X,O,O
TIOLZSJ,O,X,X,X,X,O,X,O
TIOJLSZ,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,O
TIOJSLZ,X,X,X,X,X,X,X,X
TIOJSZL,X,X,X,X,X,X,X,X
TIOJZLS,X,X,X,X,X,X,X,O
TIOJZSL,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,O,X,X
TIOSLZJ,X,X,X,X,X,O,X,O
TIOSJLZ,X,X,X,X,X,O,X,X
TIOSJZL,X,X,X,X,X,O,X,X
TIOSZLJ,X,X,X,X,X,O,X,O
TIOSZJL,X,X,X,X,X,O,X,X
TIOZLJS,X,X,X,O,X,X,O,O
TIOZLSJ,O,X,X,X,X,O,X,O
TIOZJLS,X,X,X,X,X,X,X,O
TIOZJSL,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,O,X,O
TIOZSJL,X,X,X,X,X,O,X,X
TLIJSZO,X,O,O,X,O,X,O,X
TLIJSOZ,X,O,O,X,X,X,O,X
TLIJZSO,X,O,O,X,O,X,O,X
TLIJZOS,X,O,O,O,O,X,O,X
TLIJOSZ,X,O,O,X,O,X,O,X
TLIJOZS,X,O,O,O,O,X,O,X
TLISJZO,X,X,O,X,O,O,X,X
TLISJOZ,X,X,O,X,X,O,X,X
TLISZJO,X,X,X,X,O,O,X,X
TLISZOJ,X,X,X,X,X,O,X,X
TLISOJZ,X,X,O,X,X,O,X,X
