sequence,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcB0gB/qBF?nBTrBmrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBTgB/rBF?nB0qBmrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBlgBUiB/?qBOrBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8Jez6IvhF+gBxcB/mBU?iBlqBywB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBUiB/qBF?mBzrBmqB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeWAJvhFxcB/mBUiBT?gBlqBywB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBlgBUiB2?qBzrBXrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBTlB/rBF?nB0qBmrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8Jez6IvhFXdBilBFnB5?lB0rBOrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeG7IvhFxcBalB8lBF?nBXrBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBOlB8lBF?nBXrBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFXdB2lBFnBx?qBzqB0rB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeR7IvhFCdBUgBVnBe?rB3lBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcB/qBUmBF?nBmqBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC9IvhFRgBVnB3gBe?rBUlBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhF0cBTgBFnBx?qBerBXsB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeR7IvhFCdB3gBVnBe?rBUlBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeG7IvhFxcBylBFnBU?lBXrBzrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBTgBlhB2?rB0qBXsB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JefAJvhFzgBFnBxqB6?rBOsB0qB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JefAJvhFTcBFnBxqBU?rB6qBOsB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhF0cBlgB/qBx?mBOsBTrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JefAJvhF8gBCdBVnB2?rBTlBRwB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JeC7IvhFxcBlgBUiB/?qBmrBTrB,v115@zgA8GeC8FeE8FeD8EeF8DeC8Jez6IvhFfhBFnBxqB0?qB6rBOsB,v115@zgA8GeC8FeE8FeD8EeF8DeC8JefAJvhF0bBFnBxqBz?qB6rBOsB
TILJSZO,O,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X
TILJSOZ,X,X,O,O,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X
TILJZSO,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X
TILJZOS,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TILJOSZ,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TILJOZS,X,X,X,O,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TILSJZO,O,O,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X
TILSJOZ,X,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X
TILSZJO,O,O,O,O,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,O,X,X
TILSZOJ,O,O,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X
TILSOJZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O
TILSOZJ,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O
TILZJSO,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X
TILZJOS,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TILZSJO,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,O,O,O,X
TILZSOJ,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X
TILZOJS,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TILZOSJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TILOJSZ,O,X,O,O,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X
TILOJZS,X,X,O,O,X,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
TILOSJZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O
TILOSZJ,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TILOZJS,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
