sequence,v115@GhA8HeB8HeB8BeC8AeD8Jex/IvhF8lBzhBunBikB3p?BlrB,v115@GhA8HeB8HeB8BeC8AeD8JeZEJvhFzfBfmBlhBunB8r?BCqB,v115@GhA8HeB8HeB8BeC8AeD8Jei/IvhFRhBunBFlBXmB8r?BTpB,v115@GhA8HeB8HeB8BeC8AeD8Jex/IvhF0hBliB2pBzlBCs?B3pB,v115@GhA8HeB8HeB8BeC8AeD8JeUBJvhFRiB/pBFlBTnBGr?BipB,v115@GhA8HeB8HeB8BeC8AeD8Je2EJvhFRhB3iBFmBUlBTp?BCsB,v115@GhA8HeB8HeB8BeC8AeD8JexAJvhFliB6pBTlB/rBUn?BOpB
TILJSZO,X,O,O,X,X,X,X
TILJSOZ,X,O,X,X,X,O,X
TILJZSO,X,O,O,X,X,X,X
TILJZOS,X,O,O,X,X,X,X
TILJOSZ,X,O,X,X,X,O,X
TILJOZS,X,O,O,X,X,O,X
TILSJZO,X,O,O,X,X,X,X
TILSJOZ,X,O,X,X,X,O,X
TILSZJO,X,O,X,X,X,X,X
TILSZOJ,X,O,X,X,X,O,X
TILSOJZ,X,O,X,X,X,O,X
TILSOZJ,X,O,X,X,X,O,X
TILZJSO,X,O,O,X,X,X,X
TILZJOS,X,O,O,X,X,X,X
TILZSJO,X,O,O,X,X,X,X
TILZSOJ,X,O,O,X,X,O,O
TILZOJS,X,O,O,X,X,O,X
TILZOSJ,X,O,X,X,X,O,O
TILOJSZ,X,O,X,X,X,O,X
TILOJZS,X,O,O,X,X,O,X
TILOSJZ,X,O,X,X,X,O,X
TILOSZJ,X,O,X,X,X,O,X
TILOZJS,X,O,X,X,X,O,X
TILOZSJ,X,O,X,X,X,O,O
TIJLSZO,X,O,O,X,X,X,X
TIJLSOZ,X,O,X,X,X,X,X
TIJLZSO,X,O,O,X,X,X,X
TIJLZOS,X,O,O,X,X,X,X
TIJLOSZ,X,O,X,O,X,X,X
TIJLOZS,X,O,O,O,X,X,X
TIJSLZO,O,O,O,X,X,X,X
TIJSLOZ,O,O,X,X,X,X,X
TIJSZLO,O,O,X,X,X,X,X
TIJSZOL,O,O,X,X,X,X,X
TIJSOLZ,O,X,X,O,X,O,X
TIJSOZL,O,X,X,X,X,O,X
TIJZLSO,X,O,O,X,X,X,X
TIJZLOS,O,O,O,X,X,X,X
TIJZSLO,O,O,O,X,X,X,X
TIJZSOL,O,O,O,X,X,X,X
TIJZOLS,O,X,O,O,X,X,X
TIJZOSL,O,O,X,X,X,X,X
TIJOLSZ,X,X,X,O,X,O,X
TIJOLZS,X,X,O,O,X,X,X
TIJOSLZ,O,X,X,O,X,O,X
TIJOSZL,O,X,X,X,X,O,X
TIJOZLS,O,X,X,O,X,X,X
TIJOZSL,O,X,X,X,X,O,X
TISLJZO,O,O,O,X,X,X,X
TISLJOZ,O,O,X,X,X,X,X
TISLZJO,O,O,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X
TISLOJZ,O,O,X,X,X,O,X
TISLOZJ,O,O,X,X,X,X,X
TISJLZO,O,O,O,X,X,X,X
TISJLOZ,O,O,X,X,X,X,X
TISJZLO,O,O,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X
TISJOLZ,O,X,X,X,X,O,X
TISJOZL,O,X,X,X,X,O,X
