sequence,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhFXcBTdBOkB8kBSm?BlqB,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhF8gBGdBKkBzfB3h?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeO/IvhF6hBTdBRgB0gB3k?BlqB,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhF8gB+hBTdBifB3k?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhFCbBTdB8kBGhBXh?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhF8gBGdBzfB3hBCl?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhFufBTdBcmBXlBll?BCrB,v115@7gB8HeB8FeD8EeH8AeF8Jex6IvhF8gBSiBmfB3hBTk?BlqB,v115@7gB8HeB8FeD8EeH8AeF8JeZ/IvhFlbB+hBTdBClBfl?B8qB,v115@7gB8HeB8FeD8EeH8AeF8JeG8IvhFTdB/kBxlBFlB8q?BipB
TILJSZO,X,O,X,X,X,O,X,O,O,X
TILJSOZ,X,O,X,X,X,O,X,X,O,X
TILJZSO,X,O,X,X,O,X,X,O,O,X
TILJZOS,X,O,X,X,O,X,X,O,O,X
TILJOSZ,X,O,X,X,X,O,X,X,O,X
TILJOZS,X,O,X,X,O,X,X,O,O,X
TILSJZO,X,O,O,X,X,O,X,X,X,X
TILSJOZ,O,O,O,X,X,O,X,X,X,X
TILSZJO,O,O,O,X,X,O,X,X,X,X
TILSZOJ,O,O,O,X,X,O,X,X,X,X
TILSOJZ,O,O,O,X,X,O,X,X,X,X
TILSOZJ,O,O,O,X,X,O,X,X,X,X
TILZJSO,O,O,X,X,O,X,X,O,X,X
TILZJOS,O,O,X,X,O,X,X,O,X,X
TILZSJO,O,O,X,X,O,X,X,X,X,X
TILZSOJ,O,X,X,X,O,X,X,X,X,X
TILZOJS,O,O,X,X,O,X,X,O,X,X
TILZOSJ,O,O,X,X,O,X,X,X,X,X
TILOJSZ,X,O,X,X,X,O,X,O,O,X
TILOJZS,X,O,X,X,O,X,X,O,O,X
TILOSJZ,O,O,O,X,X,O,X,X,X,X
TILOSZJ,O,O,O,X,X,O,X,X,X,X
TILOZJS,O,O,X,X,O,X,X,O,X,X
TILOZSJ,O,O,X,X,O,X,X,X,X,X
TIJLSZO,X,O,X,X,X,O,X,O,O,X
TIJLSOZ,X,O,X,X,X,O,X,X,O,X
TIJLZSO,X,O,X,X,O,X,X,O,O,X
TIJLZOS,X,O,X,X,O,X,X,O,O,X
TIJLOSZ,X,O,X,X,X,O,X,X,O,X
TIJLOZS,X,O,X,X,O,X,X,O,O,X
TIJSLZO,X,O,X,O,X,O,X,O,X,X
TIJSLOZ,X,O,X,O,X,O,X,X,X,X
TIJSZLO,X,O,X,O,O,O,X,O,X,O
TIJSZOL,X,O,X,O,O,O,X,X,X,O
TIJSOLZ,X,X,X,O,X,O,X,X,X,X
TIJSOZL,X,X,X,O,O,O,X,X,X,O
TIJZLSO,X,O,X,X,O,X,X,O,X,X
TIJZLOS,X,O,X,O,O,X,X,O,X,X
TIJZSLO,X,O,X,O,O,O,X,O,X,X
TIJZSOL,X,O,X,O,O,O,X,X,X,X
TIJZOLS,X,O,X,O,O,X,X,O,X,X
TIJZOSL,X,O,X,O,O,O,X,X,X,X
TIJOLSZ,X,X,X,X,X,O,X,X,O,X
TIJOLZS,X,X,X,X,O,X,X,O,O,X
TIJOSLZ,X,X,X,O,X,O,X,X,X,X
TIJOSZL,X,X,X,O,O,O,X,X,X,O
TIJOZLS,X,X,X,O,O,X,X,O,X,X
TIJOZSL,X,X,X,O,O,O,X,X,X,X
TISLJZO,X,O,O,O,X,O,X,X,X,X
TISLJOZ,X,O,O,O,X,O,X,X,X,X
TISLZJO,X,O,O,O,X,O,X,X,X,X
TISLZOJ,X,O,O,O,X,O,X,X,X,X
TISLOJZ,X,O,O,O,X,O,X,X,X,X
TISLOZJ,X,O,O,O,X,O,X,X,X,X
TISJLZO,X,O,O,O,X,O,X,X,X,X
TISJLOZ,X,O,O,O,X,O,X,X,X,X
TISJZLO,X,O,O,O,O,O,O,X,X,O
TISJZOL,X,O,O,O,O,O,O,X,X,O
TISJOLZ,X,X,O,O,X,O,X,X,X,X
TISJOZL,X,X,O,O,O,O,O,X,X,O
TISZLJO,X,O,O,O,O,O,X,X,X,O
TISZLOJ,X,O,O,O,O,O,X,X,X,O
TISZJLO,X,O,O,O,O,O,O,X,X,O
TISZJOL,X,O,O,O,O,O,O,X,X,O
TISZOLJ,X,X,O,X,O,O,X,X,X,O
TISZOJL,X,O,O,O,O,O,O,X,X,O
