sequence,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFxcBlgB3hBaqBGr?B0qB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhF2gBFdB5mBUlBar?B3qB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFxcB3hBFlBCrBOq?BUrB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFxbBXdBFlB8qB+r?BiqB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFxcB3hBFlBGrBiq?B0qB,v115@7gB8GeD8EeF8DeF8DeD8Jei6IvhFfhBxcBzfBumBcq?BVwB,v115@7gB8GeD8EeF8DeF8DeD8Je//IvhFUbBahBFdB5mBmq?BTqB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFxcBUhBFlBCrBOq?B3rB,v115@7gB8GeD8EeF8DeF8DeD8Je//IvhF1gBxcBumBUgBKr?BTqB,v115@7gB8GeD8EeF8DeF8DeD8JeT6IvhFfhBxcBumBFlBUr?BKqB,v115@7gB8GeD8EeF8DeF8DeD8Jex6IvhFXdBUhBFlBCrBmp?BTrB,v115@7gB8GeD8EeF8DeF8DeD8Je37IvhF0fBlhBzlBmkBCn?BxvB
TILJSZO,O,X,X,X,X,O,O,X,X,X,X,X
TILJSOZ,O,X,X,X,X,O,O,X,X,X,X,X
TILJZSO,X,O,X,X,X,O,O,X,X,X,X,X
TILJZOS,X,O,X,X,X,X,O,X,X,X,X,X
TILJOSZ,O,X,X,X,X,X,O,X,X,X,X,X
TILJOZS,X,O,X,X,X,X,O,X,X,X,X,X
TILSJZO,X,X,O,X,X,O,O,X,X,X,X,X
TILSJOZ,O,X,O,X,X,O,O,X,X,X,X,X
TILSZJO,X,O,O,X,X,O,O,X,X,X,O,X
TILSZOJ,O,O,O,X,X,O,O,X,X,X,X,X
TILSOJZ,O,X,O,X,X,O,X,X,X,X,X,X
TILSOZJ,O,O,O,X,X,O,X,X,X,X,X,X
TILZJSO,X,O,X,X,X,O,X,O,X,X,O,X
TILZJOS,X,O,X,X,X,X,X,O,X,X,O,X
TILZSJO,X,O,X,X,X,O,X,O,X,X,O,X
TILZSOJ,X,O,X,X,X,O,X,O,X,X,X,X
TILZOJS,X,O,X,X,X,X,X,O,X,X,X,X
TILZOSJ,X,O,X,X,X,X,X,O,X,X,X,X
TILOJSZ,O,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,O,X,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,O,X,X,X,X,X,X,X,X,X
TILOSZJ,O,O,O,X,X,X,X,X,X,X,X,O
TILOZJS,X,O,X,X,X,X,X,O,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,O,X,X,X,O
TIJLSZO,O,X,X,X,X,O,O,X,O,X,X,X
TIJLSOZ,O,X,X,X,X,O,O,X,O,X,X,X
TIJLZSO,X,O,X,X,X,O,O,X,O,X,X,X
TIJLZOS,X,O,X,X,X,X,O,X,X,X,X,X
TIJLOSZ,O,X,X,X,X,X,O,X,O,X,X,X
TIJLOZS,X,O,X,X,X,X,O,X,O,X,X,X
TIJSLZO,O,X,X,X,O,O,O,X,O,X,X,X
TIJSLOZ,O,X,X,X,O,O,O,X,O,X,X,X
TIJSZLO,X,X,X,X,O,O,O,X,X,X,X,X
TIJSZOL,X,X,X,X,O,O,O,X,X,X,X,X
TIJSOLZ,X,X,X,X,O,O,O,X,O,X,X,X
TIJSOZL,X,X,X,X,O,O,O,X,X,X,X,X
TIJZLSO,X,O,X,X,X,O,O,X,X,X,X,X
TIJZLOS,X,O,X,X,X,X,O,X,X,X,X,X
TIJZSLO,X,X,X,X,X,O,O,X,X,O,X,X
TIJZSOL,X,O,X,X,X,O,O,X,X,O,X,X
TIJZOLS,X,O,X,X,X,O,O,X,X,X,X,X
TIJZOSL,X,O,X,X,X,O,O,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,O,X,O,X,X,X
TIJOLZS,X,O,X,X,X,X,O,X,O,X,X,X
TIJOSLZ,X,X,X,X,O,O,O,X,O,X,X,X
TIJOSZL,X,X,X,X,O,O,O,X,X,X,X,O
TIJOZLS,X,O,X,X,X,X,O,X,X,X,X,X
TIJOZSL,X,O,X,X,X,X,O,X,X,X,X,O
TISLJZO,X,X,O,X,X,O,O,X,X,X,X,X
TISLJOZ,O,X,O,X,X,O,O,X,X,X,X,X
TISLZJO,X,O,O,X,X,O,O,X,X,X,O,X
TISLZOJ,O,O,O,X,X,O,O,X,X,X,X,X
TISLOJZ,O,X,O,X,X,O,X,X,X,X,X,X
TISLOZJ,O,O,O,X,X,O,X,X,X,X,X,X
TISJLZO,O,X,O,X,O,O,O,X,O,X,X,X
TISJLOZ,O,X,O,X,O,O,O,X,O,X,X,X
TISJZLO,X,X,X,X,O,O,O,X,X,X,X,X
TISJZOL,X,X,X,X,O,O,O,X,X,X,X,X
TISJOLZ,X,X,O,X,O,O,O,X,O,X,X,X
TISJOZL,X,X,X,X,O,O,O,X,X,X,X,X
TISZLJO,X,O,O,X,X,O,O,X,X,X,X,X
TISZLOJ,X,O,O,X,X,O,O,X,X,X,X,X
TISZJLO,X,X,X,X,X,O,O,X,X,X,X,X
TISZJOL,X,O,X,X,X,O,O,X,X,X,X,X
TISZOLJ,X,O,O,X,X,O,O,X,X,X,X,X
TISZOJL,X,O,X,X,X,O,X,X,X,X,X,X
TISOLJZ,O,X,O,X,X,O,X,X,X,X,X,X
TISOLZJ,O,O,O,X,X,O,X,X,X,X,X,O
TISOJLZ,X,X,O,X,O,X,O,X,O,X,X,X
TISOJZL,X,X,X,X,O,X,O,X,X,X,X,O
TISOZLJ,X,O,O,X,X,O,O,X,X,X,X,O
TISOZJL,X,O,X,X,X,O,X,X,X,X,X,O
TIZLJSO,X,O,X,X,X,O,X,O,X,X,O,X
TIZLJOS,X,O,X,X,X,X,X,O,X,X,O,X
TIZLSJO,X,O,X,X,X,O,X,O,X,X,O,X
TIZLSOJ,X,O,X,X,X,O,X,O,X,X,X,X
TIZLOJS,X,O,X,X,X,X,X,O,X,X,X,X
TIZLOSJ,X,O,X,X,X,X,X,O,X,X,X,X
TIZJLSO,X,O,X,X,X,O,O,X,X,X,X,X
TIZJLOS,X,O,X,X,X,X,O,X,X,X,X,X
TIZJSLO,X,X,X,X,X,O,O,X,X,O,X,X
TIZJSOL,X,O,X,X,X,O,O,X,X,O,X,X
TIZJOLS,X,O,X,X,X,O,O,X,X,X,X,X
TIZJOSL,X,O,X,X,X,O,O,X,X,X,X,X
TIZSLJO,X,O,X,X,X,O,O,X,X,X,X,X
TIZSLOJ,X,O,X,X,X,O,O,X,X,X,X,X
TIZSJLO,X,X,X,X,X,O,O,X,X,O,X,X
TIZSJOL,X,O,X,X,X,O,O,X,X,O,X,X
TIZSOLJ,X,O,X,X,X,O,O,X,X,X,X,X
TIZSOJL,X,O,X,X,X,O,X,X,X,X,X,X
TIZOLJS,X,O,X,X,X,O,X,O,X,X,X,X
