sequence,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeT7IvhFxcBWlB/mBU?iBlqBywB,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeT7IvhFxcBflBuqBF?nB0rBirB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Jex8IvhFflBlgBUiBO?rB6qBzrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je6AJvhFxcBzfBlhB/?rBOsB0qB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je6AJvhFXdBzfBFnBx?qBerB0rB,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeT7IvhFxcBflBFnBC?rBUrBmrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je6AJvhFxcBzfB/rBF?nB0qBmrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeX7IvhFxcBChBVnBU?lBerBzrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je08IvhFflBlgBxmB6?qBOsBTrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeZBJvhFCdBGgBVnBX?gB0qBzrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeX9IvhFCgBFnBxqBe?rBTlB0rB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Jem7IvhFFdBCgBcmBT?lBXnBRwB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je8/IvhFqgBxcB/qBF?nBTrBmrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Jex7IvhFXdBCgBTlBF?nB0rBerB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je08IvhFCgBFnBxqBe?rBTlBXsB,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeX7IvhFCdBVnBRlBm?qBzrB8qB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Jex7IvhFCgB/qBUmBF?nBOsBTrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Jex8IvhFCgBTlB/rBF?nBmrB0qB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je07IvhFCdBzfBVnB3?lB2rBRwB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je8/IvhFzbBXdBWnBx?qBywBlqB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Jei7IvhFchBflB5lBF?nBTrBOsB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je8/IvhFugBCdBZmBV?nB/qBzrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeT7IvhFCdBflB8lBV?nB2rBRwB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je8/IvhFxcBylBFnB+?lBXrBzrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Jem7IvhFUiBRlBfsBF?lBzqBCsB
IZJLSOT,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,X,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJSTOL,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJSLTO,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJSOLT,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,X,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X
IZSTLOJ,X,X,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X
IZSTJLO,X,O,O,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X
IZSTJOL,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
IZSTOLJ,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,O
IZSTOJL,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O
IZSLTJO,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,O,O,O,X
IZSLTOJ,O,X,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X
IZSLJTO,O,X,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
IZSLJOT,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZSLOTJ,O,X,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,O,X,O
IZSLOJT,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZSJTLO,X,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
IZSJTOL,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
IZSJLTO,X,X,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZSJLOT,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZSJOTL,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O
IZSJOLT,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZSOTLJ,X,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,O
IZSOTJL,X,O,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,O
IZSOLTJ,X,X,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,O
IZSOLJT,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZSOJTL,X,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O
IZSOJLT,X,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZOTLJS,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
IZOTJLS,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,X
IZOTSJL,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,X
IZOLTJS,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IZOLTSJ,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
IZOLJTS,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
IZOLSJT,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTSL,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOJSLT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,O
IZOSTJL,X,X,O,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,O
IZOSLTJ,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,O,X,O
IZOSLJT,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZOSJTL,X,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,O
IZOSJLT,X,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOTLJSZ,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTLJZS,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,X,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTLSZJ,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
IOTLZJS,X,X,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
IOTJLSZ,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTJLZS,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTJSZL,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTJZLS,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTJZSL,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTSLJZ,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTSLZJ,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
IOTSJLZ,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTSJZL,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X,O,X,X
IOTSZLJ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O
IOTSZJL,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O
IOTZLJS,X,X,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
IOTZJLS,X,X,X,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTZJSL,X,O,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTZSLJ,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,O,O,O,X,X
IOTZSJL,X,X,O,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,O,X,O,O,O,X,X
IOLTJSZ,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTJZS,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTSZJ,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
IOLTZJS,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
IOLJTSZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJTZS,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLSTZJ,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
IOLSJTZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O
IOLSZJT,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOLZTSJ,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
IOLZJTS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJST,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
IOLZSJT,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOJTLZS,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOJTSZL,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOJTZLS,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJTZSL,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLTZS,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZST,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJSTZL,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJSLTZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLZT,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IOJSZLT,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLTS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJZSLT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOSTLZJ,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
IOSTJLZ,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSTJZL,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
IOSTZLJ,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O
IOSTZJL,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O
IOSLTJZ,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOSLTZJ,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
IOSLJTZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O
IOSLZJT,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSJTZL,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
IOSJLTZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLZT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O
IOSJZLT,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O
IOSZTJL,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O
IOSZLTJ,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O
IOSZLJT,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O
IOSZJLT,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
IOZTJLS,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,X
IOZTSJL,X,X,O,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,X
IOZLTJS,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOZLTSJ,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
IOZLJTS,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJST,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
IOZLSJT,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,X,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZJSLT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,O
IOZSTJL,X,X,O,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,O
IOZSLTJ,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,O,O,X,O
IOZSLJT,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOZSJTL,X,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,O
IOZSJLT,X,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTIJSZO,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
LTIJSOZ,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZSO,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
LTIJZOS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTIJOZS,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
LTISJZO,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
LTISJOZ,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISZJO,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
LTISZOJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
LTISOJZ,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTISOZJ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
LTIZJSO,X,O,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X
LTIZJOS,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
LTIZSJO,O,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
LTIZSOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
LTIZOJS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
LTIZOSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,O,X,X
LTIOJSZ,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTIOJZS,O,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
LTIOSJZ,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTIOSZJ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
LTIOZJS,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
LTJISZO,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
LTJISOZ,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
LTJIZOS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTJIOZS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
LTJSIZO,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTJSIOZ,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
