sequence,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhFUhBFiB6qBX?nB2wBzsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBCiBllBe?sBXrBzsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jel7IvhF3cBciB6qBT?mBmsBxwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jel7IvhFGdB/mBanB0?lBzsBRwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhFTdBllBUnBX?rByxBGrB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhF3gBFiB6rB0?nBzqB2xB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhF3gBFiB8qB+?rBTnByxB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlB6qB0?nBTrB2xB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlB0lBS?wBmsBTsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBXiBllBm?rBzsBSwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlB0lBO?sBSwBzsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeX8IvhFFiBxlBTnBG?rByxB0qB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhF6hBTdBllB2?sBXrBRxB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFSiBllB3mBm?mBzsBRwB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBzhBllBX?rBmsBSxB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhF3gBFiBTmBW?wBisB0sB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jem7IvhF1lBXiB5mBz?qBisB0sB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Je07IvhFxcBllB3mBm?sBSwBTsB,v115@zgB8FeE8EeD8EeF8FeD8FeA8JeG9IvhFZnBllBcrBz?sB6qB/rB,v115@zgB8FeE8EeD8EeF8FeD8FeA8Jex7IvhFOnBllBcrBz?sBCrBXsB
TILJSZO,X,X,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TILJSOZ,X,X,O,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TILJZSO,O,O,O,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X
TILJZOS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJOSZ,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILJOZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILSJZO,X,X,O,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X
TILSJOZ,X,X,O,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TILSZJO,X,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
TILSZOJ,X,X,O,X,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X
TILSOJZ,X,X,O,O,X,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X
TILSOZJ,X,X,O,X,O,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X
TILZJSO,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TILZJOS,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILZSJO,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TILZSOJ,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TILZOJS,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TILZOSJ,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TILOJSZ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TILOJZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TILOSZJ,X,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TILOZJS,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOZSJ,X,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIJLSZO,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TIJLSOZ,X,O,O,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TIJLZSO,X,O,O,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
TIJLZOS,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJLOZS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJSLZO,X,X,X,O,O,O,X,O,O,X,O,O,O,O,X,X,X,O,X,X
TIJSLOZ,X,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,O,X,X
TIJSZLO,X,X,O,O,X,X,X,O,O,X,O,O,O,O,X,X,X,O,X,X
TIJSZOL,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X
