sequence,v115@6gC8HeD8FeE8CeF8DeD8Jei6IvhFUdBRgBWnBllBTr?B3qB,v115@6gC8HeD8FeE8CeF8DeD8Jei6IvhFRcBUgBFhBTiB+r?B3qB,v115@6gC8HeD8FeE8CeF8DeD8Jei6IvhFRcBUgBGhBTiB/r?B1vB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhFUdB/lBFhBCnBml?BxvB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhF2gBqhB/iBllBUm?BxvB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhFOgB/iBChB0hBVr?BxvB,v115@6gC8HeD8FeE8CeF8DeD8Jei6IvhFUcBFgBTiB3hBWr?BxvB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhF0bB/lBGiBimBlm?BxvB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhFUdBxmBGrB/qBFr?BiqB,v115@6gC8HeD8FeE8CeF8DeD8Jex6IvhF8gBzcBmfBSnB/r?B1vB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhFXcBViB0lBxmBSw?BOqB,v115@6gC8HeD8FeE8CeF8DeD8Jei6IvhFGcB/iBRgBlmBUr?BTqB,v115@6gC8HeD8FeE8CeF8DeD8Jex6IvhF/iB0lBlmB6rBmp?BzqB,v115@6gC8HeD8FeE8CeF8DeD8Je/CJvhFxfB0lBlmBTrBmp?BCrB,v115@6gC8HeD8FeE8CeF8DeD8Je2/IvhFRbBShB/iBlmBUr?BTqB,v115@6gC8HeD8FeE8CeF8DeD8Je/CJvhFxfB0hBllBTrBmp?BCrB,v115@6gC8HeD8FeE8CeF8DeD8JeT6IvhFShB/iBlmBUrBZl?BuqB
TILJSZO,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TILJZOS,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TILJOSZ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TILSJZO,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TILSJOZ,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TILSZOJ,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X
TILSOJZ,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TILZSJO,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X
TILZSOJ,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TILZOJS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TILZOSJ,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TILOJSZ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TILOSJZ,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TILOZJS,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TILOZSJ,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJLSZO,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TIJLZOS,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJSLZO,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,O,X
TIJSOLZ,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
