sequence,v115@7gB8GeD8GeE8DeH8BeC8Jei6IvhF5gBOhBXdBzfBFn?B0rB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegB5gB0cBKmBFn?BXsB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegB5gBXdBKmBFn?B0rB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhF2gBXdBRlBFnBCm?B0rB,v115@7gB8GeD8GeE8DeH8BeC8Je//IvhFRbBCdBmgBVnB0l?BzrB,v115@7gB8GeD8GeE8DeH8BeC8Jex6IvhFTcB0fB6lB/rBFn?BOsB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegBFdBChBUhBRr?BXsB,v115@7gB8GeD8GeE8DeH8BeC8JeT6IvhFegBRhBUmBFnBCm?BXsB,v115@7gB8GeD8GeE8DeH8BeC8Je2/IvhF5gB0cBKmBzfBFn?BXsB
TILJSZO,O,O,O,X,X,X,O,X,O
TILJSOZ,O,O,O,O,X,X,O,X,X
TILJZSO,X,O,O,O,X,X,X,X,O
TILJZOS,X,O,O,O,X,X,O,X,O
TILJOSZ,X,O,O,O,X,X,O,X,X
TILJOZS,X,O,O,O,X,X,O,O,O
TILSJZO,O,O,O,X,O,X,O,X,O
TILSJOZ,O,O,O,O,X,X,O,X,X
TILSZJO,O,O,O,X,O,X,O,X,O
TILSZOJ,X,X,X,X,O,X,O,X,X
TILSOJZ,O,X,O,O,X,X,O,X,X
TILSOZJ,O,X,X,X,O,X,O,X,X
TILZJSO,O,O,O,O,O,X,X,X,O
TILZJOS,O,O,O,O,X,X,O,X,O
TILZSJO,O,O,O,O,O,X,X,X,O
TILZSOJ,O,X,X,O,O,X,X,X,X
TILZOJS,O,O,X,O,X,X,O,X,O
TILZOSJ,O,X,X,O,X,X,X,X,X
TILOJSZ,O,O,O,O,X,X,O,X,X
TILOJZS,X,O,O,O,X,X,O,O,O
TILOSJZ,O,X,O,O,X,X,O,X,X
TILOSZJ,O,X,X,X,X,X,O,X,X
TILOZJS,X,O,X,O,X,X,O,X,O
TILOZSJ,O,X,X,O,X,X,X,X,X
TIJLSZO,O,O,O,X,X,X,O,X,O
TIJLSOZ,O,O,O,O,X,X,O,X,X
TIJLZSO,X,O,O,O,X,X,X,X,O
TIJLZOS,X,O,O,O,X,X,O,X,O
TIJLOSZ,X,O,O,O,X,X,O,X,X
TIJLOZS,X,O,O,O,X,X,O,O,O
TIJSLZO,O,X,O,X,X,X,O,X,X
TIJSLOZ,O,X,O,O,X,X,O,X,X
TIJSZLO,O,X,X,O,X,X,O,X,X
TIJSZOL,O,X,X,O,X,X,O,X,X
TIJSOLZ,O,X,O,O,X,X,O,X,X
TIJSOZL,O,X,X,O,X,X,O,O,X
TIJZLSO,X,O,X,O,X,X,X,X,O
TIJZLOS,X,O,X,O,X,X,O,O,O
TIJZSLO,X,X,X,O,X,X,O,X,X
TIJZSOL,X,X,X,O,X,X,O,O,X
TIJZOLS,X,O,X,O,X,X,O,O,X
TIJZOSL,X,X,X,O,X,X,O,O,X
TIJOLSZ,O,O,O,O,X,X,O,X,X
TIJOLZS,X,O,O,O,X,X,O,O,X
TIJOSLZ,O,X,O,O,X,X,O,X,X
TIJOSZL,O,X,X,O,X,X,O,O,X
TIJOZLS,X,O,X,O,X,X,O,O,X
TIJOZSL,X,X,X,O,X,X,O,O,X
TISLJZO,O,X,O,X,O,X,O,X,X
TISLJOZ,O,X,O,O,X,X,O,X,X
TISLZJO,O,X,O,X,O,X,O,X,X
TISLZOJ,X,X,X,X,O,X,O,X,X
TISLOJZ,O,X,O,O,X,X,O,X,X
TISLOZJ,O,X,X,X,O,X,O,X,X
TISJLZO,O,X,O,X,O,X,O,X,X
TISJLOZ,O,X,O,O,X,X,O,X,X
TISJZLO,O,X,X,O,X,X,O,X,X
TISJZOL,O,X,X,O,X,X,O,X,X
TISJOLZ,O,X,O,O,X,X,O,X,X
TISJOZL,O,X,X,O,X,X,O,O,X
TISZLJO,O,X,X,O,O,X,O,X,X
TISZLOJ,X,X,X,O,O,X,O,X,X
TISZJLO,O,X,X,O,O,X,O,X,X
TISZJOL,O,X,X,O,O,X,O,X,X
TISZOLJ,O,X,X,O,O,X,O,X,X
TISZOJL,O,X,X,O,X,X,O,X,X
TISOLJZ,O,X,O,O,X,X,O,X,X
TISOLZJ,O,X,X,X,O,X,O,X,X
TISOJLZ,O,X,O,O,X,X,O,X,X
TISOJZL,O,X,X,O,X,X,O,O,X
TISOZLJ,O,X,X,O,X,X,O,X,X
TISOZJL,O,X,X,O,X,X,O,X,X
TIZLJSO,O,O,X,O,O,X,X,X,O
TIZLJOS,O,O,X,O,X,X,O,O,O
TIZLSJO,O,O,X,O,O,X,X,X,O
TIZLSOJ,O,X,X,O,O,X,X,X,X
TIZLOJS,O,O,X,O,X,X,O,O,O
TIZLOSJ,O,X,X,O,X,X,X,X,X
TIZJLSO,O,O,X,O,O,X,X,X,O
TIZJLOS,O,O,X,O,X,X,O,O,O
TIZJSLO,O,X,X,O,O,X,O,X,X
TIZJSOL,O,X,X,O,O,X,O,O,X
TIZJOLS,O,O,X,O,X,X,O,O,X
TIZJOSL,O,X,X,O,X,X,O,O,X
TIZSLJO,O,X,X,O,O,X,O,X,X
TIZSLOJ,O,X,X,O,O,X,O,X,X
TIZSJLO,O,X,X,O,O,X,O,X,X
TIZSJOL,O,X,X,O,O,X,O,O,X
TIZSOLJ,O,X,X,O,O,X,O,X,X
TIZSOJL,O,X,X,O,X,X,O,O,X
TIZOLJS,O,O,X,O,X,X,O,O,X
TIZOLSJ,O,X,X,O,X,X,X,X,X
TIZOJLS,O,O,X,O,X,X,O,O,X
TIZOJSL,O,X,X,O,X,X,O,O,X
TIZOSLJ,O,X,X,O,X,X,O,X,X
TIZOSJL,O,X,X,O,X,X,O,O,X
TIOLJSZ,O,O,O,O,X,X,O,X,X
TIOLJZS,X,O,O,O,X,X,O,O,X
TIOLSJZ,O,X,O,O,X,X,O,X,X
TIOLSZJ,O,X,X,X,X,X,O,X,X
TIOLZJS,O,O,X,O,X,X,O,X,X
TIOLZSJ,O,X,X,O,X,X,X,X,X
TIOJLSZ,O,O,O,O,X,X,O,X,X
TIOJLZS,X,O,O,O,X,X,O,O,X
TIOJSLZ,O,X,O,O,X,X,O,X,X
TIOJSZL,O,X,X,O,X,X,O,O,X
TIOJZLS,X,O,X,O,X,X,O,O,X
TIOJZSL,X,X,X,O,X,X,O,O,X
TIOSLJZ,O,X,O,O,X,X,O,X,X
TIOSLZJ,O,X,X,X,X,X,O,X,X
TIOSJLZ,O,X,O,O,X,X,O,X,X
TIOSJZL,O,X,X,O,X,X,O,O,X
TIOSZLJ,O,X,X,O,X,X,O,X,X
TIOSZJL,O,X,X,O,X,X,O,X,X
TIOZLJS,O,O,X,O,X,X,O,O,X
TIOZLSJ,O,X,X,O,X,X,X,X,X
TIOZJLS,O,O,X,O,X,X,O,O,X
TIOZJSL,O,X,X,O,X,X,O,O,X
TIOZSLJ,O,X,X,O,X,X,O,X,X
TIOZSJL,O,X,X,O,X,X,O,O,X
TLIJSZO,O,O,O,X,X,X,O,X,O
TLIJSOZ,O,O,O,O,X,X,O,X,X
TLIJZSO,X,O,O,O,X,X,X,X,O
TLIJZOS,X,O,O,O,X,X,O,X,O
TLIJOSZ,X,O,O,O,X,X,O,X,X
TLIJOZS,X,O,O,O,X,X,O,O,O
TLISJZO,O,O,O,X,O,X,O,X,O
TLISJOZ,O,O,O,O,X,X,O,X,X
TLISZJO,O,O,O,X,O,X,O,X,O
TLISZOJ,X,X,X,X,O,X,O,X,X
