sequence,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeuAJvhFzd?B5jBlhBKrBXnBUsB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8Jez7IvhFuh?B5jBliBarB8rB3sB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeuAJvhF3c?BzdB5jBVnBKrBUsB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeuAJvhFzd?B5jB/rBFnBirBUsB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeWBJvhFid?B5jB3iBFmBUsBTrB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeC8IvhFmd?B5jBXhBTiBcrBVxB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeuAJvhFch?BidB5jBFnBTrB3sB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeuBJvhF5j?BzgBliB8rBarB3sB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeWBJvhFid?B5jBUmBFnB3sBTrB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeC8IvhF5j?BXhBFnBTrBOsB8sB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeF9IvhF8i?B5jBzgBfnBarBWxB
TILJSZO,O,X,O,O,X,X,X,X,X,X,X
TILJSOZ,O,X,O,O,X,X,X,X,X,X,X
TILJZSO,X,X,O,X,O,O,X,X,X,X,X
TILJZOS,O,X,O,X,X,X,X,X,X,X,X
TILJOSZ,O,X,O,O,X,X,X,X,X,X,X
TILJOZS,O,X,O,X,X,O,X,X,X,X,X
TILSJZO,O,X,O,X,X,X,X,X,X,X,X
TILSJOZ,O,X,O,X,X,X,X,X,X,X,X
TILSZJO,O,X,O,X,O,X,X,X,X,X,X
TILSZOJ,O,X,O,X,O,X,X,X,X,X,X
TILSOJZ,O,X,O,X,X,X,X,X,X,X,X
TILSOZJ,O,X,O,X,X,X,X,X,X,X,X
TILZJSO,X,O,O,X,O,O,X,X,O,X,X
TILZJOS,O,O,O,X,X,X,X,O,X,X,X
TILZSJO,X,O,O,X,O,O,X,X,O,X,X
TILZSOJ,X,O,O,X,O,O,X,X,O,X,X
TILZOJS,O,O,O,X,X,O,X,O,X,X,X
TILZOSJ,X,O,O,X,X,O,X,X,X,X,X
TILOJSZ,O,X,O,O,X,X,X,X,X,X,X
TILOJZS,O,X,O,X,X,O,X,X,X,X,X
TILOSJZ,O,X,O,X,X,X,X,X,X,X,X
TILOSZJ,O,X,O,X,X,X,X,X,X,X,X
TILOZJS,O,O,O,X,X,O,X,X,X,X,X
