sequence,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF8lBzhBaoB5oB+s?BlrB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhFmhBziB5oBCmB0r?BlsB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF6mBmiB5oBzlB0n?BVxB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF0hBliB5oBzlBys?BWxB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhFVmBUiBaoB5oBGr?BTsB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhFlhBaoB5oBzlB8r?B+sB,v115@9gB8HeA8IeC8GeE8CeA8KeVFJvhFUhBanBziB5oBGr?B3sB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF8lB+mBiiB5oBzn?BVxB
TILJSZO,O,O,O,O,O,O,O,O
TILJSOZ,O,O,X,O,O,O,O,X
TILJZSO,O,O,O,O,O,O,O,O
TILJZOS,O,O,O,O,O,O,O,O
TILJOSZ,O,O,X,O,O,O,X,O
TILJOZS,O,O,X,O,O,O,X,O
TILSJZO,O,O,O,O,O,O,O,O
TILSJOZ,X,O,X,O,O,O,O,X
TILSZJO,O,O,O,O,X,X,O,O
TILSZOJ,X,O,O,O,X,X,O,O
TILSOJZ,X,O,O,O,O,O,O,X
TILSOZJ,X,O,O,O,X,X,O,O
TILZJSO,O,O,O,O,X,X,O,O
TILZJOS,O,O,O,X,X,X,O,O
TILZSJO,O,O,O,O,X,X,O,O
TILZSOJ,O,O,O,O,X,X,O,O
TILZOJS,O,O,O,O,X,X,X,O
TILZOSJ,O,O,O,O,X,X,O,O
TILOJSZ,O,O,O,O,O,O,X,O
TILOJZS,O,O,O,O,O,O,X,O
TILOSJZ,X,O,O,O,O,O,X,O
TILOSZJ,X,O,O,O,X,X,X,O
TILOZJS,O,O,O,O,O,X,X,O
TILOZSJ,O,O,O,O,X,X,X,O
TIJLSZO,O,O,O,O,O,O,O,O
TIJLSOZ,O,O,X,O,O,O,O,X
TIJLZSO,O,O,O,O,O,O,O,O
TIJLZOS,O,O,O,O,O,O,O,O
TIJLOSZ,O,O,X,O,O,O,X,O
TIJLOZS,O,O,X,O,O,O,X,O
TIJSLZO,O,O,O,O,O,O,O,O
TIJSLOZ,O,O,X,O,O,O,O,X
TIJSZLO,O,O,O,O,O,O,O,O
TIJSZOL,O,O,O,O,O,O,O,O
TIJSOLZ,O,O,O,X,O,O,O,O
TIJSOZL,O,O,O,X,O,O,O,O
TIJZLSO,O,O,O,O,O,O,O,O
TIJZLOS,O,O,O,O,O,O,O,O
TIJZSLO,O,O,O,O,O,O,O,O
TIJZSOL,O,O,O,O,O,O,O,O
TIJZOLS,O,O,O,X,O,O,O,O
TIJZOSL,O,O,O,O,O,O,O,O
TIJOLSZ,O,O,O,O,O,O,X,O
TIJOLZS,O,O,O,O,O,O,X,O
TIJOSLZ,O,O,O,O,O,O,O,O
TIJOSZL,O,O,O,O,O,O,O,O
TIJOZLS,O,O,O,O,O,O,O,O
TIJOZSL,O,O,O,O,O,O,O,O
TISLJZO,O,O,O,O,O,O,O,O
TISLJOZ,X,O,X,O,O,O,O,X
TISLZJO,O,O,O,O,X,X,O,O
TISLZOJ,X,O,O,O,X,X,O,O
TISLOJZ,X,O,O,O,O,O,O,X
TISLOZJ,X,O,O,O,X,X,O,O
TISJLZO,O,O,O,O,O,O,O,O
TISJLOZ,O,O,X,O,O,O,O,X
TISJZLO,O,O,O,O,O,O,O,O
TISJZOL,O,O,O,O,O,O,O,O
TISJOLZ,O,O,O,X,O,O,O,O
TISJOZL,O,O,O,X,O,O,O,O
