sequence,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFUdBxlBlnBa?oBmrBTrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeR8IvhFajBTgB/mB0?nBFnB2wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFTcBZjB6nBF?mB3rBOsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeU8IvhFRdBTgBimB3?nBmnB1wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeF8IvhFXdBZjBTgBO?rBCsBcsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeyBJvhF+iBZjBTgBF?hBcrBXsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeU8IvhFRdBTgBliB3?mBysB2wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFRdBlhBaoBT?nB0rBmqB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhF3cBajBTiBF?mBRsB2wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFRdB0hBmlBz?nBinB1wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeF8IvhFZjBTgBcmB6?nB3rBOsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JeR9IvhF2lBiiBfsBz?nBFmBUrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Je37IvhFidBziBxlB2?sBcmB1wB,v115@zgC8FeC8GeC8GeE8EeE8CeC8Jez7IvhFRdB2lBVnBa?oBcrBXsB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhF3dBynBFmBR?sBTrBmrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFxhBeoBFmBX?nBTrBisB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFxhBeoB3iBF?mBzrBirB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFTcBmiB3iBF?mBRsBywB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFxhBynBFmBz?nB3rBmrB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhF2hBzdBFmBR?sBisB3rB,v115@zgC8FeC8GeC8GeE8EeE8CeC8JecAJvhFRdB2nBFmB/?mBznBywB
TILJSZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSZOJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZJOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZSJO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZSOJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZOJS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TILZOSJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TILOJSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
