sequence,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BfhB6hBTdBZjBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jei6IvhFGc?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBRdB3hBaoBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBSiBZjB3hBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Je2/IvhFSh?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jez7IvhFGd?BZjB3hB0kBikBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeSBJvhFTd?BZjBlfBUhB/pBmpB
TIJOZLS,O,O,X,O,O,X,X
TIJOZSL,O,O,X,O,X,X,X
TISLJZO,O,O,O,X,X,X,X
TISLJOZ,O,O,O,X,O,X,O
TISLZJO,O,O,O,O,X,X,X
TISLZOJ,O,O,O,O,X,X,O
TISLOJZ,O,O,O,X,O,X,O
TISLOZJ,O,O,O,O,X,X,O
TISJLZO,O,O,X,X,X,X,X
TISJLOZ,O,O,X,X,O,X,O
TISJZLO,O,O,O,X,X,O,X
TISJZOL,O,O,O,X,X,O,X
TISJOLZ,O,O,X,X,O,X,O
TISJOZL,O,O,O,X,X,O,X
TISZLJO,O,O,O,O,X,O,X
TISZLOJ,O,O,O,O,X,O,O
TISZJLO,O,O,O,O,X,O,X
TISZJOL,O,O,O,O,X,O,X
TISZOLJ,O,O,O,O,X,O,O
TISZOJL,O,O,O,O,X,O,X
TISOLJZ,O,O,O,X,O,X,O
TISOLZJ,O,O,O,O,X,X,O
TISOJLZ,O,O,X,X,O,X,O
TISOJZL,O,O,O,X,X,O,X
TISOZLJ,O,O,O,O,X,O,O
TISOZJL,O,O,O,O,X,O,X
TIZLJSO,O,O,O,O,X,X,X
TIZLJOS,O,O,O,O,O,X,X
TIZLSJO,O,O,O,O,X,X,X
TIZLSOJ,O,O,O,O,X,X,X
TIZLOJS,O,O,O,O,O,X,X
TIZLOSJ,O,O,O,O,X,X,X
TIZJLSO,O,O,O,O,X,X,X
TIZJLOS,O,O,O,O,O,X,X
TIZJSLO,O,O,O,O,X,O,X
TIZJSOL,O,O,O,O,X,O,X
TIZJOLS,O,O,O,O,O,X,X
TIZJOSL,O,O,X,O,X,X,X
TIZSLJO,O,O,O,O,X,O,X
TIZSLOJ,O,O,O,O,X,O,X
TIZSJLO,O,O,O,O,X,O,X
TIZSJOL,O,O,O,O,X,O,X
TIZSOLJ,O,O,O,O,X,O,X
TIZSOJL,O,O,O,O,X,O,X
TIZOLJS,O,O,O,O,O,X,X
TIZOLSJ,O,O,O,O,X,X,X
TIZOJLS,O,O,O,O,O,X,X
TIZOJSL,O,O,X,O,X,X,X
TIZOSLJ,O,O,X,O,X,X,X
TIZOSJL,O,O,X,O,X,X,X
TIOLJSZ,X,X,X,X,O,X,X
TIOLJZS,X,X,O,O,O,X,X
