sequence,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BfhB6hBTdBZjBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jei6IvhFGc?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBRdB3hBaoBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBSiBZjB3hBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Je2/IvhFSh?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jez7IvhFGd?BZjB3hB0kBikBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeSBJvhFTd?BZjBlfBUhB/pBmpB
TSZOJLI,O,O,O,O,X,X,X
TSOILJZ,O,O,O,X,O,X,O
TSOILZJ,O,O,O,O,X,X,O
TSOIJLZ,O,O,X,X,O,X,O
TSOIJZL,O,O,O,X,X,O,X
TSOIZLJ,O,O,O,O,X,O,O
TSOIZJL,O,O,O,O,X,O,X
TSOLIJZ,O,O,O,X,O,X,O
TSOLIZJ,O,O,O,O,X,X,O
TSOLJIZ,O,O,O,X,O,X,O
TSOLJZI,O,O,O,X,X,X,X
TSOLZIJ,O,O,O,O,X,X,O
TSOLZJI,O,O,O,O,X,X,X
TSOJILZ,O,O,X,X,O,X,O
TSOJIZL,O,O,O,X,X,O,X
TSOJLIZ,O,O,O,X,O,X,O
TSOJLZI,O,O,O,X,X,X,X
TSOJZIL,O,O,O,X,X,O,X
TSOJZLI,O,O,O,X,X,X,X
TSOZILJ,O,O,O,O,X,O,O
TSOZIJL,O,O,O,O,X,O,X
TSOZLIJ,O,O,O,O,X,X,O
TSOZLJI,O,O,O,O,X,X,X
TSOZJIL,O,O,O,O,X,O,X
TSOZJLI,O,O,O,O,X,X,X
TZILJSO,O,O,O,O,X,X,X
TZILJOS,O,O,O,O,O,X,X
TZILSJO,O,O,O,O,X,X,X
TZILSOJ,O,O,O,O,X,X,X
TZILOJS,O,O,O,O,O,X,X
TZILOSJ,O,O,O,O,X,X,X
TZIJLSO,O,O,O,O,X,X,X
TZIJLOS,O,O,O,O,O,X,X
TZIJSLO,O,O,O,O,X,O,X
TZIJSOL,O,O,O,O,X,O,X
TZIJOLS,O,O,O,O,O,X,X
TZIJOSL,O,O,X,O,X,X,X
TZISLJO,O,O,O,O,X,O,X
TZISLOJ,O,O,O,O,X,O,X
TZISJLO,O,O,O,O,X,O,X
TZISJOL,O,O,O,O,X,O,X
TZISOLJ,O,O,O,O,X,O,X
TZISOJL,O,O,O,O,X,O,X
TZIOLJS,O,O,O,O,O,X,X
TZIOLSJ,O,O,O,O,X,X,X
TZIOJLS,O,O,O,O,O,X,X
TZIOJSL,O,O,X,O,X,X,X
TZIOSLJ,O,O,X,O,X,X,X
TZIOSJL,O,O,X,O,X,X,X
TZLIJSO,O,O,O,O,X,X,X
TZLIJOS,O,O,O,O,O,X,X
TZLISJO,O,O,O,O,X,X,X
TZLISOJ,O,O,O,O,X,X,X
TZLIOJS,O,O,O,O,O,X,X
TZLIOSJ,O,O,O,O,X,X,X
TZLJISO,O,O,O,O,X,X,X
TZLJIOS,O,O,O,O,O,X,X
TZLJSIO,O,O,O,O,X,X,X
TZLJSOI,O,O,O,O,X,X,X
TZLJOIS,O,O,O,O,O,X,X
TZLJOSI,O,O,O,O,X,X,X
TZLSIJO,O,O,O,O,X,X,X
TZLSIOJ,O,O,O,O,X,X,X
TZLSJIO,O,O,O,O,X,X,X
TZLSJOI,O,O,O,O,X,X,X
TZLSOIJ,O,O,O,O,X,X,X
TZLSOJI,O,O,O,O,X,X,X
TZLOIJS,O,O,O,O,O,X,X
TZLOISJ,O,O,O,O,X,X,X
TZLOJIS,O,O,O,O,O,X,X
TZLOJSI,O,O,O,O,X,X,X
TZLOSIJ,O,O,O,O,X,X,X
TZLOSJI,O,O,O,O,X,X,X
TZJILSO,O,O,O,O,X,X,X
TZJILOS,O,O,O,O,O,X,X
TZJISLO,O,O,O,O,X,O,X
TZJISOL,O,O,O,O,X,O,X
TZJIOLS,O,O,O,O,O,X,X
TZJIOSL,O,O,X,O,X,X,X
TZJLISO,O,O,O,O,X,X,X
TZJLIOS,O,O,O,O,O,X,X
TZJLSIO,O,O,O,O,X,X,X
TZJLSOI,O,O,O,O,X,X,X
TZJLOIS,O,O,O,O,O,X,X
TZJLOSI,O,O,O,O,X,X,X
TZJSILO,O,O,O,O,X,O,X
TZJSIOL,O,O,O,O,X,O,X
TZJSLIO,O,O,O,O,X,X,X
TZJSLOI,O,O,O,O,X,X,X
TZJSOIL,O,O,O,O,X,O,X
TZJSOLI,O,O,O,O,X,X,X
TZJOILS,O,O,O,O,O,X,X
TZJOISL,O,O,X,O,X,X,X
TZJOLIS,O,O,O,O,O,X,X
TZJOLSI,O,O,O,O,X,X,X
TZJOSIL,O,O,O,O,X,X,X
TZJOSLI,O,O,O,O,X,X,X
TZSILJO,O,O,O,O,X,O,X
TZSILOJ,O,O,O,O,X,O,X
TZSIJLO,O,O,O,O,X,O,X
TZSIJOL,O,O,O,O,X,O,X
TZSIOLJ,O,O,O,O,X,O,X
TZSIOJL,O,O,O,O,X,O,X
TZSLIJO,O,O,O,O,X,X,X
TZSLIOJ,O,O,O,O,X,X,X
TZSLJIO,O,O,O,O,X,X,X
TZSLJOI,O,O,O,O,X,X,X
TZSLOIJ,O,O,O,O,X,X,X
TZSLOJI,O,O,O,O,X,X,X
TZSJILO,O,O,O,O,X,O,X
TZSJIOL,O,O,O,O,X,O,X
TZSJLIO,O,O,O,O,X,X,X
TZSJLOI,O,O,O,O,X,X,X
TZSJOIL,O,O,O,O,X,O,X
TZSJOLI,O,O,O,O,X,X,X
TZSOILJ,O,O,O,O,X,O,X
TZSOIJL,O,O,O,O,X,O,X
TZSOLIJ,O,O,O,O,X,X,X
TZSOLJI,O,O,O,O,X,X,X
TZSOJIL,O,O,O,O,X,O,X
TZSOJLI,O,O,O,O,X,X,X
TZOILJS,O,O,O,O,O,X,X
TZOILSJ,O,O,O,O,X,X,X
TZOIJLS,O,O,O,O,O,X,X
TZOIJSL,O,O,X,O,X,X,X
TZOISLJ,O,O,X,O,X,X,X
TZOISJL,O,O,X,O,X,X,X
TZOLIJS,O,O,O,O,O,X,X
TZOLISJ,O,O,O,O,X,X,X
TZOLJIS,O,O,O,O,O,X,X
TZOLJSI,O,O,O,O,X,X,X
TZOLSIJ,O,O,O,O,X,X,X
TZOLSJI,O,O,O,O,X,X,X
TZOJILS,O,O,O,O,O,X,X
TZOJISL,O,O,X,O,X,X,X
TZOJLIS,O,O,O,O,O,X,X
TZOJLSI,O,O,O,O,X,X,X
TZOJSIL,O,O,O,O,X,X,X
TZOJSLI,O,O,O,O,X,X,X
TZOSILJ,O,O,O,O,X,X,X
TZOSIJL,O,O,O,O,X,X,X
TZOSLIJ,O,O,O,O,X,X,X
TZOSLJI,O,O,O,O,X,X,X
TZOSJIL,O,O,O,O,X,X,X
TZOSJLI,O,O,O,O,X,X,X
TOILJSZ,X,X,X,X,O,X,X
TOILJZS,X,X,O,O,O,X,X
TOILSJZ,O,O,X,X,O,X,O
TOILSZJ,O,O,O,O,X,X,O
TOILZJS,O,O,O,O,O,X,X
TOILZSJ,O,O,O,O,X,X,X
TOIJLSZ,X,X,X,X,O,X,X
TOIJLZS,X,X,X,O,O,X,X
TOIJSLZ,O,O,X,X,O,X,X
TOIJSZL,O,O,X,X,X,X,X
TOIJZLS,O,O,X,O,O,X,X
TOIJZSL,O,O,X,O,X,X,X
TOISLJZ,O,O,X,X,O,X,O
TOISLZJ,O,O,X,O,X,X,O
TOISJLZ,O,O,X,X,O,X,O
TOISJZL,O,O,X,X,X,X,X
TOISZLJ,O,O,X,O,X,X,O
TOISZJL,O,O,X,O,X,X,X
TOIZLJS,O,O,O,O,O,X,X
TOIZLSJ,O,O,O,O,X,X,X
TOIZJLS,O,O,O,O,O,X,X
TOIZJSL,O,O,X,O,X,X,X
TOIZSLJ,O,O,X,O,X,X,X
TOIZSJL,O,O,X,O,X,X,X
TOLIJSZ,X,X,X,X,O,X,X
TOLIJZS,X,X,O,O,O,X,X
TOLISJZ,O,O,O,X,O,X,O
TOLISZJ,O,O,O,O,X,X,O
TOLIZJS,O,O,O,O,O,X,X
TOLIZSJ,O,O,O,O,X,X,X
TOLJISZ,X,X,X,X,O,X,X
TOLJIZS,X,X,O,O,O,X,X
TOLJSIZ,X,X,X,X,O,X,X
TOLJSZI,X,X,X,X,X,X,X
TOLJZIS,X,X,O,O,O,X,X
TOLJZSI,X,X,O,O,X,X,X
TOLSIJZ,O,O,O,X,O,X,O
TOLSIZJ,O,O,O,O,X,X,O
TOLSJIZ,O,O,O,X,O,X,O
TOLSJZI,O,O,O,X,X,X,X
TOLSZIJ,O,O,O,O,X,X,O
TOLSZJI,O,O,O,O,X,X,X
TOLZIJS,O,O,O,O,O,X,X
TOLZISJ,O,O,O,O,X,X,X
TOLZJIS,O,O,O,O,O,X,X
TOLZJSI,O,O,O,O,X,X,X
TOLZSIJ,O,O,O,O,X,X,X
TOLZSJI,O,O,O,O,X,X,X
TOJILSZ,X,X,X,X,O,X,X
TOJILZS,X,X,X,O,O,X,X
TOJISLZ,O,O,X,X,O,X,X
TOJISZL,O,O,X,X,X,X,X
TOJIZLS,O,O,X,O,O,X,X
TOJIZSL,O,O,X,O,X,X,X
TOJLISZ,X,X,X,X,O,X,X
TOJLIZS,X,X,O,O,O,X,X
TOJLSIZ,X,X,X,X,O,X,X
TOJLSZI,X,X,X,X,X,X,X
TOJLZIS,X,X,O,O,O,X,X
TOJLZSI,X,X,O,O,X,X,X
TOJSILZ,O,O,X,X,O,X,X
TOJSIZL,O,O,X,X,X,X,X
TOJSLIZ,O,O,X,X,O,X,X
TOJSLZI,O,O,X,X,X,X,X
TOJSZIL,O,O,X,X,X,X,X
TOJSZLI,O,O,X,X,X,X,X
TOJZILS,O,O,O,O,O,X,X
TOJZISL,O,O,X,O,X,X,X
TOJZLIS,O,O,O,O,O,X,X
TOJZLSI,O,O,O,O,X,X,X
TOJZSIL,O,O,X,O,X,X,X
TOJZSLI,O,O,O,O,X,X,X
TOSILJZ,O,O,O,X,O,X,O
TOSILZJ,O,O,O,O,X,X,O
TOSIJLZ,O,O,X,X,O,X,O
TOSIJZL,O,O,O,X,X,X,X
TOSIZLJ,O,O,O,O,X,X,O
TOSIZJL,O,O,O,O,X,X,X
TOSLIJZ,O,O,O,X,O,X,O
TOSLIZJ,O,O,O,O,X,X,O
TOSLJIZ,O,O,O,X,O,X,O
TOSLJZI,O,O,O,X,X,X,X
TOSLZIJ,O,O,O,O,X,X,O
TOSLZJI,O,O,O,O,X,X,X
TOSJILZ,O,O,X,X,O,X,O
TOSJIZL,O,O,O,X,X,X,X
TOSJLIZ,O,O,O,X,O,X,O
TOSJLZI,O,O,O,X,X,X,X
TOSJZIL,O,O,O,X,X,X,X
TOSJZLI,O,O,O,X,X,X,X
TOSZILJ,O,O,O,O,X,X,O
TOSZIJL,O,O,O,O,X,X,X
TOSZLIJ,O,O,O,O,X,X,O
TOSZLJI,O,O,O,O,X,X,X
TOSZJIL,O,O,O,O,X,X,X
TOSZJLI,O,O,O,O,X,X,X
TOZILJS,O,O,O,O,O,X,X
TOZILSJ,O,O,O,O,X,X,X
TOZIJLS,O,O,O,O,O,X,X
TOZIJSL,O,O,X,O,X,X,X
TOZISLJ,O,O,X,O,X,X,X
TOZISJL,O,O,X,O,X,X,X
TOZLIJS,O,O,O,O,O,X,X
TOZLISJ,O,O,O,O,X,X,X
TOZLJIS,O,O,O,O,O,X,X
TOZLJSI,O,O,O,O,X,X,X
TOZLSIJ,O,O,O,O,X,X,X
TOZLSJI,O,O,O,O,X,X,X
TOZJILS,O,O,O,O,O,X,X
TOZJISL,O,O,X,O,X,X,X
TOZJLIS,O,O,O,O,O,X,X
TOZJLSI,O,O,O,O,X,X,X
TOZJSIL,O,O,O,O,X,X,X
TOZJSLI,O,O,O,O,X,X,X
TOZSILJ,O,O,O,O,X,X,X
TOZSIJL,O,O,O,O,X,X,X
TOZSLIJ,O,O,O,O,X,X,X
TOZSLJI,O,O,O,O,X,X,X
TOZSJIL,O,O,O,O,X,X,X
TOZSJLI,O,O,O,O,X,X,X
ITLJSZO,X,X,O,X,X,X,X
ITLJSOZ,X,X,O,X,O,X,X
ITLJZSO,X,X,O,O,X,X,X
ITLJZOS,X,X,O,O,O,X,X
ITLJOSZ,X,X,X,X,O,X,X
ITLJOZS,X,X,O,O,O,X,X
ITLSJZO,O,O,O,X,X,X,X
ITLSJOZ,O,O,O,X,O,X,O
ITLSZJO,O,O,O,O,X,X,X
ITLSZOJ,O,O,O,O,X,X,O
ITLSOJZ,O,O,O,X,O,X,O
ITLSOZJ,O,O,O,O,X,X,O
ITLZJSO,O,O,O,O,X,X,X
ITLZJOS,O,O,O,O,O,X,X
ITLZSJO,O,O,O,O,X,X,X
ITLZSOJ,O,O,O,O,X,X,X
ITLZOJS,O,O,O,O,O,X,X
ITLZOSJ,O,O,O,O,X,X,X
ITLOJSZ,X,X,X,X,O,X,X
ITLOJZS,X,X,O,O,O,X,X
ITLOSJZ,O,O,O,X,O,X,O
ITLOSZJ,O,O,O,O,X,X,O
ITLOZJS,O,O,O,O,O,X,X
ITLOZSJ,O,O,O,O,X,X,X
ITJLSZO,X,X,X,X,X,X,X
ITJLSOZ,X,X,X,X,O,X,X
ITJLZSO,X,X,X,O,X,X,X
ITJLZOS,X,X,X,O,O,X,X
ITJLOSZ,X,X,X,X,O,X,X
ITJLOZS,X,X,X,O,O,X,X
ITJSLZO,O,O,X,X,X,X,X
ITJSLOZ,O,O,X,X,O,X,X
ITJSZLO,O,O,X,X,X,O,X
ITJSZOL,O,O,X,X,X,O,X
ITJSOLZ,O,O,X,X,O,X,X
ITJSOZL,O,O,X,X,X,O,X
ITJZLSO,O,O,X,O,X,X,X
ITJZLOS,O,O,X,O,O,X,X
ITJZSLO,O,O,X,O,X,O,X
ITJZSOL,O,O,X,O,X,O,X
ITJZOLS,O,O,X,O,O,X,X
ITJZOSL,O,O,X,O,X,X,X
ITJOLSZ,X,X,X,X,O,X,X
ITJOLZS,X,X,X,O,O,X,X
ITJOSLZ,O,O,X,X,O,X,X
ITJOSZL,O,O,X,X,X,X,X
ITJOZLS,O,O,X,O,O,X,X
ITJOZSL,O,O,X,O,X,X,X
ITSLJZO,O,O,O,X,X,X,X
ITSLJOZ,O,O,O,X,O,X,O
ITSLZJO,O,O,O,O,X,X,X
ITSLZOJ,O,O,O,O,X,X,O
ITSLOJZ,O,O,O,X,O,X,O
ITSLOZJ,O,O,O,O,X,X,O
ITSJLZO,O,O,X,X,X,X,X
ITSJLOZ,O,O,X,X,O,X,O
ITSJZLO,O,O,O,X,X,O,X
ITSJZOL,O,O,O,X,X,O,X
ITSJOLZ,O,O,X,X,O,X,O
ITSJOZL,O,O,O,X,X,O,X
ITSZLJO,O,O,O,O,X,O,X
ITSZLOJ,O,O,O,O,X,O,O
ITSZJLO,O,O,O,O,X,O,X
ITSZJOL,O,O,O,O,X,O,X
ITSZOLJ,O,O,O,O,X,O,O
ITSZOJL,O,O,O,O,X,O,X
ITSOLJZ,O,O,O,X,O,X,O
ITSOLZJ,O,O,O,O,X,X,O
ITSOJLZ,O,O,X,X,O,X,O
ITSOJZL,O,O,O,X,X,O,X
ITSOZLJ,O,O,O,O,X,O,O
ITSOZJL,O,O,O,O,X,O,X
ITZLJSO,O,O,O,O,X,X,X
ITZLJOS,O,O,O,O,O,X,X
ITZLSJO,O,O,O,O,X,X,X
ITZLSOJ,O,O,O,O,X,X,X
ITZLOJS,O,O,O,O,O,X,X
ITZLOSJ,O,O,O,O,X,X,X
ITZJLSO,O,O,O,O,X,X,X
ITZJLOS,O,O,O,O,O,X,X
ITZJSLO,O,O,O,O,X,O,X
ITZJSOL,O,O,O,O,X,O,X
ITZJOLS,O,O,O,O,O,X,X
ITZJOSL,O,O,X,O,X,X,X
ITZSLJO,O,O,O,O,X,O,X
ITZSLOJ,O,O,O,O,X,O,X
ITZSJLO,O,O,O,O,X,O,X
ITZSJOL,O,O,O,O,X,O,X
ITZSOLJ,O,O,O,O,X,O,X
ITZSOJL,O,O,O,O,X,O,X
ITZOLJS,O,O,O,O,O,X,X
ITZOLSJ,O,O,O,O,X,X,X
ITZOJLS,O,O,O,O,O,X,X
ITZOJSL,O,O,X,O,X,X,X
ITZOSLJ,O,O,X,O,X,X,X
ITZOSJL,O,O,X,O,X,X,X
ITOLJSZ,X,X,X,X,O,X,X
ITOLJZS,X,X,O,O,O,X,X
ITOLSJZ,O,O,X,X,O,X,O
ITOLSZJ,O,O,O,O,X,X,O
ITOLZJS,O,O,O,O,O,X,X
ITOLZSJ,O,O,O,O,X,X,X
ITOJLSZ,X,X,X,X,O,X,X
ITOJLZS,X,X,X,O,O,X,X
ITOJSLZ,O,O,X,X,O,X,X
ITOJSZL,O,O,X,X,X,X,X
ITOJZLS,O,O,X,O,O,X,X
ITOJZSL,O,O,X,O,X,X,X
ITOSLJZ,O,O,X,X,O,X,O
ITOSLZJ,O,O,X,O,X,X,O
ITOSJLZ,O,O,X,X,O,X,O
ITOSJZL,O,O,X,X,X,X,X
ITOSZLJ,O,O,X,O,X,X,O
ITOSZJL,O,O,X,O,X,X,X
ITOZLJS,O,O,O,O,O,X,X
ITOZLSJ,O,O,O,O,X,X,X
ITOZJLS,O,O,O,O,O,X,X
ITOZJSL,O,O,X,O,X,X,X
ITOZSLJ,O,O,X,O,X,X,X
ITOZSJL,O,O,X,O,X,X,X
ILTJSZO,X,X,O,X,X,X,X
ILTJSOZ,X,X,O,X,O,X,X
ILTJZSO,X,X,O,O,X,X,X
ILTJZOS,X,X,O,O,O,X,X
ILTJOSZ,X,X,X,X,O,X,X
ILTJOZS,X,X,O,O,O,X,X
ILTSJZO,O,O,O,X,X,X,X
ILTSJOZ,O,O,O,X,O,X,O
ILTSZJO,O,O,O,O,X,X,X
ILTSZOJ,O,O,O,O,X,X,O
ILTSOJZ,O,O,O,X,O,X,O
ILTSOZJ,O,O,O,O,X,X,O
ILTZJSO,O,O,O,O,X,X,X
ILTZJOS,O,O,O,O,O,X,X
ILTZSJO,O,O,O,O,X,X,X
ILTZSOJ,O,O,O,O,X,X,X
ILTZOJS,O,O,O,O,O,X,X
ILTZOSJ,O,O,O,O,X,X,X
ILTOJSZ,X,X,X,X,O,X,X
ILTOJZS,X,X,O,O,O,X,X
ILTOSJZ,O,O,O,X,O,X,O
ILTOSZJ,O,O,O,O,X,X,O
ILTOZJS,O,O,O,O,O,X,X
ILTOZSJ,O,O,O,O,X,X,X
ILJTSZO,X,X,O,X,X,X,X
ILJTSOZ,X,X,O,X,O,X,X
ILJTZSO,X,X,O,O,X,X,X
ILJTZOS,X,X,O,O,O,X,X
ILJTOSZ,X,X,X,X,O,X,X
ILJTOZS,X,X,O,O,O,X,X
ILJSTZO,X,X,O,X,X,X,X
ILJSTOZ,X,X,O,X,X,X,O
ILJSZTO,X,X,O,X,X,O,X
ILJSZOT,X,X,O,X,X,O,X
ILJSOTZ,X,X,O,X,O,X,O
ILJSOZT,X,X,O,X,O,O,X
ILJZTSO,X,X,O,X,X,X,X
ILJZTOS,X,X,O,O,X,X,X
ILJZSTO,X,X,O,X,X,O,X
ILJZSOT,X,X,O,O,X,O,X
ILJZOTS,X,X,O,O,O,X,X
ILJZOST,X,X,O,O,O,X,X
ILJOTSZ,X,X,X,X,O,X,X
ILJOTZS,X,X,O,O,O,X,X
ILJOSTZ,X,X,X,X,O,X,O
ILJOSZT,X,X,X,X,O,X,X
ILJOZTS,X,X,O,O,O,X,X
ILJOZST,X,X,O,O,O,X,X
ILSTJZO,O,X,O,X,X,X,X
ILSTJOZ,O,X,O,X,O,X,O
ILSTZJO,O,O,O,O,X,X,X
ILSTZOJ,O,O,O,O,X,X,O
ILSTOJZ,O,X,O,X,O,X,O
ILSTOZJ,O,O,O,O,X,X,O
ILSJTZO,O,X,O,X,X,X,X
ILSJTOZ,O,X,O,X,X,X,O
ILSJZTO,O,O,O,X,X,O,X
ILSJZOT,O,O,O,X,X,O,X
ILSJOTZ,O,X,O,X,O,X,O
ILSJOZT,O,O,O,X,O,O,X
ILSZTJO,O,O,O,X,X,O,X
ILSZTOJ,O,O,O,X,X,O,O
ILSZJTO,O,O,O,X,X,O,X
ILSZJOT,O,O,O,O,X,O,X
ILSZOTJ,O,O,O,X,X,O,O
ILSZOJT,O,O,O,O,X,O,X
ILSOTJZ,O,X,O,X,O,X,O
ILSOTZJ,O,O,O,O,X,X,O
ILSOJTZ,O,X,O,X,O,X,O
ILSOJZT,O,O,O,X,O,O,X
ILSOZTJ,O,O,O,X,X,O,O
ILSOZJT,O,O,O,O,X,O,X
ILZTJSO,X,O,O,O,X,X,X
ILZTJOS,X,O,O,O,O,X,X
ILZTSJO,X,O,O,O,X,X,X
ILZTSOJ,X,O,O,O,X,X,X
ILZTOJS,X,O,O,O,O,X,X
ILZTOSJ,X,O,O,O,X,X,X
ILZJTSO,X,O,O,X,X,X,X
ILZJTOS,X,O,O,O,X,X,X
ILZJSTO,O,O,O,X,X,O,X
ILZJSOT,O,O,O,O,X,O,X
ILZJOTS,X,O,O,O,O,X,X
ILZJOST,O,O,O,O,O,X,X
ILZSTJO,O,O,O,X,X,O,X
ILZSTOJ,O,O,O,X,X,O,O
ILZSJTO,O,O,O,X,X,O,X
ILZSJOT,O,O,O,O,X,O,X
ILZSOTJ,O,O,O,X,X,O,O
ILZSOJT,O,O,O,O,X,O,X
ILZOTJS,X,O,O,O,O,X,X
ILZOTSJ,X,O,O,O,X,X,X
ILZOJTS,X,O,O,O,O,X,X
ILZOJST,O,O,O,O,O,X,X
ILZOSTJ,O,O,O,X,X,X,O
ILZOSJT,O,O,O,O,X,X,X
ILOTJSZ,X,X,X,X,O,X,X
ILOTJZS,X,X,O,O,O,X,X
ILOTSJZ,O,O,O,X,O,X,O
ILOTSZJ,O,O,O,O,X,X,O
ILOTZJS,O,O,O,O,O,X,X
ILOTZSJ,O,O,O,O,X,X,X
ILOJTSZ,X,X,X,X,O,X,X
ILOJTZS,X,X,O,O,O,X,X
ILOJSTZ,X,X,X,X,O,X,O
ILOJSZT,X,X,X,X,O,X,X
ILOJZTS,X,X,O,O,O,X,X
ILOJZST,X,X,O,O,O,X,X
ILOSTJZ,O,X,O,X,O,X,O
ILOSTZJ,O,O,O,O,X,X,O
ILOSJTZ,O,X,O,X,O,X,O
ILOSJZT,O,O,O,X,O,X,X
ILOSZTJ,O,O,O,X,X,X,O
ILOSZJT,O,O,O,O,X,X,X
ILOZTJS,X,O,O,O,O,X,X
ILOZTSJ,X,O,O,O,X,X,X
ILOZJTS,X,O,O,O,O,X,X
ILOZJST,O,O,O,O,O,X,X
ILOZSTJ,O,O,O,X,X,X,O
ILOZSJT,O,O,O,O,X,X,X
IJTLSZO,X,X,X,X,X,X,X
IJTLSOZ,X,X,X,X,O,X,X
IJTLZSO,X,X,X,O,X,X,X
IJTLZOS,X,X,X,O,O,X,X
IJTLOSZ,X,X,X,X,O,X,X
IJTLOZS,X,X,X,O,O,X,X
IJTSLZO,O,O,X,X,X,X,X
IJTSLOZ,O,O,X,X,O,X,X
IJTSZLO,O,O,X,X,X,O,X
IJTSZOL,O,O,X,X,X,O,X
IJTSOLZ,O,O,X,X,O,X,X
IJTSOZL,O,O,X,X,X,O,X
IJTZLSO,O,O,X,O,X,X,X
IJTZLOS,O,O,X,O,O,X,X
IJTZSLO,O,O,X,O,X,O,X
IJTZSOL,O,O,X,O,X,O,X
IJTZOLS,O,O,X,O,O,X,X
IJTZOSL,O,O,X,O,X,X,X
IJTOLSZ,X,X,X,X,O,X,X
IJTOLZS,X,X,X,O,O,X,X
IJTOSLZ,O,O,X,X,O,X,X
IJTOSZL,O,O,X,X,X,X,X
IJTOZLS,O,O,X,O,O,X,X
IJTOZSL,O,O,X,O,X,X,X
IJLTSZO,X,X,X,X,X,X,X
IJLTSOZ,X,X,X,X,O,X,X
IJLTZSO,X,X,X,O,X,X,X
IJLTZOS,X,X,X,O,O,X,X
IJLTOSZ,X,X,X,X,O,X,X
IJLTOZS,X,X,X,O,O,X,X
IJLSTZO,X,X,X,X,X,X,X
IJLSTOZ,X,X,X,X,X,X,O
IJLSZTO,X,X,X,X,X,O,X
IJLSZOT,X,X,X,X,X,O,X
IJLSOTZ,X,X,X,X,O,X,O
IJLSOZT,X,X,X,X,O,O,X
IJLZTSO,X,X,X,X,X,X,X
IJLZTOS,X,X,X,O,X,X,X
IJLZSTO,X,X,X,X,X,O,X
IJLZSOT,X,X,X,O,X,O,X
IJLZOTS,X,X,X,O,O,X,X
IJLZOST,X,X,X,O,O,X,X
IJLOTSZ,X,X,X,X,O,X,X
IJLOTZS,X,X,X,O,O,X,X
IJLOSTZ,X,X,X,X,O,X,O
IJLOSZT,X,X,X,X,O,X,X
IJLOZTS,X,X,X,O,O,X,X
IJLOZST,X,X,X,O,O,X,X
IJSTLZO,O,X,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,X,O
IJSTZLO,O,X,X,X,X,O,X
IJSTZOL,O,X,X,X,X,O,X
IJSTOLZ,O,X,X,X,X,X,O
IJSTOZL,O,X,X,X,X,O,X
IJSLTZO,O,X,X,X,X,X,X
IJSLTOZ,O,X,X,X,X,X,O
IJSLZTO,O,O,X,X,X,O,X
IJSLZOT,O,O,X,X,X,O,X
IJSLOTZ,O,X,X,X,O,X,O
IJSLOZT,O,O,X,X,O,O,X
IJSZTLO,O,O,X,X,X,O,X
IJSZTOL,O,O,X,X,X,O,X
IJSZLTO,O,O,X,X,X,O,X
IJSZLOT,O,O,X,X,X,O,X
IJSZOTL,O,O,X,X,X,O,X
IJSZOLT,O,O,X,X,X,O,X
IJSOTLZ,O,X,X,X,X,X,O
IJSOTZL,O,X,X,X,X,O,X
IJSOLTZ,O,X,X,X,O,X,O
IJSOLZT,O,O,X,X,O,O,X
IJSOZTL,O,O,X,X,X,O,X
IJSOZLT,O,O,X,X,X,O,X
IJZTLSO,X,O,X,X,X,X,X
IJZTLOS,X,O,X,O,X,X,X
IJZTSLO,O,O,X,X,X,O,X
IJZTSOL,O,O,X,X,X,O,X
IJZTOLS,X,O,X,O,X,X,X
IJZTOSL,O,O,X,X,X,X,X
IJZLTSO,X,O,X,X,X,X,X
IJZLTOS,X,O,X,O,X,X,X
IJZLSTO,O,O,X,X,X,O,X
IJZLSOT,O,O,X,O,X,O,X
IJZLOTS,X,O,X,O,O,X,X
IJZLOST,O,O,X,O,O,X,X
IJZSTLO,O,O,X,X,X,O,X
IJZSTOL,O,O,X,X,X,O,X
IJZSLTO,O,O,X,X,X,O,X
IJZSLOT,O,O,X,O,X,O,X
IJZSOTL,O,O,X,X,X,O,X
IJZSOLT,O,O,X,O,X,O,X
IJZOTLS,X,O,X,O,X,X,X
IJZOTSL,O,O,X,X,X,X,X
IJZOLTS,X,O,X,O,O,X,X
IJZOLST,O,O,X,O,O,X,X
IJZOSTL,O,O,X,X,X,O,X
IJZOSLT,O,O,X,O,X,O,X
IJOTLSZ,X,X,X,X,O,X,X
IJOTLZS,X,X,X,O,O,X,X
IJOTSLZ,O,O,X,X,O,X,X
IJOTSZL,O,O,X,X,X,X,X
IJOTZLS,O,O,X,O,O,X,X
IJOTZSL,O,O,X,O,X,X,X
IJOLTSZ,X,X,X,X,O,X,X
IJOLTZS,X,X,X,O,O,X,X
IJOLSTZ,X,X,X,X,O,X,O
