sequence,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFGeBlgB?UiBaoBXmBTsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFCeBlgB?UiBOoBXmBTsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeG8IvhF6iBTeB?lgBZnBXmB8sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je37IvhFRdBSjB?zlBFnB8sBmrB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFSiBTeB?lgBXmBOsB8sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je37IvhFRdBSjB?lhBzlBOsB8sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeWCJvhFcjBlgB?xmBzlBinB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeZCJvhFGeBlgB?cmBziBCmB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFcjBlgB?GiBXmBKsBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFqiBTeB?lgBXmB2sBUsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhF+iBTeB?lgBXmB8sBasB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR9IvhFSjBlgB?3hBOsB8sBzqB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JelAJvhFcmBxiB?XjB2sBCmBTsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFlgBxiB?XjBKsBzqB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFlgBxiB?0iBKsBzqBXtB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFxdBlgB?XjBKsB0sBzqB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeT+IvhFxgBOnB?0iBCmBFmB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhF+iBTeB?lgBXmBysBUsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFxdBlgB?0iBKsBXtBzqB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeT+IvhFxgB0iB?ulBimBFnB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeF8IvhFxdB6lB?cmBXjB2sBTsB
TILJSZO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TILJSOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJZSO,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X
TILJZOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TILSJOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TILSZJO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILSOJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,O,X,O,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X
TILZJOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZSJO,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILZOSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOSJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILOSZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
