sequence,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT6IvhFOgBxcB?FhB8mB6pBfrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT7IvhFxcB/kB?mhBllBcrB6pB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8Je2/IvhFfhBxcB?zhBUgB6pBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8Jex6IvhFTcBOiB?/kBllBcrBCqB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeO/IvhFTbBXdB?5kBylB0hBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8Je07IvhFxcB/kB?2lBzhBFrB6pB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeK/IvhFfhBxcB?UgBzhBupBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeOAJvhFxcBTfB?FhB8mBfrB6pB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT6IvhFxbBXdB?6pB0lBlmBmqB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeR7IvhFOiB6lB?lkBTmB/pBcrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeOAJvhFxcB/kB?8mBzlB6pBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT8IvhFOiBxfB?/kBllBcrBCqB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT/IvhF/lBRhB?mgBFiBcrB6pB
TILJSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJSOZ,X,X,O,X,O,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,O,X,X,X,X,X,X,O,X
TILJOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
TILJOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
TILSJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSJOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TILSZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
TILSZOJ,X,X,X,X,O,X,O,X,O,X,X,X,X
TILSOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
TILSOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
TILZJSO,X,X,X,X,O,X,X,X,O,X,X,X,X
TILZJOS,O,X,X,X,O,X,X,X,O,X,X,O,X
TILZSJO,O,X,X,X,O,X,X,X,O,X,X,X,X
TILZSOJ,O,X,X,X,O,X,O,X,O,X,X,X,X
TILZOJS,O,X,O,X,O,X,X,X,O,X,X,O,X
TILZOSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
TILOJSZ,O,X,O,X,O,O,O,X,X,O,X,X,X
TILOJZS,O,X,O,X,O,O,X,X,X,O,X,X,X
TILOSJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
TILOSZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
