sequence,v115@9gB8HeA8IeA8IeG8AeA8KeXAJvhFOmB8mBziB5oBSq?BlsB,v115@9gB8HeA8IeA8IeG8AeA8Ke8EJvhF+lBihBziB5oB3m?BlsB,v115@9gB8HeA8IeA8IeG8AeA8KelAJvhFUiBaoB5oBzkBXm?BGsB,v115@9gB8HeA8IeA8IeG8AeA8KeTAJvhFihB3iB5oBWqB1r?B8sB,v115@9gB8HeA8IeA8IeG8AeA8Ke6FJvhFlhB3iB5oBzkB2r?B8sB,v115@9gB8HeA8IeA8IeG8AeA8KeXBJvhFmiB5oBzkBCnB0l?BlsB,v115@9gB8HeA8IeA8IeG8AeA8KeXAJvhFOmBliB5oBSqBzm?B8sB
TILJSZO,O,X,O,O,O,X,O
TILJSOZ,O,X,O,O,X,O,O
TILJZSO,O,X,O,O,O,X,O
TILJZOS,O,X,O,O,O,O,O
TILJOSZ,O,X,O,O,X,O,O
TILJOZS,O,X,O,O,O,O,O
TILSJZO,O,X,O,O,X,X,O
TILSJOZ,O,X,X,O,X,O,O
TILSZJO,O,O,O,O,X,X,O
TILSZOJ,O,O,O,O,X,X,O
TILSOJZ,O,X,X,X,X,O,O
TILSOZJ,O,O,O,X,X,O,O
TILZJSO,O,O,X,O,O,X,O
TILZJOS,O,O,X,O,O,O,O
TILZSJO,O,O,X,O,O,X,O
TILZSOJ,O,O,X,O,O,X,O
TILZOJS,O,O,X,O,X,O,O
TILZOSJ,O,O,X,O,X,O,O
TILOJSZ,O,X,O,O,X,O,O
TILOJZS,O,X,O,O,X,O,O
TILOSJZ,O,X,O,X,X,O,O
TILOSZJ,O,O,O,X,X,O,O
TILOZJS,O,O,O,O,X,O,O
TILOZSJ,O,O,O,O,X,O,O
TIJLSZO,O,X,O,O,O,X,O
TIJLSOZ,O,X,O,O,X,O,O
TIJLZSO,O,X,O,O,O,X,O
TIJLZOS,O,X,O,O,O,O,O
TIJLOSZ,O,X,O,O,O,O,O
TIJLOZS,O,X,O,O,O,O,O
TIJSLZO,X,X,O,O,O,X,X
TIJSLOZ,X,X,O,O,X,O,X
TIJSZLO,X,O,O,O,O,X,X
TIJSZOL,X,O,O,O,O,X,X
TIJSOLZ,X,X,O,O,O,O,X
TIJSOZL,X,O,O,O,O,X,X
TIJZLSO,O,O,O,O,O,X,O
TIJZLOS,O,O,O,O,O,O,O
TIJZSLO,O,O,O,O,O,X,O
TIJZSOL,O,O,O,O,O,X,X
TIJZOLS,O,O,O,O,O,O,O
TIJZOSL,O,O,O,O,O,X,X
TIJOLSZ,O,X,O,O,O,O,O
TIJOLZS,O,X,O,O,O,O,O
TIJOSLZ,X,X,O,O,O,O,X
TIJOSZL,X,O,O,O,O,X,X
TIJOZLS,O,O,O,O,O,O,O
TIJOZSL,O,O,O,O,O,X,O
TISLJZO,O,X,O,O,X,X,X
TISLJOZ,O,X,X,O,X,O,X
TISLZJO,O,O,O,O,X,X,X
TISLZOJ,O,O,O,O,X,X,X
TISLOJZ,O,X,X,X,X,O,X
TISLOZJ,O,O,O,X,X,O,X
TISJLZO,X,X,O,O,X,X,X
TISJLOZ,X,X,X,O,X,O,X
TISJZLO,X,O,O,O,X,X,X
TISJZOL,X,O,X,O,X,X,X
TISJOLZ,X,X,X,O,X,O,X
TISJOZL,X,O,X,O,X,X,X
TISZLJO,O,O,O,O,X,X,X
TISZLOJ,O,O,O,O,X,X,X
TISZJLO,O,O,O,O,X,X,X
TISZJOL,O,O,X,O,X,X,X
TISZOLJ,O,O,O,O,X,X,X
TISZOJL,O,O,X,O,X,X,X
TISOLJZ,O,X,X,X,X,O,X
TISOLZJ,O,O,O,X,X,O,X
TISOJLZ,X,X,X,X,X,O,X
TISOJZL,X,O,X,X,X,X,X
TISOZLJ,O,O,O,X,X,X,X
TISOZJL,O,O,X,X,X,X,X
TIZLJSO,O,O,X,O,O,X,O
TIZLJOS,O,O,X,O,O,O,O
TIZLSJO,O,O,X,O,O,X,O
TIZLSOJ,O,O,X,O,O,X,O
TIZLOJS,O,O,X,O,X,O,O
TIZLOSJ,O,O,X,O,X,O,O
TIZJLSO,O,O,X,O,O,X,O
TIZJLOS,O,O,X,O,O,O,O
TIZJSLO,O,O,X,O,O,X,O
TIZJSOL,O,O,X,O,O,X,X
TIZJOLS,O,O,X,O,O,O,O
TIZJOSL,O,O,X,O,O,X,O
TIZSLJO,O,O,X,O,O,X,O
TIZSLOJ,O,O,X,O,O,X,O
TIZSJLO,O,O,X,O,O,X,O
TIZSJOL,O,O,X,O,O,X,X
TIZSOLJ,O,O,X,O,O,X,O
TIZSOJL,O,O,X,O,O,X,O
TIZOLJS,O,O,X,O,O,O,O
TIZOLSJ,O,O,X,O,O,O,O
TIZOJLS,O,O,X,O,O,O,O
TIZOJSL,O,O,X,O,O,X,O
TIZOSLJ,O,O,X,O,O,X,O
TIZOSJL,O,O,X,O,O,X,O
TIOLJSZ,O,X,O,O,O,O,O
TIOLJZS,O,X,O,O,O,O,O
TIOLSJZ,O,X,O,X,X,O,O
TIOLSZJ,O,O,O,X,X,O,O
TIOLZJS,O,O,O,O,O,O,O
TIOLZSJ,O,O,O,O,O,O,O
TIOJLSZ,O,X,O,O,O,O,O
TIOJLZS,O,X,O,O,O,O,O
TIOJSLZ,X,X,O,O,O,O,X
TIOJSZL,X,O,O,O,O,X,X
TIOJZLS,O,O,O,O,O,O,O
TIOJZSL,O,O,O,O,O,X,O
TIOSLJZ,O,X,O,X,X,O,X
TIOSLZJ,O,O,O,X,X,O,X
TIOSJLZ,X,X,O,X,X,O,X
TIOSJZL,X,O,O,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,X
TIOSZJL,O,O,O,X,X,X,X
TIOZLJS,O,O,O,O,O,O,O
TIOZLSJ,O,O,O,O,O,O,O
TIOZJLS,O,O,O,O,O,O,O
TIOZJSL,O,O,O,O,O,X,O
TIOZSLJ,O,O,O,O,O,X,O
TIOZSJL,O,O,O,O,O,X,O
TLIJSZO,O,X,O,O,O,X,O
TLIJSOZ,O,X,O,O,X,O,O
TLIJZSO,O,X,O,O,O,X,O
TLIJZOS,O,X,O,O,O,O,O
TLIJOSZ,O,X,O,O,X,O,O
TLIJOZS,O,X,O,O,O,O,O
TLISJZO,O,X,O,O,X,X,O
TLISJOZ,O,X,X,O,X,O,O
TLISZJO,O,O,O,O,X,X,O
TLISZOJ,O,O,O,O,X,X,O
TLISOJZ,O,X,X,X,X,O,O
TLISOZJ,O,O,O,X,X,O,O
TLIZJSO,O,O,X,O,O,X,O
TLIZJOS,O,O,X,O,O,O,O
TLIZSJO,O,O,X,O,O,X,O
TLIZSOJ,O,O,X,O,O,X,O
TLIZOJS,O,O,X,O,X,O,O
