sequence,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbByhB3iBcoBGo?BFsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBfiBxdBSoBUo?BFsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbB0dBOsBXtB6t?BlrB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbB5jBUiBaoBfs?BlsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbBldBcjBXnBSt?BmrB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBRdBcjBXnBSt?BFsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFxbB0dB6jBXnBVt?BmrB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBUdB5jBlnBao?BfsB,v115@/gB8FeF8DeE8EeF8AeC8JeT6IvhFmbBxdBSoBVsBUo?BfsB
TILJSZO,X,O,X,X,X,X,X,O,X
TILJSOZ,X,O,X,X,X,X,X,O,X
TILJZSO,X,X,X,X,X,X,X,O,O
TILJZOS,X,X,X,O,X,X,O,O,O
TILJOSZ,X,O,X,X,X,X,X,O,X
TILJOZS,X,X,X,O,X,X,O,O,O
TILSJZO,X,O,X,X,X,X,O,O,X
TILSJOZ,X,O,X,X,X,X,O,O,X
TILSZJO,X,O,X,X,X,X,O,O,X
TILSZOJ,X,O,X,X,X,X,O,O,X
TILSOJZ,X,O,X,X,X,X,O,O,X
TILSOZJ,X,O,X,X,X,X,O,O,X
TILZJSO,X,X,X,X,X,X,X,O,O
TILZJOS,X,X,X,O,O,X,O,O,O
TILZSJO,O,X,X,X,O,X,X,O,O
TILZSOJ,O,X,X,X,O,X,O,O,O
TILZOJS,X,X,X,O,O,X,O,O,O
TILZOSJ,O,X,X,X,O,X,O,O,O
TILOJSZ,X,O,X,X,X,X,X,O,X
TILOJZS,X,X,X,O,X,X,O,O,O
TILOSJZ,X,O,X,X,X,X,O,O,X
TILOSZJ,X,O,X,X,X,X,O,O,X
TILOZJS,X,X,X,O,O,X,O,O,O
TILOZSJ,O,X,X,X,O,X,O,O,O
TIJLSZO,X,O,X,X,X,X,X,O,X
TIJLSOZ,X,O,X,X,X,X,X,O,X
TIJLZSO,X,X,X,X,X,X,X,O,O
TIJLZOS,X,X,X,O,X,X,O,O,O
TIJLOSZ,X,O,X,X,X,X,X,O,X
TIJLOZS,X,X,X,O,X,X,O,O,O
TIJSLZO,X,O,O,X,X,X,X,O,X
TIJSLOZ,X,O,O,X,X,X,X,O,X
TIJSZLO,X,X,O,X,X,X,X,O,X
TIJSZOL,X,O,O,X,X,X,X,O,X
TIJSOLZ,X,O,O,X,X,X,X,O,X
TIJSOZL,X,O,O,X,X,X,X,O,X
TIJZLSO,X,X,X,X,X,X,X,O,X
TIJZLOS,X,X,X,O,X,X,O,O,X
TIJZSLO,O,X,X,X,X,X,X,O,X
TIJZSOL,O,X,X,X,X,X,X,O,X
TIJZOLS,X,X,X,O,X,X,O,O,X
TIJZOSL,O,X,X,X,X,X,X,O,X
TIJOLSZ,X,O,X,X,X,X,X,O,X
TIJOLZS,X,X,X,O,X,X,O,O,O
TIJOSLZ,X,O,O,X,X,X,X,O,X
TIJOSZL,X,O,O,X,X,X,X,O,X
TIJOZLS,X,X,X,O,X,X,O,O,X
TIJOZSL,O,X,X,X,X,X,X,O,X
