sequence,v115@zgA8GeC8FeD8GeC8GeE8AeF8Je5/IvhFmbBCdBTgB/?nB0mBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Jez6IvhFWhBxcB/nBC?lB0mBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeR7IvhFFdBzfBfmB0?hBSsBGqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Je5/IvhF/hBFdBOlB0?gBTnBCrB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Jex8IvhFflBlgBumB8?qBTsBCqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeC7IvhF8kBRhBXhBT?iBWsBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeWAJvhFxbB/mBUiBC?lBTnBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Je5/IvhFOgB8gB3hBT?nBCnBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeR7IvhFqkBTgBlhB8?qBXsBGsB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JefAJvhFzgBUiBCiBW?qBxrBlqB
TILJSZO,X,O,O,O,X,X,O,X,X,X
TILJSOZ,X,O,O,O,X,X,O,X,X,X
TILJZSO,X,X,O,O,X,X,O,O,X,X
TILJZOS,X,X,O,X,X,X,X,X,X,X
TILJOSZ,X,O,O,O,X,X,O,X,X,X
TILJOZS,X,X,O,X,X,X,X,X,X,X
TILSJZO,X,O,O,O,X,X,O,X,X,X
TILSJOZ,O,O,O,O,X,X,O,X,X,X
TILSZJO,O,O,O,O,X,X,O,O,X,X
TILSZOJ,O,O,O,X,X,X,O,X,X,X
TILSOJZ,O,O,O,O,X,X,O,X,X,X
TILSOZJ,O,O,O,X,X,X,O,X,X,X
TILZJSO,O,O,O,O,X,X,X,O,X,X
TILZJOS,X,O,O,X,X,X,X,X,X,X
TILZSJO,O,O,O,O,X,X,X,O,X,X
TILZSOJ,O,O,O,X,X,X,X,X,X,X
TILZOJS,O,O,X,X,X,X,X,X,X,X
TILZOSJ,O,O,O,X,X,X,X,X,X,X
TILOJSZ,O,O,X,O,X,X,X,X,X,X
TILOJZS,O,X,X,O,X,X,X,X,X,X
TILOSJZ,O,O,X,O,X,X,X,X,X,X
TILOSZJ,O,O,X,O,X,X,X,O,X,X
TILOZJS,O,O,X,O,X,X,X,X,X,X
TILOZSJ,O,O,X,O,X,X,X,X,X,X
TIJLSZO,X,X,O,O,X,X,X,X,X,X
TIJLSOZ,X,X,O,O,X,X,X,X,X,X
TIJLZSO,X,X,O,O,X,O,X,O,X,X
TIJLZOS,X,X,O,X,X,O,X,X,X,X
TIJLOSZ,X,X,O,O,X,X,X,X,X,X
TIJLOZS,X,X,O,X,X,X,X,X,X,X
TIJSLZO,X,O,O,O,X,X,X,X,X,X
TIJSLOZ,O,O,O,O,X,X,X,X,X,X
TIJSZLO,X,X,O,X,X,O,X,O,X,X
TIJSZOL,X,X,O,X,X,X,X,O,X,O
TIJSOLZ,O,X,O,X,X,X,X,X,X,X
TIJSOZL,O,X,O,X,X,X,X,X,X,O
TIJZLSO,O,X,X,O,X,O,X,O,X,X
TIJZLOS,X,X,X,X,X,O,X,X,X,X
TIJZSLO,O,X,X,X,X,O,X,O,X,X
TIJZSOL,O,X,X,X,X,X,X,O,X,O
TIJZOLS,O,X,X,X,X,O,X,X,X,X
TIJZOSL,O,X,X,X,X,X,X,O,X,O
TIJOLSZ,O,X,O,O,X,X,X,X,X,X
TIJOLZS,O,X,O,O,X,X,X,X,X,X
TIJOSLZ,O,X,O,O,X,X,X,X,X,X
TIJOSZL,O,X,O,X,X,X,X,O,X,O
TIJOZLS,O,X,O,O,X,O,X,X,X,X
TIJOZSL,O,X,O,X,X,X,X,O,X,O
TISLJZO,X,O,O,O,X,X,O,X,X,X
TISLJOZ,O,O,O,O,X,X,O,X,X,X
TISLZJO,O,O,O,O,X,X,O,O,X,X
TISLZOJ,O,O,O,X,X,X,O,X,X,X
TISLOJZ,O,O,O,O,X,X,O,X,X,X
TISLOZJ,O,O,O,X,X,X,O,X,X,X
TISJLZO,X,O,O,O,X,X,O,X,X,X
TISJLOZ,O,O,O,O,X,X,O,X,X,X
TISJZLO,X,X,O,X,X,X,O,O,X,X
TISJZOL,X,X,O,X,X,X,X,O,X,X
TISJOLZ,O,X,O,X,X,X,X,X,X,X
TISJOZL,O,X,O,X,X,X,X,X,X,X
TISZLJO,O,O,O,X,X,X,O,O,X,X
TISZLOJ,O,O,O,X,X,X,O,X,X,X
TISZJLO,O,O,O,X,X,X,O,O,X,X
TISZJOL,O,O,O,X,X,X,X,O,X,X
TISZOLJ,O,O,X,X,X,X,O,X,X,X
TISZOJL,O,O,O,X,X,X,X,O,X,X
TISOLJZ,O,O,O,O,X,X,O,X,X,X
TISOLZJ,O,O,O,O,X,X,O,O,X,X
TISOJLZ,O,X,O,O,X,X,X,X,X,X
TISOJZL,O,X,O,X,X,X,X,O,X,X
TISOZLJ,O,X,X,X,X,X,O,O,X,X
TISOZJL,O,X,O,X,X,X,X,O,X,X
TIZLJSO,O,O,X,O,X,O,X,O,X,X
TIZLJOS,X,O,X,X,X,O,X,X,X,X
TIZLSJO,O,O,X,O,X,X,X,O,X,X
TIZLSOJ,O,O,X,X,X,X,X,X,X,X
TIZLOJS,O,O,X,X,X,X,X,X,X,X
TIZLOSJ,O,O,X,X,X,X,X,X,X,X
TIZJLSO,O,O,X,O,X,O,X,O,X,X
TIZJLOS,X,O,X,X,X,O,X,X,X,X
TIZJSLO,O,O,X,X,X,O,X,O,X,X
TIZJSOL,O,O,X,X,X,X,X,O,X,O
TIZJOLS,O,X,X,X,X,O,X,X,X,X
TIZJOSL,O,X,X,X,X,X,X,O,X,O
TIZSLJO,O,O,X,X,X,X,X,O,X,X
TIZSLOJ,O,O,X,X,X,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X,O,X,X
TIZSJOL,O,O,X,X,X,X,X,O,X,X
TIZSOLJ,O,O,X,X,X,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X,O,X,X
TIZOLJS,O,X,X,O,X,X,X,X,X,X
TIZOLSJ,O,X,X,O,X,X,X,X,X,X
TIZOJLS,O,X,X,O,X,X,X,X,X,X
TIZOJSL,O,X,X,X,X,X,X,O,X,O
TIZOSLJ,O,X,X,X,X,X,X,O,X,X
TIZOSJL,O,X,X,X,X,X,X,O,X,X
TIOLJSZ,O,X,X,O,X,X,X,X,X,X
TIOLJZS,O,X,X,O,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,X,X,X,X
TIOLSZJ,O,X,X,O,X,X,X,O,X,X
TIOLZJS,O,X,X,O,X,X,X,X,X,X
TIOLZSJ,O,X,X,O,X,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,X,X,X,X,X
TIOJLZS,O,X,X,O,X,X,X,X,X,X
TIOJSLZ,O,X,X,O,X,X,X,X,X,X
TIOJSZL,O,X,X,X,O,X,X,O,X,O
TIOJZLS,O,X,X,O,X,X,X,X,X,X
TIOJZSL,O,X,X,X,O,X,X,O,X,O
TIOSLJZ,O,O,X,O,X,X,X,X,X,X
TIOSLZJ,O,O,X,O,X,X,X,O,X,X
TIOSJLZ,O,X,X,O,X,X,X,X,X,X
TIOSJZL,O,X,X,X,O,X,X,O,X,X
TIOSZLJ,O,X,X,X,X,X,X,O,X,X
TIOSZJL,O,X,X,X,X,X,X,O,X,X
TIOZLJS,O,X,X,O,X,X,X,X,X,X
TIOZLSJ,O,X,X,O,X,X,X,X,X,X
TIOZJLS,O,X,X,O,X,X,X,X,X,X
TIOZJSL,O,X,X,X,X,X,X,O,X,O
TIOZSLJ,O,X,X,X,X,X,X,O,X,X
TIOZSJL,O,X,X,X,X,X,X,O,X,X
TLIJSZO,X,O,O,O,X,X,O,X,X,X
TLIJSOZ,X,O,O,O,X,X,O,X,X,X
TLIJZSO,X,X,O,O,X,X,O,O,X,X
TLIJZOS,X,X,O,X,X,X,X,X,X,X
TLIJOSZ,X,O,O,O,X,X,O,X,X,X
TLIJOZS,X,X,O,X,X,X,X,X,X,X
TLISJZO,X,O,O,O,X,X,O,X,X,X
TLISJOZ,O,O,O,O,X,X,O,X,X,X
TLISZJO,O,O,O,O,X,X,O,O,X,X
TLISZOJ,O,O,O,X,X,X,O,X,X,X
TLISOJZ,O,O,O,O,X,X,O,X,X,X
TLISOZJ,O,O,O,X,X,X,O,X,X,X
TLIZJSO,O,O,O,O,X,X,X,O,X,X
TLIZJOS,X,O,O,X,X,X,X,X,X,X
TLIZSJO,O,O,O,O,X,X,X,O,X,X
TLIZSOJ,O,O,O,X,X,X,X,X,X,X
TLIZOJS,O,O,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,O,X,X,X,X,X,X,X
TLIOJSZ,O,O,X,O,X,X,X,X,X,X
TLIOJZS,O,X,X,O,X,X,X,X,X,X
TLIOSJZ,O,O,X,O,X,X,X,X,X,X
TLIOSZJ,O,O,X,O,X,X,X,O,X,X
TLIOZJS,O,O,X,O,X,X,X,X,X,X
TLIOZSJ,O,O,X,O,X,X,X,X,X,X
TLJISZO,X,O,O,O,X,X,O,X,X,X
TLJISOZ,X,O,O,O,X,X,O,X,X,X
TLJIZSO,X,X,O,O,X,O,O,O,X,X
TLJIZOS,X,X,O,X,X,O,X,X,X,X
TLJIOSZ,X,O,O,O,X,X,O,X,X,X
TLJIOZS,X,X,O,X,X,X,X,X,X,X
TLJSIZO,X,O,O,O,X,X,O,X,X,X
TLJSIOZ,X,O,O,O,X,X,O,X,X,X
TLJSZIO,X,O,O,O,X,X,O,X,X,X
TLJSZOI,X,O,O,X,X,X,O,X,X,X
TLJSOIZ,X,O,O,O,X,X,O,X,X,X
TLJSOZI,X,O,O,X,X,X,O,X,X,X
TLJZISO,X,O,O,O,X,O,O,O,X,X
TLJZIOS,X,O,O,X,X,O,X,X,X,X
TLJZSIO,X,O,O,O,X,O,O,O,X,X
TLJZSOI,X,O,O,X,X,X,O,X,X,X
TLJZOIS,X,O,O,X,X,O,X,X,X,X
TLJZOSI,X,O,O,X,X,X,X,X,X,X
TLJOISZ,X,O,O,O,X,X,O,X,X,X
TLJOIZS,X,X,O,X,X,X,X,X,X,X
TLJOSIZ,X,O,O,O,X,X,O,X,X,X
TLJOSZI,X,O,O,X,X,X,O,X,X,X
TLJOZIS,X,O,O,X,X,X,X,X,X,X
TLJOZSI,X,O,O,X,X,X,X,X,X,X
TLSIJZO,X,O,O,O,X,X,O,X,X,X
TLSIJOZ,O,O,O,O,X,X,O,X,X,X
TLSIZJO,O,O,O,O,X,X,O,O,X,X
TLSIZOJ,O,O,O,X,X,X,O,X,O,X
TLSIOJZ,O,O,O,O,X,X,O,X,X,X
TLSIOZJ,O,O,O,X,X,X,O,X,X,X
