sequence,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeR7IvhF3cB1iB?6jBzfBWmB0qB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeF7IvhF0cBxdB?flBGjBCmBzqB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFRcB1iB?6jBWmBUlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeqAJvhFxdBzfB?lhBGjBUlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhF0dB6jB?lhBRlB+lBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFxdBlhB?GjBUlBfrBCrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeWAJvhF0dB6jB?lhBRlBTlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFFcBxdB?3hBGjBUlBqqB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFqgBxdB?lhBGjBUlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jeq/IvhFxdB0gB?lhBGjBTlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jeq/IvhFTbBXhB?xiBlhBGjB0qB
TIZSLOJ,O,X,O,X,O,X,X,X,X,X,O
TIZSJLO,O,X,O,X,X,X,O,X,X,X,X
TIZSJOL,O,X,O,X,X,X,X,X,X,X,X
TIZSOLJ,O,X,O,X,O,X,X,X,X,X,X
TIZSOJL,O,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,X,O,X,O,X,O,X,X,X,X
TIZOLSJ,O,X,O,X,O,X,X,X,X,X,X
TIZOJLS,O,X,O,X,O,X,O,X,X,X,X
TIZOJSL,O,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,O,X,O,X,X,X,X,X,X
TIZOSJL,O,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,X,O,O,X,X,X,X,X,X
TIOLJZS,O,X,O,O,O,X,O,X,X,X,X
TIOLSJZ,O,X,X,X,O,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,X,X,X,X,X
TIOLZJS,O,X,O,X,O,X,O,X,X,X,X
TIOLZSJ,O,X,O,X,O,X,X,X,X,X,X
TIOJLSZ,O,X,X,O,O,X,X,X,X,X,X
TIOJLZS,O,X,O,O,O,X,O,X,X,X,X
TIOJSLZ,O,X,X,O,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,O,O,O,X,O,X,X,X,X
TIOJZSL,O,X,O,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,X,O,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,O,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,O,X,X,X,X,X,X
TIOSZJL,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,O,X,O,X,O,X,O,X,X,X,X
TIOZLSJ,O,X,O,X,O,X,X,X,X,X,X
TIOZJLS,O,X,O,X,O,X,O,X,X,X,X
TIOZJSL,O,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,O,X,O,X,X,X,X,X,X
TIOZSJL,O,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,X,O,X,O,X,O,X,O,O,X
TLIJSOZ,O,X,X,O,O,X,X,X,X,X,X
TLIJZSO,O,X,O,X,O,X,O,X,O,O,X
TLIJZOS,X,X,O,O,O,X,O,X,O,O,X
TLIJOSZ,O,X,X,O,O,X,X,X,X,X,X
TLIJOZS,O,X,O,O,O,X,O,X,O,O,X
TLISJZO,O,X,O,X,O,X,O,X,X,X,X
TLISJOZ,O,X,X,X,O,X,X,X,X,X,X
TLISZJO,O,X,O,X,O,X,O,X,X,X,X
TLISZOJ,O,X,O,X,O,X,X,X,X,X,X
TLISOJZ,O,X,X,X,O,X,X,X,X,X,O
TLISOZJ,O,X,X,X,O,X,X,X,X,X,O
TLIZJSO,O,X,O,X,O,X,O,X,O,O,X
TLIZJOS,O,X,O,X,O,X,O,X,O,O,X
TLIZSJO,O,X,O,X,O,X,O,X,X,X,X
TLIZSOJ,O,X,O,X,O,X,X,X,X,X,O
TLIZOJS,O,X,O,X,O,X,O,X,O,X,X
TLIZOSJ,O,X,O,X,O,X,X,X,X,X,O
TLIOJSZ,O,X,X,O,O,X,X,X,X,X,X
TLIOJZS,O,X,O,O,O,X,O,X,X,X,X
TLIOSJZ,O,X,X,X,O,X,X,X,X,X,O
TLIOSZJ,O,X,X,X,O,X,X,X,X,X,O
TLIOZJS,O,X,O,X,O,X,O,X,X,X,X
TLIOZSJ,O,X,O,X,O,X,X,X,X,X,X
TLJISZO,O,O,O,X,O,X,O,X,O,O,X
TLJISOZ,O,O,X,O,O,X,X,X,X,X,X
TLJIZSO,O,O,O,X,O,X,O,X,O,O,X
TLJIZOS,X,X,O,O,O,X,O,X,O,O,X
TLJIOSZ,O,X,X,O,O,X,X,X,X,X,X
TLJIOZS,O,X,O,O,O,X,O,X,O,O,X
TLJSIZO,O,O,O,X,X,X,X,X,O,O,X
TLJSIOZ,O,O,X,O,X,X,X,X,X,X,X
TLJSZIO,O,O,O,X,X,X,X,X,O,O,X
TLJSZOI,O,O,O,X,X,X,X,X,O,O,X
TLJSOIZ,O,O,X,O,X,X,X,X,X,X,X
TLJSOZI,O,O,X,O,X,X,X,X,X,X,X
TLJZISO,O,O,O,X,O,X,O,X,O,O,X
TLJZIOS,O,X,O,O,O,X,O,X,O,O,X
TLJZSIO,O,O,O,X,X,X,X,X,O,O,X
TLJZSOI,O,O,O,X,X,X,X,X,O,O,X
TLJZOIS,O,X,O,O,X,X,X,X,O,O,X
TLJZOSI,O,X,O,O,X,X,X,X,O,O,X
TLJOISZ,O,X,X,O,X,X,X,X,X,X,X
TLJOIZS,O,X,O,O,X,X,X,X,O,O,X
TLJOSIZ,O,X,X,O,X,X,X,X,X,X,X
TLJOSZI,O,X,X,O,X,X,X,X,X,X,X
TLJOZIS,O,X,O,O,X,X,X,X,O,O,X
TLJOZSI,O,X,O,O,X,X,X,X,O,O,X
TLSIJZO,O,O,O,X,O,X,O,X,X,X,X
TLSIJOZ,O,O,X,X,O,X,X,X,X,X,X
TLSIZJO,O,O,O,X,O,X,O,X,X,X,X
TLSIZOJ,O,O,O,X,O,X,X,X,X,X,X
TLSIOJZ,O,X,X,X,O,X,X,X,X,X,O
TLSIOZJ,O,X,X,X,O,X,X,X,X,X,O
TLSJIZO,O,O,O,X,X,X,X,X,O,O,X
TLSJIOZ,O,O,X,O,X,X,X,X,X,X,X
TLSJZIO,O,O,O,X,X,X,X,X,O,O,X
TLSJZOI,O,O,O,X,X,X,X,X,O,O,X
TLSJOIZ,O,O,X,O,X,X,X,X,X,X,X
TLSJOZI,O,O,X,O,X,X,X,X,X,X,X
TLSZIJO,O,O,O,X,O,X,O,X,X,X,X
TLSZIOJ,O,O,O,X,O,X,X,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X,X,O,O,X
