sequence,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFXcBTeBCiB2rBln?B0sB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFmcBqiBTeBFhB3m?B0sB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFXcB8hBSjB2rBln?BzsB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFXcBcjBTmB6sBFn?BmsB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFTeBFhB0iB3mBmm?BqsB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFeiBCeBFhBXjBTm?B0sB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFcjBFhB6nB3mBmm?BzsB
TZJSILO,O,O,O,X,X,O,O
TZJSIOL,O,O,O,X,X,O,X
TZJSLIO,O,O,O,X,X,O,O
TZJSLOI,O,O,O,X,X,O,O
TZJSOIL,O,O,O,X,X,O,X
TZJSOLI,O,O,O,X,X,O,X
TZJOILS,O,O,O,X,X,X,X
TZJOISL,O,X,O,X,O,O,X
TZJOLIS,O,O,O,X,X,X,X
TZJOLSI,O,O,O,X,X,X,X
TZJOSIL,O,X,O,X,O,O,X
TZJOSLI,O,X,O,X,O,O,X
TZSILJO,X,O,X,X,X,O,O
TZSILOJ,X,O,X,X,O,X,O
TZSIJLO,X,O,X,X,X,O,O
TZSIJOL,X,O,X,X,O,O,X
TZSIOLJ,X,O,X,O,O,X,O
TZSIOJL,X,O,X,X,O,O,X
TZSLIJO,X,O,X,X,X,O,O
TZSLIOJ,X,O,X,X,O,X,O
TZSLJIO,X,O,X,X,X,O,O
TZSLJOI,X,O,X,X,X,O,O
TZSLOIJ,X,O,X,X,O,X,O
TZSLOJI,X,O,X,X,O,X,O
TZSJILO,X,O,X,X,X,O,O
TZSJIOL,X,O,X,X,O,O,X
TZSJLIO,X,O,X,X,X,O,O
TZSJLOI,X,O,X,X,X,O,O
TZSJOIL,X,O,X,X,O,O,X
TZSJOLI,X,O,X,X,O,O,X
TZSOILJ,X,O,X,O,O,X,O
TZSOIJL,X,O,X,X,O,O,X
TZSOLIJ,X,O,X,O,O,X,O
TZSOLJI,X,O,X,O,O,X,O
TZSOJIL,X,O,X,X,O,O,X
TZSOJLI,X,O,X,X,O,O,X
TZOILJS,X,O,X,O,X,X,X
TZOILSJ,X,O,X,O,O,X,X
TZOIJLS,O,O,X,X,X,X,X
TZOIJSL,O,X,X,X,O,O,X
TZOISLJ,X,O,X,O,O,X,O
TZOISJL,X,O,X,X,O,O,X
TZOLIJS,X,O,X,O,X,X,X
TZOLISJ,X,O,X,O,O,X,X
TZOLJIS,X,O,X,O,X,X,X
TZOLJSI,X,O,X,O,X,X,X
TZOLSIJ,X,O,X,O,O,X,X
TZOLSJI,X,O,X,O,O,X,X
TZOJILS,O,O,X,X,X,X,X
TZOJISL,O,X,X,X,O,O,X
TZOJLIS,O,O,X,X,X,X,X
TZOJLSI,O,O,X,X,X,X,X
TZOJSIL,O,X,X,X,O,O,X
TZOJSLI,O,X,X,X,O,O,X
TZOSILJ,X,O,X,O,O,X,O
TZOSIJL,X,O,X,X,O,O,X
TZOSLIJ,X,O,X,O,O,X,O
TZOSLJI,X,O,X,O,O,X,O
TZOSJIL,X,O,X,X,O,O,X
TZOSJLI,X,O,X,X,O,O,X
TOILJSZ,O,O,X,X,X,X,X
TOILJZS,O,O,O,X,X,X,X
TOILSJZ,X,O,X,X,X,X,X
TOILSZJ,X,O,X,O,X,X,X
TOILZJS,X,O,X,O,X,X,X
TOILZSJ,X,X,X,O,O,X,X
TOIJLSZ,O,O,X,X,X,X,X
TOIJLZS,O,O,O,X,X,X,X
TOIJSLZ,O,O,X,X,X,X,X
TOIJSZL,O,O,X,X,X,X,X
TOIJZLS,O,O,O,X,X,X,X
TOIJZSL,O,X,O,X,O,X,X
TOISLJZ,X,O,X,X,X,X,X
TOISLZJ,X,O,X,O,X,X,O
TOISJLZ,O,O,X,X,X,X,X
TOISJZL,O,O,X,X,X,X,X
TOISZLJ,X,O,X,O,O,X,O
TOISZJL,X,O,X,X,O,X,X
TOIZLJS,X,O,X,O,X,X,X
TOIZLSJ,X,O,X,O,O,X,X
TOIZJLS,O,O,X,X,X,X,X
TOIZJSL,O,X,X,X,O,O,X
TOIZSLJ,X,O,X,O,O,X,O
TOIZSJL,X,X,X,X,O,O,X
TOLIJSZ,O,O,X,X,X,X,X
TOLIJZS,O,O,O,X,X,X,X
TOLISJZ,X,O,X,X,X,X,X
TOLISZJ,X,O,X,O,X,X,X
TOLIZJS,X,O,X,O,X,X,X
TOLIZSJ,X,X,X,O,O,X,X
TOLJISZ,O,O,X,X,X,X,X
TOLJIZS,O,O,O,X,X,X,X
TOLJSIZ,O,O,X,X,X,X,X
TOLJSZI,O,X,X,X,X,X,X
TOLJZIS,O,O,O,X,X,X,X
TOLJZSI,O,X,O,X,X,X,X
TOLSIJZ,X,O,X,X,X,X,X
TOLSIZJ,X,O,X,O,X,X,X
TOLSJIZ,X,O,X,X,X,X,X
TOLSJZI,X,O,X,X,X,X,X
TOLSZIJ,X,O,X,O,X,X,X
TOLSZJI,X,O,X,O,X,X,X
TOLZIJS,X,O,X,O,X,X,X
TOLZISJ,X,X,X,O,O,X,X
TOLZJIS,X,O,X,O,X,X,X
TOLZJSI,X,X,X,O,X,X,X
TOLZSIJ,X,X,X,O,O,X,X
TOLZSJI,X,X,X,O,O,X,X
TOJILSZ,O,O,X,X,X,X,X
TOJILZS,O,O,O,X,X,X,X
TOJISLZ,O,O,X,X,X,X,X
TOJISZL,O,O,X,X,X,X,X
TOJIZLS,O,O,O,X,X,X,X
TOJIZSL,O,X,O,X,O,X,X
TOJLISZ,O,O,X,X,X,X,X
TOJLIZS,O,O,O,X,X,X,X
TOJLSIZ,O,O,X,X,X,X,X
TOJLSZI,O,X,X,X,X,X,X
TOJLZIS,O,O,O,X,X,X,X
TOJLZSI,O,X,O,X,X,X,X
TOJSILZ,O,O,X,X,X,X,X
TOJSIZL,O,O,X,X,X,X,X
TOJSLIZ,O,O,X,X,X,X,X
TOJSLZI,O,O,X,X,X,X,X
TOJSZIL,O,O,X,X,X,X,X
TOJSZLI,O,O,X,X,X,X,X
TOJZILS,O,O,O,X,X,X,X
TOJZISL,O,X,O,X,O,X,X
TOJZLIS,O,O,O,X,X,X,X
TOJZLSI,O,O,O,X,X,X,X
TOJZSIL,O,X,O,X,O,X,X
TOJZSLI,O,X,O,X,O,X,X
TOSILJZ,X,O,X,X,X,X,X
TOSILZJ,X,O,X,O,X,X,O
TOSIJLZ,O,O,X,X,X,X,X
TOSIJZL,O,O,X,X,X,X,X
TOSIZLJ,X,O,X,O,O,X,O
TOSIZJL,X,O,X,X,O,X,X
TOSLIJZ,X,O,X,X,X,X,X
TOSLIZJ,X,O,X,O,X,X,O
TOSLJIZ,X,O,X,X,X,X,X
TOSLJZI,X,O,X,X,X,X,X
TOSLZIJ,X,O,X,O,X,X,O
TOSLZJI,X,O,X,O,X,X,O
TOSJILZ,O,O,X,X,X,X,X
TOSJIZL,O,O,X,X,X,X,X
TOSJLIZ,O,O,X,X,X,X,X
TOSJLZI,O,O,X,X,X,X,X
TOSJZIL,O,O,X,X,X,X,X
TOSJZLI,O,O,X,X,X,X,X
TOSZILJ,X,O,X,O,O,X,O
TOSZIJL,X,O,X,X,O,X,X
TOSZLIJ,X,O,X,O,O,X,O
TOSZLJI,X,O,X,O,O,X,O
TOSZJIL,X,O,X,X,O,X,X
TOSZJLI,X,O,X,X,O,X,X
TOZILJS,X,O,X,O,X,X,X
TOZILSJ,X,O,X,O,O,X,X
TOZIJLS,O,O,X,X,X,X,X
TOZIJSL,O,X,X,X,O,O,X
TOZISLJ,X,O,X,O,O,X,O
TOZISJL,X,X,X,X,O,O,X
TOZLIJS,X,O,X,O,X,X,X
TOZLISJ,X,O,X,O,O,X,X
TOZLJIS,X,O,X,O,X,X,X
TOZLJSI,X,O,X,O,X,X,X
TOZLSIJ,X,O,X,O,O,X,X
TOZLSJI,X,O,X,O,O,X,X
TOZJILS,O,O,X,X,X,X,X
TOZJISL,O,X,X,X,O,O,X
TOZJLIS,O,O,X,X,X,X,X
TOZJLSI,O,O,X,X,X,X,X
TOZJSIL,O,X,X,X,O,O,X
TOZJSLI,O,X,X,X,O,O,X
TOZSILJ,X,O,X,O,O,X,O
TOZSIJL,X,X,X,X,O,O,X
TOZSLIJ,X,O,X,O,O,X,O
TOZSLJI,X,O,X,O,O,X,O
TOZSJIL,X,X,X,X,O,O,X
TOZSJLI,X,X,X,X,O,O,X
ITLJSZO,O,O,O,X,X,X,X
ITLJSOZ,O,O,X,X,X,X,X
ITLJZSO,O,O,O,X,X,X,X
ITLJZOS,O,O,O,X,X,X,X
ITLJOSZ,O,O,X,X,X,X,X
ITLJOZS,O,O,O,X,X,X,X
ITLSJZO,X,O,O,X,X,X,O
ITLSJOZ,X,O,X,X,X,X,X
ITLSZJO,X,O,X,X,X,X,O
ITLSZOJ,X,O,X,X,O,X,O
ITLSOJZ,X,O,X,X,X,X,X
ITLSOZJ,X,O,X,X,X,X,O
ITLZJSO,X,O,O,X,X,O,X
ITLZJOS,X,O,O,X,X,X,X
ITLZSJO,X,O,X,X,X,O,O
ITLZSOJ,X,O,X,X,X,X,O
ITLZOJS,X,O,X,O,X,X,X
ITLZOSJ,X,O,X,O,O,X,X
ITLOJSZ,O,O,X,X,X,X,X
ITLOJZS,O,O,O,X,X,X,X
ITLOSJZ,X,O,X,X,X,X,X
ITLOSZJ,X,O,X,O,X,X,X
ITLOZJS,X,O,X,O,X,X,X
ITLOZSJ,X,X,X,O,O,X,X
ITJLSZO,O,O,O,X,X,X,X
ITJLSOZ,O,O,X,X,X,X,X
ITJLZSO,O,O,O,X,X,X,X
ITJLZOS,O,O,O,X,X,X,X
ITJLOSZ,O,O,X,X,X,X,X
ITJLOZS,O,O,O,X,X,X,X
ITJSLZO,O,O,O,X,X,X,O
ITJSLOZ,O,O,X,X,X,X,X
ITJSZLO,O,O,O,X,X,X,O
ITJSZOL,O,O,O,X,O,X,X
ITJSOLZ,O,O,X,X,X,X,X
ITJSOZL,O,O,X,X,X,X,X
ITJZLSO,O,O,O,X,X,O,X
ITJZLOS,O,O,O,X,X,X,X
ITJZSLO,O,O,O,X,X,O,O
ITJZSOL,O,O,O,X,X,O,X
ITJZOLS,O,O,O,X,X,X,X
ITJZOSL,O,X,O,X,O,O,X
ITJOLSZ,O,O,X,X,X,X,X
ITJOLZS,O,O,O,X,X,X,X
ITJOSLZ,O,O,X,X,X,X,X
ITJOSZL,O,O,X,X,X,X,X
ITJOZLS,O,O,O,X,X,X,X
ITJOZSL,O,X,O,X,O,X,X
ITSLJZO,X,O,O,X,X,X,O
ITSLJOZ,X,O,X,X,X,X,X
ITSLZJO,X,O,X,X,X,X,O
ITSLZOJ,X,O,X,X,O,X,O
ITSLOJZ,X,O,X,X,X,X,X
ITSLOZJ,X,O,X,X,X,X,O
ITSJLZO,O,O,O,X,X,X,O
ITSJLOZ,O,O,X,X,X,X,X
ITSJZLO,O,O,O,X,X,X,O
ITSJZOL,O,O,O,X,O,X,X
ITSJOLZ,O,O,X,X,X,X,X
ITSJOZL,O,O,X,X,X,X,X
ITSZLJO,X,O,X,X,X,O,O
ITSZLOJ,X,O,X,X,O,X,O
ITSZJLO,X,O,X,X,X,O,O
ITSZJOL,X,O,X,X,O,O,X
ITSZOLJ,X,O,X,O,O,X,O
ITSZOJL,X,O,X,X,O,O,X
ITSOLJZ,X,O,X,X,X,X,X
ITSOLZJ,X,O,X,O,X,X,O
ITSOJLZ,O,O,X,X,X,X,X
ITSOJZL,O,O,X,X,X,X,X
ITSOZLJ,X,O,X,O,O,X,O
ITSOZJL,X,O,X,X,O,X,X
ITZLJSO,X,O,O,X,X,O,X
ITZLJOS,X,O,O,X,X,X,X
ITZLSJO,X,O,X,X,X,O,O
ITZLSOJ,X,O,X,X,X,X,O
ITZLOJS,X,O,X,O,X,X,X
ITZLOSJ,X,O,X,O,O,X,X
ITZJLSO,O,O,O,X,X,O,X
ITZJLOS,O,O,O,X,X,X,X
ITZJSLO,O,O,O,X,X,O,O
ITZJSOL,O,O,O,X,X,O,X
ITZJOLS,O,O,O,X,X,X,X
ITZJOSL,O,X,O,X,O,O,X
ITZSLJO,X,O,X,X,X,O,O
ITZSLOJ,X,O,X,X,O,X,O
ITZSJLO,X,O,X,X,X,O,O
ITZSJOL,X,O,X,X,O,O,X
ITZSOLJ,X,O,X,O,O,X,O
ITZSOJL,X,O,X,X,O,O,X
ITZOLJS,X,O,X,O,X,X,X
ITZOLSJ,X,O,X,O,O,X,X
ITZOJLS,O,O,X,X,X,X,X
ITZOJSL,O,X,X,X,O,O,X
ITZOSLJ,X,O,X,O,O,X,O
ITZOSJL,X,O,X,X,O,O,X
ITOLJSZ,O,O,X,X,X,X,X
ITOLJZS,O,O,O,X,X,X,X
ITOLSJZ,X,O,X,X,X,X,X
ITOLSZJ,X,O,X,O,X,X,X
ITOLZJS,X,O,X,O,X,X,X
ITOLZSJ,X,X,X,O,O,X,X
ITOJLSZ,O,O,X,X,X,X,X
ITOJLZS,O,O,O,X,X,X,X
ITOJSLZ,O,O,X,X,X,X,X
ITOJSZL,O,O,X,X,X,X,X
ITOJZLS,O,O,O,X,X,X,X
ITOJZSL,O,X,O,X,O,X,X
ITOSLJZ,X,O,X,X,X,X,X
ITOSLZJ,X,O,X,O,X,X,O
ITOSJLZ,O,O,X,X,X,X,X
ITOSJZL,O,O,X,X,X,X,X
ITOSZLJ,X,O,X,O,O,X,O
ITOSZJL,X,O,X,X,O,X,X
ITOZLJS,X,O,X,O,X,X,X
ITOZLSJ,X,O,X,O,O,X,X
ITOZJLS,O,O,X,X,X,X,X
ITOZJSL,O,X,X,X,O,O,X
ITOZSLJ,X,O,X,O,O,X,O
ITOZSJL,X,X,X,X,O,O,X
ILTJSZO,O,O,O,X,X,X,X
ILTJSOZ,O,O,X,X,X,X,X
ILTJZSO,O,O,O,X,X,X,X
ILTJZOS,O,O,O,X,X,X,X
ILTJOSZ,O,O,X,X,X,X,X
ILTJOZS,O,O,O,X,X,X,X
ILTSJZO,X,O,O,X,X,X,O
ILTSJOZ,X,O,X,X,X,X,X
ILTSZJO,X,O,X,X,X,X,O
ILTSZOJ,X,O,X,X,O,X,O
ILTSOJZ,X,O,X,X,X,X,X
ILTSOZJ,X,O,X,X,X,X,O
ILTZJSO,X,O,O,X,X,O,X
ILTZJOS,X,O,O,X,X,X,X
ILTZSJO,X,O,X,X,X,O,O
ILTZSOJ,X,O,X,X,X,X,O
ILTZOJS,X,O,X,O,X,X,X
ILTZOSJ,X,O,X,O,O,X,X
ILTOJSZ,O,O,X,X,X,X,X
ILTOJZS,O,O,O,X,X,X,X
ILTOSJZ,X,O,X,X,X,X,X
ILTOSZJ,X,O,X,O,X,X,X
ILTOZJS,X,O,X,O,X,X,X
ILTOZSJ,X,X,X,O,O,X,X
ILJTSZO,O,X,O,X,X,X,X
ILJTSOZ,O,O,X,X,X,X,X
ILJTZSO,O,X,O,X,X,X,X
ILJTZOS,O,O,O,X,X,X,X
ILJTOSZ,O,O,X,X,X,X,X
ILJTOZS,O,O,O,X,X,X,X
ILJSTZO,O,O,O,X,X,X,X
ILJSTOZ,O,O,X,X,X,X,X
ILJSZTO,X,X,O,X,X,X,X
ILJSZOT,O,O,O,X,X,X,X
ILJSOTZ,O,O,X,X,X,X,X
ILJSOZT,O,O,O,X,X,X,X
ILJZTSO,X,X,O,X,X,X,X
ILJZTOS,X,X,O,X,X,X,X
ILJZSTO,X,X,O,X,X,X,X
ILJZSOT,O,X,O,X,X,X,X
ILJZOTS,X,X,X,O,X,X,X
ILJZOST,O,X,O,O,X,X,X
ILJOTSZ,O,O,X,X,X,X,X
ILJOTZS,O,O,X,X,X,X,X
ILJOSTZ,O,O,X,X,X,X,X
ILJOSZT,O,O,O,O,X,X,X
ILJOZTS,X,X,X,O,X,X,X
ILJOZST,O,X,O,O,X,X,X
ILSTJZO,X,O,O,X,X,X,O
ILSTJOZ,X,O,X,X,X,X,X
ILSTZJO,X,O,X,X,X,X,O
ILSTZOJ,X,O,X,X,O,X,O
ILSTOJZ,X,O,X,X,X,X,X
ILSTOZJ,X,O,X,X,X,X,O
ILSJTZO,O,O,O,X,X,X,O
ILSJTOZ,O,O,X,X,X,X,X
ILSJZTO,X,O,O,X,X,X,O
ILSJZOT,O,O,O,X,X,X,X
ILSJOTZ,O,O,X,X,X,X,X
ILSJOZT,O,O,O,X,X,X,X
ILSZTJO,X,O,X,X,X,X,O
ILSZTOJ,X,O,X,X,O,X,O
ILSZJTO,X,O,O,X,X,X,O
ILSZJOT,X,O,O,X,X,X,X
ILSZOTJ,X,O,X,O,O,X,O
ILSZOJT,X,O,X,O,X,X,X
ILSOTJZ,X,O,X,X,X,X,X
ILSOTZJ,X,O,X,O,X,X,O
ILSOJTZ,O,O,X,X,X,X,X
ILSOJZT,O,O,O,O,X,X,X
ILSOZTJ,X,O,X,O,X,X,O
ILSOZJT,X,O,X,O,X,X,X
ILZTJSO,X,O,O,X,X,O,X
ILZTJOS,X,O,O,X,X,X,X
ILZTSJO,X,O,X,X,X,O,O
ILZTSOJ,X,O,X,X,X,X,O
ILZTOJS,X,O,X,O,X,X,X
ILZTOSJ,X,O,X,O,O,X,X
ILZJTSO,X,O,O,X,X,O,X
ILZJTOS,X,O,X,X,X,X,X
ILZJSTO,X,O,O,X,X,O,X
ILZJSOT,X,O,O,X,X,O,X
ILZJOTS,X,O,X,O,X,X,X
ILZJOST,X,O,O,O,X,X,X
ILZSTJO,X,O,X,X,X,O,O
ILZSTOJ,X,O,X,X,O,X,O
ILZSJTO,X,O,O,X,X,O,O
ILZSJOT,X,O,O,X,X,O,X
ILZSOTJ,X,O,X,O,O,X,O
ILZSOJT,X,O,X,O,X,O,X
ILZOTJS,X,O,X,O,X,X,X
ILZOTSJ,X,O,X,O,O,X,X
ILZOJTS,X,O,X,O,X,X,X
ILZOJST,X,O,X,O,X,X,X
ILZOSTJ,X,O,X,O,O,X,X
ILZOSJT,X,O,X,O,X,X,X
ILOTJSZ,O,O,X,X,X,X,X
ILOTJZS,O,O,O,X,X,X,X
ILOTSJZ,X,O,X,X,X,X,X
ILOTSZJ,X,O,X,O,X,X,X
ILOTZJS,X,O,X,O,X,X,X
ILOTZSJ,X,X,X,O,O,X,X
ILOJTSZ,O,O,X,X,X,X,X
ILOJTZS,O,O,X,X,X,X,X
ILOJSTZ,O,O,X,X,X,X,X
ILOJSZT,O,O,O,O,X,X,X
ILOJZTS,X,X,X,O,X,X,X
ILOJZST,O,X,O,O,X,X,X
ILOSTJZ,X,O,X,X,X,X,X
ILOSTZJ,X,O,X,O,X,X,X
ILOSJTZ,O,O,X,X,X,X,X
ILOSJZT,O,O,O,O,X,X,X
ILOSZTJ,X,O,X,O,X,X,X
ILOSZJT,X,O,X,O,X,X,X
ILOZTJS,X,O,X,O,X,X,X
ILOZTSJ,X,X,X,O,O,X,X
ILOZJTS,X,X,X,O,X,X,X
ILOZJST,X,X,X,O,X,X,X
ILOZSTJ,X,O,X,O,O,X,X
ILOZSJT,X,O,X,O,X,X,X
IJTLSZO,O,O,O,X,X,X,X
IJTLSOZ,O,O,X,X,X,X,X
IJTLZSO,O,O,O,X,X,X,X
IJTLZOS,O,O,O,X,X,X,X
IJTLOSZ,O,O,X,X,X,X,X
IJTLOZS,O,O,O,X,X,X,X
IJTSLZO,O,O,O,X,X,X,O
IJTSLOZ,O,O,X,X,X,X,X
IJTSZLO,O,O,O,X,X,X,O
IJTSZOL,O,O,O,X,O,X,X
IJTSOLZ,O,O,X,X,X,X,X
IJTSOZL,O,O,X,X,X,X,X
IJTZLSO,O,O,O,X,X,O,X
IJTZLOS,O,O,O,X,X,X,X
IJTZSLO,O,O,O,X,X,O,O
IJTZSOL,O,O,O,X,X,O,X
IJTZOLS,O,O,O,X,X,X,X
IJTZOSL,O,X,O,X,O,O,X
IJTOLSZ,O,O,X,X,X,X,X
IJTOLZS,O,O,O,X,X,X,X
IJTOSLZ,O,O,X,X,X,X,X
IJTOSZL,O,O,X,X,X,X,X
IJTOZLS,O,O,O,X,X,X,X
IJTOZSL,O,X,O,X,O,X,X
IJLTSZO,O,X,O,X,X,X,X
IJLTSOZ,O,O,X,X,X,X,X
IJLTZSO,O,X,O,X,X,X,X
IJLTZOS,O,O,O,X,X,X,X
IJLTOSZ,O,O,X,X,X,X,X
IJLTOZS,O,O,O,X,X,X,X
IJLSTZO,O,O,O,X,X,X,X
IJLSTOZ,O,O,X,X,X,X,X
IJLSZTO,X,X,O,X,X,X,X
IJLSZOT,O,O,O,X,X,X,X
IJLSOTZ,O,O,X,X,X,X,X
IJLSOZT,O,O,O,X,X,X,X
IJLZTSO,X,X,O,X,X,X,X
IJLZTOS,X,X,O,X,X,X,X
IJLZSTO,X,X,O,X,X,X,X
IJLZSOT,O,X,O,X,X,X,X
IJLZOTS,X,X,X,O,X,X,X
IJLZOST,O,X,O,O,X,X,X
IJLOTSZ,O,O,X,X,X,X,X
IJLOTZS,O,O,X,X,X,X,X
IJLOSTZ,O,O,X,X,X,X,X
IJLOSZT,O,O,O,O,X,X,X
IJLOZTS,X,X,X,O,X,X,X
IJLOZST,O,X,O,O,X,X,X
IJSTLZO,O,O,O,X,X,X,O
IJSTLOZ,O,O,X,X,X,X,X
IJSTZLO,O,O,O,X,X,X,O
IJSTZOL,O,O,O,X,O,X,X
IJSTOLZ,O,O,X,X,X,X,X
IJSTOZL,O,O,X,X,X,X,X
IJSLTZO,O,O,O,X,X,X,O
IJSLTOZ,O,O,X,X,X,X,X
IJSLZTO,X,O,O,X,X,X,O
IJSLZOT,O,O,O,X,X,X,X
IJSLOTZ,O,O,X,X,X,X,X
IJSLOZT,O,O,O,X,X,X,X
IJSZTLO,O,O,O,X,X,X,O
IJSZTOL,O,O,O,X,O,X,X
IJSZLTO,X,O,O,X,X,X,O
IJSZLOT,O,O,O,X,X,X,X
IJSZOTL,O,O,O,X,O,X,X
IJSZOLT,O,O,O,O,X,X,X
IJSOTLZ,O,O,X,X,X,X,X
IJSOTZL,O,X,X,X,X,X,X
IJSOLTZ,O,O,X,X,X,X,X
IJSOLZT,O,O,O,O,X,X,X
IJSOZTL,O,X,O,X,X,X,X
IJSOZLT,O,O,O,O,X,X,X
IJZTLSO,O,O,O,X,X,O,X
IJZTLOS,O,O,O,X,X,X,X
IJZTSLO,O,O,O,X,X,O,O
IJZTSOL,O,X,O,X,X,O,X
IJZTOLS,O,O,O,X,X,X,X
IJZTOSL,O,X,O,X,O,O,X
IJZLTSO,X,O,O,X,X,O,X
IJZLTOS,X,O,O,X,X,X,X
IJZLSTO,X,O,O,X,X,O,X
IJZLSOT,O,O,O,X,X,O,X
IJZLOTS,X,O,X,O,X,X,X
IJZLOST,O,O,O,O,X,X,X
IJZSTLO,O,O,O,X,X,O,O
IJZSTOL,O,O,O,X,O,O,X
IJZSLTO,X,O,O,X,X,O,O
IJZSLOT,O,O,O,X,X,O,X
IJZSOTL,O,O,O,X,O,O,X
IJZSOLT,O,O,O,O,X,O,X
IJZOTLS,O,O,O,X,X,X,X
IJZOTSL,O,X,O,X,O,O,X
IJZOLTS,X,O,X,O,X,X,X
IJZOLST,O,O,O,O,X,X,X
IJZOSTL,O,O,O,X,O,O,X
IJZOSLT,O,O,O,O,X,O,X
IJOTLSZ,O,O,X,X,X,X,X
IJOTLZS,O,O,O,X,X,X,X
IJOTSLZ,O,O,X,X,X,X,X
IJOTSZL,O,X,X,X,X,X,X
IJOTZLS,O,X,O,X,X,X,X
IJOTZSL,O,X,O,X,O,X,X
IJOLTSZ,O,O,X,X,X,X,X
IJOLTZS,O,O,X,X,X,X,X
IJOLSTZ,O,O,X,X,X,X,X
IJOLSZT,O,O,O,O,X,X,X
IJOLZTS,X,X,X,O,X,X,X
IJOLZST,O,X,O,O,X,X,X
IJOSTLZ,O,O,X,X,X,X,X
IJOSTZL,O,X,X,X,X,X,X
IJOSLTZ,O,O,X,X,X,X,X
IJOSLZT,O,O,O,O,X,X,X
IJOSZTL,O,X,O,X,X,X,X
IJOSZLT,O,X,O,O,X,X,X
IJOZTLS,O,X,O,X,X,X,X
IJOZTSL,O,X,O,X,O,X,X
IJOZLTS,X,X,X,O,X,X,X
IJOZLST,O,X,O,O,X,X,X
IJOZSTL,O,X,O,X,O,X,X
IJOZSLT,O,X,O,O,X,X,X
ISTLJZO,X,O,O,X,X,X,O
ISTLJOZ,X,O,X,X,X,X,X
ISTLZJO,X,O,X,X,X,X,O
ISTLZOJ,X,O,X,X,O,X,O
ISTLOJZ,X,O,X,X,X,X,X
ISTLOZJ,X,O,X,X,X,X,O
ISTJLZO,O,O,O,X,X,X,O
ISTJLOZ,O,O,X,X,X,X,X
ISTJZLO,O,O,O,X,X,X,O
ISTJZOL,O,O,O,X,O,X,X
ISTJOLZ,O,O,X,X,X,X,X
ISTJOZL,O,O,X,X,X,X,X
ISTZLJO,X,O,X,X,X,O,O
ISTZLOJ,X,O,X,X,O,X,O
ISTZJLO,X,O,X,X,X,O,O
ISTZJOL,X,O,X,X,O,O,X
ISTZOLJ,X,O,X,O,O,X,O
ISTZOJL,X,O,X,X,O,O,X
ISTOLJZ,X,O,X,X,X,X,X
ISTOLZJ,X,O,X,O,X,X,O
ISTOJLZ,O,O,X,X,X,X,X
ISTOJZL,O,O,X,X,X,X,X
ISTOZLJ,X,O,X,O,O,X,O
ISTOZJL,X,O,X,X,O,X,X
ISLTJZO,X,O,O,X,X,X,O
ISLTJOZ,X,O,X,X,X,X,X
ISLTZJO,X,O,X,X,X,X,O
ISLTZOJ,X,O,X,X,O,X,O
ISLTOJZ,X,O,X,X,X,X,X
ISLTOZJ,X,O,X,X,X,X,O
ISLJTZO,O,O,O,X,X,X,O
ISLJTOZ,O,O,X,X,X,X,X
ISLJZTO,X,O,O,X,X,X,O
ISLJZOT,O,O,O,X,X,X,X
ISLJOTZ,O,O,X,X,X,X,X
ISLJOZT,O,O,O,X,X,X,X
ISLZTJO,X,O,X,X,X,X,O
ISLZTOJ,X,O,X,X,O,X,O
ISLZJTO,X,O,O,X,X,X,O
ISLZJOT,X,O,O,X,X,X,X
ISLZOTJ,X,O,X,O,O,X,O
ISLZOJT,X,O,X,O,X,X,X
ISLOTJZ,X,O,X,X,X,X,X
ISLOTZJ,X,O,X,O,X,X,O
ISLOJTZ,O,O,X,X,X,X,X
ISLOJZT,O,O,O,O,X,X,X
ISLOZTJ,X,O,X,O,X,X,O
ISLOZJT,X,O,X,O,X,X,X
ISJTLZO,O,O,O,X,X,X,O
ISJTLOZ,O,O,X,X,X,X,X
ISJTZLO,O,O,O,X,X,X,O
ISJTZOL,O,O,O,X,O,X,X
ISJTOLZ,O,O,X,X,X,X,X
ISJTOZL,O,O,X,X,X,X,X
ISJLTZO,O,O,O,X,X,X,O
ISJLTOZ,O,O,X,X,X,X,X
ISJLZTO,X,O,O,X,X,X,O
ISJLZOT,O,O,O,X,X,X,X
ISJLOTZ,O,O,X,X,X,X,X
ISJLOZT,O,O,O,X,X,X,X
ISJZTLO,O,O,O,X,X,X,O
ISJZTOL,O,O,O,X,O,X,X
ISJZLTO,X,O,O,X,X,X,O
ISJZLOT,O,O,O,X,X,X,X
ISJZOTL,O,O,O,X,O,X,X
ISJZOLT,O,O,O,O,X,X,X
ISJOTLZ,O,O,X,X,X,X,X
ISJOTZL,O,X,X,X,X,X,X
ISJOLTZ,O,O,X,X,X,X,X
ISJOLZT,O,O,O,O,X,X,X
ISJOZTL,O,X,O,X,X,X,X
ISJOZLT,O,O,O,O,X,X,X
ISZTLJO,X,O,X,X,X,O,O
