sequence,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFXcBTeBCiB2rBln?B0sB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFmcBqiBTeBFhB3m?B0sB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFXcB8hBSjB2rBln?BzsB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFXcBcjBTmB6sBFn?BmsB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFTeBFhB0iB3mBmm?BqsB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFeiBCeBFhBXjBTm?B0sB,v115@9gC8GeD8EeE8DeI8BeA8Jex6IvhFcjBFhB6nB3mBmm?BzsB
TIOLZSJ,X,X,X,O,O,X,X
TIOJLSZ,O,O,X,X,X,X,X
TIOJLZS,O,O,O,X,X,X,X
TIOJSLZ,O,O,X,X,X,X,X
TIOJSZL,O,O,X,X,X,X,X
TIOJZLS,O,O,O,X,X,X,X
TIOJZSL,O,X,O,X,O,X,X
TIOSLJZ,X,O,X,X,X,X,X
TIOSLZJ,X,O,X,O,X,X,O
TIOSJLZ,O,O,X,X,X,X,X
TIOSJZL,O,O,X,X,X,X,X
TIOSZLJ,X,O,X,O,O,X,O
TIOSZJL,X,O,X,X,O,X,X
TIOZLJS,X,O,X,O,X,X,X
TIOZLSJ,X,O,X,O,O,X,X
TIOZJLS,O,O,X,X,X,X,X
TIOZJSL,O,X,X,X,O,O,X
TIOZSLJ,X,O,X,O,O,X,O
TIOZSJL,X,X,X,X,O,O,X
TLIJSZO,O,O,O,X,X,X,X
TLIJSOZ,O,O,X,X,X,X,X
TLIJZSO,O,O,O,X,X,X,X
TLIJZOS,O,O,O,X,X,X,X
TLIJOSZ,O,O,X,X,X,X,X
TLIJOZS,O,O,O,X,X,X,X
TLISJZO,X,O,O,X,X,X,O
TLISJOZ,X,O,X,X,X,X,X
TLISZJO,X,O,X,X,X,X,O
TLISZOJ,X,O,X,X,O,X,O
TLISOJZ,X,O,X,X,X,X,X
TLISOZJ,X,O,X,X,X,X,O
TLIZJSO,X,O,O,X,X,O,X
TLIZJOS,X,O,O,X,X,X,X
TLIZSJO,X,O,X,X,X,O,O
TLIZSOJ,X,O,X,X,X,X,O
TLIZOJS,X,O,X,O,X,X,X
TLIZOSJ,X,O,X,O,O,X,X
TLIOJSZ,O,O,X,X,X,X,X
TLIOJZS,O,O,O,X,X,X,X
TLIOSJZ,X,O,X,X,X,X,X
TLIOSZJ,X,O,X,O,X,X,X
TLIOZJS,X,O,X,O,X,X,X
TLIOZSJ,X,X,X,O,O,X,X
TLJISZO,O,O,O,X,X,X,X
TLJISOZ,O,O,X,X,X,X,X
TLJIZSO,O,O,O,X,X,X,X
TLJIZOS,O,O,O,X,X,X,X
TLJIOSZ,O,O,X,X,X,X,X
TLJIOZS,O,O,O,X,X,X,X
TLJSIZO,O,O,O,X,X,X,X
TLJSIOZ,O,O,X,X,X,X,X
TLJSZIO,O,O,O,X,X,X,X
TLJSZOI,O,O,O,X,X,X,X
TLJSOIZ,O,O,X,X,X,X,X
TLJSOZI,O,O,X,X,X,X,X
TLJZISO,O,O,O,X,X,X,X
TLJZIOS,O,O,O,X,X,X,X
TLJZSIO,O,O,O,X,X,X,X
TLJZSOI,O,O,O,X,X,X,X
TLJZOIS,O,O,O,X,X,X,X
TLJZOSI,O,O,O,X,X,X,X
TLJOISZ,O,O,X,X,X,X,X
TLJOIZS,O,O,O,X,X,X,X
TLJOSIZ,O,O,X,X,X,X,X
TLJOSZI,O,X,X,X,X,X,X
TLJOZIS,O,O,O,X,X,X,X
TLJOZSI,O,X,O,X,X,X,X
TLSIJZO,X,O,O,X,X,X,O
TLSIJOZ,X,O,X,X,X,X,X
TLSIZJO,X,O,X,X,X,X,O
TLSIZOJ,X,O,X,X,O,X,O
TLSIOJZ,X,O,X,X,X,X,X
TLSIOZJ,X,O,X,X,X,X,O
TLSJIZO,X,O,O,X,X,X,O
TLSJIOZ,X,O,X,X,X,X,X
TLSJZIO,X,O,O,X,X,X,O
TLSJZOI,X,O,O,X,X,X,O
TLSJOIZ,X,O,X,X,X,X,X
TLSJOZI,X,O,X,X,X,X,X
TLSZIJO,X,O,X,X,X,X,O
TLSZIOJ,X,O,X,X,O,X,O
TLSZJIO,X,O,X,X,X,X,O
TLSZJOI,X,O,X,X,X,X,O
TLSZOIJ,X,O,X,X,O,X,O
TLSZOJI,X,O,X,X,O,X,O
TLSOIJZ,X,O,X,X,X,X,X
TLSOIZJ,X,O,X,X,X,X,O
TLSOJIZ,X,O,X,X,X,X,X
TLSOJZI,X,O,X,X,X,X,X
TLSOZIJ,X,O,X,X,X,X,O
TLSOZJI,X,O,X,X,X,X,O
TLZIJSO,X,O,O,X,X,O,X
TLZIJOS,X,O,O,X,X,X,X
TLZISJO,X,O,X,X,X,O,O
TLZISOJ,X,O,X,X,X,X,O
TLZIOJS,X,O,X,O,X,X,X
TLZIOSJ,X,O,X,O,O,X,X
TLZJISO,X,O,O,X,X,O,X
TLZJIOS,X,O,O,X,X,X,X
TLZJSIO,X,O,O,X,X,O,X
TLZJSOI,X,O,O,X,X,O,X
TLZJOIS,X,O,O,X,X,X,X
TLZJOSI,X,O,O,X,X,X,X
TLZSIJO,X,O,X,X,X,O,O
TLZSIOJ,X,O,X,X,X,X,O
TLZSJIO,X,O,X,X,X,O,O
TLZSJOI,X,O,X,X,X,O,O
TLZSOIJ,X,O,X,X,X,X,O
TLZSOJI,X,O,X,X,X,X,O
TLZOIJS,X,O,X,O,X,X,X
TLZOISJ,X,O,X,O,O,X,X
TLZOJIS,X,O,X,O,X,X,X
TLZOJSI,X,O,X,O,X,X,X
TLZOSIJ,X,O,X,O,O,X,X
TLZOSJI,X,O,X,O,O,X,X
TLOIJSZ,O,O,X,X,X,X,X
TLOIJZS,O,O,O,X,X,X,X
TLOISJZ,X,O,X,X,X,X,X
TLOISZJ,X,O,X,O,X,X,X
