sequence,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBFiB6rBcs?BzqB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmdBFhBXiBcsB6r?BzqB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcByiBcmBTiBWw?BFsB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFyiBFhBGnBXnBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFeiBzdBFhBcsBXm?BSwB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmdBFhBXiBcsBCr?BTrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBFiBSsBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBFiBcsBCr?BTrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmcBzdB8qBCnBXs?BFrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmcBzdBFhBcsBCr?B3rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFidBFhB3iBWsBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmdBFhBXiBSsBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBlmBcsBzq?BCsB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFzdBFhB/nBumB8q?BywB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFidBGhB3iB8qBFs?BTrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhF0cB3iBTmBuqBln?BywB
TISJOZL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TISZLJO,O,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X
TISZLOJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TISZJLO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TISZJOL,O,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X
TISZOLJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TISZOJL,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TISOLJZ,O,X,X,O,X,X,O,X,O,O,X,O,X,O,X,X
TISOLZJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
TISOJLZ,O,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X
TISOJZL,O,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X
TISOZLJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TISOZJL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZLJSO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TIZLJOS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TIZLSJO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TIZLSOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
TIZLOJS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TIZLOSJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TIZJLSO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X
TIZJLOS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TIZJSLO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TIZJSOL,O,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X
TIZJOLS,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
TIZJOSL,O,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X
TIZSLJO,O,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X
TIZSLOJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TIZSJLO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TIZSJOL,O,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X
TIZSOLJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TIZSOJL,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TIZOLJS,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
TIZOLSJ,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X
TIZOJLS,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
TIZOJSL,O,O,X,X,O,X,X,O,X,O,O,X,O,X,O,X
TIZOSLJ,O,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X
TIZOSJL,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
TIOLJSZ,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
TIOLJZS,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
TIOLSZJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOLZJS,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TIOLZSJ,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X
TIOJLSZ,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
TIOJLZS,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TIOJSLZ,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TIOJZLS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TIOJZSL,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TIOSLJZ,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
TIOSLZJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
TIOSJLZ,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TIOSZLJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOSZJL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZLJS,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
TIOZLSJ,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X
TIOZJLS,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
TIOZJSL,O,O,X,X,O,X,X,X,X,O,O,X,O,X,O,X
TIOZSLJ,O,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X
TIOZSJL,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X
TLIJSZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLIJZSO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLIJZOS,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLIJOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLIJOZS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLISJZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLISJOZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TLISZJO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TLISZOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
TLISOJZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TLISOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIZJSO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TLIZJOS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLIZSJO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TLIZSOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
TLIZOJS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLIZOSJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLIOJSZ,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TLIOJZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLIOSJZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TLIOSZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOZJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLIOZSJ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
TLJISZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJISOZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJIZSO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLJIZOS,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLJIOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJIOZS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJSIZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TLJSZIO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
TLJSOIZ,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X
TLJSOZI,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X
TLJZISO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLJZIOS,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLJZSIO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLJZSOI,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TLJZOIS,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLJZOSI,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TLJOISZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJOIZS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJOSIZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJOSZI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJOZSI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLSIJOZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TLSIZJO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TLSIZOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
TLSIOJZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TLSIOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSJIZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLSJIOZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TLSJZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSJZOI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X
